194.223.0.0,194.223.95.255,isp,AU 
194.223.135.16,194.223.135.71,isp,SG 
194.223.135.72,194.223.135.79,business,SG 
194.223.135.80,194.223.135.95,isp,SG 
194.223.135.96,194.223.135.119,business,SG 
194.223.135.120,194.223.135.159,isp,SG 
194.223.135.160,194.223.135.215,business,SG 
194.223.135.216,194.223.135.223,isp,SG 
194.223.135.224,194.223.135.231,business,SG 
194.223.135.232,194.223.135.239,isp,SG 
194.223.135.240,194.223.135.247,business,SG 
194.223.135.248,194.223.135.255,isp,SG 
194.223.136.0,194.223.136.47,business,SG 
194.223.136.48,194.223.136.63,isp,SG 
194.223.136.64,194.223.136.87,business,SG 
194.223.136.88,194.223.136.191,isp,SG 
194.223.136.192,194.223.136.199,business,SG 
194.223.136.200,194.223.136.215,isp,SG 
194.223.136.216,194.223.136.223,business,SG 
194.223.136.224,194.223.136.231,isp,SG 
194.223.136.232,194.223.136.239,business,SG 
194.223.136.240,194.223.136.247,isp,SG 
194.223.136.248,194.223.137.7,business,SG 
194.223.137.8,194.223.137.15,isp,SG 
194.223.137.16,194.223.137.23,business,SG 
194.223.137.24,194.223.137.63,isp,SG 
194.223.137.64,194.223.137.79,business,SG 
194.223.137.80,194.223.137.119,isp,SG 
194.223.137.120,194.223.137.127,business,SG 
194.223.137.128,194.223.137.151,isp,SG 
194.223.137.152,194.223.137.159,business,SG 
194.223.137.160,194.223.137.183,isp,SG 
194.223.137.184,194.223.137.191,business,SG 
194.223.137.192,194.223.137.207,isp,SG 
194.223.137.208,194.223.137.223,business,SG 
194.223.137.224,194.223.139.0,isp,SG 
194.223.139.1,194.223.139.2,isp,JP 
194.223.139.3,194.223.139.32,isp,SG 
194.223.139.33,194.223.139.33,business,CH 
194.223.139.34,194.223.139.111,isp,SG 
194.223.139.112,194.223.139.127,business,SG 
194.223.139.128,194.223.139.143,isp,SG 
194.223.139.144,194.223.139.159,business,SG 
194.223.139.160,194.223.139.176,isp,SG 
194.223.139.177,194.223.139.177,business,DE 
194.223.139.178,194.223.139.199,isp,SG 
194.223.139.200,194.223.139.215,business,SG 
194.223.139.216,194.223.139.239,isp,SG 
194.223.139.240,194.223.139.255,business,SG 
194.223.140.0,194.223.141.127,isp,JP 
194.223.141.128,194.223.141.135,business,JP 
194.223.141.136,194.223.142.143,isp,JP 
194.223.142.144,194.223.142.151,business,JP 
194.223.142.152,194.223.142.167,isp,JP 
194.223.142.168,194.223.142.175,business,JP 
194.223.142.176,194.223.142.239,isp,JP 
194.223.142.240,194.223.142.247,isp,GB 
194.223.142.248,194.223.143.255,isp,JP 
194.223.144.0,194.223.147.255,business,JP 
194.223.148.0,194.223.148.31,isp,JP 
194.223.148.32,194.223.148.39,business,JP 
194.223.148.40,194.223.148.55,isp,JP 
194.223.148.56,194.223.148.63,business,JP 
194.223.148.64,194.223.148.79,isp,JP 
194.223.148.80,194.223.148.87,business,JP 
194.223.148.88,194.223.148.95,isp,JP 
194.223.148.96,194.223.148.111,business,JP 
194.223.148.112,194.223.148.175,isp,JP 
194.223.148.176,194.223.148.183,business,JP 
194.223.148.184,194.223.148.255,isp,JP 
194.223.149.0,194.223.149.255,business,JP 
194.223.150.0,194.223.150.31,isp,JP 
194.223.150.32,194.223.150.47,business,JP 
194.223.150.48,194.223.150.143,isp,JP 
194.223.150.144,194.223.150.151,business,JP 
194.223.150.152,194.223.151.15,isp,JP 
194.223.151.16,194.223.151.31,business,JP 
194.223.151.32,194.223.151.47,isp,JP 
194.223.151.48,194.223.151.55,business,JP 
194.223.151.56,194.223.151.63,isp,JP 
194.223.151.64,194.223.151.71,business,JP 
194.223.151.72,194.223.151.79,isp,JP 
194.223.151.80,194.223.151.95,business,JP 
194.223.151.96,194.223.151.127,isp,JP 
194.223.151.128,194.223.151.255,business,JP 
194.223.152.0,194.223.155.255,isp,JP 
194.223.156.0,194.223.157.7,business,JP 
194.223.157.8,194.223.157.31,isp,JP 
194.223.157.32,194.223.157.47,business,JP 
194.223.157.48,194.223.157.55,isp,JP 
194.223.157.56,194.223.157.63,business,JP 
194.223.157.64,194.223.157.103,isp,JP 
194.223.157.104,194.223.157.191,business,JP 
194.223.157.192,194.223.157.199,isp,JP 
194.223.157.200,194.223.157.223,business,JP 
194.223.157.224,194.223.157.231,isp,JP 
194.223.157.232,194.223.157.247,business,JP 
194.223.157.248,194.223.157.255,isp,JP 
194.223.158.0,194.223.158.135,business,JP 
194.223.158.136,194.223.158.159,isp,JP 
194.223.158.160,194.223.158.167,business,JP 
194.223.158.168,194.223.158.215,isp,JP 
194.223.158.216,194.223.158.255,business,JP 
194.223.159.0,194.223.159.255,isp,JP 
194.223.160.0,194.223.160.71,business,AU 
194.223.160.72,194.223.160.75,isp,AU 
194.223.160.76,194.223.160.111,business,AU 
194.223.160.112,194.223.160.115,isp,AU 
194.223.160.116,194.223.160.119,business,AU 
194.223.160.120,194.223.160.123,isp,AU 
194.223.160.124,194.223.160.163,business,AU 
194.223.160.164,194.223.160.167,isp,AU 
194.223.160.168,194.223.160.175,business,AU 
194.223.160.176,194.223.160.183,isp,AU 
194.223.160.184,194.223.160.239,business,AU 
194.223.160.240,194.223.160.243,isp,AU 
194.223.160.244,194.223.161.39,business,AU 
194.223.161.40,194.223.161.47,education,AU 
194.223.161.48,194.223.161.55,isp,AU 
194.223.161.56,194.223.161.63,business,AU 
194.223.161.64,194.223.161.71,isp,AU 
194.223.161.72,194.223.161.79,education,AU 
194.223.161.80,194.223.161.119,business,AU 
194.223.161.120,194.223.161.127,isp,AU 
194.223.161.128,194.223.161.167,business,AU 
194.223.161.168,194.223.161.175,isp,AU 
194.223.161.176,194.223.161.207,business,AU 
194.223.161.208,194.223.161.231,isp,AU 
194.223.161.232,194.223.162.103,business,AU 
194.223.162.104,194.223.162.119,isp,AU 
194.223.162.120,194.223.162.127,business,AU 
194.223.162.128,194.223.162.135,isp,AU 
194.223.162.136,194.223.162.143,business,AU 
194.223.162.144,194.223.162.151,isp,AU 
194.223.162.152,194.223.162.159,education,AU 
194.223.162.160,194.223.162.231,business,AU 
194.223.162.232,194.223.162.239,isp,AU 
194.223.162.240,194.223.162.255,business,AU 
194.223.163.0,194.223.163.31,education,AU 
194.223.163.32,194.223.163.63,isp,AU 
194.223.163.64,194.223.163.95,education,AU 
194.223.163.96,194.223.163.127,business,AU 
194.223.163.128,194.223.163.159,isp,AU 
194.223.163.160,194.223.163.191,business,AU 
194.223.163.192,194.223.163.255,isp,AU 
194.223.164.0,194.223.164.191,business,AU 
194.223.164.192,194.223.164.207,isp,AU 
194.223.164.208,194.223.165.31,business,AU 
194.223.165.32,194.223.165.39,isp,AU 
194.223.165.40,194.223.165.63,business,AU 
194.223.165.64,194.223.165.71,education,AU 
194.223.165.72,194.223.165.79,isp,AU 
194.223.165.80,194.223.165.143,business,AU 
194.223.165.144,194.223.165.151,isp,AU 
194.223.165.152,194.223.165.159,business,AU 
194.223.165.160,194.223.165.167,isp,AU 
194.223.165.168,194.223.165.175,business,AU 
194.223.165.176,194.223.165.183,isp,AU 
194.223.165.184,194.223.165.207,business,AU 
194.223.165.208,194.223.165.215,education,AU 
194.223.165.216,194.223.166.95,business,AU 
194.223.166.96,194.223.166.111,isp,AU 
194.223.166.112,194.223.166.175,business,AU 
194.223.166.176,194.223.166.191,isp,AU 
194.223.166.192,194.223.166.223,business,AU 
194.223.166.224,194.223.166.239,isp,AU 
194.223.166.240,194.223.167.87,business,AU 
194.223.167.88,194.223.167.95,isp,AU 
194.223.167.96,194.223.167.151,business,AU 
194.223.167.152,194.223.167.159,isp,AU 
194.223.167.160,194.223.167.207,business,AU 
194.223.167.208,194.223.167.215,isp,AU 
194.223.167.216,194.223.167.231,business,AU 
194.223.167.232,194.223.167.239,isp,AU 
194.223.167.240,194.223.167.255,business,AU 
194.223.168.0,194.223.191.255,isp,AU 
194.223.192.0,194.223.255.255,isp,JP 
