62.245.0.0,62.245.31.255,hosting,BR,AS136907 
62.245.148.64,62.245.148.127,isp,DE,AS8767 
62.245.148.128,62.245.148.255,business,DE,AS8767 
62.245.149.0,62.245.153.255,isp,DE,AS8767 
62.245.154.0,62.245.154.7,education,DE,AS8767 
62.245.154.8,62.245.154.15,isp,DE,AS8767 
62.245.154.16,62.245.154.23,business,DE,AS8767 
62.245.154.24,62.245.154.31,isp,DE,AS8767 
62.245.154.32,62.245.154.39,business,DE,AS8767 
62.245.154.40,62.245.154.43,isp,DE,AS8767 
62.245.154.44,62.245.154.63,business,DE,AS8767 
62.245.154.64,62.245.154.79,isp,DE,AS8767 
62.245.154.80,62.245.154.107,business,DE,AS8767 
62.245.154.108,62.245.154.119,isp,DE,AS8767 
62.245.154.120,62.245.154.127,business,DE,AS8767 
62.245.154.128,62.245.155.7,isp,DE,AS8767 
62.245.155.8,62.245.155.31,business,DE,AS8767 
62.245.155.32,62.245.155.79,isp,DE,AS8767 
62.245.155.80,62.245.155.87,business,DE,AS8767 
62.245.155.88,62.245.155.95,isp,DE,AS8767 
62.245.155.96,62.245.155.117,business,DE,AS8767 
62.245.155.118,62.245.155.119,isp,DE,AS8767 
62.245.155.120,62.245.155.159,business,DE,AS8767 
62.245.155.160,62.245.155.175,isp,DE,AS8767 
62.245.155.176,62.245.155.179,business,DE,AS8767 
62.245.155.180,62.245.155.183,isp,DE,AS8767 
62.245.155.184,62.245.155.191,business,DE,AS8767 
62.245.155.192,62.245.155.207,isp,DE,AS8767 
62.245.155.208,62.245.155.215,business,DE,AS8767 
62.245.155.216,62.245.155.231,isp,DE,AS8767 
62.245.155.232,62.245.155.255,business,DE,AS8767 
62.245.156.0,62.245.156.3,isp,DE,AS8767 
62.245.156.4,62.245.156.31,business,DE,AS8767 
62.245.156.32,62.245.156.47,isp,DE,AS8767 
62.245.156.48,62.245.156.79,business,DE,AS8767 
62.245.156.80,62.245.156.87,isp,DE,AS8767 
62.245.156.88,62.245.156.159,business,DE,AS8767 
62.245.156.160,62.245.156.255,isp,DE,AS8767 
62.245.157.0,62.245.157.79,business,DE,AS8767 
62.245.157.80,62.245.157.95,isp,DE,AS8767 
62.245.157.96,62.245.157.159,business,DE,AS8767 
62.245.157.160,62.245.157.175,isp,DE,AS8767 
62.245.157.176,62.245.157.183,business,DE,AS8767 
62.245.157.184,62.245.157.191,isp,DE,AS8767 
62.245.157.192,62.245.158.7,business,DE,AS8767 
62.245.158.8,62.245.158.11,isp,DE,AS8767 
62.245.158.12,62.245.158.15,business,DE,AS8767 
62.245.158.16,62.245.158.31,isp,DE,AS8767 
62.245.158.32,62.245.158.63,business,DE,AS8767 
62.245.158.64,62.245.158.119,isp,DE,AS8767 
62.245.158.120,62.245.163.255,business,DE,AS8767 
62.245.164.0,62.245.164.39,isp,DE,AS8767 
62.245.164.40,62.245.164.127,business,DE,AS8767 
62.245.164.128,62.245.164.223,isp,DE,AS8767 
62.245.164.224,62.245.165.11,business,DE,AS8767 
62.245.165.12,62.245.165.15,isp,DE,AS8767 
62.245.165.16,62.245.165.23,business,DE,AS8767 
62.245.165.24,62.245.165.47,isp,DE,AS8767 
62.245.165.48,62.245.165.71,business,DE,AS8767 
62.245.165.72,62.245.165.79,isp,DE,AS8767 
62.245.165.80,62.245.165.255,business,DE,AS8767 
62.245.166.0,62.245.166.31,isp,DE,AS8767 
62.245.166.32,62.245.166.39,business,DE,AS8767 
62.245.166.40,62.245.166.55,isp,DE,AS8767 
62.245.166.56,62.245.166.79,business,DE,AS8767 
62.245.166.80,62.245.166.91,isp,DE,AS8767 
62.245.166.92,62.245.166.95,business,DE,AS8767 
62.245.166.96,62.245.166.99,isp,DE,AS8767 
62.245.166.100,62.245.166.111,business,DE,AS8767 
62.245.166.112,62.245.166.127,isp,DE,AS8767 
62.245.166.128,62.245.166.143,business,DE,AS8767 
62.245.166.144,62.245.166.147,isp,DE,AS8767 
62.245.166.148,62.245.166.159,business,DE,AS8767 
62.245.166.160,62.245.166.175,isp,DE,AS8767 
62.245.166.176,62.245.166.179,business,DE,AS8767 
62.245.166.180,62.245.166.183,isp,DE,AS8767 
62.245.166.184,62.245.167.3,business,DE,AS8767 
62.245.167.4,62.245.167.31,isp,DE,AS8767 
62.245.167.32,62.245.167.199,business,DE,AS8767 
62.245.167.200,62.245.167.207,isp,DE,AS8767 
62.245.167.208,62.245.167.215,business,DE,AS8767 
62.245.167.216,62.245.167.219,isp,DE,AS8767 
62.245.167.220,62.245.167.255,business,DE,AS8767 
62.245.168.0,62.245.168.7,isp,DE,AS8767 
62.245.168.8,62.245.168.15,business,DE,AS8767 
62.245.168.16,62.245.168.31,isp,DE,AS8767 
62.245.168.32,62.245.168.47,business,DE,AS8767 
62.245.168.48,62.245.168.55,isp,DE,AS8767 
62.245.168.56,62.245.168.111,business,DE,AS8767 
62.245.168.112,62.245.168.131,isp,DE,AS8767 
62.245.168.132,62.245.168.135,business,DE,AS8767 
62.245.168.136,62.245.168.139,isp,DE,AS8767 
62.245.168.140,62.245.168.183,business,DE,AS8767 
62.245.168.184,62.245.168.191,isp,DE,AS8767 
62.245.168.192,62.245.168.207,business,DE,AS8767 
62.245.168.208,62.245.168.231,isp,DE,AS8767 
62.245.168.232,62.245.168.237,business,DE,AS8767 
62.245.168.238,62.245.169.7,isp,DE,AS8767 
62.245.169.8,62.245.169.15,business,DE,AS8767 
62.245.169.16,62.245.169.23,isp,DE,AS8767 
62.245.169.24,62.245.169.35,business,DE,AS8767 
62.245.169.36,62.245.169.39,isp,DE,AS8767 
62.245.169.40,62.245.170.255,business,DE,AS8767 
62.245.171.0,62.245.171.15,isp,DE,AS8767 
62.245.171.16,62.245.171.23,business,DE,AS8767 
62.245.171.24,62.245.171.75,isp,DE,AS8767 
62.245.171.76,62.245.171.79,business,DE,AS8767 
62.245.171.80,62.245.171.127,isp,DE,AS8767 
62.245.171.128,62.245.171.135,business,DE,AS8767 
62.245.171.136,62.245.171.143,isp,DE,AS8767 
62.245.171.144,62.245.171.159,business,DE,AS8767 
62.245.171.160,62.245.171.175,isp,DE,AS8767 
62.245.171.176,62.245.171.183,business,DE,AS8767 
62.245.171.184,62.245.171.191,isp,DE,AS8767 
62.245.171.192,62.245.171.223,business,DE,AS8767 
62.245.171.224,62.245.171.247,isp,DE,AS8767 
62.245.171.248,62.245.171.255,business,DE,AS8767 
62.245.172.0,62.245.172.7,isp,DE,AS8767 
62.245.172.8,62.245.172.31,business,DE,AS8767 
62.245.172.32,62.245.172.63,isp,DE,AS8767 
62.245.172.64,62.245.172.95,business,DE,AS8767 
62.245.172.96,62.245.172.103,isp,DE,AS8767 
62.245.172.104,62.245.172.199,business,DE,AS8767 
62.245.172.200,62.245.172.215,isp,DE,AS8767 
62.245.172.216,62.245.172.219,business,DE,AS8767 
62.245.172.220,62.245.173.255,isp,DE,AS8767 
62.245.174.0,62.245.177.255,business,DE,AS8767 
62.245.178.0,62.245.178.7,isp,DE,AS8767 
62.245.178.8,62.245.178.31,business,DE,AS8767 
62.245.178.32,62.245.178.47,isp,DE,AS8767 
62.245.178.48,62.245.178.167,business,DE,AS8767 
62.245.178.168,62.245.178.175,isp,DE,AS8767 
62.245.178.176,62.245.178.183,business,DE,AS8767 
62.245.178.184,62.245.178.191,isp,DE,AS8767 
62.245.178.192,62.245.178.199,business,DE,AS8767 
62.245.178.200,62.245.178.207,isp,DE,AS8767 
62.245.178.208,62.245.178.215,business,DE,AS8767 
62.245.178.216,62.245.178.231,isp,DE,AS8767 
62.245.178.232,62.245.178.247,business,DE,AS8767 
62.245.178.248,62.245.178.255,isp,DE,AS8767 
62.245.179.0,62.245.179.7,business,DE,AS8767 
62.245.179.8,62.245.179.15,isp,DE,AS8767 
62.245.179.16,62.245.179.19,business,DE,AS8767 
62.245.179.20,62.245.179.31,isp,DE,AS8767 
62.245.179.32,62.245.179.43,business,DE,AS8767 
62.245.179.44,62.245.179.47,isp,DE,AS8767 
62.245.179.48,62.245.179.55,business,DE,AS8767 
62.245.179.56,62.245.179.67,isp,DE,AS8767 
62.245.179.68,62.245.179.119,business,DE,AS8767 
62.245.179.120,62.245.179.255,isp,DE,AS8767 
62.245.180.0,62.245.180.255,business,DE,AS8767 
62.245.181.0,62.245.181.255,isp,DE,AS8767 
62.245.182.0,62.245.183.103,business,DE,AS8767 
62.245.183.104,62.245.183.127,isp,DE,AS8767 
62.245.183.128,62.245.183.223,business,DE,AS8767 
62.245.183.224,62.245.183.239,isp,DE,AS8767 
62.245.183.240,62.245.183.255,business,DE,AS8767 
62.245.184.0,62.245.184.7,isp,DE,AS8767 
62.245.184.8,62.245.184.15,business,DE,AS8767 
62.245.184.16,62.245.184.23,isp,DE,AS8767 
62.245.184.24,62.245.184.71,business,DE,AS8767 
62.245.184.72,62.245.184.87,isp,DE,AS8767 
62.245.184.88,62.245.184.91,business,DE,AS8767 
62.245.184.92,62.245.184.95,isp,DE,AS8767 
62.245.184.96,62.245.184.231,business,DE,AS8767 
62.245.184.232,62.245.184.247,isp,DE,AS8767 
62.245.184.248,62.245.185.63,business,DE,AS8767 
62.245.185.64,62.245.185.71,isp,DE,AS8767 
62.245.185.72,62.245.185.87,business,DE,AS8767 
62.245.185.88,62.245.185.135,isp,DE,AS8767 
62.245.185.136,62.245.185.143,business,DE,AS8767 
62.245.185.144,62.245.185.151,isp,DE,AS8767 
62.245.185.152,62.245.185.191,business,DE,AS8767 
62.245.185.192,62.245.185.207,isp,DE,AS8767 
62.245.185.208,62.245.185.227,business,DE,AS8767 
62.245.185.228,62.245.185.239,isp,DE,AS8767 
62.245.185.240,62.245.186.27,business,DE,AS8767 
62.245.186.28,62.245.186.31,isp,DE,AS8767 
62.245.186.32,62.245.186.79,business,DE,AS8767 
62.245.186.80,62.245.186.83,isp,DE,AS8767 
62.245.186.84,62.245.186.87,business,DE,AS8767 
62.245.186.88,62.245.186.95,isp,DE,AS8767 
62.245.186.96,62.245.186.103,business,DE,AS8767 
62.245.186.104,62.245.186.107,isp,DE,AS8767 
62.245.186.108,62.245.186.111,business,DE,AS8767 
62.245.186.112,62.245.186.159,isp,DE,AS8767 
62.245.186.160,62.245.186.207,business,DE,AS8767 
62.245.186.208,62.245.186.223,isp,DE,AS8767 
62.245.186.224,62.245.187.7,business,DE,AS8767 
62.245.187.8,62.245.187.15,isp,DE,AS8767 
62.245.187.16,62.245.187.47,business,DE,AS8767 
62.245.187.48,62.245.187.55,isp,DE,AS8767 
62.245.187.56,62.245.187.79,business,DE,AS8767 
62.245.187.80,62.245.187.95,isp,DE,AS8767 
62.245.187.96,62.245.187.143,business,DE,AS8767 
62.245.187.144,62.245.187.159,isp,DE,AS8767 
62.245.187.160,62.245.187.167,business,DE,AS8767 
62.245.187.168,62.245.187.175,isp,DE,AS8767 
62.245.187.176,62.245.189.255,business,DE,AS8767 
62.245.190.0,62.245.190.255,education,DE,AS8767 
62.245.191.0,62.245.191.255,isp,DE,AS8767 
62.245.192.0,62.245.197.31,business,DE,AS8767 
62.245.197.32,62.245.197.95,isp,DE,AS8767 
62.245.197.96,62.245.197.103,business,DE,AS8767 
62.245.197.104,62.245.197.111,isp,DE,AS8767 
62.245.197.112,62.245.197.151,business,DE,AS8767 
62.245.197.152,62.245.197.155,isp,DE,AS8767 
62.245.197.156,62.245.197.191,business,DE,AS8767 
62.245.197.192,62.245.197.223,isp,DE,AS8767 
62.245.197.224,62.245.198.31,business,DE,AS8767 
62.245.198.32,62.245.198.39,isp,DE,AS8767 
62.245.198.40,62.245.198.47,business,DE,AS8767 
62.245.198.48,62.245.198.51,isp,DE,AS8767 
62.245.198.52,62.245.198.95,business,DE,AS8767 
62.245.198.96,62.245.198.111,isp,DE,AS8767 
62.245.198.112,62.245.198.159,business,DE,AS8767 
62.245.198.160,62.245.198.175,isp,DE,AS8767 
62.245.198.176,62.245.198.191,business,DE,AS8767 
62.245.198.192,62.245.198.207,isp,DE,AS8767 
62.245.198.208,62.245.198.223,business,DE,AS8767 
62.245.198.224,62.245.198.239,isp,DE,AS8767 
62.245.198.240,62.245.198.255,business,DE,AS8767 
62.245.199.0,62.245.200.7,isp,DE,AS8767 
62.245.200.8,62.245.200.47,business,DE,AS8767 
62.245.200.48,62.245.200.79,isp,DE,AS8767 
62.245.200.80,62.245.200.103,business,DE,AS8767 
62.245.200.104,62.245.200.107,isp,DE,AS8767 
62.245.200.108,62.245.200.127,business,DE,AS8767 
62.245.200.128,62.245.200.135,isp,DE,AS8767 
62.245.200.136,62.245.200.143,business,DE,AS8767 
62.245.200.144,62.245.200.151,isp,DE,AS8767 
62.245.200.152,62.245.200.167,business,DE,AS8767 
62.245.200.168,62.245.200.187,isp,DE,AS8767 
62.245.200.188,62.245.200.199,business,DE,AS8767 
62.245.200.200,62.245.200.207,isp,DE,AS8767 
62.245.200.208,62.245.201.7,business,DE,AS8767 
62.245.201.8,62.245.201.15,isp,DE,AS8767 
62.245.201.16,62.245.201.39,business,DE,AS8767 
62.245.201.40,62.245.201.47,isp,DE,AS8767 
62.245.201.48,62.245.201.55,business,DE,AS8767 
62.245.201.56,62.245.201.63,isp,DE,AS8767 
62.245.201.64,62.245.201.67,business,DE,AS8767 
62.245.201.68,62.245.201.71,isp,DE,AS8767 
62.245.201.72,62.245.201.79,business,DE,AS8767 
62.245.201.80,62.245.201.87,isp,DE,AS8767 
62.245.201.88,62.245.201.107,business,DE,AS8767 
62.245.201.108,62.245.201.111,isp,DE,AS8767 
62.245.201.112,62.245.201.119,business,DE,AS8767 
62.245.201.120,62.245.201.127,isp,DE,AS8767 
62.245.201.128,62.245.201.151,business,DE,AS8767 
62.245.201.152,62.245.201.175,isp,DE,AS8767 
62.245.201.176,62.245.201.191,business,DE,AS8767 
62.245.201.192,62.245.201.215,isp,DE,AS8767 
62.245.201.216,62.245.201.239,business,DE,AS8767 
62.245.201.240,62.245.201.247,isp,DE,AS8767 
62.245.201.248,62.245.201.251,business,DE,AS8767 
62.245.201.252,62.245.201.255,isp,DE,AS8767 
62.245.202.0,62.245.202.63,business,DE,AS8767 
62.245.202.64,62.245.202.71,isp,DE,AS8767 
62.245.202.72,62.245.202.95,business,DE,AS8767 
62.245.202.96,62.245.202.111,isp,DE,AS8767 
62.245.202.112,62.245.202.175,business,DE,AS8767 
62.245.202.176,62.245.202.183,isp,DE,AS8767 
62.245.202.184,62.245.202.191,business,DE,AS8767 
62.245.202.192,62.245.202.207,isp,DE,AS8767 
62.245.202.208,62.245.202.235,business,DE,AS8767 
62.245.202.236,62.245.202.239,isp,DE,AS8767 
62.245.202.240,62.245.202.255,business,DE,AS8767 
62.245.203.0,62.245.203.15,isp,DE,AS8767 
62.245.203.16,62.245.203.79,business,DE,AS8767 
62.245.203.80,62.245.203.111,isp,DE,AS8767 
62.245.203.112,62.245.203.135,business,DE,AS8767 
62.245.203.136,62.245.203.143,isp,DE,AS8767 
62.245.203.144,62.245.203.155,business,DE,AS8767 
62.245.203.156,62.245.203.175,isp,DE,AS8767 
62.245.203.176,62.245.203.191,business,DE,AS8767 
62.245.203.192,62.245.203.195,isp,DE,AS8767 
62.245.203.196,62.245.203.207,business,DE,AS8767 
62.245.203.208,62.245.203.215,isp,DE,AS8767 
62.245.203.216,62.245.203.223,business,DE,AS8767 
62.245.203.224,62.245.203.231,isp,DE,AS8767 
62.245.203.232,62.245.204.7,business,DE,AS8767 
62.245.204.8,62.245.204.15,isp,DE,AS8767 
62.245.204.16,62.245.204.19,business,DE,AS8767 
62.245.204.20,62.245.204.83,isp,DE,AS8767 
62.245.204.84,62.245.204.87,business,DE,AS8767 
62.245.204.88,62.245.204.91,isp,DE,AS8767 
62.245.204.92,62.245.204.111,business,DE,AS8767 
62.245.204.112,62.245.204.131,isp,DE,AS8767 
62.245.204.132,62.245.204.135,business,DE,AS8767 
62.245.204.136,62.245.204.139,isp,DE,AS8767 
62.245.204.140,62.245.204.167,business,DE,AS8767 
62.245.204.168,62.245.204.175,isp,DE,AS8767 
62.245.204.176,62.245.204.255,business,DE,AS8767 
62.245.205.0,62.245.205.7,isp,DE,AS8767 
62.245.205.8,62.245.205.51,business,DE,AS8767 
62.245.205.52,62.245.205.55,isp,DE,AS8767 
62.245.205.56,62.245.205.69,business,DE,AS8767 
62.245.205.70,62.245.205.79,isp,DE,AS8767 
62.245.205.80,62.245.205.119,business,DE,AS8767 
62.245.205.120,62.245.205.127,isp,DE,AS8767 
62.245.205.128,62.245.205.255,business,DE,AS8767 
62.245.206.0,62.245.207.15,isp,DE,AS8767 
62.245.207.16,62.245.207.63,business,DE,AS8767 
62.245.207.64,62.245.207.71,isp,DE,AS8767 
62.245.207.72,62.245.207.135,business,DE,AS8767 
62.245.207.136,62.245.207.143,isp,DE,AS8767 
62.245.207.144,62.245.207.151,business,DE,AS8767 
62.245.207.152,62.245.207.167,isp,DE,AS8767 
62.245.207.168,62.245.207.175,business,DE,AS8767 
62.245.207.176,62.245.207.191,isp,DE,AS8767 
62.245.207.192,62.245.207.207,business,DE,AS8767 
62.245.207.208,62.245.207.215,isp,DE,AS8767 
62.245.207.216,62.245.207.239,business,DE,AS8767 
62.245.207.240,62.245.207.255,isp,DE,AS8767 
62.245.208.0,62.245.212.255,business,DE,AS8767 
62.245.213.0,62.245.213.255,isp,DE,AS8767 
62.245.214.0,62.245.217.255,business,DE,AS8767 
62.245.218.0,62.245.218.255,isp,DE,AS8767 
62.245.219.0,62.245.222.15,business,DE,AS8767 
62.245.222.16,62.245.222.31,isp,DE,AS8767 
62.245.222.32,62.245.222.39,business,DE,AS8767 
62.245.222.40,62.245.222.79,isp,DE,AS8767 
62.245.222.80,62.245.222.95,business,DE,AS8767 
62.245.222.96,62.245.222.127,isp,DE,AS8767 
62.245.222.128,62.245.222.255,business,DE,AS8767 
62.245.223.0,62.245.223.7,isp,DE,AS8767 
62.245.223.8,62.245.223.63,business,DE,AS8767 
62.245.223.64,62.245.223.95,isp,DE,AS8767 
62.245.223.96,62.245.223.223,business,DE,AS8767 
62.245.223.224,62.245.223.255,isp,DE,AS8767 
62.245.224.0,62.245.224.31,business,DE,AS8767 
62.245.224.32,62.245.224.63,isp,DE,AS8767 
62.245.224.64,62.245.224.95,business,DE,AS8767 
62.245.224.96,62.245.224.111,isp,DE,AS8767 
62.245.224.112,62.245.224.119,education,DE,AS8767 
62.245.224.120,62.245.224.191,business,DE,AS8767 
62.245.224.192,62.245.224.199,isp,DE,AS8767 
62.245.224.200,62.245.224.207,business,DE,AS8767 
62.245.224.208,62.245.224.223,isp,DE,AS8767 
62.245.224.224,62.245.225.255,business,DE,AS8767 
62.245.226.0,62.245.227.255,isp,DE,AS8767 
62.245.228.0,62.245.228.7,business,DE,AS8767 
62.245.228.8,62.245.228.31,isp,DE,AS8767 
62.245.228.32,62.245.228.39,business,DE,AS8767 
62.245.228.40,62.245.228.47,isp,DE,AS8767 
62.245.228.48,62.245.228.55,business,DE,AS8767 
62.245.228.56,62.245.228.71,isp,DE,AS8767 
62.245.228.72,62.245.228.79,business,DE,AS8767 
62.245.228.80,62.245.228.95,isp,DE,AS8767 
62.245.228.96,62.245.228.127,business,DE,AS8767 
62.245.228.128,62.245.228.135,isp,DE,AS8767 
62.245.228.136,62.245.228.139,business,DE,AS8767 
62.245.228.140,62.245.228.151,isp,DE,AS8767 
62.245.228.152,62.245.228.175,business,DE,AS8767 
62.245.228.176,62.245.228.183,isp,DE,AS8767 
62.245.228.184,62.245.228.215,business,DE,AS8767 
62.245.228.216,62.245.228.231,isp,DE,AS8767 
62.245.228.232,62.245.228.247,business,DE,AS8767 
62.245.228.248,62.245.228.255,isp,DE,AS8767 
62.245.229.0,62.245.229.11,business,DE,AS8767 
62.245.229.12,62.245.229.15,isp,DE,AS8767 
62.245.229.16,62.245.229.67,business,DE,AS8767 
62.245.229.68,62.245.229.71,isp,DE,AS8767 
62.245.229.72,62.245.229.75,business,DE,AS8767 
62.245.229.76,62.245.229.79,isp,DE,AS8767 
62.245.229.80,62.245.229.87,business,DE,AS8767 
62.245.229.88,62.245.229.111,isp,DE,AS8767 
62.245.229.112,62.245.229.195,business,DE,AS8767 
62.245.229.196,62.245.229.207,isp,DE,AS8767 
62.245.229.208,62.245.230.31,business,DE,AS8767 
62.245.230.32,62.245.230.47,isp,DE,AS8767 
62.245.230.48,62.245.230.63,business,DE,AS8767 
62.245.230.64,62.245.230.87,isp,DE,AS8767 
62.245.230.88,62.245.230.135,business,DE,AS8767 
62.245.230.136,62.245.230.159,isp,DE,AS8767 
62.245.230.160,62.245.230.191,business,DE,AS8767 
62.245.230.192,62.245.230.239,isp,DE,AS8767 
62.245.230.240,62.245.230.247,business,DE,AS8767 
62.245.230.248,62.245.231.15,isp,DE,AS8767 
62.245.231.16,62.245.231.31,business,DE,AS8767 
62.245.231.32,62.245.231.47,isp,DE,AS8767 
62.245.231.48,62.245.231.59,business,DE,AS8767 
62.245.231.60,62.245.231.87,isp,DE,AS8767 
62.245.231.88,62.245.231.99,business,DE,AS8767 
62.245.231.100,62.245.231.111,isp,DE,AS8767 
62.245.231.112,62.245.231.135,business,DE,AS8767 
62.245.231.136,62.245.231.143,isp,DE,AS8767 
62.245.231.144,62.245.231.175,business,DE,AS8767 
62.245.231.176,62.245.231.183,isp,DE,AS8767 
62.245.231.184,62.245.231.215,business,DE,AS8767 
62.245.231.216,62.245.231.223,isp,DE,AS8767 
62.245.231.224,62.245.231.251,business,DE,AS8767 
62.245.231.252,62.245.233.255,isp,DE,AS8767 
62.245.234.0,62.245.234.159,business,DE,AS8767 
62.245.234.160,62.245.234.175,isp,DE,AS8767 
62.245.234.176,62.245.234.191,business,DE,AS8767 
62.245.234.192,62.245.235.255,isp,DE,AS8767 
62.245.236.0,62.245.236.143,business,DE,AS8767 
62.245.236.144,62.245.236.151,isp,DE,AS8767 
62.245.236.152,62.245.236.155,business,DE,AS8767 
62.245.236.156,62.245.236.159,isp,DE,AS8767 
62.245.236.160,62.245.236.167,business,DE,AS8767 
62.245.236.168,62.245.236.175,isp,DE,AS8767 
62.245.236.176,62.245.236.183,business,DE,AS8767 
62.245.236.184,62.245.236.223,isp,DE,AS8767 
62.245.236.224,62.245.236.231,business,DE,AS8767 
62.245.236.232,62.245.236.235,isp,DE,AS8767 
62.245.236.236,62.245.236.247,business,DE,AS8767 
62.245.236.248,62.245.236.251,isp,DE,AS8767 
62.245.236.252,62.245.238.31,business,DE,AS8767 
62.245.238.32,62.245.238.63,isp,DE,AS8767 
62.245.238.64,62.245.238.71,business,DE,AS8767 
62.245.238.72,62.245.238.87,isp,DE,AS8767 
62.245.238.88,62.245.238.167,business,DE,AS8767 
62.245.238.168,62.245.238.175,isp,DE,AS8767 
62.245.238.176,62.245.238.183,business,DE,AS8767 
62.245.238.184,62.245.238.191,isp,DE,AS8767 
62.245.238.192,62.245.239.23,business,DE,AS8767 
62.245.239.24,62.245.239.31,isp,DE,AS8767 
