93.117.0.0,93.117.31.255,isp,IR 
93.117.246.171,93.117.246.171,isp,NL 
93.117.246.172,93.117.248.99,business,NL 
93.117.248.100,93.117.248.103,isp,NL 
93.117.248.104,93.117.248.123,business,NL 
93.117.248.124,93.117.248.127,education,NL 
93.117.248.128,93.117.248.155,business,NL 
93.117.248.156,93.117.248.156,isp,NL 
93.117.248.157,93.117.248.211,business,NL 
93.117.248.212,93.117.248.215,education,NL 
93.117.248.216,93.117.249.23,business,NL 
93.117.249.24,93.117.249.31,isp,NL 
93.117.249.32,93.117.249.95,business,NL 
93.117.249.96,93.117.249.127,isp,NL 
93.117.249.128,93.117.249.131,business,NL 
93.117.249.132,93.117.249.135,isp,NL 
93.117.249.136,93.117.252.77,business,NL 
93.117.252.78,93.117.252.78,isp,NL 
93.117.252.79,93.117.252.168,business,NL 
93.117.252.169,93.117.252.169,isp,NL 
93.117.252.170,93.117.252.233,business,NL 
93.117.252.234,93.117.252.234,isp,NL 
93.117.252.235,93.117.254.235,business,NL 
93.117.254.236,93.117.254.239,isp,NL 
93.117.254.240,93.117.255.247,business,NL 
93.117.255.248,93.117.255.255,isp,NL 
