202.138.0.0,202.138.79.255,isp,AU 
202.138.203.0,202.138.203.15,business,AU 
202.138.203.16,202.138.203.111,isp,AU 
202.138.203.112,202.138.203.143,business,AU 
202.138.203.144,202.138.204.127,isp,AU 
202.138.204.128,202.138.204.143,business,AU 
202.138.204.144,202.138.205.63,isp,AU 
202.138.205.64,202.138.205.191,business,AU 
202.138.205.192,202.138.206.95,isp,AU 
202.138.206.96,202.138.206.127,business,AU 
202.138.206.128,202.138.206.191,isp,AU 
202.138.206.192,202.138.206.255,business,AU 
202.138.207.0,202.138.207.31,isp,AU 
202.138.207.32,202.138.207.63,business,AU 
202.138.207.64,202.138.207.95,isp,AU 
202.138.207.96,202.138.207.191,business,AU 
202.138.207.192,202.138.208.63,isp,AU 
202.138.208.64,202.138.208.95,business,AU 
202.138.208.96,202.138.208.191,isp,AU 
202.138.208.192,202.138.208.223,business,AU 
202.138.208.224,202.138.209.31,isp,AU 
202.138.209.32,202.138.209.95,business,AU 
202.138.209.96,202.138.209.111,isp,AU 
202.138.209.112,202.138.209.159,business,AU 
202.138.209.160,202.138.209.191,isp,AU 
202.138.209.192,202.138.209.223,business,AU 
202.138.209.224,202.138.210.31,isp,AU 
202.138.210.32,202.138.210.63,business,AU 
202.138.210.64,202.138.210.191,isp,AU 
202.138.210.192,202.138.210.223,business,AU 
202.138.210.224,202.138.210.239,isp,AU 
202.138.210.240,202.138.211.63,business,AU 
202.138.211.64,202.138.211.95,isp,AU 
202.138.211.96,202.138.211.191,business,AU 
202.138.211.192,202.138.211.223,isp,AU 
202.138.211.224,202.138.211.239,business,AU 
202.138.211.240,202.138.212.63,isp,AU 
202.138.212.64,202.138.212.95,business,AU 
202.138.212.96,202.138.212.127,isp,AU 
202.138.212.128,202.138.212.223,business,AU 
202.138.212.224,202.138.213.127,isp,AU 
202.138.213.128,202.138.213.159,business,AU 
202.138.213.160,202.138.213.191,isp,AU 
202.138.213.192,202.138.213.223,business,AU 
202.138.213.224,202.138.214.31,isp,AU 
202.138.214.32,202.138.214.63,business,AU 
202.138.214.64,202.138.214.223,isp,AU 
202.138.214.224,202.138.215.127,business,AU 
202.138.215.128,202.138.216.63,isp,AU 
202.138.216.64,202.138.216.127,business,AU 
202.138.216.128,202.138.216.255,isp,AU 
202.138.217.0,202.138.217.31,business,AU 
202.138.217.32,202.138.217.127,isp,AU 
202.138.217.128,202.138.217.159,business,AU 
202.138.217.160,202.138.217.191,isp,AU 
202.138.217.192,202.138.218.63,business,AU 
202.138.218.64,202.138.218.191,isp,AU 
202.138.218.192,202.138.218.223,business,AU 
202.138.218.224,202.138.218.255,isp,AU 
202.138.219.0,202.138.219.31,business,AU 
202.138.219.32,202.138.219.95,isp,AU 
202.138.219.96,202.138.219.127,business,AU 
202.138.219.128,202.138.219.159,isp,AU 
202.138.219.160,202.138.219.175,business,AU 
202.138.219.176,202.138.220.63,isp,AU 
202.138.220.64,202.138.220.159,business,AU 
202.138.220.160,202.138.220.191,isp,AU 
202.138.220.192,202.138.220.207,business,AU 
202.138.220.208,202.138.220.255,isp,AU 
202.138.221.0,202.138.221.47,business,AU 
202.138.221.48,202.138.221.63,isp,AU 
202.138.221.64,202.138.221.95,business,AU 
202.138.221.96,202.138.221.111,isp,AU 
202.138.221.112,202.138.221.143,business,AU 
202.138.221.144,202.138.221.159,isp,AU 
202.138.221.160,202.138.221.191,business,AU 
202.138.221.192,202.138.221.223,isp,AU 
202.138.221.224,202.138.221.239,business,AU 
202.138.221.240,202.138.222.127,isp,AU 
202.138.222.128,202.138.222.191,business,AU 
202.138.222.192,202.138.223.255,isp,AU 
202.138.224.0,202.138.255.255,isp,ID 
