202.231.0.0,202.231.63.255,education,JP,AS2907 
202.231.224.112,202.231.224.127,isp,JP,AS4686 
202.231.224.128,202.231.224.143,business,JP,AS4686 
202.231.224.144,202.231.224.159,isp,JP,AS4686 
202.231.224.160,202.231.224.175,business,JP,AS4686 
202.231.224.176,202.231.224.191,isp,JP,AS4686 
202.231.224.192,202.231.225.15,business,JP,AS4686 
202.231.225.16,202.231.225.31,isp,JP,AS4686 
202.231.225.32,202.231.225.47,business,JP,AS4686 
202.231.225.48,202.231.225.63,isp,JP,AS4686 
202.231.225.64,202.231.225.79,business,JP,AS4686 
202.231.225.80,202.231.225.111,isp,JP,AS4686 
202.231.225.112,202.231.225.191,business,JP,AS4686 
202.231.225.192,202.231.225.255,isp,JP,AS4686 
202.231.226.0,202.231.226.15,business,JP,AS4686 
202.231.226.16,202.231.226.31,isp,JP,AS4686 
202.231.226.32,202.231.226.47,business,JP,AS4686 
202.231.226.48,202.231.226.63,isp,JP,AS4686 
202.231.226.64,202.231.226.95,business,JP,AS4686 
202.231.226.96,202.231.226.159,isp,JP,AS4686 
202.231.226.160,202.231.226.207,business,JP,AS4686 
202.231.226.208,202.231.226.239,isp,JP,AS4686 
202.231.226.240,202.231.227.15,business,JP,AS4686 
202.231.227.16,202.231.227.31,isp,JP,AS4686 
202.231.227.32,202.231.227.79,business,JP,AS4686 
202.231.227.80,202.231.227.95,isp,JP,AS4686 
202.231.227.96,202.231.227.111,business,JP,AS4686 
202.231.227.112,202.231.227.255,isp,JP,AS4686 
202.231.228.0,202.231.228.63,business,JP,AS4686 
202.231.228.64,202.231.228.159,isp,JP,AS4686 
202.231.228.160,202.231.228.199,business,JP,AS4686 
202.231.228.200,202.231.228.223,isp,JP,AS4686 
202.231.228.224,202.231.228.239,business,JP,AS4686 
202.231.228.240,202.231.228.255,isp,JP,AS4686 
202.231.229.0,202.231.229.63,business,JP,AS4686 
202.231.229.64,202.231.229.255,isp,JP,AS4686 
202.231.230.0,202.231.230.15,business,JP,AS4686 
202.231.230.16,202.231.230.31,isp,JP,AS4686 
202.231.230.32,202.231.230.63,business,JP,AS4686 
202.231.230.64,202.231.230.95,isp,JP,AS4686 
202.231.230.96,202.231.230.255,business,JP,AS4686 
202.231.231.0,202.231.231.95,isp,JP,AS4686 
202.231.231.96,202.231.231.111,business,JP,AS4686 
202.231.231.112,202.231.231.255,isp,JP,AS4686 
202.231.232.0,202.231.232.15,business,JP,AS4686 
202.231.232.16,202.231.232.63,isp,JP,AS4686 
202.231.232.64,202.231.232.127,business,JP,AS4686 
202.231.232.128,202.231.232.191,isp,JP,AS4686 
202.231.232.192,202.231.232.223,business,JP,AS4686 
202.231.232.224,202.231.232.255,isp,JP,AS4686 
202.231.233.0,202.231.233.63,business,JP,AS4686 
202.231.233.64,202.231.233.95,isp,JP,AS4686 
202.231.233.96,202.231.233.255,business,JP,AS4686 
202.231.234.0,202.231.234.31,isp,JP,AS4686 
202.231.234.32,202.231.234.95,business,JP,AS4686 
202.231.234.96,202.231.234.111,isp,JP,AS4686 
202.231.234.112,202.231.234.127,business,JP,AS4686 
202.231.234.128,202.231.234.143,isp,JP,AS4686 
202.231.234.144,202.231.234.183,business,JP,AS4686 
202.231.234.184,202.231.234.191,isp,JP,AS4686 
202.231.234.192,202.231.234.207,business,JP,AS4686 
202.231.234.208,202.231.234.223,isp,JP,AS4686 
202.231.234.224,202.231.234.255,business,JP,AS4686 
202.231.235.0,202.231.235.15,isp,JP,AS4686 
202.231.235.16,202.231.235.47,business,JP,AS4686 
202.231.235.48,202.231.235.63,isp,JP,AS4686 
202.231.235.64,202.231.235.159,business,JP,AS4686 
202.231.235.160,202.231.235.175,isp,JP,AS4686 
202.231.235.176,202.231.235.191,business,JP,AS4686 
202.231.235.192,202.231.235.207,isp,JP,AS4686 
202.231.235.208,202.231.235.223,business,JP,AS4686 
202.231.235.224,202.231.240.127,isp,JP,AS4686 
202.231.240.128,202.231.240.175,business,JP,AS4686 
202.231.240.176,202.231.240.191,isp,JP,AS4686 
202.231.240.192,202.231.240.255,business,JP,AS4686 
202.231.241.0,202.231.241.31,isp,JP,AS4686 
202.231.241.32,202.231.241.47,business,JP,AS4686 
202.231.241.48,202.231.241.79,isp,JP,AS4686 
202.231.241.80,202.231.241.95,business,JP,AS4686 
202.231.241.96,202.231.241.255,isp,JP,AS4686 
202.231.242.0,202.231.242.15,business,JP,AS4686 
202.231.242.16,202.231.242.79,isp,JP,AS4686 
202.231.242.80,202.231.242.95,business,JP,AS4686 
202.231.242.96,202.231.242.127,isp,JP,AS4686 
202.231.242.128,202.231.242.159,business,JP,AS4686 
202.231.242.160,202.231.242.191,isp,JP,AS4686 
202.231.242.192,202.231.242.255,business,JP,AS4686 
202.231.243.0,202.231.243.63,isp,JP,AS4686 
202.231.243.64,202.231.243.79,business,JP,AS4686 
202.231.243.80,202.231.243.143,isp,JP,AS4686 
202.231.243.144,202.231.243.159,business,JP,AS4686 
202.231.243.160,202.231.243.207,isp,JP,AS4686 
202.231.243.208,202.231.243.223,business,JP,AS4686 
202.231.243.224,202.231.243.239,education,JP,AS4686 
202.231.243.240,202.231.244.31,isp,JP,AS4686 
202.231.244.32,202.231.244.79,business,JP,AS4686 
202.231.244.80,202.231.244.95,isp,JP,AS4686 
202.231.244.96,202.231.244.159,business,JP,AS4686 
202.231.244.160,202.231.244.207,isp,JP,AS4686 
202.231.244.208,202.231.244.255,business,JP,AS4686 
202.231.245.0,202.231.245.15,isp,JP,AS4686 
202.231.245.16,202.231.245.47,business,JP,AS4686 
202.231.245.48,202.231.245.127,isp,JP,AS4686 
202.231.245.128,202.231.245.143,business,JP,AS4686 
202.231.245.144,202.231.245.223,isp,JP,AS4686 
202.231.245.224,202.231.245.255,business,JP,AS4686 
202.231.246.0,202.231.246.255,isp,JP,AS4686 
202.231.247.0,202.231.247.15,business,JP,AS4686 
202.231.247.16,202.231.247.31,isp,JP,AS4686 
202.231.247.32,202.231.247.47,business,JP,AS4686 
202.231.247.48,202.231.247.95,isp,JP,AS4686 
202.231.247.96,202.231.247.127,business,JP,AS4686 
202.231.247.128,202.231.247.159,isp,JP,AS4686 
202.231.247.160,202.231.247.175,business,JP,AS4686 
202.231.247.176,202.231.247.255,isp,JP,AS4686 
202.231.248.0,202.231.255.255,business,JP,AS4686 
