202.144.0.0,202.144.0.254,business,IN, 
202.144.148.208,202.144.148.223,isp,BT,AS17660 
202.144.148.224,202.144.148.255,business,BT,AS18024 
202.144.149.0,202.144.150.255,isp,BT,AS18024 
202.144.151.0,202.144.151.223,isp,BT,AS17660 
202.144.151.224,202.144.151.239,isp,BT,AS18024 
202.144.151.240,202.144.151.255,business,BT,AS18024 
202.144.152.0,202.144.153.47,isp,BT,AS18024 
202.144.153.48,202.144.153.95,isp,BT,AS17660 
202.144.153.96,202.144.153.127,isp,BT,AS18024 
202.144.153.128,202.144.153.239,isp,BT,AS17660 
202.144.153.240,202.144.153.255,isp,BT,AS18024 
202.144.154.0,202.144.154.15,business,BT,AS18024 
202.144.154.16,202.144.154.255,isp,BT,AS18024 
202.144.155.0,202.144.155.15,business,BT,AS18024 
202.144.155.16,202.144.155.31,isp,BT,AS18024 
202.144.155.32,202.144.155.47,business,,AS18024 
202.144.155.48,202.144.155.191,isp,BT,AS18024 
202.144.155.192,202.144.155.207,business,BT,AS18024 
202.144.155.208,202.144.155.239,isp,BT,AS18024 
202.144.155.240,202.144.155.255,business,BT,AS18024 
202.144.156.0,202.144.157.47,isp,BT,AS18024 
202.144.157.48,202.144.157.79,business,BT,AS18024 
202.144.157.80,202.144.157.95,isp,BT,AS18024 
202.144.157.96,202.144.157.111,isp,BT,AS17660 
202.144.157.112,202.144.157.127,business,BT,AS18024 
202.144.157.128,202.144.157.175,isp,BT,AS18024 
202.144.157.176,202.144.157.207,business,BT,AS18024 
202.144.157.208,202.144.157.223,education,BT,AS18024 
202.144.157.224,202.144.158.159,isp,BT,AS18024 
202.144.158.160,202.144.158.191,business,BT,AS18024 
202.144.158.192,202.144.158.207,isp,BT,AS18024 
202.144.158.208,202.144.158.223,business,BT,AS18024 
202.144.158.224,202.144.158.239,isp,BT,AS18024 
202.144.158.240,202.144.158.255,business,BT,AS18024 
202.144.159.0,202.144.159.255,isp,BT,AS18024 
202.144.160.0,202.144.175.255,isp,AU,AS38195 
202.144.176.0,202.144.183.255,isp,AU,AS38298 
202.144.184.0,202.144.191.255,isp,LA,AS9873 
202.144.192.0,202.144.194.255,hosting,JP,AS63916 
202.144.195.0,202.144.195.255,hosting,JP,AS55799 
202.144.196.0,202.144.196.255,hosting,AQ,AS31898 
202.144.197.0,202.144.197.255,isp,DE,AS31898 
202.144.198.0,202.144.199.255,isp,AQ,AS42962 
202.144.200.0,202.144.200.255,isp,BD,AS133854 
202.144.201.0,202.144.201.255,isp,BD,AS137483 
202.144.202.0,202.144.202.255,isp,BD,AS133854 
202.144.203.0,202.144.203.255,isp,BD,AS137478 
202.144.204.0,202.144.207.255,business,NZ,AS45475 
202.144.208.0,202.144.223.255,isp,TW,AS24157 
202.144.224.0,202.144.224.255,business,JP,AS15830 
202.144.225.0,202.144.235.255,hosting,JP,AS15830 
202.144.236.0,202.144.236.255,business,JP,AS15830 
202.144.237.0,202.144.237.255,hosting,JP,AS15830 
202.144.238.0,202.144.239.255,business,JP,AS15830 
202.144.240.0,202.144.240.255,hosting,JP,AS15830 
202.144.241.0,202.144.241.255,business,JP,AS15830 
202.144.242.0,202.144.246.255,hosting,JP,AS15830 
202.144.247.0,202.144.247.255,business,JP,AS15830 
202.144.248.0,202.144.255.255,isp,JP,AS15830 
