202.189.0.0,202.189.3.255,business,CN,AS4847 
202.189.244.240,202.189.244.255,isp,IN,AS134540 
202.189.245.0,202.189.245.11,isp,IN,AS17762 
202.189.245.12,202.189.245.15,business,IN,AS134540 
202.189.245.16,202.189.245.227,isp,IN,AS17762 
202.189.245.228,202.189.245.231,business,IN,AS134540 
202.189.245.232,202.189.246.15,isp,IN,AS17762 
202.189.246.16,202.189.246.23,business,IN,AS17762 
202.189.246.24,202.189.246.47,isp,IN,AS17762 
202.189.246.48,202.189.246.55,business,IN,AS17762 
202.189.246.56,202.189.246.107,isp,IN,AS17762 
202.189.246.108,202.189.246.111,business,IN,AS17762 
202.189.246.112,202.189.246.119,isp,IN,AS17762 
202.189.246.120,202.189.246.127,business,IN,AS17762 
202.189.246.128,202.189.246.131,isp,IN,AS17762 
202.189.246.132,202.189.246.135,business,IN,AS17762 
202.189.246.136,202.189.246.139,isp,IN,AS17762 
202.189.246.140,202.189.246.143,business,IN,AS17762 
202.189.246.144,202.189.246.147,isp,IN,AS17762 
202.189.246.148,202.189.246.151,business,IN,AS17762 
202.189.246.152,202.189.246.167,isp,IN,AS17762 
202.189.246.168,202.189.246.171,business,IN,AS17762 
202.189.246.172,202.189.246.183,isp,IN,AS17762 
202.189.246.184,202.189.246.187,business,IN,AS17762 
202.189.246.188,202.189.246.239,isp,IN,AS17762 
202.189.246.240,202.189.246.247,business,IN,AS17762 
202.189.246.248,202.189.247.243,isp,IN,AS17762 
202.189.247.244,202.189.247.247,isp,IN,AS134540 
202.189.247.248,202.189.248.247,isp,IN,AS17762 
202.189.248.248,202.189.248.255,business,IN,AS17762 
202.189.249.0,202.189.249.203,isp,IN,AS17762 
202.189.249.204,202.189.249.207,business,IN,AS17762 
202.189.249.208,202.189.249.223,isp,IN,AS17762 
202.189.249.224,202.189.249.231,business,IN,AS17762 
202.189.249.232,202.189.252.123,isp,IN,AS17762 
202.189.252.124,202.189.252.127,isp,IN,AS134540 
202.189.252.128,202.189.254.235,isp,IN,AS17762 
202.189.254.236,202.189.254.239,isp,IN,AS134540 
202.189.254.240,202.189.254.247,isp,IN,AS17762 
202.189.254.248,202.189.254.251,isp,IN,AS134540 
202.189.254.252,202.189.254.255,isp,IN,AS17762 
202.189.255.0,202.189.255.3,business,IN,AS17762 
202.189.255.4,202.189.255.255,isp,IN,AS17762 
