202.171.0.0,202.171.30.255,business,ID,AS10217 
202.171.159.152,202.171.159.247,business,JP,AS2514 
202.171.159.248,202.171.159.255,isp,JP,AS2514 
202.171.160.0,202.171.191.255,isp,AU,AS38195 
202.171.192.0,202.171.207.255,isp,MY, 
202.171.208.0,202.171.215.255,isp,HK,AS24334 
202.171.216.0,202.171.223.255,isp,CN, 
202.171.224.0,202.171.231.255,isp,JP,AS55900 
202.171.232.0,202.171.232.255,business,CN, 
202.171.233.0,202.171.233.255,isp,ID, 
202.171.234.0,202.171.234.255,business,US,AS10310 
202.171.235.0,202.171.235.255,isp,CN, 
202.171.236.0,202.171.236.255,isp,ID,AS9341 
202.171.237.0,202.171.237.255,business,ID, 
202.171.238.0,202.171.238.255,business,AU,AS45852 
202.171.239.0,202.171.239.255,business,IN, 
202.171.240.0,202.171.247.255,isp,PG,AS45924 
202.171.248.0,202.171.251.255,education,KR,AS23579 
202.171.252.0,202.171.255.255,isp,AU,AS4538 
