59.148.224.57,59.148.224.60,isp,HK,AS9269 
59.148.224.61,59.148.224.61,education,HK,AS9269 
59.148.224.62,59.148.224.82,isp,HK,AS9269 
59.148.224.83,59.148.224.83,business,HK,AS9269 
59.148.224.84,59.148.227.215,isp,HK,AS9269 
59.148.227.216,59.148.227.219,business,HK,AS9269 
59.148.227.220,59.148.227.228,isp,HK,AS9269 
59.148.227.229,59.148.227.229,education,HK,AS9269 
59.148.227.230,59.148.227.233,isp,HK,AS9269 
59.148.227.234,59.148.227.234,business,HK,AS9269 
59.148.227.235,59.148.227.235,isp,HK,AS9269 
59.148.227.236,59.148.227.236,business,HK,AS9269 
59.148.227.237,59.148.227.237,isp,HK,AS9269 
59.148.227.238,59.148.227.238,business,HK,AS9269 
59.148.227.239,59.148.228.31,isp,HK,AS9269 
59.148.228.32,59.148.228.47,business,HK,AS9269 
59.148.228.48,59.148.228.163,isp,HK,AS9269 
59.148.228.164,59.148.228.167,business,HK,AS9269 
59.148.228.168,59.148.228.223,isp,HK,AS9269 
59.148.228.224,59.148.228.227,business,HK,AS9269 
59.148.228.228,59.148.230.99,isp,HK,AS9269 
59.148.230.100,59.148.230.103,business,HK,AS9269 
59.148.230.104,59.148.231.247,isp,HK,AS9269 
59.148.231.248,59.148.231.251,business,HK,AS9269 
59.148.231.252,59.148.231.255,isp,HK,AS9269 
59.148.232.0,59.148.232.63,business,HK,AS9269 
59.148.232.64,59.148.236.103,isp,HK,AS9269 
59.148.236.104,59.148.236.107,business,HK,AS9269 
59.148.236.108,59.148.236.133,isp,HK,AS9269 
59.148.236.134,59.148.236.135,business,HK,AS9269 
59.148.236.136,59.148.236.155,isp,HK,AS9269 
59.148.236.156,59.148.236.156,business,HK,AS9269 
59.148.236.157,59.148.236.193,isp,HK,AS9269 
59.148.236.194,59.148.236.194,business,HK,AS9269 
59.148.236.195,59.148.237.132,isp,HK,AS9269 
59.148.237.133,59.148.237.133,business,HK,AS9269 
