69.107.0.0,69.107.63.255,hosting,US, 
69.107.220.96,69.107.220.175,isp,US,AS7018 
69.107.220.176,69.107.220.183,business,US,AS7018 
69.107.220.184,69.107.223.71,isp,US,AS7018 
69.107.223.72,69.107.223.95,business,US,AS7018 
69.107.223.96,69.107.223.103,isp,US,AS7018 
69.107.223.104,69.107.223.119,business,US,AS7018 
69.107.223.120,69.107.223.159,isp,US,AS7018 
69.107.223.160,69.107.223.167,business,US,AS7018 
69.107.223.168,69.107.223.231,isp,US,AS7018 
69.107.223.232,69.107.223.239,business,US,AS7018 
69.107.223.240,69.107.224.7,isp,US,AS7018 
69.107.224.8,69.107.224.15,business,US,AS7018 
69.107.224.16,69.107.224.79,isp,US,AS7018 
69.107.224.80,69.107.224.87,business,US,AS7018 
69.107.224.88,69.107.224.103,isp,US,AS7018 
69.107.224.104,69.107.224.111,business,US,AS7018 
69.107.224.112,69.107.224.159,isp,US,AS7018 
69.107.224.160,69.107.224.191,business,US,AS7018 
69.107.224.192,69.107.226.103,isp,US,AS7018 
69.107.226.104,69.107.226.111,business,US,AS7018 
69.107.226.112,69.107.226.119,isp,US,AS7018 
69.107.226.120,69.107.226.127,education,US,AS7018 
69.107.226.128,69.107.226.135,isp,US,AS7018 
69.107.226.136,69.107.226.143,business,US,AS7018 
69.107.226.144,69.107.226.167,isp,US,AS7018 
69.107.226.168,69.107.226.183,business,US,AS7018 
69.107.226.184,69.107.226.207,isp,US,AS7018 
69.107.226.208,69.107.226.215,business,US,AS7018 
69.107.226.216,69.107.226.255,isp,US,AS7018 
69.107.227.0,69.107.227.7,education,US,AS7018 
69.107.227.8,69.107.227.103,isp,US,AS7018 
69.107.227.104,69.107.227.111,business,US,AS7018 
69.107.227.112,69.107.227.207,isp,US,AS7018 
69.107.227.208,69.107.227.215,business,US,AS7018 
69.107.227.216,69.107.228.15,isp,US,AS7018 
69.107.228.16,69.107.228.23,business,US,AS7018 
69.107.228.24,69.107.228.71,isp,US,AS7018 
69.107.228.72,69.107.228.79,business,US,AS7018 
69.107.228.80,69.107.228.167,isp,US,AS7018 
69.107.228.168,69.107.228.175,business,US,AS7018 
69.107.228.176,69.107.228.215,isp,US,AS7018 
69.107.228.216,69.107.228.223,business,US,AS7018 
69.107.228.224,69.107.229.55,isp,US,AS7018 
69.107.229.56,69.107.229.63,business,US,AS7018 
69.107.229.64,69.107.229.71,isp,US,AS7018 
69.107.229.72,69.107.229.79,business,US,AS7018 
69.107.229.80,69.107.229.119,isp,US,AS7018 
69.107.229.120,69.107.229.127,business,US,AS7018 
69.107.229.128,69.107.229.223,isp,US,AS7018 
69.107.229.224,69.107.229.231,business,US,AS7018 
69.107.229.232,69.107.230.79,isp,US,AS7018 
69.107.230.80,69.107.230.95,business,US,AS7018 
69.107.230.96,69.107.230.159,isp,US,AS7018 
69.107.230.160,69.107.230.175,business,US,AS7018 
69.107.230.176,69.107.230.183,education,US,AS7018 
69.107.230.184,69.107.230.223,isp,US,AS7018 
69.107.230.224,69.107.230.231,business,US,AS7018 
69.107.230.232,69.107.231.63,isp,US,AS7018 
69.107.231.64,69.107.231.71,business,US,AS7018 
69.107.231.72,69.107.231.119,isp,US,AS7018 
69.107.231.120,69.107.231.135,business,US,AS7018 
69.107.231.136,69.107.232.39,isp,US,AS7018 
69.107.232.40,69.107.232.55,business,US,AS7018 
69.107.232.56,69.107.232.79,isp,US,AS7018 
69.107.232.80,69.107.232.87,business,US,AS7018 
69.107.232.88,69.107.232.103,isp,US,AS7018 
69.107.232.104,69.107.232.111,business,US,AS7018 
69.107.232.112,69.107.235.191,isp,US,AS7018 
69.107.235.192,69.107.235.255,business,US,AS7018 
69.107.236.0,69.107.239.39,isp,US,AS7018 
69.107.239.40,69.107.239.47,business,US,AS7018 
69.107.239.48,69.107.239.55,isp,US,AS7018 
69.107.239.56,69.107.239.71,business,US,AS7018 
69.107.239.72,69.107.239.79,isp,US,AS7018 
69.107.239.80,69.107.239.87,business,US,AS7018 
69.107.239.88,69.107.239.183,isp,US,AS7018 
69.107.239.184,69.107.239.191,business,US,AS7018 
69.107.239.192,69.107.239.223,isp,US,AS7018 
69.107.239.224,69.107.239.231,business,US,AS7018 
69.107.239.232,69.107.239.247,isp,US,AS7018 
69.107.239.248,69.107.239.255,business,US,AS7018 
69.107.240.0,69.107.240.95,isp,US,AS7018 
69.107.240.96,69.107.240.103,business,US,AS7018 
69.107.240.104,69.107.240.143,isp,US,AS7018 
69.107.240.144,69.107.240.159,business,US,AS7018 
69.107.240.160,69.107.241.39,isp,US,AS7018 
69.107.241.40,69.107.241.47,business,US,AS7018 
69.107.241.48,69.107.241.239,isp,US,AS7018 
69.107.241.240,69.107.241.255,business,US,AS7018 
69.107.242.0,69.107.245.135,isp,US,AS7018 
69.107.245.136,69.107.245.143,business,US,AS7018 
69.107.245.144,69.107.246.31,isp,US,AS7018 
69.107.246.32,69.107.246.39,business,US,AS7018 
69.107.246.40,69.107.246.95,isp,US,AS7018 
69.107.246.96,69.107.246.103,business,US,AS7018 
69.107.246.104,69.107.246.183,isp,US,AS7018 
69.107.246.184,69.107.246.191,business,US,AS7018 
69.107.246.192,69.107.246.207,isp,US,AS7018 
69.107.246.208,69.107.246.215,business,US,AS7018 
69.107.246.216,69.107.251.255,isp,US,AS7018 
69.107.252.0,69.107.252.15,business,US,AS7018 
69.107.252.16,69.107.252.39,isp,US,AS7018 
69.107.252.40,69.107.252.47,business,US,AS7018 
69.107.252.48,69.107.252.55,isp,US,AS7018 
69.107.252.56,69.107.252.63,business,US,AS7018 
69.107.252.64,69.107.252.79,isp,US,AS7018 
69.107.252.80,69.107.252.87,business,US,AS7018 
69.107.252.88,69.107.252.135,isp,US,AS7018 
69.107.252.136,69.107.252.143,business,US,AS7018 
69.107.252.144,69.107.252.151,isp,US,AS7018 
69.107.252.152,69.107.252.159,business,US,AS7018 
69.107.252.160,69.107.252.247,isp,US,AS7018 
69.107.252.248,69.107.252.255,business,US,AS7018 
69.107.253.0,69.107.253.103,isp,US,AS7018 
69.107.253.104,69.107.253.111,business,US,AS7018 
69.107.253.112,69.107.253.119,isp,US,AS7018 
69.107.253.120,69.107.253.143,business,US,AS7018 
69.107.253.144,69.107.253.183,isp,US,AS7018 
69.107.253.184,69.107.253.191,business,US,AS7018 
69.107.253.192,69.107.254.63,isp,US,AS7018 
69.107.254.64,69.107.254.71,business,US,AS7018 
69.107.254.72,69.107.254.79,isp,US,AS7018 
69.107.254.80,69.107.254.87,business,US,AS7018 
69.107.254.88,69.107.254.119,isp,US,AS7018 
69.107.254.120,69.107.254.135,business,US,AS7018 
69.107.254.136,69.107.254.143,isp,US,AS7018 
69.107.254.144,69.107.254.151,business,US,AS7018 
69.107.254.152,69.107.254.167,isp,US,AS7018 
69.107.254.168,69.107.254.175,business,US,AS7018 
69.107.254.176,69.107.254.255,isp,US,AS7018 
69.107.255.0,69.107.255.7,business,US,AS7018 
69.107.255.8,69.107.255.15,isp,US,AS7018 
69.107.255.16,69.107.255.23,business,US,AS7018 
69.107.255.24,69.107.255.71,isp,US,AS7018 
69.107.255.72,69.107.255.79,business,US,AS7018 
69.107.255.80,69.107.255.111,isp,US,AS7018 
69.107.255.112,69.107.255.119,business,US,AS7018 
69.107.255.120,69.107.255.151,isp,US,AS7018 
69.107.255.152,69.107.255.159,business,US,AS7018 
69.107.255.160,69.107.255.207,isp,US,AS7018 
69.107.255.208,69.107.255.223,business,US,AS7018 
69.107.255.224,69.107.255.231,isp,US,AS7018 
69.107.255.232,69.107.255.239,business,US,AS7018 
69.107.255.240,69.108.4.223,isp,US,AS7018 
