79.173.0.0,79.173.63.255,business,PL,AS39834 
79.173.144.136,79.173.144.191,business,GB,AS5631 
79.173.144.192,79.173.144.199,business,DE,AS5631 
79.173.144.200,79.173.144.215,business,IE,AS5631 
79.173.144.216,79.173.144.223,business,DE,AS5631 
79.173.144.224,79.173.145.91,business,GB,AS5631 
79.173.145.92,79.173.145.95,isp,GB,AS5631 
79.173.145.96,79.173.145.155,business,GB,AS5631 
79.173.145.156,79.173.145.159,isp,GB,AS5631 
79.173.145.160,79.173.146.47,business,GB,AS5631 
79.173.146.48,79.173.146.55,isp,GB,AS5631 
79.173.146.56,79.173.146.167,business,GB,AS5631 
79.173.146.168,79.173.146.175,business,DE,AS5631 
79.173.146.176,79.173.146.199,business,GB,AS5631 
79.173.146.200,79.173.146.207,isp,GB,AS5631 
79.173.146.208,79.173.147.15,business,GB,AS5631 
79.173.147.16,79.173.147.31,isp,GB,AS5631 
79.173.147.32,79.173.148.127,business,GB,AS5631 
79.173.148.128,79.173.148.135,business,DE,AS5631 
79.173.148.136,79.173.148.143,business,GB,AS5631 
79.173.148.144,79.173.148.151,business,DE,AS5631 
79.173.148.152,79.173.148.159,isp,GB,AS5631 
79.173.148.160,79.173.149.7,business,GB,AS5631 
79.173.149.8,79.173.149.15,isp,GB,AS5631 
79.173.149.16,79.173.150.255,business,GB,AS5631 
79.173.151.0,79.173.151.7,business,DE,AS5631 
79.173.151.8,79.173.151.63,business,GB,AS5631 
79.173.151.64,79.173.151.71,business,DE,AS5631 
79.173.151.72,79.173.151.119,business,GB,AS5631 
79.173.151.120,79.173.151.127,business,DE,AS5631 
79.173.151.128,79.173.151.151,business,GB,AS5631 
79.173.151.152,79.173.151.159,business,DE,AS5631 
79.173.151.160,79.173.151.167,isp,GB,AS5631 
79.173.151.168,79.173.152.127,business,GB,AS5631 
79.173.152.128,79.173.152.191,business,DE,AS5631 
79.173.152.192,79.173.153.239,business,GB,AS5631 
79.173.153.240,79.173.153.255,business,DE,AS5631 
79.173.154.0,79.173.155.159,business,GB,AS5631 
79.173.155.160,79.173.155.191,isp,GB,AS5631 
79.173.155.192,79.173.156.247,business,GB,AS5631 
79.173.156.248,79.173.156.255,business,IE,AS5631 
79.173.157.0,79.173.157.255,business,GB,AS5631 
79.173.158.0,79.173.158.31,business,DE,AS5631 
79.173.158.32,79.173.159.79,business,GB,AS5631 
79.173.159.80,79.173.159.95,isp,GB,AS5631 
79.173.159.96,79.173.159.175,business,GB,AS5631 
79.173.159.176,79.173.159.191,business,DE,AS5631 
79.173.159.192,79.173.160.39,business,GB,AS5631 
79.173.160.40,79.173.160.55,isp,GB,AS5631 
79.173.160.56,79.173.160.62,business,GB,AS5631 
79.173.160.63,79.173.160.63,isp,GB,AS5631 
79.173.160.64,79.173.160.79,business,GB,AS5631 
79.173.160.80,79.173.160.87,isp,GB,AS5631 
79.173.160.88,79.173.161.63,business,GB,AS5631 
79.173.161.64,79.173.161.79,isp,GB,AS5631 
79.173.161.80,79.173.161.111,business,GB,AS5631 
79.173.161.112,79.173.161.119,isp,GB,AS5631 
79.173.161.120,79.173.161.151,business,GB,AS5631 
79.173.161.152,79.173.161.159,isp,GB,AS5631 
79.173.161.160,79.173.161.167,business,GB,AS5631 
79.173.161.168,79.173.161.183,isp,GB,AS5631 
79.173.161.184,79.173.161.199,business,GB,AS5631 
79.173.161.200,79.173.161.207,isp,GB,AS5631 
79.173.161.208,79.173.161.223,business,GB,AS5631 
79.173.161.224,79.173.161.239,isp,GB,AS5631 
79.173.161.240,79.173.162.136,business,GB,AS5631 
79.173.162.137,79.173.162.143,isp,GB,AS5631 
79.173.162.144,79.173.162.176,business,GB,AS5631 
79.173.162.177,79.173.162.183,isp,GB,AS5631 
79.173.162.184,79.173.162.233,business,GB,AS5631 
79.173.162.234,79.173.162.239,isp,GB,AS5631 
79.173.162.240,79.173.163.31,business,GB,AS5631 
79.173.163.32,79.173.163.47,isp,GB,AS5631 
79.173.163.48,79.173.163.248,business,GB,AS5631 
79.173.163.249,79.173.163.255,isp,GB,AS5631 
79.173.164.0,79.173.164.4,business,GB,AS5631 
79.173.164.5,79.173.164.7,isp,GB,AS5631 
79.173.164.8,79.173.164.19,business,GB,AS5631 
79.173.164.20,79.173.164.47,isp,GB,AS5631 
79.173.164.48,79.173.165.22,business,GB,AS5631 
79.173.165.23,79.173.165.23,isp,GB,AS5631 
79.173.165.24,79.173.165.237,business,GB,AS5631 
79.173.165.238,79.173.165.239,isp,GB,AS5631 
79.173.165.240,79.173.165.255,business,GB,AS5631 
79.173.166.0,79.173.168.47,isp,GB,AS5631 
79.173.168.48,79.173.168.63,business,DE,AS5631 
79.173.168.64,79.173.168.255,isp,GB,AS5631 
79.173.169.0,79.173.171.31,business,GB,AS5631 
79.173.171.32,79.173.171.63,business,NO,AS5631 
79.173.171.64,79.173.171.127,business,GB,AS5631 
79.173.171.128,79.173.171.159,business,IE,AS5631 
79.173.171.160,79.173.171.191,business,DE,AS5631 
79.173.171.192,79.173.171.223,business,GB,AS5631 
79.173.171.224,79.173.171.255,business,IE,AS5631 
79.173.172.0,79.173.172.223,isp,GB,AS5631 
79.173.172.224,79.173.172.255,isp,DE,AS5631 
79.173.173.0,79.173.174.255,business,GB,AS5631 
79.173.175.0,79.173.175.79,isp,GB,AS5631 
79.173.175.80,79.173.175.83,isp,NO,AS5631 
79.173.175.84,79.173.176.159,isp,GB,AS5631 
79.173.176.160,79.173.176.163,business,GB,AS5631 
79.173.176.164,79.173.176.167,isp,GB,AS5631 
79.173.176.168,79.173.176.183,business,GB,AS5631 
79.173.176.184,79.173.176.187,isp,GB,AS5631 
79.173.176.188,79.173.176.191,business,GB,AS5631 
79.173.176.192,79.173.176.195,isp,GB,AS5631 
79.173.176.196,79.173.177.23,business,GB,AS5631 
79.173.177.24,79.173.177.255,isp,GB,AS5631 
79.173.178.0,79.173.178.3,business,GB,AS5631 
79.173.178.4,79.173.178.255,isp,GB,AS5631 
79.173.179.0,79.173.179.78,business,GB,AS5631 
79.173.179.79,79.173.179.79,isp,GB,AS5631 
79.173.179.80,79.173.179.83,business,GB,AS5631 
79.173.179.84,79.173.179.255,isp,GB,AS5631 
79.173.180.0,79.173.180.7,business,GB,AS5631 
79.173.180.8,79.173.180.11,isp,GB,AS5631 
79.173.180.12,79.173.180.47,business,GB,AS5631 
79.173.180.48,79.173.180.51,isp,GB,AS5631 
79.173.180.52,79.173.180.75,business,GB,AS5631 
79.173.180.76,79.173.180.255,isp,GB,AS5631 
79.173.181.0,79.173.181.87,business,GB,AS5631 
79.173.181.88,79.173.181.255,isp,GB,AS5631 
79.173.182.0,79.173.185.235,business,GB,AS5631 
79.173.185.236,79.173.185.236,isp,GB,AS5631 
79.173.185.237,79.173.185.240,business,GB,AS5631 
79.173.185.241,79.173.185.243,isp,GB,AS5631 
79.173.185.244,79.173.185.255,business,GB,AS5631 
79.173.186.0,79.173.186.79,isp,GB,AS5631 
79.173.186.80,79.173.186.139,business,GB,AS5631 
79.173.186.140,79.173.186.140,isp,GB,AS5631 
79.173.186.141,79.173.186.144,business,GB,AS5631 
79.173.186.145,79.173.186.147,isp,GB,AS5631 
79.173.186.148,79.173.186.251,business,GB,AS5631 
79.173.186.252,79.173.186.255,isp,GB,AS5631 
79.173.187.0,79.173.187.63,business,GB,AS5631 
79.173.187.64,79.173.187.95,business,DE,AS5631 
79.173.187.96,79.173.188.63,business,GB,AS5631 
79.173.188.64,79.173.188.95,isp,GB,AS5631 
79.173.188.96,79.173.188.127,business,GB,AS5631 
79.173.188.128,79.173.188.159,business,DE,AS5631 
79.173.188.160,79.173.188.223,business,GB,AS5631 
79.173.188.224,79.173.188.255,isp,GB,AS5631 
79.173.189.0,79.173.189.159,business,GB,AS5631 
79.173.189.160,79.173.189.191,business,DE,AS5631 
79.173.189.192,79.173.191.255,business,GB,AS5631 
79.173.192.0,79.173.255.255,isp,JO,AS8376 
