79.134.0.0,79.134.31.255,business,RU,AS8427 
79.134.196.36,79.134.196.63,isp,RU,AS8492 
79.134.196.64,79.134.196.67,business,RU,AS8492 
79.134.196.68,79.134.196.71,isp,RU,AS8492 
79.134.196.72,79.134.196.75,business,RU,AS8492 
79.134.196.76,79.134.196.103,isp,RU,AS8492 
79.134.196.104,79.134.196.107,business,RU,AS8492 
79.134.196.108,79.134.196.115,isp,RU,AS8492 
79.134.196.116,79.134.196.119,business,RU,AS8492 
79.134.196.120,79.134.196.171,isp,RU,AS8492 
79.134.196.172,79.134.196.175,business,RU,AS8492 
79.134.196.176,79.134.197.15,isp,RU,AS8492 
79.134.197.16,79.134.197.23,business,RU,AS8492 
79.134.197.24,79.134.197.119,isp,RU,AS8492 
79.134.197.120,79.134.197.123,business,RU,AS8492 
79.134.197.124,79.134.197.147,isp,RU,AS8492 
79.134.197.148,79.134.197.151,business,RU,AS8492 
79.134.197.152,79.134.197.187,isp,RU,AS8492 
79.134.197.188,79.134.197.191,business,RU,AS8492 
79.134.197.192,79.134.197.227,isp,RU,AS8492 
79.134.197.228,79.134.197.231,business,RU,AS8492 
79.134.197.232,79.134.200.39,isp,RU,AS8492 
79.134.200.40,79.134.200.43,business,RU,AS8492 
79.134.200.44,79.134.200.107,isp,RU,AS8492 
79.134.200.108,79.134.200.111,business,RU,AS8492 
79.134.200.112,79.134.200.227,isp,RU,AS8492 
79.134.200.228,79.134.200.231,business,RU,AS8492 
79.134.200.232,79.134.201.159,isp,RU,AS8492 
79.134.201.160,79.134.201.163,business,RU,AS8492 
79.134.201.164,79.134.201.223,isp,RU,AS8492 
79.134.201.224,79.134.201.227,business,RU,AS8492 
79.134.201.228,79.134.202.3,isp,RU,AS8492 
79.134.202.4,79.134.202.7,business,RU,AS8492 
79.134.202.8,79.134.202.27,isp,RU,AS8492 
79.134.202.28,79.134.202.31,business,RU,AS8492 
79.134.202.32,79.134.202.115,isp,RU,AS8492 
79.134.202.116,79.134.202.119,business,RU,AS8492 
79.134.202.120,79.134.202.139,isp,RU,AS8492 
79.134.202.140,79.134.202.143,business,RU,AS8492 
79.134.202.144,79.134.202.187,isp,RU,AS8492 
79.134.202.188,79.134.202.191,business,RU,AS8492 
79.134.202.192,79.134.202.211,isp,RU,AS8492 
79.134.202.212,79.134.202.215,business,RU,AS8492 
79.134.202.216,79.134.202.231,isp,RU,AS8492 
79.134.202.232,79.134.202.239,business,RU,AS8492 
79.134.202.240,79.134.202.243,isp,RU,AS8492 
79.134.202.244,79.134.202.247,business,RU,AS8492 
79.134.202.248,79.134.202.255,isp,RU,AS8492 
79.134.203.0,79.134.203.3,business,RU,AS8492 
79.134.203.4,79.134.203.15,isp,RU,AS8492 
79.134.203.16,79.134.203.19,business,RU,AS8492 
79.134.203.20,79.134.203.79,isp,RU,AS8492 
79.134.203.80,79.134.203.83,business,RU,AS8492 
79.134.203.84,79.134.203.87,isp,RU,AS8492 
79.134.203.88,79.134.203.91,business,RU,AS8492 
79.134.203.92,79.134.203.99,isp,RU,AS8492 
79.134.203.100,79.134.203.103,business,RU,AS8492 
79.134.203.104,79.134.203.107,isp,RU,AS8492 
79.134.203.108,79.134.203.111,business,RU,AS8492 
79.134.203.112,79.134.203.135,isp,RU,AS8492 
79.134.203.136,79.134.203.143,business,RU,AS8492 
79.134.203.144,79.134.203.175,isp,RU,AS8492 
79.134.203.176,79.134.203.183,business,RU,AS8492 
79.134.203.184,79.134.203.191,isp,RU,AS8492 
79.134.203.192,79.134.203.195,business,RU,AS8492 
79.134.203.196,79.134.203.231,isp,RU,AS8492 
79.134.203.232,79.134.203.235,business,RU,AS8492 
79.134.203.236,79.134.204.43,isp,RU,AS8492 
79.134.204.44,79.134.204.47,business,RU,AS8492 
79.134.204.48,79.134.204.103,isp,RU,AS8492 
79.134.204.104,79.134.204.111,business,RU,AS8492 
79.134.204.112,79.134.204.227,isp,RU,AS8492 
79.134.204.228,79.134.204.231,business,RU,AS8492 
79.134.204.232,79.134.204.247,isp,RU,AS8492 
79.134.204.248,79.134.204.255,business,RU,AS8492 
79.134.205.0,79.134.205.15,isp,RU,AS8492 
79.134.205.16,79.134.205.19,business,RU,AS8492 
79.134.205.20,79.134.205.47,isp,RU,AS8492 
79.134.205.48,79.134.205.51,business,RU,AS8492 
79.134.205.52,79.134.205.55,isp,RU,AS8492 
79.134.205.56,79.134.205.59,business,RU,AS8492 
79.134.205.60,79.134.205.91,isp,RU,AS8492 
79.134.205.92,79.134.205.107,business,RU,AS8492 
79.134.205.108,79.134.205.215,isp,RU,AS8492 
79.134.205.216,79.134.205.227,business,RU,AS8492 
79.134.205.228,79.134.206.3,isp,RU,AS8492 
79.134.206.4,79.134.206.15,business,RU,AS8492 
79.134.206.16,79.134.206.23,isp,RU,AS8492 
79.134.206.24,79.134.206.27,business,RU,AS8492 
79.134.206.28,79.134.206.47,isp,RU,AS8492 
79.134.206.48,79.134.206.51,business,RU,AS8492 
79.134.206.52,79.134.207.7,isp,RU,AS8492 
79.134.207.8,79.134.207.11,business,RU,AS8492 
79.134.207.12,79.134.207.103,isp,RU,AS8492 
79.134.207.104,79.134.207.115,business,RU,AS8492 
79.134.207.116,79.134.207.139,isp,RU,AS8492 
79.134.207.140,79.134.207.147,business,RU,AS8492 
79.134.207.148,79.134.208.7,isp,RU,AS8492 
79.134.208.8,79.134.208.11,business,RU,AS8492 
79.134.208.12,79.134.208.31,isp,RU,AS8492 
79.134.208.32,79.134.208.35,business,RU,AS8492 
79.134.208.36,79.134.208.95,isp,RU,AS8492 
79.134.208.96,79.134.208.99,business,RU,AS8492 
79.134.208.100,79.134.208.167,isp,RU,AS8492 
79.134.208.168,79.134.208.175,business,RU,AS8492 
79.134.208.176,79.134.208.179,isp,RU,AS8492 
79.134.208.180,79.134.208.183,business,RU,AS8492 
79.134.208.184,79.134.209.67,isp,RU,AS8492 
79.134.209.68,79.134.209.71,business,RU,AS8492 
79.134.209.72,79.134.209.115,isp,RU,AS8492 
79.134.209.116,79.134.209.119,business,RU,AS8492 
79.134.209.120,79.134.209.123,isp,RU,AS8492 
79.134.209.124,79.134.209.127,business,RU,AS8492 
79.134.209.128,79.134.209.147,isp,RU,AS8492 
79.134.209.148,79.134.209.151,business,RU,AS8492 
79.134.209.152,79.134.209.239,isp,RU,AS8492 
79.134.209.240,79.134.209.247,business,RU,AS8492 
79.134.209.248,79.134.209.255,isp,RU,AS8492 
79.134.210.0,79.134.210.7,business,RU,AS8492 
79.134.210.8,79.134.210.67,isp,RU,AS8492 
79.134.210.68,79.134.210.79,business,RU,AS8492 
79.134.210.80,79.134.210.203,isp,RU,AS8492 
79.134.210.204,79.134.210.223,business,RU,AS8492 
79.134.210.224,79.134.211.103,isp,RU,AS8492 
79.134.211.104,79.134.211.107,business,RU,AS8492 
79.134.211.108,79.134.211.147,isp,RU,AS8492 
79.134.211.148,79.134.211.151,business,RU,AS8492 
79.134.211.152,79.134.211.195,isp,RU,AS8492 
79.134.211.196,79.134.211.199,business,RU,AS8492 
79.134.211.200,79.134.211.243,isp,RU,AS8492 
79.134.211.244,79.134.211.247,business,RU,AS8492 
79.134.211.248,79.134.212.67,isp,RU,AS8492 
79.134.212.68,79.134.212.71,business,RU,AS8492 
79.134.212.72,79.134.212.79,isp,RU,AS8492 
79.134.212.80,79.134.212.83,business,RU,AS8492 
79.134.212.84,79.134.212.139,isp,RU,AS8492 
79.134.212.140,79.134.212.143,business,RU,AS8492 
79.134.212.144,79.134.212.219,isp,RU,AS8492 
79.134.212.220,79.134.212.223,business,RU,AS8492 
79.134.212.224,79.134.213.7,isp,RU,AS8492 
79.134.213.8,79.134.213.15,business,RU,AS8492 
79.134.213.16,79.134.213.55,isp,RU,AS8492 
79.134.213.56,79.134.213.59,business,RU,AS8492 
79.134.213.60,79.134.213.63,isp,RU,AS8492 
79.134.213.64,79.134.213.67,business,RU,AS8492 
79.134.213.68,79.134.213.111,isp,RU,AS8492 
79.134.213.112,79.134.213.115,business,RU,AS8492 
79.134.213.116,79.134.213.143,isp,RU,AS8492 
79.134.213.144,79.134.213.151,business,RU,AS8492 
79.134.213.152,79.134.213.203,isp,RU,AS8492 
79.134.213.204,79.134.213.207,business,RU,AS8492 
79.134.213.208,79.134.213.211,isp,RU,AS8492 
79.134.213.212,79.134.213.215,business,RU,AS8492 
79.134.213.216,79.134.213.227,isp,RU,AS8492 
79.134.213.228,79.134.213.231,business,RU,AS8492 
79.134.213.232,79.134.214.175,isp,RU,AS8492 
79.134.214.176,79.134.214.183,business,RU,AS8492 
79.134.214.184,79.134.214.187,isp,RU,AS8492 
79.134.214.188,79.134.214.191,business,RU,AS8492 
79.134.214.192,79.134.215.143,isp,RU,AS8492 
79.134.215.144,79.134.215.147,business,RU,AS8492 
79.134.215.148,79.134.215.163,isp,RU,AS8492 
79.134.215.164,79.134.215.167,business,RU,AS8492 
79.134.215.168,79.134.215.223,isp,RU,AS8492 
79.134.215.224,79.134.215.231,business,RU,AS8492 
79.134.215.232,79.134.215.247,isp,RU,AS8492 
79.134.215.248,79.134.215.251,business,RU,AS8492 
79.134.215.252,79.134.216.127,isp,RU,AS8492 
79.134.216.128,79.134.216.135,business,RU,AS8492 
79.134.216.136,79.134.216.167,isp,RU,AS8492 
79.134.216.168,79.134.216.171,business,RU,AS8492 
79.134.216.172,79.134.216.219,isp,RU,AS8492 
79.134.216.220,79.134.216.223,business,RU,AS8492 
79.134.216.224,79.134.217.11,isp,RU,AS8492 
79.134.217.12,79.134.217.19,business,RU,AS8492 
79.134.217.20,79.134.217.39,isp,RU,AS8492 
79.134.217.40,79.134.217.47,business,RU,AS8492 
79.134.217.48,79.134.217.71,isp,RU,AS8492 
79.134.217.72,79.134.217.75,business,RU,AS8492 
79.134.217.76,79.134.217.91,isp,RU,AS8492 
79.134.217.92,79.134.217.95,business,RU,AS8492 
79.134.217.96,79.134.217.99,isp,RU,AS8492 
79.134.217.100,79.134.217.103,business,RU,AS8492 
79.134.217.104,79.134.217.135,isp,RU,AS8492 
79.134.217.136,79.134.217.139,business,RU,AS8492 
79.134.217.140,79.134.217.219,isp,RU,AS8492 
79.134.217.220,79.134.217.223,business,RU,AS8492 
79.134.217.224,79.134.218.59,isp,RU,AS8492 
79.134.218.60,79.134.218.63,business,RU,AS8492 
79.134.218.64,79.134.218.215,isp,RU,AS8492 
79.134.218.216,79.134.218.219,business,RU,AS8492 
79.134.218.220,79.134.218.243,isp,RU,AS8492 
79.134.218.244,79.134.218.247,business,RU,AS8492 
79.134.218.248,79.134.219.15,isp,RU,AS8492 
79.134.219.16,79.134.219.19,business,RU,AS8492 
79.134.219.20,79.134.219.39,isp,RU,AS8492 
79.134.219.40,79.134.219.51,business,RU,AS8492 
79.134.219.52,79.134.219.55,isp,RU,AS8492 
79.134.219.56,79.134.219.71,business,RU,AS8492 
79.134.219.72,79.134.219.75,isp,RU,AS8492 
79.134.219.76,79.134.219.79,business,RU,AS8492 
79.134.219.80,79.134.219.87,isp,RU,AS8492 
79.134.219.88,79.134.219.91,business,RU,AS8492 
79.134.219.92,79.134.219.151,isp,RU,AS8492 
79.134.219.152,79.134.219.155,business,RU,AS8492 
79.134.219.156,79.134.219.199,isp,RU,AS8492 
79.134.219.200,79.134.219.203,business,RU,AS8492 
79.134.219.204,79.134.219.219,isp,RU,AS8492 
79.134.219.220,79.134.219.223,business,RU,AS8492 
79.134.219.224,79.134.219.235,isp,RU,AS8492 
79.134.219.236,79.134.219.239,business,RU,AS8492 
79.134.219.240,79.134.219.243,isp,RU,AS8492 
79.134.219.244,79.134.219.247,business,RU,AS8492 
79.134.219.248,79.134.220.55,isp,RU,AS8492 
79.134.220.56,79.134.220.59,business,RU,AS8492 
79.134.220.60,79.134.220.79,isp,RU,AS8492 
79.134.220.80,79.134.220.83,business,RU,AS8492 
79.134.220.84,79.134.220.135,isp,RU,AS8492 
79.134.220.136,79.134.220.139,business,RU,AS8492 
79.134.220.140,79.134.220.171,isp,RU,AS8492 
79.134.220.172,79.134.220.175,business,RU,AS8492 
79.134.220.176,79.134.220.179,isp,RU,AS8492 
79.134.220.180,79.134.220.183,business,RU,AS8492 
79.134.220.184,79.134.221.75,isp,RU,AS8492 
79.134.221.76,79.134.221.79,business,RU,AS8492 
79.134.221.80,79.134.221.163,isp,RU,AS8492 
79.134.221.164,79.134.221.167,business,RU,AS8492 
79.134.221.168,79.134.221.183,isp,RU,AS8492 
79.134.221.184,79.134.221.187,business,RU,AS8492 
79.134.221.188,79.134.223.255,isp,RU,AS8492 
79.134.224.0,79.134.224.255,business,IS,AS6775 
79.134.225.0,79.134.225.127,business,CH,AS6775 
79.134.225.128,79.134.225.255,isp,CH,AS6775 
79.134.226.0,79.134.226.19,isp,,AS6775 
79.134.226.20,79.134.226.23,isp,SL,AS6775 
79.134.226.24,79.134.226.51,isp,CH,AS6775 
79.134.226.52,79.134.226.59,isp,,AS6775 
79.134.226.60,79.134.226.63,isp,CH,AS6775 
79.134.226.64,79.134.226.71,isp,,AS6775 
79.134.226.72,79.134.226.255,isp,CH,AS6775 
79.134.227.0,79.134.227.255,business,IS,AS6775 
79.134.228.0,79.134.232.255,isp,CH,AS6775 
79.134.233.0,79.134.233.127,isp,GB,AS6775 
79.134.233.128,79.134.236.255,isp,CH,AS6775 
79.134.237.0,79.134.237.255,isp,,AS6775 
79.134.238.0,79.134.238.255,isp,CH,AS6775 
79.134.239.0,79.134.239.255,isp,PT,AS6775 
79.134.240.0,79.134.241.255,isp,CH,AS6775 
79.134.242.0,79.134.242.255,isp,CH,AS44432 
79.134.243.0,79.134.253.255,isp,CH,AS6775 
79.134.254.0,79.134.255.255,isp,TR,AS6775 
