141.0.204.180,141.0.204.187,business,FR,AS39405 
141.0.204.188,141.0.204.207,hosting,FR,AS39405 
141.0.204.208,141.0.204.211,isp,FR,AS39405 
141.0.204.212,141.0.204.215,hosting,FR,AS39405 
141.0.204.216,141.0.204.223,business,FR,AS39405 
141.0.204.224,141.0.204.231,hosting,FR,AS39405 
141.0.204.232,141.0.204.239,business,FR,AS39405 
141.0.204.240,141.0.204.247,hosting,FR,AS39405 
141.0.204.248,141.0.204.255,business,FR,AS39405 
141.0.205.0,141.0.207.7,hosting,FR,AS39405 
141.0.207.8,141.0.207.15,business,FR,AS39405 
141.0.207.16,141.0.207.39,hosting,FR,AS39405 
141.0.207.40,141.0.207.55,business,FR,AS39405 
141.0.207.56,141.0.207.79,hosting,FR,AS39405 
141.0.207.80,141.0.207.87,business,FR,AS39405 
141.0.207.88,141.0.207.95,hosting,FR,AS39405 
141.0.207.96,141.0.207.103,business,FR,AS39405 
141.0.207.104,141.0.207.135,hosting,FR,AS39405 
141.0.207.136,141.0.207.139,business,FR,AS39405 
141.0.207.140,141.0.207.159,hosting,FR,AS39405 
141.0.207.160,141.0.207.191,isp,FR,AS39405 
141.0.207.192,141.0.207.255,hosting,FR,AS39405 
141.0.208.0,141.0.208.31,business,GB,AS21396 
141.0.208.32,141.0.208.47,hosting,GB,AS21396 
141.0.208.48,141.0.208.51,business,GB,AS21396 
141.0.208.52,141.0.208.67,hosting,GB,AS21396 
141.0.208.68,141.0.208.75,business,GB,AS21396 
141.0.208.76,141.0.208.79,hosting,GB,AS21396 
141.0.208.80,141.0.208.87,isp,GB,AS21396 
141.0.208.88,141.0.208.111,business,GB,AS21396 
141.0.208.112,141.0.208.143,hosting,GB,AS21396 
141.0.208.144,141.0.208.151,business,GB,AS21396 
141.0.208.152,141.0.208.175,hosting,GB,AS21396 
141.0.208.176,141.0.208.191,business,GB,AS21396 
141.0.208.192,141.0.208.255,hosting,GB,AS21396 
141.0.209.0,141.0.209.7,business,GB,AS21396 
141.0.209.8,141.0.209.19,hosting,GB,AS21396 
141.0.209.20,141.0.209.23,business,GB,AS21396 
141.0.209.24,141.0.209.31,hosting,GB,AS21396 
141.0.209.32,141.0.209.39,business,GB,AS21396 
141.0.209.40,141.0.222.255,hosting,GB,AS21396 
141.0.223.0,141.0.223.15,business,GB,AS21396 
141.0.223.16,141.0.223.255,hosting,GB,AS21396 
141.0.224.0,141.0.255.255,isp,NO,AS29695 
