84.240.0.0,84.240.63.255,isp,LT,AS21211 
84.240.224.140,84.240.224.151,isp,KZ,AS9198 
84.240.224.152,84.240.224.155,business,KZ,AS9198 
84.240.224.156,84.240.224.159,isp,KZ,AS9198 
84.240.224.160,84.240.224.171,business,KZ,AS9198 
84.240.224.172,84.240.224.175,isp,KZ,AS9198 
84.240.224.176,84.240.224.179,business,KZ,AS9198 
84.240.224.180,84.240.224.191,isp,KZ,AS9198 
84.240.224.192,84.240.224.195,business,KZ,AS9198 
84.240.224.196,84.240.224.207,isp,KZ,AS9198 
84.240.224.208,84.240.224.211,business,KZ,AS9198 
84.240.224.212,84.240.225.203,isp,KZ,AS9198 
84.240.225.204,84.240.225.207,business,KZ,AS9198 
84.240.225.208,84.240.226.47,isp,KZ,AS9198 
84.240.226.48,84.240.226.51,business,KZ,AS9198 
84.240.226.52,84.240.226.95,isp,KZ,AS9198 
84.240.226.96,84.240.226.103,business,KZ,AS9198 
84.240.226.104,84.240.226.163,isp,KZ,AS9198 
84.240.226.164,84.240.226.167,business,KZ,AS9198 
84.240.226.168,84.240.227.11,isp,KZ,AS9198 
84.240.227.12,84.240.227.15,business,KZ,AS9198 
84.240.227.16,84.240.227.31,isp,KZ,AS9198 
84.240.227.32,84.240.227.63,business,KZ,AS9198 
84.240.227.64,84.240.227.115,isp,KZ,AS9198 
84.240.227.116,84.240.227.119,business,KZ,AS9198 
84.240.227.120,84.240.227.255,isp,KZ,AS9198 
84.240.228.0,84.240.228.7,business,KZ,AS9198 
84.240.228.8,84.240.228.15,isp,KZ,AS9198 
84.240.228.16,84.240.228.19,business,KZ,AS9198 
84.240.228.20,84.240.228.27,isp,KZ,AS9198 
84.240.228.28,84.240.228.31,business,KZ,AS9198 
84.240.228.32,84.240.228.43,isp,KZ,AS9198 
84.240.228.44,84.240.228.47,business,KZ,AS9198 
84.240.228.48,84.240.228.67,isp,KZ,AS9198 
84.240.228.68,84.240.228.71,business,KZ,AS9198 
84.240.228.72,84.240.228.83,isp,KZ,AS9198 
84.240.228.84,84.240.228.87,business,KZ,AS9198 
84.240.228.88,84.240.228.99,isp,KZ,AS9198 
84.240.228.100,84.240.228.119,business,KZ,AS9198 
84.240.228.120,84.240.228.231,isp,KZ,AS9198 
84.240.228.232,84.240.228.247,business,KZ,AS9198 
84.240.228.248,84.240.228.255,isp,KZ,AS9198 
84.240.229.0,84.240.229.3,business,KZ,AS9198 
84.240.229.4,84.240.229.7,isp,KZ,AS9198 
84.240.229.8,84.240.229.11,business,KZ,AS9198 
84.240.229.12,84.240.229.23,isp,KZ,AS9198 
84.240.229.24,84.240.229.43,business,KZ,AS9198 
84.240.229.44,84.240.229.51,isp,KZ,AS9198 
84.240.229.52,84.240.229.67,business,KZ,AS9198 
84.240.229.68,84.240.229.71,isp,KZ,AS9198 
84.240.229.72,84.240.229.87,business,KZ,AS9198 
84.240.229.88,84.240.229.91,isp,KZ,AS9198 
84.240.229.92,84.240.229.127,business,KZ,AS9198 
84.240.229.128,84.240.229.131,isp,KZ,AS9198 
84.240.229.132,84.240.229.163,business,KZ,AS9198 
84.240.229.164,84.240.229.171,isp,KZ,AS9198 
84.240.229.172,84.240.229.175,business,KZ,AS9198 
84.240.229.176,84.240.229.187,isp,KZ,AS9198 
84.240.229.188,84.240.229.207,business,KZ,AS9198 
84.240.229.208,84.240.229.231,isp,KZ,AS9198 
84.240.229.232,84.240.229.235,business,KZ,AS9198 
84.240.229.236,84.240.229.239,isp,KZ,AS9198 
84.240.229.240,84.240.229.255,business,KZ,AS9198 
84.240.230.0,84.240.230.23,isp,KZ,AS9198 
84.240.230.24,84.240.230.27,business,KZ,AS9198 
84.240.230.28,84.240.230.51,isp,KZ,AS9198 
84.240.230.52,84.240.230.55,business,KZ,AS9198 
84.240.230.56,84.240.230.99,isp,KZ,AS9198 
84.240.230.100,84.240.230.103,business,KZ,AS9198 
84.240.230.104,84.240.230.107,isp,KZ,AS9198 
84.240.230.108,84.240.230.111,business,KZ,AS9198 
84.240.230.112,84.240.230.119,isp,KZ,AS9198 
84.240.230.120,84.240.230.127,business,KZ,AS9198 
84.240.230.128,84.240.230.139,isp,KZ,AS9198 
84.240.230.140,84.240.230.167,business,KZ,AS9198 
84.240.230.168,84.240.230.183,isp,KZ,AS9198 
84.240.230.184,84.240.230.187,business,KZ,AS9198 
84.240.230.188,84.240.230.203,isp,KZ,AS9198 
84.240.230.204,84.240.230.207,business,KZ,AS9198 
84.240.230.208,84.240.230.215,isp,KZ,AS9198 
84.240.230.216,84.240.230.219,business,KZ,AS9198 
84.240.230.220,84.240.230.231,isp,KZ,AS9198 
84.240.230.232,84.240.230.235,business,KZ,AS9198 
84.240.230.236,84.240.230.239,isp,KZ,AS9198 
84.240.230.240,84.240.230.243,business,KZ,AS9198 
84.240.230.244,84.240.230.247,isp,KZ,AS9198 
84.240.230.248,84.240.230.255,business,KZ,AS9198 
84.240.231.0,84.240.232.19,isp,KZ,AS9198 
84.240.232.20,84.240.232.23,business,KZ,AS9198 
84.240.232.24,84.240.232.139,isp,KZ,AS9198 
84.240.232.140,84.240.232.143,business,KZ,AS9198 
84.240.232.144,84.240.233.35,isp,KZ,AS9198 
84.240.233.36,84.240.233.39,business,KZ,AS9198 
84.240.233.40,84.240.233.59,isp,KZ,AS9198 
84.240.233.60,84.240.233.63,business,KZ,AS9198 
84.240.233.64,84.240.233.71,isp,KZ,AS9198 
84.240.233.72,84.240.233.75,business,KZ,AS9198 
84.240.233.76,84.240.233.207,isp,KZ,AS9198 
84.240.233.208,84.240.233.215,business,KZ,AS9198 
84.240.233.216,84.240.234.83,isp,KZ,AS9198 
84.240.234.84,84.240.234.87,business,KZ,AS9198 
84.240.234.88,84.240.234.119,isp,KZ,AS9198 
84.240.234.120,84.240.234.127,business,KZ,AS9198 
84.240.234.128,84.240.234.199,isp,KZ,AS9198 
84.240.234.200,84.240.234.207,business,KZ,AS9198 
84.240.234.208,84.240.234.211,isp,KZ,AS9198 
84.240.234.212,84.240.234.215,business,KZ,AS9198 
84.240.234.216,84.240.235.255,isp,KZ,AS9198 
84.240.236.0,84.240.236.255,business,KZ,AS9198 
84.240.237.0,84.240.237.75,isp,KZ,AS9198 
84.240.237.76,84.240.237.79,business,KZ,AS9198 
84.240.237.80,84.240.237.127,isp,KZ,AS9198 
84.240.237.128,84.240.237.135,business,KZ,AS9198 
84.240.237.136,84.240.237.179,isp,KZ,AS9198 
84.240.237.180,84.240.237.183,business,KZ,AS9198 
84.240.237.184,84.240.237.227,isp,KZ,AS9198 
84.240.237.228,84.240.237.235,business,KZ,AS9198 
84.240.237.236,84.240.237.239,isp,KZ,AS9198 
84.240.237.240,84.240.237.243,business,KZ,AS9198 
84.240.237.244,84.240.240.67,isp,KZ,AS9198 
84.240.240.68,84.240.240.71,business,KZ,AS9198 
84.240.240.72,84.240.240.79,isp,KZ,AS9198 
84.240.240.80,84.240.240.83,business,KZ,AS9198 
84.240.240.84,84.240.240.119,isp,KZ,AS9198 
84.240.240.120,84.240.240.131,business,KZ,AS9198 
84.240.240.132,84.240.240.151,isp,KZ,AS9198 
84.240.240.152,84.240.240.155,business,KZ,AS9198 
84.240.240.156,84.240.240.171,isp,KZ,AS9198 
84.240.240.172,84.240.240.179,business,KZ,AS9198 
84.240.240.180,84.240.240.191,isp,KZ,AS9198 
84.240.240.192,84.240.240.195,business,KZ,AS9198 
84.240.240.196,84.240.240.207,isp,KZ,AS9198 
84.240.240.208,84.240.240.211,business,KZ,AS9198 
84.240.240.212,84.240.240.215,isp,KZ,AS9198 
84.240.240.216,84.240.240.227,business,KZ,AS9198 
84.240.240.228,84.240.240.235,isp,KZ,AS9198 
84.240.240.236,84.240.240.247,business,KZ,AS9198 
84.240.240.248,84.240.240.255,isp,KZ,AS9198 
84.240.241.0,84.240.241.7,business,KZ,AS9198 
84.240.241.8,84.240.241.15,isp,KZ,AS9198 
84.240.241.16,84.240.241.19,business,KZ,AS9198 
84.240.241.20,84.240.241.43,isp,KZ,AS9198 
84.240.241.44,84.240.241.51,business,KZ,AS9198 
84.240.241.52,84.240.241.55,isp,KZ,AS9198 
84.240.241.56,84.240.241.59,business,KZ,AS9198 
84.240.241.60,84.240.241.63,isp,KZ,AS9198 
84.240.241.64,84.240.241.79,business,KZ,AS9198 
84.240.241.80,84.240.241.83,isp,KZ,AS9198 
84.240.241.84,84.240.241.87,business,KZ,AS9198 
84.240.241.88,84.240.241.91,isp,KZ,AS9198 
84.240.241.92,84.240.241.99,business,KZ,AS9198 
84.240.241.100,84.240.241.103,isp,KZ,AS9198 
84.240.241.104,84.240.241.107,business,KZ,AS9198 
84.240.241.108,84.240.241.111,isp,KZ,AS9198 
84.240.241.112,84.240.241.115,business,KZ,AS9198 
84.240.241.116,84.240.241.127,isp,KZ,AS9198 
84.240.241.128,84.240.241.191,business,KZ,AS9198 
84.240.241.192,84.240.241.195,isp,KZ,AS9198 
84.240.241.196,84.240.241.227,business,KZ,AS9198 
84.240.241.228,84.240.241.231,isp,KZ,AS9198 
84.240.241.232,84.240.241.239,business,KZ,AS9198 
84.240.241.240,84.240.241.243,isp,KZ,AS9198 
84.240.241.244,84.240.242.15,business,KZ,AS9198 
84.240.242.16,84.240.242.239,isp,KZ,AS9198 
84.240.242.240,84.240.242.243,business,KZ,AS9198 
84.240.242.244,84.240.242.247,isp,KZ,AS9198 
84.240.242.248,84.240.242.251,business,KZ,AS9198 
84.240.242.252,84.240.243.15,isp,KZ,AS9198 
84.240.243.16,84.240.243.23,business,KZ,AS9198 
84.240.243.24,84.240.243.127,isp,KZ,AS9198 
84.240.243.128,84.240.243.131,business,KZ,AS9198 
84.240.243.132,84.240.243.159,isp,KZ,AS9198 
84.240.243.160,84.240.243.163,business,KZ,AS9198 
84.240.243.164,84.240.243.215,isp,KZ,AS9198 
84.240.243.216,84.240.243.219,business,KZ,AS9198 
84.240.243.220,84.240.243.239,isp,KZ,AS9198 
84.240.243.240,84.240.243.243,business,KZ,AS9198 
84.240.243.244,84.240.245.255,isp,KZ,AS9198 
84.240.246.0,84.240.246.23,business,KZ,AS9198 
84.240.246.24,84.240.246.39,isp,KZ,AS9198 
84.240.246.40,84.240.246.47,business,KZ,AS9198 
84.240.246.48,84.240.246.55,isp,KZ,AS9198 
84.240.246.56,84.240.246.63,business,KZ,AS9198 
84.240.246.64,84.240.246.71,isp,KZ,AS9198 
84.240.246.72,84.240.246.79,business,KZ,AS9198 
84.240.246.80,84.240.248.139,isp,KZ,AS9198 
84.240.248.140,84.240.248.143,business,KZ,AS9198 
84.240.248.144,84.240.248.151,isp,KZ,AS9198 
84.240.248.152,84.240.248.167,business,KZ,AS9198 
84.240.248.168,84.240.252.63,isp,KZ,AS9198 
84.240.252.64,84.240.252.95,business,KZ,AS9198 
84.240.252.96,84.240.252.99,isp,KZ,AS9198 
84.240.252.100,84.240.252.107,business,KZ,AS9198 
84.240.252.108,84.240.252.127,isp,KZ,AS9198 
84.240.252.128,84.240.252.143,business,KZ,AS9198 
84.240.252.144,84.240.252.147,isp,KZ,AS9198 
84.240.252.148,84.240.252.151,business,KZ,AS9198 
84.240.252.152,84.240.252.159,isp,KZ,AS9198 
84.240.252.160,84.240.252.171,business,KZ,AS9198 
84.240.252.172,84.240.252.175,isp,KZ,AS9198 
84.240.252.176,84.240.252.191,business,KZ,AS9198 
84.240.252.192,84.240.252.199,isp,KZ,AS9198 
84.240.252.200,84.240.252.255,business,KZ,AS9198 
84.240.253.0,84.240.253.127,isp,KZ,AS9198 
84.240.253.128,84.240.253.255,business,KZ,AS9198 
84.240.254.0,84.240.254.55,isp,KZ,AS9198 
84.240.254.56,84.240.254.59,business,KZ,AS9198 
84.240.254.60,84.240.254.63,isp,KZ,AS9198 
84.240.254.64,84.240.254.67,business,KZ,AS9198 
84.240.254.68,84.240.254.71,isp,KZ,AS9198 
84.240.254.72,84.240.254.87,business,KZ,AS9198 
84.240.254.88,84.240.254.95,isp,KZ,AS9198 
84.240.254.96,84.240.254.99,business,KZ,AS9198 
84.240.254.100,84.240.254.131,isp,KZ,AS9198 
84.240.254.132,84.240.254.135,business,KZ,AS9198 
84.240.254.136,84.240.254.147,isp,KZ,AS9198 
84.240.254.148,84.240.254.151,business,KZ,AS9198 
84.240.254.152,84.240.254.155,isp,KZ,AS9198 
84.240.254.156,84.240.254.163,business,KZ,AS9198 
84.240.254.164,84.240.254.187,isp,KZ,AS9198 
84.240.254.188,84.240.254.191,business,KZ,AS9198 
84.240.254.192,84.240.254.211,isp,KZ,AS9198 
84.240.254.212,84.240.254.215,business,KZ,AS9198 
84.240.254.216,84.240.254.219,isp,KZ,AS9198 
84.240.254.220,84.240.254.223,business,KZ,AS9198 
84.240.254.224,84.240.255.255,isp,KZ,AS9198 
