190.110.0.0,190.110.31.255,isp,MX 
190.110.201.208,190.110.201.209,isp,EC 
190.110.201.210,190.110.201.214,business,EC 
190.110.201.215,190.110.201.255,isp,EC 
190.110.202.0,190.110.202.255,business,EC 
190.110.203.0,190.110.203.238,isp,EC 
190.110.203.239,190.110.203.239,business,EC 
190.110.203.240,190.110.204.95,isp,EC 
190.110.204.96,190.110.204.103,business,EC 
190.110.204.104,190.110.204.127,isp,EC 
190.110.204.128,190.110.204.135,business,EC 
190.110.204.136,190.110.204.159,isp,EC 
190.110.204.160,190.110.204.167,business,EC 
190.110.204.168,190.110.205.7,isp,EC 
190.110.205.8,190.110.205.15,business,EC 
190.110.205.16,190.110.205.31,isp,EC 
190.110.205.32,190.110.205.47,business,EC 
190.110.205.48,190.110.205.95,isp,EC 
190.110.205.96,190.110.205.103,business,EC 
190.110.205.104,190.110.205.199,isp,EC 
190.110.205.200,190.110.205.207,business,EC 
190.110.205.208,190.110.205.231,isp,EC 
190.110.205.232,190.110.205.247,business,EC 
190.110.205.248,190.110.206.143,isp,EC 
190.110.206.144,190.110.206.159,business,EC 
190.110.206.160,190.110.206.191,isp,EC 
190.110.206.192,190.110.206.199,business,EC 
190.110.206.200,190.110.206.231,isp,EC 
190.110.206.232,190.110.206.239,business,EC 
190.110.206.240,190.110.208.15,isp,EC 
190.110.208.16,190.110.208.31,business,EC 
190.110.208.32,190.110.208.47,isp,EC 
190.110.208.48,190.110.208.79,business,EC 
190.110.208.80,190.110.208.183,isp,EC 
190.110.208.184,190.110.208.191,business,EC 
190.110.208.192,190.110.208.207,isp,EC 
190.110.208.208,190.110.208.215,business,EC 
190.110.208.216,190.110.208.223,isp,EC 
190.110.208.224,190.110.208.239,business,EC 
190.110.208.240,190.110.209.39,isp,EC 
190.110.209.40,190.110.209.47,business,EC 
190.110.209.48,190.110.209.55,isp,EC 
190.110.209.56,190.110.209.63,business,EC 
190.110.209.64,190.110.209.103,isp,EC 
190.110.209.104,190.110.209.111,business,EC 
190.110.209.112,190.110.209.223,isp,EC 
190.110.209.224,190.110.209.231,business,EC 
190.110.209.232,190.110.209.239,isp,EC 
190.110.209.240,190.110.209.247,business,EC 
190.110.209.248,190.110.210.31,isp,EC 
190.110.210.32,190.110.210.39,business,EC 
190.110.210.40,190.110.210.79,isp,EC 
190.110.210.80,190.110.210.87,business,EC 
190.110.210.88,190.110.210.247,isp,EC 
190.110.210.248,190.110.210.255,business,EC 
190.110.211.0,190.110.211.119,isp,EC 
190.110.211.120,190.110.211.127,business,EC 
190.110.211.128,190.110.211.255,isp,EC 
190.110.212.0,190.110.212.15,business,EC 
190.110.212.16,190.110.212.39,isp,EC 
190.110.212.40,190.110.212.47,business,EC 
190.110.212.48,190.110.212.127,isp,EC 
190.110.212.128,190.110.212.191,business,EC 
190.110.212.192,190.110.212.239,isp,EC 
190.110.212.240,190.110.212.247,business,EC 
190.110.212.248,190.110.213.191,isp,EC 
190.110.213.192,190.110.213.199,business,EC 
190.110.213.200,190.110.214.55,isp,EC 
190.110.214.56,190.110.214.63,education,EC 
190.110.214.64,190.110.214.127,isp,EC 
190.110.214.128,190.110.214.143,business,EC 
190.110.214.144,190.110.215.71,isp,EC 
190.110.215.72,190.110.215.79,business,EC 
190.110.215.80,190.110.215.255,isp,EC 
190.110.216.0,190.110.216.23,business,EC 
190.110.216.24,190.110.216.39,isp,EC 
190.110.216.40,190.110.216.47,business,EC 
190.110.216.48,190.110.216.55,isp,EC 
190.110.216.56,190.110.216.71,business,EC 
190.110.216.72,190.110.216.127,isp,EC 
190.110.216.128,190.110.216.135,business,EC 
190.110.216.136,190.110.216.151,isp,EC 
190.110.216.152,190.110.216.159,business,EC 
190.110.216.160,190.110.216.191,isp,EC 
190.110.216.192,190.110.216.199,business,EC 
190.110.216.200,190.110.216.207,isp,EC 
190.110.216.208,190.110.216.215,business,EC 
190.110.216.216,190.110.216.231,isp,EC 
190.110.216.232,190.110.216.247,business,EC 
190.110.216.248,190.110.217.7,isp,EC 
190.110.217.8,190.110.217.15,business,EC 
190.110.217.16,190.110.217.31,education,EC 
190.110.217.32,190.110.217.55,isp,EC 
190.110.217.56,190.110.217.63,business,EC 
190.110.217.64,190.110.217.95,isp,EC 
190.110.217.96,190.110.217.103,business,EC 
190.110.217.104,190.110.217.127,isp,EC 
190.110.217.128,190.110.217.135,business,EC 
190.110.217.136,190.110.217.143,isp,EC 
190.110.217.144,190.110.217.151,business,EC 
190.110.217.152,190.110.217.159,isp,EC 
190.110.217.160,190.110.217.183,business,EC 
190.110.217.184,190.110.217.207,isp,EC 
190.110.217.208,190.110.217.223,business,EC 
190.110.217.224,190.110.217.231,isp,EC 
190.110.217.232,190.110.217.239,business,EC 
190.110.217.240,190.110.218.39,isp,EC 
190.110.218.40,190.110.218.40,business,EC 
190.110.218.41,190.110.218.43,isp,EC 
190.110.218.44,190.110.218.44,business,EC 
190.110.218.45,190.110.218.247,isp,EC 
190.110.218.248,190.110.218.248,business,EC 
190.110.218.249,190.110.219.119,isp,EC 
190.110.219.120,190.110.219.127,business,EC 
190.110.219.128,190.110.219.255,isp,EC 
190.110.220.0,190.110.220.255,business,EC 
190.110.221.0,190.110.221.215,isp,EC 
190.110.221.216,190.110.221.231,business,EC 
190.110.221.232,190.110.222.79,isp,EC 
190.110.222.80,190.110.222.87,business,EC 
190.110.222.88,190.110.222.119,isp,EC 
190.110.222.120,190.110.222.127,business,EC 
190.110.222.128,190.110.222.151,isp,EC 
190.110.222.152,190.110.222.159,business,EC 
190.110.222.160,190.110.223.191,isp,EC 
190.110.223.192,190.110.223.207,business,EC 
190.110.223.208,190.110.223.255,isp,EC 
190.110.224.0,190.110.224.255,business,AR 
190.110.225.0,190.110.225.255,isp,AR 
190.110.226.0,190.110.227.255,hosting,PY 
190.110.228.0,190.110.228.255,isp,CR 
190.110.229.0,190.110.229.255,isp,AR 
190.110.230.0,190.110.231.255,hosting,PY 
190.110.232.0,190.110.237.255,isp,AR 
190.110.238.0,190.110.239.255,business,PY 
190.110.240.0,190.110.247.255,business,AR 
190.110.248.0,190.110.249.255,isp,AR 
190.110.250.0,190.110.251.255,business,AR 
190.110.252.0,190.110.252.255,isp,AR 
190.110.253.0,190.110.253.255,business,PE 
190.110.254.0,190.110.255.255,isp,AR 
