190.102.0.0,190.102.31.255,isp,SX 
190.102.138.176,190.102.138.191,hosting,PE 
190.102.138.192,190.102.138.223,business,PE 
190.102.138.224,190.102.140.63,hosting,PE 
190.102.140.64,190.102.140.95,education,PE 
190.102.140.96,190.102.140.127,hosting,PE 
190.102.140.128,190.102.140.191,education,PE 
190.102.140.192,190.102.141.79,hosting,PE 
190.102.141.80,190.102.141.95,education,PE 
190.102.141.96,190.102.141.111,hosting,PE 
190.102.141.112,190.102.141.119,business,PE 
190.102.141.120,190.102.141.175,hosting,PE 
190.102.141.176,190.102.141.183,education,PE 
190.102.141.184,190.102.141.223,hosting,PE 
190.102.141.224,190.102.141.239,business,PE 
190.102.141.240,190.102.142.31,hosting,PE 
190.102.142.32,190.102.142.39,business,PE 
190.102.142.40,190.102.142.47,hosting,PE 
190.102.142.48,190.102.142.55,business,PE 
190.102.142.56,190.102.142.71,hosting,PE 
190.102.142.72,190.102.142.79,business,PE 
190.102.142.80,190.102.142.87,hosting,PE 
190.102.142.88,190.102.142.95,business,PE 
190.102.142.96,190.102.142.143,hosting,PE 
190.102.142.144,190.102.142.147,isp,PE 
190.102.142.148,190.102.142.151,hosting,PE 
190.102.142.152,190.102.142.179,business,PE 
190.102.142.180,190.102.142.187,hosting,PE 
190.102.142.188,190.102.142.191,education,PE 
190.102.142.192,190.102.142.207,business,PE 
190.102.142.208,190.102.142.255,hosting,PE 
190.102.143.0,190.102.143.15,business,PE 
190.102.143.16,190.102.143.87,hosting,PE 
190.102.143.88,190.102.143.111,business,PE 
190.102.143.112,190.102.143.135,hosting,PE 
190.102.143.136,190.102.143.143,education,PE 
190.102.143.144,190.102.143.151,business,PE 
190.102.143.152,190.102.143.207,hosting,PE 
190.102.143.208,190.102.143.223,business,PE 
190.102.143.224,190.102.144.95,hosting,PE 
190.102.144.96,190.102.144.191,business,PE 
190.102.144.192,190.102.144.231,hosting,PE 
190.102.144.232,190.102.144.239,business,PE 
190.102.144.240,190.102.145.63,hosting,PE 
190.102.145.64,190.102.145.127,business,PE 
190.102.145.128,190.102.145.239,hosting,PE 
190.102.145.240,190.102.145.255,business,PE 
190.102.146.0,190.102.146.23,hosting,PE 
190.102.146.24,190.102.146.63,business,PE 
190.102.146.64,190.102.146.71,education,PE 
190.102.146.72,190.102.146.79,hosting,PE 
190.102.146.80,190.102.146.103,business,PE 
190.102.146.104,190.102.146.111,isp,PE 
190.102.146.112,190.102.146.119,business,PE 
190.102.146.120,190.102.146.143,hosting,PE 
190.102.146.144,190.102.146.151,education,PE 
190.102.146.152,190.102.146.239,hosting,PE 
190.102.146.240,190.102.146.255,business,PE 
190.102.147.0,190.102.147.31,hosting,PE 
190.102.147.32,190.102.147.63,business,PE 
190.102.147.64,190.102.147.103,hosting,PE 
190.102.147.104,190.102.147.111,isp,PE 
190.102.147.112,190.102.147.135,hosting,PE 
190.102.147.136,190.102.147.143,education,PE 
190.102.147.144,190.102.147.151,business,PE 
190.102.147.152,190.102.147.175,hosting,PE 
190.102.147.176,190.102.147.183,business,PE 
190.102.147.184,190.102.147.199,hosting,PE 
190.102.147.200,190.102.147.223,business,PE 
190.102.147.224,190.102.148.31,hosting,PE 
190.102.148.32,190.102.148.39,business,PE 
190.102.148.40,190.102.148.135,hosting,PE 
190.102.148.136,190.102.148.143,business,PE 
190.102.148.144,190.102.148.183,hosting,PE 
190.102.148.184,190.102.148.191,business,PE 
190.102.148.192,190.102.148.223,hosting,PE 
190.102.148.224,190.102.148.231,business,PE 
190.102.148.232,190.102.150.79,hosting,PE 
190.102.150.80,190.102.150.111,business,PE 
190.102.150.112,190.102.150.255,hosting,PE 
190.102.151.0,190.102.151.63,business,PE 
190.102.151.64,190.102.151.71,hosting,PE 
190.102.151.72,190.102.151.79,business,PE 
190.102.151.80,190.102.151.87,hosting,PE 
190.102.151.88,190.102.151.95,business,PE 
190.102.151.96,190.102.151.111,hosting,PE 
190.102.151.112,190.102.151.127,education,PE 
190.102.151.128,190.102.151.159,hosting,PE 
190.102.151.160,190.102.151.167,business,PE 
190.102.151.168,190.102.151.183,hosting,PE 
190.102.151.184,190.102.151.191,business,PE 
190.102.151.192,190.102.151.199,education,PE 
190.102.151.200,190.102.151.223,hosting,PE 
190.102.151.224,190.102.151.239,education,PE 
190.102.151.240,190.102.151.255,hosting,PE 
190.102.152.0,190.102.152.47,business,PE 
190.102.152.48,190.102.152.63,hosting,PE 
190.102.152.64,190.102.152.127,business,PE 
190.102.152.128,190.102.152.207,hosting,PE 
190.102.152.208,190.102.152.255,business,PE 
190.102.153.0,190.102.153.15,hosting,PE 
190.102.153.16,190.102.153.23,business,PE 
190.102.153.24,190.102.153.39,hosting,PE 
190.102.153.40,190.102.153.47,business,PE 
190.102.153.48,190.102.153.79,hosting,PE 
190.102.153.80,190.102.153.87,isp,PE 
190.102.153.88,190.102.153.119,hosting,PE 
190.102.153.120,190.102.153.127,business,PE 
190.102.153.128,190.102.153.191,hosting,PE 
190.102.153.192,190.102.153.199,education,PE 
190.102.153.200,190.102.155.87,hosting,PE 
190.102.155.88,190.102.155.119,business,PE 
190.102.155.120,190.102.156.71,hosting,PE 
190.102.156.72,190.102.156.79,business,PE 
190.102.156.80,190.102.156.95,hosting,PE 
190.102.156.96,190.102.156.103,business,PE 
190.102.156.104,190.102.156.111,education,PE 
190.102.156.112,190.102.156.119,business,PE 
190.102.156.120,190.102.156.183,hosting,PE 
190.102.156.184,190.102.156.191,business,PE 
190.102.156.192,190.102.157.39,hosting,PE 
190.102.157.40,190.102.157.47,business,PE 
190.102.157.48,190.102.157.55,hosting,PE 
190.102.157.56,190.102.157.59,isp,PE 
190.102.157.60,190.102.158.15,hosting,PE 
190.102.158.16,190.102.158.19,business,PE 
190.102.158.20,190.102.158.255,hosting,PE 
190.102.159.0,190.102.159.3,business,PE 
190.102.159.4,190.102.159.71,hosting,PE 
190.102.159.72,190.102.159.75,isp,PE 
190.102.159.76,190.102.159.179,hosting,PE 
190.102.159.180,190.102.159.183,business,PE 
190.102.159.184,190.102.159.255,hosting,PE 
190.102.160.0,190.102.191.255,business,CO 
190.102.192.0,190.102.223.255,isp,CO 
190.102.224.0,190.102.255.255,isp,CL 
