46.245.0.0,46.245.63.255,isp,IR,AS47262 
46.245.220.112,46.245.220.127,education,DE,AS60294 
46.245.220.128,46.245.220.191,hosting,DE,AS60294 
46.245.220.192,46.245.220.208,business,DE,AS60294 
46.245.220.209,46.245.220.247,hosting,DE,AS60294 
46.245.220.248,46.245.220.255,business,DE,AS60294 
46.245.221.0,46.245.221.255,hosting,DE,AS60294 
46.245.222.0,46.245.223.255,business,DE,AS60294 
46.245.224.0,46.245.225.255,business,FR,AS199997 
46.245.226.0,46.245.226.255,hosting,FR,AS199997 
46.245.227.0,46.245.231.255,business,FR,AS199997 
46.245.232.0,46.245.232.255,isp,PL,AS197701 
46.245.233.0,46.245.233.255,business,ES, 
46.245.234.0,46.245.234.255,business,RU, 
46.245.235.0,46.245.235.255,business,IT, 
46.245.236.0,46.245.236.255,business,HR, 
46.245.237.0,46.245.237.255,business,BG, 
46.245.238.0,46.245.238.255,business,SA, 
46.245.239.0,46.245.239.255,business,GE,AS174 
46.245.240.0,46.245.240.255,business,US, 
46.245.241.0,46.245.244.255,hosting,US,AS39852 
46.245.245.0,46.245.247.255,hosting,CA,AS39852 
46.245.248.0,46.245.248.15,isp,GB,AS31463 
46.245.248.16,46.245.253.255,hosting,GB,AS31463 
46.245.254.0,46.245.254.127,business,GB,AS31463 
46.245.254.128,46.245.255.191,hosting,GB,AS31463 
46.245.255.192,46.245.255.223,business,GB,AS31463 
46.245.255.224,46.245.255.255,hosting,GB,AS31463 
