46.218.0.0,46.218.0.16,isp,FR 
46.218.197.40,46.218.197.103,business,FR 
46.218.197.104,46.218.197.108,isp,FR 
46.218.197.109,46.218.197.109,business,FR 
46.218.197.110,46.218.197.110,isp,FR 
46.218.197.111,46.218.197.111,business,FR 
46.218.197.112,46.218.197.159,isp,FR 
46.218.197.160,46.218.198.7,business,FR 
46.218.198.8,46.218.198.15,isp,FR 
46.218.198.16,46.218.198.95,business,FR 
46.218.198.96,46.218.198.103,isp,FR 
46.218.198.104,46.218.198.127,business,FR 
46.218.198.128,46.218.198.158,isp,FR 
46.218.198.159,46.218.198.159,business,FR 
46.218.198.160,46.218.198.175,isp,FR 
46.218.198.176,46.218.198.191,business,FR 
46.218.198.192,46.218.198.207,isp,FR 
46.218.198.208,46.218.198.231,business,FR 
46.218.198.232,46.218.198.239,isp,FR 
46.218.198.240,46.218.198.247,business,FR 
46.218.198.248,46.218.199.255,isp,FR 
46.218.200.0,46.218.200.55,business,FR 
46.218.200.56,46.218.200.63,isp,FR 
46.218.200.64,46.218.200.154,business,FR 
46.218.200.155,46.218.200.155,isp,FR 
46.218.200.156,46.218.200.203,business,FR 
46.218.200.204,46.218.200.207,isp,FR 
46.218.200.208,46.218.201.15,business,FR 
46.218.201.16,46.218.201.31,isp,FR 
46.218.201.32,46.218.201.43,business,FR 
46.218.201.44,46.218.201.47,isp,FR 
46.218.201.48,46.218.201.63,business,FR 
46.218.201.64,46.218.201.67,isp,FR 
46.218.201.68,46.218.201.69,business,FR 
46.218.201.70,46.218.201.70,isp,FR 
46.218.201.71,46.218.201.79,business,FR 
46.218.201.80,46.218.201.95,isp,FR 
46.218.201.96,46.218.201.199,business,FR 
46.218.201.200,46.218.201.207,isp,FR 
46.218.201.208,46.218.201.231,business,FR 
46.218.201.232,46.218.201.255,isp,FR 
46.218.202.0,46.218.202.7,business,FR 
46.218.202.8,46.218.202.31,isp,FR 
46.218.202.32,46.218.202.47,business,FR 
46.218.202.48,46.218.202.63,isp,FR 
46.218.202.64,46.218.202.127,business,FR 
46.218.202.128,46.218.202.135,isp,FR 
46.218.202.136,46.218.202.167,business,FR 
46.218.202.168,46.218.202.175,isp,FR 
46.218.202.176,46.218.202.227,business,FR 
46.218.202.228,46.218.202.228,isp,FR 
46.218.202.229,46.218.202.239,business,FR 
46.218.202.240,46.218.203.47,isp,FR 
46.218.203.48,46.218.203.75,business,FR 
46.218.203.76,46.218.203.79,isp,FR 
46.218.203.80,46.218.203.111,business,FR 
46.218.203.112,46.218.203.119,isp,FR 
46.218.203.120,46.218.203.151,business,FR 
46.218.203.152,46.218.203.175,isp,FR 
46.218.203.176,46.218.203.251,business,FR 
46.218.203.252,46.218.204.15,isp,FR 
46.218.204.16,46.218.204.31,business,FR 
46.218.204.32,46.218.204.39,isp,FR 
46.218.204.40,46.218.204.119,business,FR 
46.218.204.120,46.218.204.127,isp,FR 
46.218.204.128,46.218.204.131,business,FR 
46.218.204.132,46.218.204.135,isp,FR 
46.218.204.136,46.218.204.159,business,FR 
46.218.204.160,46.218.204.175,isp,FR 
46.218.204.176,46.218.204.223,business,FR 
46.218.204.224,46.218.204.255,isp,FR 
46.218.205.0,46.218.205.103,business,FR 
46.218.205.104,46.218.205.115,isp,FR 
46.218.205.116,46.218.205.131,business,FR 
46.218.205.132,46.218.205.135,isp,FR 
46.218.205.136,46.218.205.155,business,FR 
46.218.205.156,46.218.205.167,isp,FR 
46.218.205.168,46.218.205.204,business,FR 
46.218.205.205,46.218.205.207,isp,FR 
46.218.205.208,46.218.205.215,business,FR 
46.218.205.216,46.218.205.223,isp,FR 
46.218.205.224,46.218.206.23,business,FR 
46.218.206.24,46.218.206.31,isp,FR 
46.218.206.32,46.218.206.55,business,FR 
46.218.206.56,46.218.206.56,isp,FR 
46.218.206.57,46.218.206.57,business,FR 
46.218.206.58,46.218.206.63,isp,FR 
46.218.206.64,46.218.206.103,business,FR 
46.218.206.104,46.218.206.107,isp,FR 
46.218.206.108,46.218.206.191,business,FR 
46.218.206.192,46.218.206.207,isp,FR 
46.218.206.208,46.218.206.247,business,FR 
46.218.206.248,46.218.206.251,isp,FR 
46.218.206.252,46.218.207.15,business,FR 
46.218.207.16,46.218.207.47,isp,FR 
46.218.207.48,46.218.207.95,business,FR 
46.218.207.96,46.218.207.111,education,FR 
46.218.207.112,46.218.207.195,business,FR 
46.218.207.196,46.218.207.223,isp,FR 
46.218.207.224,46.218.208.7,business,FR 
46.218.208.8,46.218.208.31,isp,FR 
46.218.208.32,46.218.208.95,business,FR 
46.218.208.96,46.218.208.127,isp,FR 
46.218.208.128,46.218.208.187,business,FR 
46.218.208.188,46.218.208.191,isp,FR 
46.218.208.192,46.218.208.255,business,FR 
46.218.209.0,46.218.209.255,isp,FR 
46.218.210.0,46.218.210.87,business,FR 
46.218.210.88,46.218.210.95,isp,FR 
46.218.210.96,46.218.210.159,business,FR 
46.218.210.160,46.218.210.191,isp,FR 
46.218.210.192,46.218.210.223,business,FR 
46.218.210.224,46.218.210.231,isp,FR 
46.218.210.232,46.218.210.255,business,FR 
46.218.211.0,46.218.211.255,isp,FR 
46.218.212.0,46.218.212.55,business,FR 
46.218.212.56,46.218.212.63,isp,FR 
46.218.212.64,46.218.212.111,business,FR 
46.218.212.112,46.218.212.127,isp,FR 
46.218.212.128,46.218.212.175,business,FR 
46.218.212.176,46.218.212.183,isp,FR 
46.218.212.184,46.218.212.223,business,FR 
46.218.212.224,46.218.212.231,isp,FR 
46.218.212.232,46.218.212.255,business,FR 
46.218.213.0,46.218.213.255,isp,FR 
46.218.214.0,46.218.214.10,business,FR 
46.218.214.11,46.218.214.11,isp,FR 
46.218.214.12,46.218.214.15,business,FR 
46.218.214.16,46.218.214.31,isp,FR 
46.218.214.32,46.218.214.127,business,FR 
46.218.214.128,46.218.214.135,isp,FR 
46.218.214.136,46.218.214.143,business,FR 
46.218.214.144,46.218.214.159,isp,FR 
46.218.214.160,46.218.214.223,business,FR 
46.218.214.224,46.218.215.255,isp,FR 
46.218.216.0,46.218.216.175,business,FR 
46.218.216.176,46.218.216.183,isp,FR 
46.218.216.184,46.218.216.255,business,FR 
46.218.217.0,46.218.217.255,isp,FR 
46.218.218.0,46.218.218.159,business,FR 
46.218.218.160,46.218.218.191,isp,FR 
46.218.218.192,46.218.218.223,business,FR 
46.218.218.224,46.218.218.255,isp,FR 
46.218.219.0,46.218.219.15,business,FR 
46.218.219.16,46.218.219.31,isp,FR 
46.218.219.32,46.218.219.47,business,FR 
46.218.219.48,46.218.219.51,isp,FR 
46.218.219.52,46.218.219.95,business,FR 
46.218.219.96,46.218.219.111,isp,FR 
46.218.219.112,46.218.219.167,business,FR 
46.218.219.168,46.218.219.169,isp,FR 
46.218.219.170,46.218.219.174,business,FR 
46.218.219.175,46.218.221.15,isp,FR 
46.218.221.16,46.218.221.23,business,FR 
46.218.221.24,46.218.224.255,isp,FR 
46.218.225.0,46.218.226.255,business,FR 
46.218.227.0,46.218.227.11,isp,FR 
46.218.227.12,46.218.227.15,business,FR 
46.218.227.16,46.218.227.23,isp,FR 
46.218.227.24,46.218.227.27,business,FR 
46.218.227.28,46.218.227.28,isp,FR 
46.218.227.29,46.218.227.29,business,FR 
46.218.227.30,46.218.227.31,isp,FR 
46.218.227.32,46.218.227.39,business,FR 
46.218.227.40,46.218.255.255,isp,FR 
