95.152.0.0,95.152.63.255,isp,RU 
95.152.231.240,95.152.231.247,isp,GB 
95.152.231.248,95.152.231.255,business,GB 
95.152.232.0,95.152.232.0,isp,GB 
95.152.232.1,95.152.240.15,business,GB 
95.152.240.16,95.152.240.47,education,GB 
95.152.240.48,95.152.240.119,business,GB 
95.152.240.120,95.152.240.159,isp,GB 
95.152.240.160,95.152.240.175,business,GB 
95.152.240.176,95.152.240.215,isp,GB 
95.152.240.216,95.152.241.15,business,GB 
95.152.241.16,95.152.241.23,education,GB 
95.152.241.24,95.152.241.255,business,GB 
95.152.242.0,95.152.242.3,isp,GB 
95.152.242.4,95.152.242.11,business,GB 
95.152.242.12,95.152.242.15,isp,GB 
95.152.242.16,95.152.242.23,business,GB 
95.152.242.24,95.152.242.27,isp,GB 
95.152.242.28,95.152.242.111,business,GB 
95.152.242.112,95.152.242.119,isp,GB 
95.152.242.120,95.152.242.127,business,GB 
95.152.242.128,95.152.242.199,isp,GB 
95.152.242.200,95.152.242.215,business,GB 
95.152.242.216,95.152.242.223,isp,GB 
95.152.242.224,95.152.242.255,business,GB 
95.152.243.0,95.152.243.255,isp,GB 
95.152.244.0,95.152.244.63,business,GB 
95.152.244.64,95.152.244.207,isp,GB 
95.152.244.208,95.152.244.223,business,GB 
95.152.244.224,95.152.244.239,isp,GB 
95.152.244.240,95.152.244.255,business,GB 
95.152.245.0,95.152.245.31,isp,GB 
95.152.245.32,95.152.245.47,business,GB 
95.152.245.48,95.152.246.59,isp,GB 
95.152.246.60,95.152.246.63,business,GB 
95.152.246.64,95.152.246.183,isp,GB 
95.152.246.184,95.152.246.191,business,GB 
95.152.246.192,95.152.247.255,isp,GB 
95.152.248.0,95.152.248.159,business,GB 
95.152.248.160,95.152.248.167,isp,GB 
95.152.248.168,95.152.248.175,business,GB 
95.152.248.176,95.152.248.191,education,GB 
95.152.248.192,95.152.249.7,business,GB 
95.152.249.8,95.152.249.31,isp,GB 
95.152.249.32,95.152.249.47,business,GB 
95.152.249.48,95.152.249.63,isp,GB 
95.152.249.64,95.152.249.71,business,GB 
95.152.249.72,95.152.249.111,isp,GB 
95.152.249.112,95.152.249.255,business,GB 
95.152.250.0,95.152.250.127,isp,GB 
95.152.250.128,95.152.250.159,business,GB 
95.152.250.160,95.152.250.167,isp,GB 
95.152.250.168,95.152.250.255,business,GB 
95.152.251.0,95.152.251.7,isp,GB 
95.152.251.8,95.152.251.31,business,GB 
95.152.251.32,95.152.251.39,isp,GB 
95.152.251.40,95.152.252.31,business,GB 
95.152.252.32,95.152.252.39,isp,GB 
95.152.252.40,95.152.253.159,business,GB 
95.152.253.160,95.152.253.167,isp,GB 
95.152.253.168,95.152.253.247,business,GB 
95.152.253.248,95.152.253.255,isp,GB 
95.152.254.0,95.152.254.199,business,GB 
95.152.254.200,95.152.254.207,isp,GB 
95.152.254.208,95.152.254.239,business,GB 
95.152.254.240,95.152.254.247,isp,GB 
95.152.254.248,95.152.255.31,business,GB 
95.152.255.32,95.152.255.39,isp,GB 
95.152.255.40,95.152.255.55,business,GB 
95.152.255.56,95.152.255.79,isp,GB 
95.152.255.80,95.152.255.239,business,GB 
95.152.255.240,95.152.255.247,isp,GB 
95.152.255.248,95.152.255.255,business,GB 
