95.175.0.0,95.175.31.255,isp,PL,AS33951 
95.175.110.128,95.175.111.223,hosting,FI,AS49282 
95.175.111.224,95.175.111.231,business,FI,AS49282 
95.175.111.232,95.175.115.23,hosting,FI,AS49282 
95.175.115.24,95.175.115.31,business,FI,AS49282 
95.175.115.32,95.175.115.47,hosting,FI,AS49282 
95.175.115.48,95.175.115.55,business,FI,AS49282 
95.175.115.56,95.175.118.207,hosting,FI,AS49282 
95.175.118.208,95.175.118.215,business,FI,AS49282 
95.175.118.216,95.175.121.127,hosting,FI,AS49282 
95.175.121.128,95.175.121.134,business,FI,AS49282 
95.175.121.135,95.175.121.175,hosting,FI,AS49282 
95.175.121.176,95.175.121.191,business,FI,AS49282 
95.175.121.192,95.175.127.255,hosting,FI,AS49282 
95.175.128.0,95.175.129.127,business,GB,AS42689 
95.175.129.128,95.175.129.159,isp,GB,AS42689 
95.175.129.160,95.175.129.255,business,GB,AS42689 
95.175.130.0,95.175.130.255,education,GB,AS42689 
95.175.131.0,95.175.131.255,isp,GB,AS42689 
95.175.132.0,95.175.132.127,education,GB,AS42689 
95.175.132.128,95.175.134.255,business,GB,AS42689 
95.175.135.0,95.175.135.15,isp,GB,AS42689 
95.175.135.16,95.175.135.23,business,GB,AS42689 
95.175.135.24,95.175.136.63,isp,GB,AS42689 
95.175.136.64,95.175.136.127,business,GB,AS42689 
95.175.136.128,95.175.136.191,isp,GB,AS42689 
95.175.136.192,95.175.136.223,business,GB,AS42689 
95.175.136.224,95.175.136.239,isp,GB,AS42689 
95.175.136.240,95.175.137.63,business,GB,AS42689 
95.175.137.64,95.175.137.127,business,NL,AS42689 
95.175.137.128,95.175.137.191,business,GB,AS42689 
95.175.137.192,95.175.138.255,isp,GB,AS42689 
95.175.139.0,95.175.139.255,business,GB,AS42689 
95.175.140.0,95.175.140.31,isp,GB,AS42689 
95.175.140.32,95.175.140.47,education,GB,AS42689 
95.175.140.48,95.175.140.63,isp,GB,AS42689 
95.175.140.64,95.175.140.79,business,GB,AS42689 
95.175.140.80,95.175.140.159,isp,GB,AS42689 
95.175.140.160,95.175.140.191,business,GB,AS42689 
95.175.140.192,95.175.141.255,isp,GB,AS42689 
95.175.142.0,95.175.142.255,business,GB,AS42689 
95.175.143.0,95.175.144.255,isp,GB,AS42689 
95.175.145.0,95.175.145.255,business,GB,AS42689 
95.175.146.0,95.175.146.255,isp,GB,AS42689 
95.175.147.0,95.175.149.255,business,GB,AS42689 
95.175.150.0,95.175.150.255,isp,GB,AS42689 
95.175.151.0,95.175.151.255,business,GB,AS42689 
95.175.152.0,95.175.152.63,isp,GB,AS42689 
95.175.152.64,95.175.152.255,business,GB,AS42689 
95.175.153.0,95.175.153.255,isp,GB,AS42689 
95.175.154.0,95.175.155.255,business,GB,AS42689 
95.175.156.0,95.175.156.15,isp,GB,AS42689 
95.175.156.16,95.175.156.31,business,GB,AS42689 
95.175.156.32,95.175.156.119,isp,GB,AS42689 
95.175.156.120,95.175.156.159,business,GB,AS42689 
95.175.156.160,95.175.156.255,isp,GB,AS42689 
95.175.157.0,95.175.158.255,business,GB,AS42689 
95.175.159.0,95.175.159.127,isp,GB,AS42689 
95.175.159.128,95.175.159.255,business,GB,AS42689 
95.175.160.0,95.175.191.255,isp,FR,AS42117 
95.175.192.0,95.175.223.255,business,GB,AS8220 
95.175.224.0,95.175.255.255,isp,RU,AS30881 
