88.149.0.0,88.149.55.255,business,IS,AS12969 
88.149.135.240,88.149.136.47,isp,IT,AS35612 
88.149.136.48,88.149.136.63,business,IT,AS35612 
88.149.136.64,88.149.136.79,isp,IT,AS35612 
88.149.136.80,88.149.136.95,business,IT,AS35612 
88.149.136.96,88.149.136.223,isp,IT,AS35612 
88.149.136.224,88.149.136.255,business,IT,AS35612 
88.149.137.0,88.149.137.95,isp,IT,AS35612 
88.149.137.96,88.149.137.127,business,IT,AS35612 
88.149.137.128,88.149.137.191,isp,IT,AS35612 
88.149.137.192,88.149.137.223,business,IT,AS35612 
88.149.137.224,88.149.144.31,isp,IT,AS35612 
88.149.144.32,88.149.144.39,business,IT,AS35612 
88.149.144.40,88.149.144.47,isp,IT,AS35612 
88.149.144.48,88.149.144.71,business,IT,AS35612 
88.149.144.72,88.149.144.79,isp,IT,AS35612 
88.149.144.80,88.149.144.87,business,IT,AS35612 
88.149.144.88,88.149.144.103,isp,IT,AS35612 
88.149.144.104,88.149.144.111,business,IT,AS35612 
88.149.144.112,88.149.144.135,isp,IT,AS35612 
88.149.144.136,88.149.144.143,business,IT,AS35612 
88.149.144.144,88.149.144.151,isp,IT,AS35612 
88.149.144.152,88.149.144.159,business,IT,AS35612 
88.149.144.160,88.149.144.167,isp,IT,AS35612 
88.149.144.168,88.149.144.175,business,IT,AS35612 
88.149.144.176,88.149.144.183,isp,IT,AS35612 
88.149.144.184,88.149.144.199,business,IT,AS35612 
88.149.144.200,88.149.144.239,isp,IT,AS35612 
88.149.144.240,88.149.144.247,business,IT,AS35612 
88.149.144.248,88.149.144.255,isp,IT,AS35612 
88.149.145.0,88.149.145.23,business,IT,AS35612 
88.149.145.24,88.149.145.39,isp,IT,AS35612 
88.149.145.40,88.149.145.47,business,IT,AS35612 
88.149.145.48,88.149.145.55,isp,IT,AS35612 
88.149.145.56,88.149.145.71,business,IT,AS35612 
88.149.145.72,88.149.145.183,isp,IT,AS35612 
88.149.145.184,88.149.145.199,business,IT,AS35612 
88.149.145.200,88.149.145.215,isp,IT,AS35612 
88.149.145.216,88.149.145.231,business,IT,AS35612 
88.149.145.232,88.149.145.239,isp,IT,AS35612 
88.149.145.240,88.149.146.7,business,IT,AS35612 
88.149.146.8,88.149.146.15,isp,IT,AS35612 
88.149.146.16,88.149.146.31,business,IT,AS35612 
88.149.146.32,88.149.146.47,isp,IT,AS35612 
88.149.146.48,88.149.146.103,business,IT,AS35612 
88.149.146.104,88.149.146.135,isp,IT,AS35612 
88.149.146.136,88.149.146.143,business,IT,AS35612 
88.149.146.144,88.149.146.151,isp,IT,AS35612 
88.149.146.152,88.149.146.175,business,IT,AS35612 
88.149.146.176,88.149.146.191,isp,IT,AS35612 
88.149.146.192,88.149.146.207,business,IT,AS35612 
88.149.146.208,88.149.146.215,isp,IT,AS35612 
88.149.146.216,88.149.146.223,business,IT,AS35612 
88.149.146.224,88.149.146.255,isp,IT,AS35612 
88.149.147.0,88.149.147.7,business,IT,AS35612 
88.149.147.8,88.149.147.15,isp,IT,AS35612 
88.149.147.16,88.149.147.31,business,IT,AS35612 
88.149.147.32,88.149.147.63,isp,IT,AS35612 
88.149.147.64,88.149.147.71,business,IT,AS35612 
88.149.147.72,88.149.147.79,isp,IT,AS35612 
88.149.147.80,88.149.147.87,business,IT,AS35612 
88.149.147.88,88.149.147.95,isp,IT,AS35612 
88.149.147.96,88.149.147.111,business,IT,AS35612 
88.149.147.112,88.149.147.135,isp,IT,AS35612 
88.149.147.136,88.149.147.143,business,IT,AS35612 
88.149.147.144,88.149.147.167,isp,IT,AS35612 
88.149.147.168,88.149.147.207,business,IT,AS35612 
88.149.147.208,88.149.147.215,isp,IT,AS35612 
88.149.147.216,88.149.147.239,business,IT,AS35612 
88.149.147.240,88.149.173.255,isp,IT,AS35612 
88.149.174.0,88.149.174.15,business,IT,AS35612 
88.149.174.16,88.149.174.23,isp,IT,AS35612 
88.149.174.24,88.149.174.39,business,IT,AS35612 
88.149.174.40,88.149.174.55,isp,IT,AS35612 
88.149.174.56,88.149.174.63,business,IT,AS35612 
88.149.174.64,88.149.174.103,isp,IT,AS35612 
88.149.174.104,88.149.174.119,business,IT,AS35612 
88.149.174.120,88.149.174.127,isp,IT,AS35612 
88.149.174.128,88.149.174.135,business,IT,AS35612 
88.149.174.136,88.149.174.143,isp,IT,AS35612 
88.149.174.144,88.149.174.151,business,IT,AS35612 
88.149.174.152,88.149.174.159,isp,IT,AS35612 
88.149.174.160,88.149.174.167,business,IT,AS35612 
88.149.174.168,88.149.174.175,isp,IT,AS35612 
88.149.174.176,88.149.174.183,business,IT,AS35612 
88.149.174.184,88.149.174.215,isp,IT,AS35612 
88.149.174.216,88.149.174.231,business,IT,AS35612 
88.149.174.232,88.149.174.255,isp,IT,AS35612 
88.149.175.0,88.149.175.7,business,IT,AS35612 
88.149.175.8,88.149.175.15,isp,IT,AS35612 
88.149.175.16,88.149.175.31,business,IT,AS35612 
88.149.175.32,88.149.175.47,isp,IT,AS35612 
88.149.175.48,88.149.175.55,business,IT,AS35612 
88.149.175.56,88.149.175.79,isp,IT,AS35612 
88.149.175.80,88.149.175.87,business,IT,AS35612 
88.149.175.88,88.149.175.103,isp,IT,AS35612 
88.149.175.104,88.149.175.111,business,IT,AS35612 
88.149.175.112,88.149.175.127,isp,IT,AS35612 
88.149.175.128,88.149.175.135,business,IT,AS35612 
88.149.175.136,88.149.175.143,isp,IT,AS35612 
88.149.175.144,88.149.175.151,business,IT,AS35612 
88.149.175.152,88.149.175.159,isp,IT,AS35612 
88.149.175.160,88.149.175.175,business,IT,AS35612 
88.149.175.176,88.149.175.183,isp,IT,AS35612 
88.149.175.184,88.149.175.191,business,IT,AS35612 
88.149.175.192,88.149.175.215,isp,IT,AS35612 
88.149.175.216,88.149.175.223,business,IT,AS35612 
88.149.175.224,88.149.175.247,isp,IT,AS35612 
88.149.175.248,88.149.175.255,business,IT,AS35612 
88.149.176.0,88.149.184.7,isp,IT,AS35612 
88.149.184.8,88.149.184.31,business,IT,AS35612 
88.149.184.32,88.149.184.47,isp,IT,AS35612 
88.149.184.48,88.149.184.55,business,IT,AS35612 
88.149.184.56,88.149.184.63,isp,IT,AS35612 
88.149.184.64,88.149.184.79,business,IT,AS35612 
88.149.184.80,88.149.184.87,isp,IT,AS35612 
88.149.184.88,88.149.184.95,business,IT,AS35612 
88.149.184.96,88.149.184.119,isp,IT,AS35612 
88.149.184.120,88.149.184.135,business,IT,AS35612 
88.149.184.136,88.149.184.143,isp,IT,AS35612 
88.149.184.144,88.149.184.151,business,IT,AS35612 
88.149.184.152,88.149.184.159,isp,IT,AS35612 
88.149.184.160,88.149.184.167,business,IT,AS35612 
88.149.184.168,88.149.184.183,isp,IT,AS35612 
88.149.184.184,88.149.184.199,business,IT,AS35612 
88.149.184.200,88.149.184.223,isp,IT,AS35612 
88.149.184.224,88.149.184.247,business,IT,AS35612 
88.149.184.248,88.149.184.255,isp,IT,AS35612 
88.149.185.0,88.149.185.7,business,IT,AS35612 
88.149.185.8,88.149.185.31,isp,IT,AS35612 
88.149.185.32,88.149.185.39,business,IT,AS35612 
88.149.185.40,88.149.185.71,isp,IT,AS35612 
88.149.185.72,88.149.185.87,business,IT,AS35612 
88.149.185.88,88.149.185.103,isp,IT,AS35612 
88.149.185.104,88.149.185.119,business,IT,AS35612 
88.149.185.120,88.149.185.159,isp,IT,AS35612 
88.149.185.160,88.149.185.191,business,IT,AS35612 
88.149.185.192,88.149.185.199,isp,IT,AS35612 
88.149.185.200,88.149.185.207,business,IT,AS35612 
88.149.185.208,88.149.185.215,isp,IT,AS35612 
88.149.185.216,88.149.185.223,business,IT,AS35612 
88.149.185.224,88.149.185.231,isp,IT,AS35612 
88.149.185.232,88.149.185.239,business,IT,AS35612 
88.149.185.240,88.149.185.255,isp,IT,AS35612 
88.149.186.0,88.149.186.7,business,IT,AS35612 
88.149.186.8,88.149.186.31,isp,IT,AS35612 
88.149.186.32,88.149.186.39,business,IT,AS35612 
88.149.186.40,88.149.186.79,isp,IT,AS35612 
88.149.186.80,88.149.186.95,business,IT,AS35612 
88.149.186.96,88.149.186.103,isp,IT,AS35612 
88.149.186.104,88.149.186.111,business,IT,AS35612 
88.149.186.112,88.149.186.175,isp,IT,AS35612 
88.149.186.176,88.149.186.191,business,IT,AS35612 
88.149.186.192,88.149.186.215,isp,IT,AS35612 
88.149.186.216,88.149.186.231,business,IT,AS35612 
88.149.186.232,88.149.186.239,isp,IT,AS35612 
88.149.186.240,88.149.186.247,business,IT,AS35612 
88.149.186.248,88.149.187.71,isp,IT,AS35612 
88.149.187.72,88.149.187.79,business,IT,AS35612 
88.149.187.80,88.149.187.103,isp,IT,AS35612 
88.149.187.104,88.149.187.111,business,IT,AS35612 
88.149.187.112,88.149.187.143,isp,IT,AS35612 
88.149.187.144,88.149.187.159,business,IT,AS35612 
88.149.187.160,88.149.187.175,isp,IT,AS35612 
88.149.187.176,88.149.187.231,business,IT,AS35612 
88.149.187.232,88.149.187.239,isp,IT,AS35612 
88.149.187.240,88.149.187.247,business,IT,AS35612 
88.149.187.248,88.149.187.255,isp,IT,AS35612 
88.149.188.0,88.149.188.7,business,IT,AS35612 
88.149.188.8,88.149.188.15,isp,IT,AS35612 
88.149.188.16,88.149.188.23,business,IT,AS35612 
88.149.188.24,88.149.188.31,isp,IT,AS35612 
88.149.188.32,88.149.188.47,business,IT,AS35612 
88.149.188.48,88.149.188.55,isp,IT,AS35612 
88.149.188.56,88.149.188.63,business,IT,AS35612 
88.149.188.64,88.149.188.71,isp,IT,AS35612 
88.149.188.72,88.149.188.79,business,IT,AS35612 
88.149.188.80,88.149.188.119,isp,IT,AS35612 
88.149.188.120,88.149.188.127,business,IT,AS35612 
88.149.188.128,88.149.188.143,isp,IT,AS35612 
88.149.188.144,88.149.188.159,business,IT,AS35612 
88.149.188.160,88.149.188.167,isp,IT,AS35612 
88.149.188.168,88.149.188.199,business,IT,AS35612 
88.149.188.200,88.149.188.207,isp,IT,AS35612 
88.149.188.208,88.149.188.215,business,IT,AS35612 
88.149.188.216,88.149.188.223,isp,IT,AS35612 
88.149.188.224,88.149.188.231,business,IT,AS35612 
88.149.188.232,88.149.189.15,isp,IT,AS35612 
88.149.189.16,88.149.189.55,business,IT,AS35612 
88.149.189.56,88.149.189.63,isp,IT,AS35612 
88.149.189.64,88.149.189.87,business,IT,AS35612 
88.149.189.88,88.149.189.127,isp,IT,AS35612 
88.149.189.128,88.149.189.143,business,IT,AS35612 
88.149.189.144,88.149.189.151,isp,IT,AS35612 
88.149.189.152,88.149.189.183,business,IT,AS35612 
88.149.189.184,88.149.189.199,isp,IT,AS35612 
88.149.189.200,88.149.189.207,business,IT,AS35612 
88.149.189.208,88.149.189.231,isp,IT,AS35612 
88.149.189.232,88.149.189.247,business,IT,AS35612 
88.149.189.248,88.149.190.7,isp,IT,AS35612 
88.149.190.8,88.149.190.39,business,IT,AS35612 
88.149.190.40,88.149.190.71,isp,IT,AS35612 
88.149.190.72,88.149.190.95,business,IT,AS35612 
88.149.190.96,88.149.190.103,isp,IT,AS35612 
88.149.190.104,88.149.190.111,business,IT,AS35612 
88.149.190.112,88.149.190.119,isp,IT,AS35612 
88.149.190.120,88.149.190.127,business,IT,AS35612 
88.149.190.128,88.149.190.135,isp,IT,AS35612 
88.149.190.136,88.149.190.143,business,IT,AS35612 
88.149.190.144,88.149.190.167,isp,IT,AS35612 
88.149.190.168,88.149.190.183,business,IT,AS35612 
88.149.190.184,88.149.190.215,isp,IT,AS35612 
88.149.190.216,88.149.190.223,business,IT,AS35612 
88.149.190.224,88.149.190.239,isp,IT,AS35612 
88.149.190.240,88.149.190.255,business,IT,AS35612 
88.149.191.0,88.149.191.47,isp,IT,AS35612 
88.149.191.48,88.149.191.63,business,IT,AS35612 
88.149.191.64,88.149.191.87,isp,IT,AS35612 
88.149.191.88,88.149.191.95,business,IT,AS35612 
88.149.191.96,88.149.191.127,isp,IT,AS35612 
88.149.191.128,88.149.191.143,business,IT,AS35612 
88.149.191.144,88.149.191.183,isp,IT,AS35612 
88.149.191.184,88.149.191.191,business,IT,AS35612 
88.149.191.192,88.149.191.199,isp,IT,AS35612 
88.149.191.200,88.149.191.223,business,IT,AS35612 
88.149.191.224,88.149.200.119,isp,IT,AS35612 
88.149.200.120,88.149.200.135,business,IT,AS35612 
88.149.200.136,88.149.200.159,isp,IT,AS35612 
88.149.200.160,88.149.200.175,business,IT,AS35612 
88.149.200.176,88.149.200.215,isp,IT,AS35612 
88.149.200.216,88.149.200.231,business,IT,AS35612 
88.149.200.232,88.149.200.255,isp,IT,AS35612 
88.149.201.0,88.149.201.7,business,IT,AS35612 
88.149.201.8,88.149.201.15,isp,IT,AS35612 
88.149.201.16,88.149.201.39,business,IT,AS35612 
88.149.201.40,88.149.201.47,isp,IT,AS35612 
88.149.201.48,88.149.201.95,business,IT,AS35612 
88.149.201.96,88.149.201.103,isp,IT,AS35612 
88.149.201.104,88.149.201.127,business,IT,AS35612 
88.149.201.128,88.149.201.143,isp,IT,AS35612 
88.149.201.144,88.149.201.183,business,IT,AS35612 
88.149.201.184,88.149.201.239,isp,IT,AS35612 
88.149.201.240,88.149.201.255,business,IT,AS35612 
88.149.202.0,88.149.202.103,isp,IT,AS35612 
88.149.202.104,88.149.202.111,business,GB,AS35612 
88.149.202.112,88.149.202.119,isp,IT,AS35612 
88.149.202.120,88.149.202.127,business,IT,AS35612 
88.149.202.128,88.149.202.135,isp,IT,AS35612 
88.149.202.136,88.149.202.143,business,IT,AS35612 
88.149.202.144,88.149.202.191,isp,IT,AS35612 
88.149.202.192,88.149.202.199,business,IT,AS35612 
88.149.202.200,88.149.202.231,isp,IT,AS35612 
88.149.202.232,88.149.202.239,business,IT,AS35612 
88.149.202.240,88.149.204.159,isp,IT,AS35612 
88.149.204.160,88.149.204.191,business,IT,AS35612 
88.149.204.192,88.149.204.223,isp,IT,AS35612 
88.149.204.224,88.149.204.255,business,IT,AS35612 
88.149.205.0,88.149.205.143,isp,IT,AS35612 
88.149.205.144,88.149.205.191,business,IT,AS35612 
88.149.205.192,88.149.205.204,isp,IT,AS35612 
88.149.205.205,88.149.205.205,business,IT,AS35612 
88.149.205.206,88.149.206.15,isp,IT,AS35612 
88.149.206.16,88.149.206.47,business,IT,AS35612 
88.149.206.48,88.149.206.127,isp,IT,AS35612 
88.149.206.128,88.149.206.135,business,IT,AS35612 
88.149.206.136,88.149.206.207,isp,IT,AS35612 
88.149.206.208,88.149.206.255,business,IT,AS35612 
88.149.207.0,88.149.207.31,isp,IT,AS35612 
88.149.207.32,88.149.207.79,business,IT,AS35612 
88.149.207.80,88.149.207.143,isp,IT,AS35612 
88.149.207.144,88.149.207.175,business,IT,AS35612 
88.149.207.176,88.149.214.15,isp,IT,AS35612 
88.149.214.16,88.149.214.39,business,IT,AS35612 
88.149.214.40,88.149.214.87,isp,IT,AS35612 
88.149.214.88,88.149.214.119,business,IT,AS35612 
88.149.214.120,88.149.214.199,isp,IT,AS35612 
88.149.214.200,88.149.214.207,business,IT,AS35612 
88.149.214.208,88.149.214.215,isp,IT,AS35612 
88.149.214.216,88.149.214.231,business,IT,AS35612 
88.149.214.232,88.149.214.247,isp,IT,AS35612 
88.149.214.248,88.149.214.255,business,IT,AS35612 
88.149.215.0,88.149.215.7,isp,IT,AS35612 
88.149.215.8,88.149.215.15,business,IT,AS35612 
88.149.215.16,88.149.215.39,isp,IT,AS35612 
88.149.215.40,88.149.215.47,business,IT,AS35612 
88.149.215.48,88.149.215.55,isp,IT,AS35612 
88.149.215.56,88.149.215.63,business,IT,AS35612 
88.149.215.64,88.149.215.87,isp,IT,AS35612 
88.149.215.88,88.149.215.95,business,IT,AS35612 
88.149.215.96,88.149.215.119,isp,IT,AS35612 
88.149.215.120,88.149.215.127,business,IT,AS35612 
88.149.215.128,88.149.215.135,isp,IT,AS35612 
88.149.215.136,88.149.215.143,business,IT,AS35612 
88.149.215.144,88.149.215.159,isp,IT,AS35612 
88.149.215.160,88.149.215.167,business,IT,AS35612 
88.149.215.168,88.149.215.175,isp,IT,AS35612 
88.149.215.176,88.149.215.183,business,IT,AS35612 
88.149.215.184,88.149.215.255,isp,IT,AS35612 
88.149.216.0,88.149.216.15,business,IT,AS35612 
88.149.216.16,88.149.216.127,isp,IT,AS35612 
88.149.216.128,88.149.216.135,business,IT,AS35612 
88.149.216.136,88.149.216.167,isp,IT,AS35612 
88.149.216.168,88.149.216.175,business,IT,AS35612 
88.149.216.176,88.149.216.191,isp,IT,AS35612 
88.149.216.192,88.149.216.207,business,IT,AS35612 
88.149.216.208,88.149.216.215,isp,IT,AS35612 
88.149.216.216,88.149.216.223,business,IT,AS35612 
88.149.216.224,88.149.216.231,isp,IT,AS35612 
88.149.216.232,88.149.216.239,business,IT,AS35612 
88.149.216.240,88.149.216.247,isp,IT,AS35612 
88.149.216.248,88.149.216.255,business,IT,AS35612 
88.149.217.0,88.149.217.63,isp,IT,AS35612 
88.149.217.64,88.149.217.71,business,IT,AS35612 
88.149.217.72,88.149.217.95,isp,IT,AS35612 
88.149.217.96,88.149.217.103,business,IT,AS35612 
88.149.217.104,88.149.217.111,isp,IT,AS35612 
88.149.217.112,88.149.217.127,business,IT,AS35612 
88.149.217.128,88.149.217.143,isp,IT,AS35612 
88.149.217.144,88.149.217.191,business,IT,AS35612 
88.149.217.192,88.149.217.215,isp,IT,AS35612 
88.149.217.216,88.149.217.223,business,IT,AS35612 
88.149.217.224,88.149.217.239,isp,IT,AS35612 
88.149.217.240,88.149.218.7,business,IT,AS35612 
88.149.218.8,88.149.218.39,isp,IT,AS35612 
88.149.218.40,88.149.218.63,business,IT,AS35612 
88.149.218.64,88.149.218.79,isp,IT,AS35612 
88.149.218.80,88.149.218.95,business,IT,AS35612 
88.149.218.96,88.149.218.111,isp,IT,AS35612 
88.149.218.112,88.149.218.119,business,IT,AS35612 
88.149.218.120,88.149.218.127,isp,IT,AS35612 
88.149.218.128,88.149.218.135,business,IT,AS35612 
88.149.218.136,88.149.218.159,isp,IT,AS35612 
88.149.218.160,88.149.218.167,business,IT,AS35612 
88.149.218.168,88.149.218.183,isp,IT,AS35612 
88.149.218.184,88.149.218.199,business,IT,AS35612 
88.149.218.200,88.149.218.215,isp,IT,AS35612 
88.149.218.216,88.149.218.223,business,IT,AS35612 
88.149.218.224,88.149.218.239,isp,IT,AS35612 
88.149.218.240,88.149.218.247,business,IT,AS35612 
88.149.218.248,88.149.218.255,isp,IT,AS35612 
88.149.219.0,88.149.219.7,business,IT,AS35612 
88.149.219.8,88.149.219.31,isp,IT,AS35612 
88.149.219.32,88.149.219.47,business,IT,AS35612 
88.149.219.48,88.149.219.55,isp,IT,AS35612 
88.149.219.56,88.149.219.71,business,IT,AS35612 
88.149.219.72,88.149.219.79,isp,IT,AS35612 
88.149.219.80,88.149.219.103,business,IT,AS35612 
88.149.219.104,88.149.219.135,isp,IT,AS35612 
88.149.219.136,88.149.219.143,business,IT,AS35612 
88.149.219.144,88.149.219.159,isp,IT,AS35612 
88.149.219.160,88.149.219.167,business,IT,AS35612 
88.149.219.168,88.149.219.175,isp,IT,AS35612 
88.149.219.176,88.149.219.191,business,IT,AS35612 
88.149.219.192,88.149.219.199,isp,IT,AS35612 
88.149.219.200,88.149.219.207,business,IT,AS35612 
88.149.219.208,88.149.219.247,isp,IT,AS35612 
88.149.219.248,88.149.219.255,business,IT,AS35612 
88.149.220.0,88.149.220.23,isp,IT,AS35612 
88.149.220.24,88.149.220.47,business,IT,AS35612 
88.149.220.48,88.149.220.143,isp,IT,AS35612 
88.149.220.144,88.149.220.151,business,IT,AS35612 
88.149.220.152,88.149.220.191,isp,IT,AS35612 
88.149.220.192,88.149.220.199,business,IT,AS35612 
88.149.220.200,88.149.220.255,isp,IT,AS35612 
88.149.221.0,88.149.221.15,business,IT,AS35612 
88.149.221.16,88.149.221.23,isp,IT,AS35612 
88.149.221.24,88.149.221.31,business,IT,AS35612 
88.149.221.32,88.149.221.55,isp,IT,AS35612 
88.149.221.56,88.149.221.63,business,IT,AS35612 
88.149.221.64,88.149.221.79,isp,IT,AS35612 
88.149.221.80,88.149.221.95,business,IT,AS35612 
88.149.221.96,88.149.221.119,isp,IT,AS35612 
88.149.221.120,88.149.221.151,business,IT,AS35612 
88.149.221.152,88.149.221.183,isp,IT,AS35612 
88.149.221.184,88.149.221.207,business,IT,AS35612 
88.149.221.208,88.149.221.223,isp,IT,AS35612 
88.149.221.224,88.149.222.7,business,IT,AS35612 
88.149.222.8,88.149.222.23,isp,IT,AS35612 
88.149.222.24,88.149.222.31,business,IT,AS35612 
88.149.222.32,88.149.222.39,isp,IT,AS35612 
88.149.222.40,88.149.222.47,business,IT,AS35612 
88.149.222.48,88.149.222.55,isp,IT,AS35612 
88.149.222.56,88.149.222.63,business,IT,AS35612 
88.149.222.64,88.149.222.79,isp,IT,AS35612 
88.149.222.80,88.149.222.87,business,IT,AS35612 
88.149.222.88,88.149.222.111,isp,IT,AS35612 
88.149.222.112,88.149.222.119,business,IT,AS35612 
88.149.222.120,88.149.222.127,isp,IT,AS35612 
88.149.222.128,88.149.222.151,business,IT,AS35612 
88.149.222.152,88.149.222.159,isp,IT,AS35612 
88.149.222.160,88.149.222.167,business,IT,AS35612 
88.149.222.168,88.149.222.183,isp,IT,AS35612 
88.149.222.184,88.149.222.199,business,IT,AS35612 
88.149.222.200,88.149.222.207,isp,IT,AS35612 
88.149.222.208,88.149.222.215,business,IT,AS35612 
88.149.222.216,88.149.222.223,isp,IT,AS35612 
88.149.222.224,88.149.222.231,business,IT,AS35612 
88.149.222.232,88.149.222.247,isp,IT,AS35612 
88.149.222.248,88.149.223.15,business,IT,AS35612 
88.149.223.16,88.149.223.31,isp,IT,AS35612 
88.149.223.32,88.149.223.55,business,IT,AS35612 
88.149.223.56,88.149.223.63,isp,IT,AS35612 
88.149.223.64,88.149.223.71,business,IT,AS35612 
88.149.223.72,88.149.223.111,isp,IT,AS35612 
88.149.223.112,88.149.223.119,business,IT,AS35612 
88.149.223.120,88.149.223.127,isp,IT,AS35612 
88.149.223.128,88.149.223.135,business,IT,AS35612 
88.149.223.136,88.149.223.151,isp,IT,AS35612 
88.149.223.152,88.149.223.167,business,IT,AS35612 
88.149.223.168,88.149.223.175,isp,IT,AS35612 
88.149.223.176,88.149.223.183,business,IT,AS35612 
88.149.223.184,88.149.223.215,isp,IT,AS35612 
88.149.223.216,88.149.223.239,business,IT,AS35612 
88.149.223.240,88.149.228.255,isp,IT,AS35612 
88.149.229.0,88.149.229.15,business,IT,AS35612 
88.149.229.16,88.149.229.47,isp,IT,AS35612 
88.149.229.48,88.149.229.55,business,IT,AS35612 
88.149.229.56,88.149.229.63,isp,IT,AS35612 
88.149.229.64,88.149.229.71,business,IT,AS35612 
88.149.229.72,88.149.229.79,isp,IT,AS35612 
88.149.229.80,88.149.229.95,business,IT,AS35612 
88.149.229.96,88.149.229.103,isp,IT,AS35612 
88.149.229.104,88.149.229.111,business,IT,AS35612 
88.149.229.112,88.149.229.127,isp,IT,AS35612 
88.149.229.128,88.149.229.143,business,IT,AS35612 
88.149.229.144,88.149.229.151,isp,IT,AS35612 
88.149.229.152,88.149.229.175,business,IT,AS35612 
88.149.229.176,88.149.229.183,isp,IT,AS35612 
88.149.229.184,88.149.229.191,business,IT,AS35612 
88.149.229.192,88.149.229.215,isp,IT,AS35612 
88.149.229.216,88.149.229.223,business,IT,AS35612 
88.149.229.224,88.149.229.239,isp,IT,AS35612 
88.149.229.240,88.149.229.255,business,IT,AS35612 
88.149.230.0,88.149.231.7,isp,IT,AS35612 
88.149.231.8,88.149.231.15,business,IT,AS35612 
88.149.231.16,88.149.231.23,isp,IT,AS35612 
88.149.231.24,88.149.231.31,business,IT,AS35612 
88.149.231.32,88.149.231.39,isp,IT,AS35612 
88.149.231.40,88.149.231.47,business,IT,AS35612 
88.149.231.48,88.149.231.71,isp,IT,AS35612 
88.149.231.72,88.149.231.79,business,IT,AS35612 
88.149.231.80,88.149.231.111,isp,IT,AS35612 
88.149.231.112,88.149.231.119,business,IT,AS35612 
88.149.231.120,88.149.231.215,isp,IT,AS35612 
