88.205.0.0,88.205.15.255,hosting,DE,AS12676 
88.205.103.240,88.205.103.255,business,DE,AS12676 
88.205.104.0,88.205.104.7,hosting,DE,AS12676 
88.205.104.8,88.205.104.15,hosting,NL,AS12676 
88.205.104.16,88.205.104.31,hosting,US,AS12676 
88.205.104.32,88.205.104.35,hosting,GB,AS12676 
88.205.104.36,88.205.104.215,hosting,DE,AS12676 
88.205.104.216,88.205.104.223,hosting,US,AS12676 
88.205.104.224,88.205.104.255,hosting,DE,AS12676 
88.205.105.0,88.205.105.31,hosting,US,AS12676 
88.205.105.32,88.205.105.47,hosting,DE,AS12676 
88.205.105.48,88.205.105.55,hosting,PL,AS12676 
88.205.105.56,88.205.105.207,hosting,DE,AS12676 
88.205.105.208,88.205.105.211,hosting,SK,AS12676 
88.205.105.212,88.205.105.215,isp,NL,AS12676 
88.205.105.216,88.205.105.223,hosting,DE,AS12676 
88.205.105.224,88.205.105.227,hosting,US,AS12676 
88.205.105.228,88.205.105.231,hosting,GB,AS12676 
88.205.105.232,88.205.105.235,hosting,US,AS12676 
88.205.105.236,88.205.105.255,hosting,DE,AS12676 
88.205.106.0,88.205.106.63,hosting,CH,AS12676 
88.205.106.64,88.205.106.79,hosting,DE,AS12676 
88.205.106.80,88.205.106.95,hosting,FR,AS12676 
88.205.106.96,88.205.107.255,hosting,DE,AS12676 
88.205.108.0,88.205.108.63,business,GB,AS12676 
88.205.108.64,88.205.108.127,business,US,AS12676 
88.205.108.128,88.205.108.135,hosting,DE,AS12676 
88.205.108.136,88.205.108.159,business,DE,AS12676 
88.205.108.160,88.205.108.167,business,US,AS12676 
88.205.108.168,88.205.109.15,hosting,DE,AS12676 
88.205.109.16,88.205.109.31,hosting,IE,AS12676 
88.205.109.32,88.205.109.39,hosting,AT,AS12676 
88.205.109.40,88.205.109.47,hosting,DE,AS12676 
88.205.109.48,88.205.109.63,hosting,US,AS12676 
88.205.109.64,88.205.109.71,hosting,DE,AS12676 
88.205.109.72,88.205.109.75,hosting,PL,AS12676 
88.205.109.76,88.205.109.79,hosting,DE,AS12676 
88.205.109.80,88.205.109.87,hosting,IE,AS12676 
88.205.109.88,88.205.109.91,hosting,DE,AS12676 
88.205.109.92,88.205.109.95,hosting,SE,AS12676 
88.205.109.96,88.205.109.111,hosting,DE,AS12676 
88.205.109.112,88.205.109.119,hosting,IE,AS12676 
88.205.109.120,88.205.109.127,hosting,DE,AS12676 
88.205.109.128,88.205.109.143,hosting,US,AS12676 
88.205.109.144,88.205.109.159,hosting,DE,AS12676 
88.205.109.160,88.205.109.191,isp,DE,AS12676 
88.205.109.192,88.205.109.255,hosting,DE,AS12676 
88.205.110.0,88.205.110.15,business,DE,AS12676 
88.205.110.16,88.205.122.255,hosting,DE,AS12676 
88.205.123.0,88.205.123.255,business,DE,AS12676 
88.205.124.0,88.205.127.255,hosting,DE,AS12676 
88.205.128.0,88.205.191.255,isp,RU,AS12389 
88.205.192.0,88.205.207.255,business,RU,AS12389 
88.205.208.0,88.205.215.255,isp,RU,AS12389 
88.205.216.0,88.205.231.255,business,RU,AS12389 
88.205.232.0,88.205.232.255,isp,RU,AS12389 
88.205.233.0,88.205.249.255,business,RU,AS12389 
88.205.250.0,88.205.251.255,isp,RU,AS12389 
88.205.252.0,88.205.255.255,business,RU,AS12389 
