177.105.0.0,177.105.63.255,government,BR,AS52853 
177.105.72.64,177.105.72.67,business,BR,AS262637 
177.105.72.68,177.105.72.71,isp,BR,AS262637 
177.105.72.72,177.105.72.83,business,BR,AS262637 
177.105.72.84,177.105.72.95,isp,BR,AS262637 
177.105.72.96,177.105.72.99,business,BR,AS262637 
177.105.72.100,177.105.72.103,isp,BR,AS262637 
177.105.72.104,177.105.72.111,business,BR,AS262637 
177.105.72.112,177.105.72.131,isp,BR,AS262637 
177.105.72.132,177.105.72.135,business,BR,AS262637 
177.105.72.136,177.105.72.151,isp,BR,AS262637 
177.105.72.152,177.105.72.155,business,BR,AS262637 
177.105.72.156,177.105.72.171,isp,BR,AS262637 
177.105.72.172,177.105.72.179,business,BR,AS262637 
177.105.72.180,177.105.72.191,isp,BR,AS262637 
177.105.72.192,177.105.72.199,business,BR,AS262637 
177.105.72.200,177.105.72.243,isp,BR,AS262637 
177.105.72.244,177.105.72.247,business,BR,AS262637 
177.105.72.248,177.105.76.218,isp,BR,AS262637 
177.105.76.219,177.105.76.219,business,BR,AS262637 
177.105.76.220,177.105.78.157,isp,BR,AS262637 
177.105.78.158,177.105.78.158,business,BR,AS262637 
177.105.78.159,177.105.78.174,isp,BR,AS262637 
177.105.78.175,177.105.78.175,business,BR,AS262637 
177.105.78.176,177.105.79.255,isp,BR,AS262637 
177.105.80.0,177.105.95.255,isp,BR,AS52855 
177.105.96.0,177.105.111.255,education,BR,AS262639 
177.105.112.0,177.105.115.7,isp,BR,AS262643 
177.105.115.8,177.105.115.15,business,BR,AS262643 
177.105.115.16,177.105.115.183,isp,BR,AS262643 
177.105.115.184,177.105.115.191,business,BR,AS262643 
177.105.115.192,177.105.115.215,isp,BR,AS262643 
177.105.115.216,177.105.115.231,business,BR,AS262643 
177.105.115.232,177.105.127.255,isp,BR,AS262643 
177.105.128.0,177.105.143.255,isp,BR,AS28634 
177.105.144.0,177.105.150.191,isp,BR,AS262462 
177.105.150.192,177.105.150.207,business,BR,AS262462 
177.105.150.208,177.105.159.255,isp,BR,AS262462 
177.105.160.0,177.105.168.29,isp,BR,AS262645 
177.105.168.30,177.105.168.30,business,BR,AS262645 
177.105.168.31,177.105.168.39,isp,BR,AS262645 
177.105.168.40,177.105.168.40,business,BR,AS262645 
177.105.168.41,177.105.169.255,isp,BR,AS262645 
177.105.170.0,177.105.170.255,business,BR,AS262645 
177.105.171.0,177.105.171.255,isp,BR,AS262645 
177.105.172.0,177.105.172.255,business,BR,AS262645 
177.105.173.0,177.105.175.31,isp,BR,AS262645 
177.105.175.32,177.105.175.47,business,BR,AS262645 
177.105.175.48,177.105.175.91,isp,BR,AS262645 
177.105.175.92,177.105.175.103,business,BR,AS262645 
177.105.175.104,177.105.175.119,isp,BR,AS262645 
177.105.175.120,177.105.175.127,business,BR,AS262645 
177.105.175.128,177.105.175.148,isp,BR,AS262645 
177.105.175.149,177.105.175.149,business,BR,AS262645 
177.105.175.150,177.105.175.215,isp,BR,AS262645 
177.105.175.216,177.105.175.216,business,BR,AS262645 
177.105.175.217,177.105.175.255,isp,BR,AS262645 
177.105.176.0,177.105.191.255,isp,BR,AS262649 
177.105.192.0,177.105.195.255,business,BR,AS262651 
177.105.196.0,177.105.199.255,isp,BR,AS271672 
177.105.200.0,177.105.203.255,isp,BR,AS271663 
177.105.204.0,177.105.207.255,isp,BR,AS271707 
177.105.208.0,177.105.223.255,isp,BR,AS262653 
177.105.224.0,177.105.239.255,isp,BR,AS262313 
177.105.240.0,177.105.243.255,isp,BR,AS263609 
177.105.244.0,177.105.245.255,isp,BR,AS262314 
177.105.246.0,177.105.246.255,isp,BR,AS266636 
177.105.247.0,177.105.247.255,business,BR,AS262314 
177.105.248.0,177.105.251.255,business,BR,AS273720 
177.105.252.0,177.105.255.255,isp,BR,AS28132 
