203.113.0.0,203.113.28.127,isp,TH 
203.113.157.52,203.113.157.67,business,VN 
203.113.157.68,203.113.157.71,isp,VN 
203.113.157.72,203.113.157.91,business,VN 
203.113.157.92,203.113.157.95,isp,VN 
203.113.157.96,203.113.157.103,business,VN 
203.113.157.104,203.113.157.107,isp,VN 
203.113.157.108,203.113.157.127,business,VN 
203.113.157.128,203.113.157.131,isp,VN 
203.113.157.132,203.113.157.139,business,VN 
203.113.157.140,203.113.157.147,isp,VN 
203.113.157.148,203.113.157.151,business,VN 
203.113.157.152,203.113.157.155,isp,VN 
203.113.157.156,203.113.157.171,business,VN 
203.113.157.172,203.113.157.175,isp,VN 
203.113.157.176,203.113.157.179,business,VN 
203.113.157.180,203.113.157.235,isp,VN 
203.113.157.236,203.113.159.255,business,VN 
203.113.160.0,203.113.191.255,isp,VN 
203.113.192.0,203.113.192.87,business,AU 
203.113.192.88,203.113.192.91,education,AU 
203.113.192.92,203.113.192.159,business,AU 
203.113.192.160,203.113.192.163,education,AU 
203.113.192.164,203.113.193.119,business,AU 
203.113.193.120,203.113.193.123,education,AU 
203.113.193.124,203.113.193.135,business,AU 
203.113.193.136,203.113.193.139,education,AU 
203.113.193.140,203.113.193.186,business,AU 
203.113.193.187,203.113.193.187,isp,AU 
203.113.193.188,203.113.193.255,business,AU 
203.113.194.0,203.113.194.0,isp,AU 
203.113.194.1,203.113.194.68,business,AU 
203.113.194.69,203.113.194.69,education,AU 
203.113.194.70,203.113.194.255,business,AU 
203.113.195.0,203.113.195.0,isp,AU 
203.113.195.1,203.113.195.83,business,AU 
203.113.195.84,203.113.195.87,isp,AU 
203.113.195.88,203.113.195.207,business,AU 
203.113.195.208,203.113.195.223,education,AU 
203.113.195.224,203.113.195.255,business,AU 
203.113.196.0,203.113.245.255,isp,AU 
203.113.246.0,203.113.246.35,business,AU 
203.113.246.36,203.113.246.63,isp,AU 
203.113.246.64,203.113.246.95,business,AU 
203.113.246.96,203.113.248.255,isp,AU 
203.113.249.0,203.113.249.31,business,AU 
203.113.249.32,203.113.251.255,isp,AU 
203.113.252.0,203.113.252.27,business,AU 
203.113.252.28,203.113.252.31,education,AU 
203.113.252.32,203.113.252.187,business,AU 
203.113.252.188,203.113.252.191,isp,AU 
203.113.252.192,203.113.252.229,business,AU 
203.113.252.230,203.113.252.231,isp,AU 
203.113.252.232,203.113.253.11,business,AU 
203.113.253.12,203.113.253.15,isp,AU 
203.113.253.16,203.113.253.19,business,AU 
203.113.253.20,203.113.253.23,isp,AU 
203.113.253.24,203.113.253.79,business,AU 
203.113.253.80,203.113.253.87,education,AU 
203.113.253.88,203.113.253.187,business,AU 
203.113.253.188,203.113.253.191,isp,AU 
203.113.253.192,203.113.253.215,business,AU 
203.113.253.216,203.113.253.219,isp,AU 
203.113.253.220,203.113.254.91,business,AU 
203.113.254.92,203.113.254.95,isp,AU 
203.113.254.96,203.113.254.223,business,AU 
203.113.254.224,203.113.255.255,isp,AU 
