203.143.0.0,203.143.20.255,business,LK 
203.143.192.0,203.143.225.247,isp,AU 
203.143.225.248,203.143.225.255,business,AU 
203.143.226.0,203.143.226.23,isp,AU 
203.143.226.24,203.143.226.31,business,AU 
203.143.226.32,203.143.226.63,isp,AU 
203.143.226.64,203.143.226.71,business,AU 
203.143.226.72,203.143.226.95,isp,AU 
203.143.226.96,203.143.226.111,education,AU 
203.143.226.112,203.143.227.127,isp,AU 
203.143.227.128,203.143.227.151,business,AU 
203.143.227.152,203.143.227.159,isp,AU 
203.143.227.160,203.143.227.175,business,AU 
203.143.227.176,203.143.227.191,isp,AU 
203.143.227.192,203.143.227.199,business,AU 
203.143.227.200,203.143.227.223,isp,AU 
203.143.227.224,203.143.227.231,business,AU 
203.143.227.232,203.143.228.15,isp,AU 
203.143.228.16,203.143.228.31,business,AU 
203.143.228.32,203.143.235.7,isp,AU 
203.143.235.8,203.143.235.31,business,AU 
203.143.235.32,203.143.235.119,isp,AU 
203.143.235.120,203.143.235.127,business,AU 
203.143.235.128,203.143.236.55,isp,AU 
203.143.236.56,203.143.236.63,business,AU 
203.143.236.64,203.143.236.79,isp,AU 
203.143.236.80,203.143.236.87,business,AU 
203.143.236.88,203.143.236.111,isp,AU 
203.143.236.112,203.143.236.119,business,AU 
203.143.236.120,203.143.236.151,isp,AU 
203.143.236.152,203.143.236.167,business,AU 
203.143.236.168,203.143.236.207,isp,AU 
203.143.236.208,203.143.236.215,business,AU 
203.143.236.216,203.143.236.223,isp,AU 
203.143.236.224,203.143.236.231,business,AU 
203.143.236.232,203.143.236.255,isp,AU 
203.143.237.0,203.143.237.15,business,AU 
203.143.237.16,203.143.237.95,isp,AU 
203.143.237.96,203.143.237.127,business,AU 
203.143.237.128,203.143.237.199,isp,AU 
203.143.237.200,203.143.237.207,business,AU 
203.143.237.208,203.143.237.223,isp,AU 
203.143.237.224,203.143.237.231,business,AU 
203.143.237.232,203.143.242.47,isp,AU 
203.143.242.48,203.143.242.55,business,AU 
203.143.242.56,203.143.242.87,isp,AU 
203.143.242.88,203.143.242.103,business,AU 
203.143.242.104,203.143.242.111,isp,AU 
203.143.242.112,203.143.242.127,business,AU 
203.143.242.128,203.144.3.255,isp,AU 
