203.141.0.0,203.141.31.255,isp,JP,AS2514 
203.141.240.0,203.141.243.255,isp,JP,AS2514 
203.141.244.0,203.141.244.63,business,JP,AS2514 
203.141.244.64,203.141.244.127,isp,JP,AS2514 
203.141.244.128,203.141.244.255,business,JP,AS2514 
203.141.245.0,203.141.245.143,isp,JP,AS2514 
203.141.245.144,203.141.246.255,business,JP,AS2514 
203.141.247.0,203.141.250.255,isp,JP,AS2514 
203.141.251.0,203.141.252.255,business,JP,AS2514 
203.141.253.0,203.141.253.127,isp,JP,AS2514 
203.141.253.128,203.141.253.255,business,JP,AS2514 
203.141.254.0,203.141.255.255,isp,JP,AS2514 
