206.125.0.0,206.125.31.255,business,US, 
206.125.134.96,206.125.134.103,business,US,AS15129 
206.125.134.104,206.125.134.159,isp,US,AS15129 
206.125.134.160,206.125.134.167,business,US,AS15129 
206.125.134.168,206.125.134.183,isp,US,AS15129 
206.125.134.184,206.125.134.191,business,US,AS15129 
206.125.134.192,206.125.134.239,isp,US,AS15129 
206.125.134.240,206.125.134.255,business,US,AS15129 
206.125.135.0,206.125.136.71,isp,US,AS15129 
206.125.136.72,206.125.136.79,business,US,AS15129 
206.125.136.80,206.125.136.103,isp,US,AS15129 
206.125.136.104,206.125.136.111,business,US,AS15129 
206.125.136.112,206.125.136.191,isp,US,AS15129 
206.125.136.192,206.125.136.207,business,US,AS15129 
206.125.136.208,206.125.136.231,isp,US,AS15129 
206.125.136.232,206.125.136.239,business,US,AS15129 
206.125.136.240,206.125.143.255,isp,US,AS15129 
206.125.144.0,206.125.151.255,isp,US,AS393821 
206.125.152.0,206.125.153.255,isp,US,AS394598 
206.125.154.0,206.125.159.255,isp,US,AS23188 
206.125.160.0,206.125.163.255,business,US, 
206.125.164.0,206.125.167.255,business,CA, 
206.125.168.0,206.125.168.31,hosting,US,AS25795 
206.125.168.32,206.125.168.47,hosting,JP,AS25795 
206.125.168.48,206.125.168.159,hosting,US,AS25795 
206.125.168.160,206.125.168.175,hosting,VN,AS25795 
206.125.168.176,206.125.169.39,hosting,US,AS25795 
206.125.169.40,206.125.169.47,hosting,CA,AS25795 
206.125.169.48,206.125.171.63,hosting,US,AS25795 
206.125.171.64,206.125.171.71,hosting,AT,AS25795 
206.125.171.72,206.125.173.15,hosting,US,AS25795 
206.125.173.16,206.125.173.31,business,US,AS25795 
206.125.173.32,206.125.173.111,hosting,US,AS25795 
206.125.173.112,206.125.173.119,business,LA,AS25795 
206.125.173.120,206.125.175.255,hosting,US,AS25795 
206.125.176.0,206.125.191.255,business,US,AS7018 
206.125.192.0,206.125.199.255,isp,US, 
206.125.200.0,206.125.207.255,isp,CA,AS32277 
206.125.208.0,206.125.223.255,hosting,US,AS29873 
206.125.224.0,206.125.255.255,isp,US, 
