108.171.0.0,108.171.31.255,education,US, 
108.171.165.0,108.171.165.23,hosting,US,AS19994 
108.171.165.24,108.171.165.103,hosting,US,AS33070 
108.171.165.104,108.171.165.111,hosting,US,AS19994 
108.171.165.112,108.171.165.119,hosting,US,AS33070 
108.171.165.120,108.171.165.143,hosting,US,AS19994 
108.171.165.144,108.171.165.151,hosting,US,AS33070 
108.171.165.152,108.171.165.159,hosting,US,AS19994 
108.171.165.160,108.171.165.183,hosting,US,AS33070 
108.171.165.184,108.171.165.199,hosting,US,AS19994 
108.171.165.200,108.171.165.223,hosting,US,AS33070 
108.171.165.224,108.171.165.231,hosting,US,AS19994 
108.171.165.232,108.171.165.255,hosting,US,AS33070 
108.171.166.0,108.171.166.7,hosting,US,AS19994 
108.171.166.8,108.171.166.39,hosting,US,AS33070 
108.171.166.40,108.171.166.47,education,US,AS19994 
108.171.166.48,108.171.166.55,hosting,US,AS19994 
108.171.166.56,108.171.166.71,hosting,US,AS33070 
108.171.166.72,108.171.166.111,hosting,US,AS19994 
108.171.166.112,108.171.166.127,hosting,US,AS33070 
108.171.166.128,108.171.166.135,hosting,US,AS19994 
108.171.166.136,108.171.166.167,hosting,US,AS33070 
108.171.166.168,108.171.166.175,hosting,US,AS19994 
108.171.166.176,108.171.166.215,hosting,US,AS33070 
108.171.166.216,108.171.166.223,hosting,US,AS19994 
108.171.166.224,108.171.166.231,hosting,US,AS33070 
108.171.166.232,108.171.166.239,hosting,US,AS19994 
108.171.166.240,108.171.167.23,hosting,US,AS33070 
108.171.167.24,108.171.167.31,hosting,US,AS19994 
108.171.167.32,108.171.167.39,hosting,US,AS33070 
108.171.167.40,108.171.167.47,hosting,US,AS19994 
108.171.167.48,108.171.167.55,hosting,US,AS33070 
108.171.167.56,108.171.167.63,hosting,US,AS19994 
108.171.167.64,108.171.167.151,hosting,US,AS33070 
108.171.167.152,108.171.167.159,hosting,US,AS19994 
108.171.167.160,108.171.167.167,hosting,US,AS33070 
108.171.167.168,108.171.167.183,hosting,US,AS19994 
108.171.167.184,108.171.167.199,hosting,US,AS33070 
108.171.167.200,108.171.167.207,hosting,US,AS19994 
108.171.167.208,108.171.167.215,hosting,US,AS33070 
108.171.167.216,108.171.167.231,hosting,US,AS19994 
108.171.167.232,108.171.167.255,hosting,US,AS33070 
108.171.168.0,108.171.168.7,hosting,US,AS19994 
108.171.168.8,108.171.168.11,hosting,US,AS33070 
108.171.168.12,108.171.168.15,hosting,US,AS19994 
108.171.168.16,108.171.168.27,hosting,US,AS33070 
108.171.168.28,108.171.168.31,hosting,US,AS19994 
108.171.168.32,108.171.168.35,hosting,US,AS33070 
108.171.168.36,108.171.168.43,hosting,US,AS19994 
108.171.168.44,108.171.168.47,hosting,US,AS33070 
108.171.168.48,108.171.168.51,hosting,AU,AS19994 
108.171.168.52,108.171.168.67,hosting,US,AS33070 
108.171.168.68,108.171.168.71,hosting,US,AS19994 
108.171.168.72,108.171.168.79,hosting,US,AS33070 
108.171.168.80,108.171.168.83,hosting,US,AS19994 
108.171.168.84,108.171.168.107,hosting,US,AS33070 
108.171.168.108,108.171.168.111,hosting,US,AS19994 
108.171.168.112,108.171.168.119,hosting,US,AS33070 
108.171.168.120,108.171.168.127,hosting,US,AS19994 
108.171.168.128,108.171.168.143,hosting,US,AS33070 
108.171.168.144,108.171.168.147,hosting,US,AS19994 
108.171.168.148,108.171.168.155,hosting,US,AS33070 
108.171.168.156,108.171.168.159,hosting,US,AS19994 
108.171.168.160,108.171.168.167,hosting,US,AS33070 
108.171.168.168,108.171.168.171,hosting,US,AS19994 
108.171.168.172,108.171.168.187,hosting,US,AS33070 
108.171.168.188,108.171.168.195,hosting,US,AS19994 
108.171.168.196,108.171.168.207,hosting,US,AS33070 
108.171.168.208,108.171.168.211,hosting,US,AS19994 
108.171.168.212,108.171.168.227,hosting,US,AS33070 
108.171.168.228,108.171.168.231,hosting,US,AS19994 
108.171.168.232,108.171.168.243,hosting,US,AS33070 
108.171.168.244,108.171.168.247,hosting,US,AS19994 
108.171.168.248,108.171.169.7,hosting,US,AS33070 
108.171.169.8,108.171.169.11,hosting,US,AS19994 
108.171.169.12,108.171.169.31,hosting,US,AS33070 
108.171.169.32,108.171.169.35,hosting,US,AS19994 
108.171.169.36,108.171.169.51,hosting,US,AS33070 
108.171.169.52,108.171.169.63,hosting,US,AS19994 
108.171.169.64,108.171.169.67,hosting,US,AS33070 
108.171.169.68,108.171.169.71,hosting,US,AS19994 
108.171.169.72,108.171.169.79,hosting,US,AS33070 
108.171.169.80,108.171.169.83,hosting,US,AS19994 
108.171.169.84,108.171.169.91,hosting,US,AS33070 
108.171.169.92,108.171.169.95,hosting,US,AS19994 
108.171.169.96,108.171.169.103,hosting,US,AS33070 
108.171.169.104,108.171.169.107,hosting,US,AS19994 
108.171.169.108,108.171.169.111,hosting,US,AS33070 
108.171.169.112,108.171.169.115,hosting,US,AS19994 
108.171.169.116,108.171.169.119,hosting,US,AS33070 
108.171.169.120,108.171.169.123,isp,US,AS19994 
108.171.169.124,108.171.169.127,hosting,US,AS33070 
108.171.169.128,108.171.169.135,hosting,US,AS19994 
108.171.169.136,108.171.169.143,hosting,US,AS33070 
108.171.169.144,108.171.169.187,hosting,US,AS19994 
108.171.169.188,108.171.169.191,hosting,US,AS33070 
108.171.169.192,108.171.169.199,hosting,US,AS19994 
108.171.169.200,108.171.169.219,hosting,US,AS33070 
108.171.169.220,108.171.169.223,hosting,US,AS19994 
108.171.169.224,108.171.169.227,hosting,US,AS33070 
108.171.169.228,108.171.169.231,hosting,US,AS19994 
108.171.169.232,108.171.169.235,hosting,US,AS33070 
108.171.169.236,108.171.169.247,hosting,US,AS19994 
108.171.169.248,108.171.169.251,hosting,US,AS33070 
108.171.169.252,108.171.169.255,hosting,US,AS19994 
108.171.170.0,108.171.170.11,hosting,US,AS33070 
108.171.170.12,108.171.170.13,hosting,US,AS19994 
108.171.170.14,108.171.170.15,hosting,US,AS33070 
108.171.170.16,108.171.170.39,hosting,US,AS19994 
108.171.170.40,108.171.170.55,hosting,US,AS33070 
108.171.170.56,108.171.170.71,hosting,US,AS19994 
108.171.170.72,108.171.170.111,hosting,US,AS33070 
108.171.170.112,108.171.170.119,hosting,US,AS19994 
108.171.170.120,108.171.170.123,hosting,US,AS33070 
108.171.170.124,108.171.170.125,hosting,US,AS19994 
108.171.170.126,108.171.170.135,hosting,US,AS33070 
108.171.170.136,108.171.170.139,hosting,US,AS19994 
108.171.170.140,108.171.170.151,hosting,US,AS33070 
108.171.170.152,108.171.170.155,hosting,US,AS19994 
108.171.170.156,108.171.170.163,hosting,US,AS33070 
108.171.170.164,108.171.170.167,hosting,US,AS19994 
108.171.170.168,108.171.170.175,hosting,US,AS33070 
108.171.170.176,108.171.170.191,hosting,NZ,AS19994 
108.171.170.192,108.171.170.199,hosting,US,AS19994 
108.171.170.200,108.171.170.207,hosting,US,AS33070 
108.171.170.208,108.171.170.255,hosting,US,AS19994 
108.171.171.0,108.171.171.31,hosting,US,AS33070 
108.171.171.32,108.171.171.63,hosting,US,AS19994 
108.171.171.64,108.171.171.127,hosting,US,AS33070 
108.171.171.128,108.171.171.159,hosting,US,AS19994 
108.171.171.160,108.171.171.223,hosting,US,AS33070 
108.171.171.224,108.171.171.255,hosting,US,AS19994 
108.171.172.0,108.171.191.255,hosting,US,AS33070 
108.171.192.0,108.171.208.255,hosting,US,AS18450 
108.171.209.0,108.171.209.31,business,US,AS18450 
108.171.209.32,108.171.223.255,hosting,US,AS18450 
108.171.224.0,108.171.239.255,isp,US, 
108.171.240.0,108.171.255.255,business,US, 
