78.137.0.0,78.137.63.255,isp,UA,AS25133 
78.137.178.144,78.137.178.151,business,GB,AS31122 
78.137.178.152,78.137.178.159,isp,IE,AS31122 
78.137.178.160,78.137.178.167,business,IE,AS31122 
78.137.178.168,78.137.178.175,isp,IE,AS31122 
78.137.178.176,78.137.178.191,business,IE,AS31122 
78.137.178.192,78.137.178.215,isp,IE,AS31122 
78.137.178.216,78.137.178.223,isp,,AS31122 
78.137.178.224,78.137.178.239,isp,IE,AS31122 
78.137.178.240,78.137.178.247,business,IE,AS31122 
78.137.178.248,78.137.179.143,isp,IE,AS31122 
78.137.179.144,78.137.179.159,business,IE,AS31122 
78.137.179.160,78.137.179.183,isp,IE,AS31122 
78.137.179.184,78.137.179.191,business,IE,AS31122 
78.137.179.192,78.137.179.223,isp,IE,AS31122 
78.137.179.224,78.137.179.255,business,IE,AS31122 
78.137.180.0,78.137.180.255,isp,,AS31122 
78.137.181.0,78.137.181.255,isp,IE,AS31122 
78.137.182.0,78.137.182.15,isp,,AS31122 
78.137.182.16,78.137.182.23,business,IE,AS31122 
78.137.182.24,78.137.187.255,isp,,AS31122 
78.137.188.0,78.137.189.255,isp,GB,AS31122 
78.137.190.0,78.137.190.103,isp,IE,AS31122 
78.137.190.104,78.137.190.111,isp,,AS31122 
78.137.190.112,78.137.190.127,isp,IE,AS31122 
78.137.190.128,78.137.190.175,isp,,AS31122 
78.137.190.176,78.137.190.207,isp,IE,AS31122 
78.137.190.208,78.137.190.215,business,IE,AS31122 
78.137.190.216,78.137.190.223,isp,,AS31122 
78.137.190.224,78.137.190.239,business,IE,AS31122 
78.137.190.240,78.137.191.255,isp,IE,AS31122 
78.137.192.0,78.137.255.255,isp,PT,AS12353 
