77.95.81.0,77.95.81.207,hosting,GB,AS198949 
77.95.81.208,77.95.81.216,business,GB,AS19229 
77.95.81.217,77.95.81.217,hosting,GB,AS198949 
77.95.81.218,77.95.81.223,business,GB,AS19229 
77.95.81.224,77.95.81.239,hosting,GB,AS198949 
77.95.81.240,77.95.81.255,business,GB,AS19229 
77.95.82.0,77.95.82.47,hosting,GB,AS19229 
77.95.82.48,77.95.82.79,business,GB,AS19229 
77.95.82.80,77.95.82.87,hosting,GB,AS19229 
77.95.82.88,77.95.82.95,business,GB,AS19229 
77.95.82.96,77.95.82.159,hosting,GB,AS19229 
77.95.82.160,77.95.82.175,business,GB,AS19229 
77.95.82.176,77.95.82.199,hosting,GB,AS19229 
77.95.82.200,77.95.82.207,business,GB,AS19229 
77.95.82.208,77.95.82.215,hosting,GB,AS19229 
77.95.82.216,77.95.82.223,business,GB,AS19229 
77.95.82.224,77.95.82.243,hosting,GB,AS19229 
77.95.82.244,77.95.83.127,business,GB,AS19229 
77.95.83.128,77.95.83.223,education,GB,AS19229 
77.95.83.224,77.95.83.239,business,GB,AS19229 
77.95.83.240,77.95.83.255,education,GB,AS19229 
77.95.84.0,77.95.84.63,hosting,GB,AS19229 
77.95.84.64,77.95.84.95,business,GB,AS19229 
77.95.84.96,77.95.84.151,hosting,GB,AS19229 
77.95.84.152,77.95.84.159,business,GB,AS19229 
77.95.84.160,77.95.84.175,hosting,GB,AS19229 
77.95.84.176,77.95.84.239,business,GB,AS19229 
77.95.84.240,77.95.84.255,hosting,GB,AS19229 
77.95.85.0,77.95.87.255,business,GB,AS19229 
77.95.88.0,77.95.95.255,isp,RU,AS43087 
77.95.96.0,77.95.96.255,business,NL,AS34756 
77.95.97.0,77.95.97.7,hosting,NL,AS34756 
77.95.97.8,77.95.97.15,business,NL,AS34756 
77.95.97.16,77.95.97.31,isp,NL,AS34756 
77.95.97.32,77.95.97.71,business,NL,AS34756 
77.95.97.72,77.95.97.79,hosting,NL,AS34756 
77.95.97.80,77.95.97.127,isp,NL,AS34756 
77.95.97.128,77.95.97.135,business,NL,AS34756 
77.95.97.136,77.95.97.143,isp,NL,AS34756 
77.95.97.144,77.95.97.151,hosting,NL,AS34756 
77.95.97.152,77.95.97.191,isp,NL,AS34756 
77.95.97.192,77.95.97.239,business,NL,AS34756 
77.95.97.240,77.95.98.19,isp,NL,AS34756 
77.95.98.20,77.95.98.39,business,NL,AS34756 
77.95.98.40,77.95.98.63,isp,NL,AS34756 
77.95.98.64,77.95.98.255,business,NL,AS34756 
77.95.99.0,77.95.99.39,isp,NL,AS34756 
77.95.99.40,77.95.99.47,business,NL,AS34756 
77.95.99.48,77.95.99.51,hosting,NL,AS34756 
77.95.99.52,77.95.99.143,business,NL,AS34756 
77.95.99.144,77.95.99.151,isp,NL,AS34756 
77.95.99.152,77.95.99.159,hosting,NL,AS34756 
77.95.99.160,77.95.99.191,isp,NL,AS34756 
77.95.99.192,77.95.99.199,business,NL,AS34756 
77.95.99.200,77.95.99.215,isp,NL,AS34756 
77.95.99.216,77.95.100.15,business,NL,AS34756 
77.95.100.16,77.95.100.47,isp,NL,AS34756 
77.95.100.48,77.95.100.63,hosting,NL,AS34756 
77.95.100.64,77.95.100.79,isp,NL,AS34756 
77.95.100.80,77.95.100.87,hosting,NL,AS34756 
77.95.100.88,77.95.100.91,isp,NL,AS34756 
77.95.100.92,77.95.100.95,hosting,NL,AS34756 
77.95.100.96,77.95.100.127,business,NL,AS34756 
77.95.100.128,77.95.100.167,isp,NL,AS34756 
77.95.100.168,77.95.100.175,business,NL,AS34756 
77.95.100.176,77.95.100.215,isp,NL,AS34756 
77.95.100.216,77.95.100.223,business,NL,AS34756 
77.95.100.224,77.95.100.239,isp,NL,AS34756 
77.95.100.240,77.95.101.95,business,NL,AS34756 
77.95.101.96,77.95.101.111,hosting,NL,AS34756 
77.95.101.112,77.95.101.119,business,NL,AS34756 
77.95.101.120,77.95.101.127,hosting,NL,AS34756 
77.95.101.128,77.95.101.191,business,NL,AS34756 
77.95.101.192,77.95.101.199,hosting,NL,AS34756 
77.95.101.200,77.95.101.239,business,NL,AS34756 
77.95.101.240,77.95.101.255,hosting,NL,AS34756 
77.95.102.0,77.95.102.71,business,NL,AS34756 
77.95.102.72,77.95.102.95,hosting,NL,AS34756 
77.95.102.96,77.95.102.111,business,NL,AS34756 
77.95.102.112,77.95.102.127,hosting,NL,AS34756 
77.95.102.128,77.95.103.39,business,NL,AS34756 
