77.239.0.0,77.239.31.255,isp,BA,AS42560 
77.239.136.152,77.239.136.215,isp,IT,AS30848 
77.239.136.216,77.239.136.223,business,IT,AS30848 
77.239.136.224,77.239.137.31,isp,IT,AS30848 
77.239.137.32,77.239.137.47,business,IT,AS30848 
77.239.137.48,77.239.137.63,isp,IT,AS30848 
77.239.137.64,77.239.137.95,business,IT,AS30848 
77.239.137.96,77.239.137.127,isp,IT,AS30848 
77.239.137.128,77.239.137.143,business,IT,AS30848 
77.239.137.144,77.239.137.223,isp,IT,AS30848 
77.239.137.224,77.239.137.231,business,IT,AS30848 
77.239.137.232,77.239.138.35,isp,IT,AS30848 
77.239.138.36,77.239.138.43,business,IT,AS30848 
77.239.138.44,77.239.138.103,isp,IT,AS30848 
77.239.138.104,77.239.138.107,business,IT,AS30848 
77.239.138.108,77.239.138.123,isp,IT,AS30848 
77.239.138.124,77.239.138.131,business,IT,AS30848 
77.239.138.132,77.239.138.147,isp,IT,AS30848 
77.239.138.148,77.239.138.151,business,IT,AS30848 
77.239.138.152,77.239.138.203,isp,IT,AS30848 
77.239.138.204,77.239.138.207,business,IT,AS30848 
77.239.138.208,77.239.139.47,isp,IT,AS30848 
77.239.139.48,77.239.139.55,business,IT,AS30848 
77.239.139.56,77.239.139.79,isp,IT,AS30848 
77.239.139.80,77.239.139.87,business,IT,AS30848 
77.239.139.88,77.239.139.143,isp,IT,AS30848 
77.239.139.144,77.239.139.151,business,IT,AS30848 
77.239.139.152,77.239.139.175,isp,IT,AS30848 
77.239.139.176,77.239.139.183,business,IT,AS30848 
77.239.139.184,77.239.139.239,isp,IT,AS30848 
77.239.139.240,77.239.139.247,business,IT,AS30848 
77.239.139.248,77.239.140.47,isp,IT,AS30848 
77.239.140.48,77.239.140.55,business,IT,AS30848 
77.239.140.56,77.239.140.95,isp,IT,AS30848 
77.239.140.96,77.239.140.119,business,IT,AS30848 
77.239.140.120,77.239.140.127,isp,IT,AS30848 
77.239.140.128,77.239.140.135,business,IT,AS30848 
77.239.140.136,77.239.141.11,isp,IT,AS30848 
77.239.141.12,77.239.141.15,business,IT,AS30848 
77.239.141.16,77.239.141.23,isp,IT,AS30848 
77.239.141.24,77.239.141.27,business,IT,AS30848 
77.239.141.28,77.239.141.43,isp,IT,AS30848 
77.239.141.44,77.239.141.47,business,IT,AS30848 
77.239.141.48,77.239.141.147,isp,IT,AS30848 
77.239.141.148,77.239.141.151,business,IT,AS30848 
77.239.141.152,77.239.141.215,isp,IT,AS30848 
77.239.141.216,77.239.141.219,business,IT,AS30848 
77.239.141.220,77.239.142.15,isp,IT,AS30848 
77.239.142.16,77.239.142.19,business,IT,AS30848 
77.239.142.20,77.239.142.55,isp,IT,AS30848 
77.239.142.56,77.239.142.63,business,IT,AS30848 
77.239.142.64,77.239.142.95,isp,IT,AS30848 
77.239.142.96,77.239.142.103,business,IT,AS30848 
77.239.142.104,77.239.142.223,isp,IT,AS30848 
77.239.142.224,77.239.142.231,business,IT,AS30848 
77.239.142.232,77.239.143.47,isp,IT,AS30848 
77.239.143.48,77.239.143.55,business,IT,AS30848 
77.239.143.56,77.239.143.143,isp,IT,AS30848 
77.239.143.144,77.239.143.151,business,IT,AS30848 
77.239.143.152,77.239.144.3,isp,IT,AS30848 
77.239.144.4,77.239.144.7,business,IT,AS30848 
77.239.144.8,77.239.144.51,isp,IT,AS30848 
77.239.144.52,77.239.144.55,business,IT,AS30848 
77.239.144.56,77.239.144.63,isp,IT,AS30848 
77.239.144.64,77.239.144.67,business,IT,AS30848 
77.239.144.68,77.239.144.71,isp,IT,AS30848 
77.239.144.72,77.239.144.75,business,IT,AS30848 
77.239.144.76,77.239.144.135,isp,IT,AS30848 
77.239.144.136,77.239.144.139,business,IT,AS30848 
77.239.144.140,77.239.144.191,isp,IT,AS30848 
77.239.144.192,77.239.144.195,business,IT,AS30848 
77.239.144.196,77.239.144.203,isp,IT,AS30848 
77.239.144.204,77.239.144.207,business,IT,AS30848 
77.239.144.208,77.239.144.251,isp,IT,AS30848 
77.239.144.252,77.239.145.3,business,IT,AS30848 
77.239.145.4,77.239.145.15,isp,IT,AS30848 
77.239.145.16,77.239.145.19,business,IT,AS30848 
77.239.145.20,77.239.145.191,isp,IT,AS30848 
77.239.145.192,77.239.145.255,business,IT,AS30848 
77.239.146.0,77.239.146.111,isp,IT,AS30848 
77.239.146.112,77.239.146.119,business,IT,AS30848 
77.239.146.120,77.239.146.215,isp,IT,AS30848 
77.239.146.216,77.239.146.255,business,IT,AS30848 
77.239.147.0,77.239.147.79,isp,IT,AS30848 
77.239.147.80,77.239.147.107,business,IT,AS30848 
77.239.147.108,77.239.147.119,isp,IT,AS30848 
77.239.147.120,77.239.147.135,business,IT,AS30848 
77.239.147.136,77.239.147.143,isp,IT,AS30848 
77.239.147.144,77.239.147.151,business,IT,AS30848 
77.239.147.152,77.239.147.159,isp,IT,AS30848 
77.239.147.160,77.239.147.167,business,IT,AS30848 
77.239.147.168,77.239.147.207,isp,IT,AS30848 
77.239.147.208,77.239.147.215,business,IT,AS30848 
77.239.147.216,77.239.149.255,isp,IT,AS30848 
77.239.150.0,77.239.150.3,business,IT,AS30848 
77.239.150.4,77.239.150.79,isp,IT,AS30848 
77.239.150.80,77.239.150.83,business,IT,AS30848 
77.239.150.84,77.239.150.99,isp,IT,AS30848 
77.239.150.100,77.239.150.103,business,IT,AS30848 
77.239.150.104,77.239.150.159,isp,IT,AS30848 
77.239.150.160,77.239.150.163,business,IT,AS30848 
77.239.150.164,77.239.150.179,isp,IT,AS30848 
77.239.150.180,77.239.150.183,business,IT,AS30848 
77.239.150.184,77.239.150.203,isp,IT,AS30848 
77.239.150.204,77.239.150.207,business,IT,AS30848 
77.239.150.208,77.239.152.31,isp,IT,AS30848 
77.239.152.32,77.239.152.39,business,IT,AS30848 
77.239.152.40,77.239.152.55,isp,IT,AS30848 
77.239.152.56,77.239.152.71,business,IT,AS30848 
77.239.152.72,77.239.152.111,isp,IT,AS30848 
77.239.152.112,77.239.152.115,business,IT,AS30848 
77.239.152.116,77.239.152.127,isp,IT,AS30848 
77.239.152.128,77.239.152.135,business,IT,AS30848 
77.239.152.136,77.239.152.223,isp,IT,AS30848 
77.239.152.224,77.239.152.231,business,IT,AS30848 
77.239.152.232,77.239.153.3,isp,IT,AS30848 
77.239.153.4,77.239.153.7,business,IT,AS30848 
77.239.153.8,77.239.153.11,isp,IT,AS30848 
77.239.153.12,77.239.153.15,business,IT,AS30848 
77.239.153.16,77.239.153.131,isp,IT,AS30848 
77.239.153.132,77.239.153.135,business,IT,AS30848 
77.239.153.136,77.239.153.227,isp,IT,AS30848 
77.239.153.228,77.239.153.231,business,IT,AS30848 
77.239.153.232,77.239.154.151,isp,IT,AS30848 
77.239.154.152,77.239.154.167,business,IT,AS30848 
77.239.154.168,77.239.156.39,isp,IT,AS30848 
77.239.156.40,77.239.156.47,business,IT,AS30848 
77.239.156.48,77.239.156.175,isp,IT,AS30848 
77.239.156.176,77.239.156.183,business,IT,AS30848 
77.239.156.184,77.239.157.71,isp,IT,AS30848 
77.239.157.72,77.239.157.79,business,IT,AS30848 
77.239.157.80,77.239.157.87,isp,IT,AS30848 
77.239.157.88,77.239.157.111,business,IT,AS30848 
77.239.157.112,77.239.157.119,isp,IT,AS30848 
77.239.157.120,77.239.157.123,business,IT,AS30848 
77.239.157.124,77.239.157.159,isp,IT,AS30848 
77.239.157.160,77.239.157.163,business,IT,AS30848 
77.239.157.164,77.239.157.207,isp,IT,AS30848 
77.239.157.208,77.239.157.215,business,IT,AS30848 
77.239.157.216,77.239.157.239,isp,IT,AS30848 
77.239.157.240,77.239.157.247,business,IT,AS30848 
77.239.157.248,77.239.157.251,isp,IT,AS30848 
77.239.157.252,77.239.157.255,business,IT,AS30848 
77.239.158.0,77.239.159.255,isp,IT,AS30848 
77.239.160.0,77.239.191.255,isp,UA,AS21497 
77.239.192.0,77.239.207.255,isp,RU,AS39799 
77.239.208.0,77.239.223.255,isp,RU,AS8359 
77.239.224.0,77.239.255.255,isp,RU,AS39102 
