77.153.96.24,77.153.96.47,business,FR,AS15557 
77.153.108.148,77.153.108.159,isp,FR,AS15557 
77.153.108.160,77.153.108.163,business,FR,AS15557 
77.153.108.164,77.153.108.167,isp,FR,AS15557 
77.153.108.168,77.153.108.235,business,FR,AS15557 
77.153.108.236,77.153.108.239,isp,FR,AS15557 
77.153.108.240,77.153.108.251,business,FR,AS15557 
77.153.108.252,77.153.109.3,isp,FR,AS15557 
77.153.109.4,77.153.109.31,business,FR,AS15557 
77.153.109.32,77.153.109.47,isp,FR,AS15557 
77.153.109.48,77.153.109.91,business,FR,AS15557 
77.153.109.92,77.153.109.95,isp,FR,AS15557 
77.153.109.96,77.153.109.115,business,FR,AS15557 
77.153.109.116,77.153.109.119,isp,FR,AS15557 
77.153.109.120,77.153.109.167,business,FR,AS15557 
77.153.109.168,77.153.109.179,isp,FR,AS15557 
77.153.109.180,77.153.109.235,business,FR,AS15557 
77.153.109.236,77.153.109.247,isp,FR,AS15557 
77.153.109.248,77.153.109.251,business,FR,AS15557 
77.153.109.252,77.153.110.3,isp,FR,AS15557 
77.153.110.4,77.153.110.31,business,FR,AS15557 
77.153.110.32,77.153.110.95,isp,FR,AS15557 
77.153.110.96,77.153.110.127,business,FR,AS15557 
77.153.110.128,77.153.110.191,isp,FR,AS15557 
77.153.110.192,77.153.110.207,business,FR,AS15557 
77.153.110.208,77.153.110.231,isp,FR,AS15557 
77.153.110.232,77.153.110.251,business,FR,AS15557 
77.153.110.252,77.153.111.3,isp,FR,AS15557 
77.153.111.4,77.153.111.15,business,FR,AS15557 
77.153.111.16,77.153.111.31,isp,FR,AS15557 
77.153.111.32,77.153.111.103,business,FR,AS15557 
77.153.111.104,77.153.111.111,isp,FR,AS15557 
77.153.111.112,77.153.111.159,business,FR,AS15557 
77.153.111.160,77.153.111.191,isp,FR,AS15557 
77.153.111.192,77.153.111.207,business,FR,AS15557 
77.153.111.208,77.153.111.223,isp,FR,AS15557 
77.153.111.224,77.153.111.239,business,FR,AS15557 
77.153.111.240,77.153.111.247,isp,FR,AS15557 
77.153.111.248,77.153.111.251,business,FR,AS15557 
77.153.111.252,77.153.112.0,isp,FR,AS15557 
77.153.112.1,77.153.112.2,business,FR,AS15557 
77.153.112.3,77.153.112.3,isp,FR,AS15557 
77.153.112.4,77.153.112.11,business,FR,AS15557 
77.153.112.12,77.153.112.15,isp,FR,AS15557 
77.153.112.16,77.153.112.23,business,FR,AS15557 
77.153.112.24,77.153.112.39,isp,FR,AS15557 
77.153.112.40,77.153.112.43,business,FR,AS15557 
77.153.112.44,77.153.112.47,isp,FR,AS15557 
77.153.112.48,77.153.112.87,business,FR,AS15557 
77.153.112.88,77.153.112.91,isp,FR,AS15557 
77.153.112.92,77.153.112.227,business,FR,AS15557 
77.153.112.228,77.153.112.231,isp,FR,AS15557 
77.153.112.232,77.153.112.239,business,FR,AS15557 
77.153.112.240,77.153.112.245,isp,FR,AS15557 
77.153.112.246,77.153.112.246,business,FR,AS15557 
77.153.112.247,77.153.112.255,isp,FR,AS15557 
77.153.113.0,77.153.113.111,business,FR,AS15557 
77.153.113.112,77.153.113.119,isp,FR,AS15557 
77.153.113.120,77.153.113.167,business,FR,AS15557 
77.153.113.168,77.153.113.175,isp,FR,AS15557 
77.153.113.176,77.153.113.239,business,FR,AS15557 
77.153.113.240,77.153.116.3,isp,FR,AS15557 
77.153.116.4,77.153.116.15,business,FR,AS15557 
77.153.116.16,77.153.116.31,isp,FR,AS15557 
77.153.116.32,77.153.116.47,business,FR,AS15557 
77.153.116.48,77.153.116.255,isp,FR,AS15557 
77.153.117.0,77.153.117.15,business,FR,AS15557 
77.153.117.16,77.153.119.7,isp,FR,AS15557 
77.153.119.8,77.153.119.23,business,FR,AS15557 
77.153.119.24,77.153.120.7,isp,FR,AS15557 
77.153.120.8,77.153.120.23,business,FR,AS15557 
77.153.120.24,77.153.121.3,isp,FR,AS15557 
77.153.121.4,77.153.121.7,business,FR,AS15557 
77.153.121.8,77.153.121.15,isp,FR,AS15557 
77.153.121.16,77.153.121.55,business,FR,AS15557 
77.153.121.56,77.153.121.63,isp,FR,AS15557 
77.153.121.64,77.153.121.127,business,FR,AS15557 
77.153.121.128,77.153.121.223,isp,FR,AS15557 
77.153.121.224,77.153.121.251,business,FR,AS15557 
77.153.121.252,77.153.122.3,isp,FR,AS15557 
77.153.122.4,77.153.122.31,business,FR,AS15557 
77.153.122.32,77.153.122.63,isp,FR,AS15557 
77.153.122.64,77.153.122.191,business,FR,AS15557 
77.153.122.192,77.153.122.207,isp,FR,AS15557 
77.153.122.208,77.153.122.251,business,FR,AS15557 
77.153.122.252,77.153.122.255,isp,FR,AS15557 
77.153.123.0,77.153.123.103,business,FR,AS15557 
77.153.123.104,77.153.123.107,isp,FR,AS15557 
77.153.123.108,77.153.123.135,business,FR,AS15557 
77.153.123.136,77.153.123.139,isp,FR,AS15557 
77.153.123.140,77.153.123.163,business,FR,AS15557 
77.153.123.164,77.153.123.167,isp,FR,AS15557 
77.153.123.168,77.153.123.255,business,FR,AS15557 
77.153.124.0,77.153.125.7,isp,FR,AS15557 
77.153.125.8,77.153.125.23,business,FR,AS15557 
77.153.125.24,77.153.126.15,isp,FR,AS15557 
77.153.126.16,77.153.126.55,business,FR,AS15557 
77.153.126.56,77.153.126.63,isp,FR,AS15557 
77.153.126.64,77.153.126.151,business,FR,AS15557 
77.153.126.152,77.153.126.159,isp,FR,AS15557 
77.153.126.160,77.153.126.175,business,FR,AS15557 
77.153.126.176,77.153.126.183,isp,FR,AS15557 
77.153.126.184,77.153.126.215,business,FR,AS15557 
77.153.126.216,77.153.126.223,isp,FR,AS15557 
77.153.126.224,77.153.126.255,business,FR,AS15557 
77.153.127.0,77.153.127.1,isp,FR,AS15557 
77.153.127.2,77.153.127.2,business,FR,AS15557 
77.153.127.3,77.153.127.15,isp,FR,AS15557 
77.153.127.16,77.153.127.23,business,FR,AS15557 
77.153.127.24,77.153.127.63,isp,FR,AS15557 
77.153.127.64,77.153.127.111,business,FR,AS15557 
77.153.127.112,77.153.127.114,isp,FR,AS15557 
77.153.127.115,77.153.127.115,business,FR,AS15557 
77.153.127.116,77.153.127.119,isp,FR,AS15557 
77.153.127.120,77.153.127.255,business,FR,AS15557 
77.153.128.0,77.156.200.191,isp,FR,AS15557 
