157.120.0.0,157.120.63.255,isp,JP,AS2514 
157.120.231.32,157.120.231.47,isp,HK,AS8220 
157.120.231.48,157.120.231.55,business,HK,AS8220 
157.120.231.56,157.120.231.143,isp,HK,AS8220 
157.120.231.144,157.120.231.151,business,HK,AS8220 
157.120.231.152,157.120.231.175,isp,HK,AS8220 
157.120.231.176,157.120.231.215,business,HK,AS8220 
157.120.231.216,157.120.231.223,isp,HK,AS8220 
157.120.231.224,157.120.231.231,business,HK,AS8220 
157.120.231.232,157.120.231.239,isp,HK,AS8220 
157.120.231.240,157.120.231.247,business,HK,AS8220 
157.120.231.248,157.120.231.255,isp,SG,AS8220 
157.120.232.0,157.120.232.63,business,JP, 
157.120.232.64,157.120.233.255,isp,JP, 
157.120.234.0,157.120.234.79,business,JP, 
157.120.234.80,157.120.234.95,isp,JP, 
157.120.234.96,157.120.234.127,business,JP, 
157.120.234.128,157.120.234.143,isp,JP, 
157.120.234.144,157.120.234.159,business,JP, 
157.120.234.160,157.120.235.255,isp,JP, 
157.120.236.0,157.120.236.255,business,AU,AS8220 
157.120.237.0,157.120.237.31,isp,AU,AS8220 
157.120.237.32,157.120.237.39,business,AU,AS8220 
157.120.237.40,157.120.237.63,isp,AU,AS8220 
157.120.237.64,157.120.237.95,business,AU,AS8220 
157.120.237.96,157.120.237.103,isp,AU,AS8220 
157.120.237.104,157.120.237.127,business,AU,AS8220 
157.120.237.128,157.120.237.151,isp,AU,AS8220 
157.120.237.152,157.120.237.159,business,AU,AS8220 
157.120.237.160,157.120.237.167,business,AS,AS8220 
157.120.237.168,157.120.237.175,isp,AU,AS8220 
157.120.237.176,157.120.237.207,business,AU,AS8220 
157.120.237.208,157.120.237.215,isp,AU,AS8220 
157.120.237.216,157.120.237.247,business,AU,AS8220 
157.120.237.248,157.120.238.47,isp,AU,AS8220 
157.120.238.48,157.120.238.103,business,AU,AS8220 
157.120.238.104,157.120.238.151,isp,AU,AS8220 
157.120.238.152,157.120.238.175,business,AU,AS8220 
157.120.238.176,157.120.238.191,isp,AU,AS8220 
157.120.238.192,157.120.238.199,business,AU,AS8220 
157.120.238.200,157.120.238.215,isp,AU,AS8220 
157.120.238.216,157.120.238.255,business,AU,AS8220 
157.120.239.0,157.120.239.255,isp,AU,AS8220 
157.120.240.0,157.120.240.31,isp,SG,AS8220 
157.120.240.32,157.120.240.47,business,SG,AS8220 
157.120.240.48,157.120.240.183,isp,SG,AS8220 
157.120.240.184,157.120.240.191,business,SG,AS8220 
157.120.240.192,157.120.240.207,isp,SG,AS8220 
157.120.240.208,157.120.240.239,business,SG,AS8220 
157.120.240.240,157.120.240.247,isp,SG,AS8220 
157.120.240.248,157.120.240.255,business,SG,AS8220 
157.120.241.0,157.120.241.0,isp,SG,AS8220 
157.120.241.1,157.120.241.30,business,SG,AS8220 
157.120.241.31,157.120.241.31,isp,SG,AS8220 
157.120.241.32,157.120.241.39,business,SG,AS8220 
157.120.241.40,157.120.241.47,isp,SG,AS8220 
157.120.241.48,157.120.241.71,business,SG,AS8220 
157.120.241.72,157.120.241.79,isp,SG,AS8220 
157.120.241.80,157.120.241.87,business,SG,AS8220 
157.120.241.88,157.120.241.95,isp,SG,AS8220 
157.120.241.96,157.120.241.103,business,SG,AS8220 
157.120.241.104,157.120.241.111,isp,SG,AS8220 
157.120.241.112,157.120.241.127,business,SG,AS8220 
157.120.241.128,157.120.241.151,isp,SG,AS8220 
157.120.241.152,157.120.241.167,business,HK,AS8220 
157.120.241.168,157.120.243.255,isp,SG,AS8220 
157.120.244.0,157.120.244.255,isp,HK,AS8220 
157.120.245.0,157.120.245.255,isp,SG,AS8220 
157.120.246.0,157.120.246.15,isp,HK,AS8220 
157.120.246.16,157.120.246.31,business,HK,AS8220 
157.120.246.32,157.120.246.55,isp,HK,AS8220 
157.120.246.56,157.120.246.63,business,HK,AS8220 
157.120.246.64,157.120.246.71,isp,HK,AS8220 
157.120.246.72,157.120.246.79,business,HK,AS8220 
157.120.246.80,157.120.246.231,isp,HK,AS8220 
157.120.246.232,157.120.246.247,business,HK,AS8220 
157.120.246.248,157.120.246.255,isp,HK,AS8220 
157.120.247.0,157.120.247.7,business,SG,AS8220 
157.120.247.8,157.120.247.15,isp,SG,AS8220 
157.120.247.16,157.120.247.47,business,SG,AS8220 
157.120.247.48,157.120.247.103,isp,SG,AS8220 
157.120.247.104,157.120.247.135,business,SG,AS8220 
157.120.247.136,157.120.247.159,isp,SG,AS8220 
157.120.247.160,157.120.247.191,business,SG,AS8220 
157.120.247.192,157.120.247.223,isp,SG,AS8220 
157.120.247.224,157.120.247.247,business,SG,AS8220 
157.120.247.248,157.120.250.15,isp,SG,AS8220 
157.120.250.16,157.120.250.31,business,SG,AS8220 
157.120.250.32,157.120.250.47,isp,SG,AS8220 
157.120.250.48,157.120.250.55,business,SG,AS8220 
157.120.250.56,157.120.250.95,isp,SG,AS8220 
157.120.250.96,157.120.250.103,business,SG,AS8220 
157.120.250.104,157.120.250.135,isp,SG,AS8220 
157.120.250.136,157.120.250.159,business,SG,AS8220 
157.120.250.160,157.120.250.183,isp,SG,AS8220 
157.120.250.184,157.120.250.191,business,SG,AS8220 
157.120.250.192,157.120.250.255,isp,SG,AS8220 
157.120.251.0,157.120.251.7,business,SG,AS8220 
157.120.251.8,157.120.251.47,isp,SG,AS8220 
157.120.251.48,157.120.251.55,business,SG,AS8220 
157.120.251.56,157.120.251.207,isp,SG,AS8220 
157.120.251.208,157.120.251.223,business,SG,AS8220 
157.120.251.224,157.120.251.240,isp,SG,AS8220 
157.120.251.241,157.120.251.254,business,SG,AS8220 
157.120.251.255,157.120.255.255,isp,SG,AS8220 
