216.123.0.0,216.123.3.127,hosting,CA 
216.123.234.216,216.123.236.143,isp,CA 
216.123.236.144,216.123.236.151,business,CA 
216.123.236.152,216.123.236.223,isp,CA 
216.123.236.224,216.123.236.231,business,US 
216.123.236.232,216.123.236.239,business,CA 
216.123.236.240,216.123.239.7,isp,CA 
216.123.239.8,216.123.239.15,business,CA 
216.123.239.16,216.123.239.87,isp,CA 
216.123.239.88,216.123.239.103,business,CA 
216.123.239.104,216.123.239.151,isp,CA 
216.123.239.152,216.123.239.159,business,CA 
216.123.239.160,216.123.239.175,isp,CA 
216.123.239.176,216.123.239.223,business,CA 
216.123.239.224,216.123.240.191,isp,CA 
216.123.240.192,216.123.240.223,business,CA 
216.123.240.224,216.123.240.239,isp,CA 
216.123.240.240,216.123.240.247,business,CA 
216.123.240.248,216.123.241.255,isp,CA 
216.123.242.0,216.123.242.15,business,CA 
216.123.242.16,216.123.242.47,isp,CA 
216.123.242.48,216.123.242.63,business,CA 
216.123.242.64,216.123.242.119,isp,CA 
216.123.242.120,216.123.242.135,business,CA 
216.123.242.136,216.123.242.159,isp,CA 
216.123.242.160,216.123.242.167,business,CA 
216.123.242.168,216.123.242.183,isp,CA 
216.123.242.184,216.123.242.207,business,CA 
216.123.242.208,216.123.242.231,isp,CA 
216.123.242.232,216.123.242.239,business,CA 
216.123.242.240,216.123.243.255,isp,CA 
216.123.244.0,216.123.244.63,business,CA 
216.123.244.64,216.123.244.127,isp,CA 
216.123.244.128,216.123.244.175,business,CA 
216.123.244.176,216.123.244.207,isp,CA 
216.123.244.208,216.123.244.223,business,CA 
216.123.244.224,216.123.245.55,isp,CA 
216.123.245.56,216.123.245.63,business,CA 
216.123.245.64,216.123.246.7,isp,CA 
216.123.246.8,216.123.246.15,business,CA 
216.123.246.16,216.123.246.71,isp,CA 
216.123.246.72,216.123.246.79,business,CA 
216.123.246.80,216.123.246.87,isp,CA 
216.123.246.88,216.123.246.95,business,CA 
216.123.246.96,216.123.246.183,isp,CA 
216.123.246.184,216.123.246.191,business,CA 
216.123.246.192,216.123.246.215,isp,CA 
216.123.246.216,216.123.246.223,business,CA 
216.123.246.224,216.123.248.255,isp,CA 
216.123.249.0,216.123.249.7,business,CA 
216.123.249.8,216.123.249.55,isp,CA 
216.123.249.56,216.123.249.63,business,CA 
216.123.249.64,216.123.249.103,isp,CA 
216.123.249.104,216.123.249.119,business,CA 
216.123.249.120,216.123.249.191,isp,CA 
216.123.249.192,216.123.249.223,business,CA 
216.123.249.224,216.123.249.255,isp,CA 
216.123.250.0,216.123.250.23,business,CA 
216.123.250.24,216.123.250.71,isp,CA 
216.123.250.72,216.123.250.79,business,CA 
216.123.250.80,216.123.250.87,isp,CA 
216.123.250.88,216.123.250.95,business,CA 
216.123.250.96,216.123.250.127,isp,CA 
216.123.250.128,216.123.250.135,business,CA 
216.123.250.136,216.123.250.143,isp,CA 
216.123.250.144,216.123.250.159,business,CA 
216.123.250.160,216.123.250.191,isp,CA 
216.123.250.192,216.123.250.199,business,CA 
216.123.250.200,216.123.250.215,isp,CA 
216.123.250.216,216.123.250.223,business,CA 
216.123.250.224,216.123.250.231,isp,CA 
216.123.250.232,216.123.250.239,business,CA 
216.123.250.240,216.123.251.191,isp,CA 
216.123.251.192,216.123.251.199,business,CA 
216.123.251.200,216.123.251.223,isp,CA 
216.123.251.224,216.123.251.239,business,CA 
216.123.251.240,216.123.251.255,isp,CA 
216.123.252.0,216.123.252.255,business,CA 
216.123.253.0,216.123.255.255,isp,CA 
