37.221.0.0,37.221.63.255,isp,IR,AS206065 
37.221.202.0,37.221.202.255,isp,KZ,AS43370 
37.221.203.0,37.221.203.15,isp,RU,AS8492 
37.221.203.16,37.221.203.19,business,RU,AS8492 
37.221.203.20,37.221.203.55,isp,RU,AS8492 
37.221.203.56,37.221.203.59,business,RU,AS8492 
37.221.203.60,37.221.203.63,isp,RU,AS8492 
37.221.203.64,37.221.203.67,business,RU,AS8492 
37.221.203.68,37.221.203.99,isp,RU,AS8492 
37.221.203.100,37.221.203.103,business,RU,AS8492 
37.221.203.104,37.221.203.139,isp,RU,AS8492 
37.221.203.140,37.221.203.143,business,RU,AS8492 
37.221.203.144,37.221.203.147,isp,RU,AS8492 
37.221.203.148,37.221.203.151,business,RU,AS8492 
37.221.203.152,37.221.203.223,isp,RU,AS8492 
37.221.203.224,37.221.203.227,business,RU,AS8492 
37.221.203.228,37.221.204.143,isp,RU,AS8492 
37.221.204.144,37.221.204.147,business,RU,AS8492 
37.221.204.148,37.221.204.187,isp,RU,AS8492 
37.221.204.188,37.221.204.191,business,RU,AS8492 
37.221.204.192,37.221.204.215,isp,RU,AS8492 
37.221.204.216,37.221.204.219,business,RU,AS8492 
37.221.204.220,37.221.204.223,isp,RU,AS8492 
37.221.204.224,37.221.204.239,business,RU,AS8492 
37.221.204.240,37.221.204.255,isp,RU,AS8492 
37.221.205.0,37.221.205.15,business,RU,AS8492 
37.221.205.16,37.221.205.103,isp,RU,AS8492 
37.221.205.104,37.221.205.107,business,RU,AS8492 
37.221.205.108,37.221.205.115,isp,RU,AS8492 
37.221.205.116,37.221.205.119,business,RU,AS8492 
37.221.205.120,37.221.205.127,isp,RU,AS8492 
37.221.205.128,37.221.205.131,business,RU,AS8492 
37.221.205.132,37.221.205.191,isp,RU,AS8492 
37.221.205.192,37.221.205.195,business,RU,AS8492 
37.221.205.196,37.221.205.227,isp,RU,AS8492 
37.221.205.228,37.221.205.231,business,RU,AS8492 
37.221.205.232,37.221.206.107,isp,RU,AS8492 
37.221.206.108,37.221.206.111,business,RU,AS8492 
37.221.206.112,37.221.206.255,isp,RU,AS8492 
37.221.207.0,37.221.207.115,isp,KZ,AS43370 
37.221.207.116,37.221.207.119,business,KZ,AS43370 
37.221.207.120,37.221.207.159,isp,KZ,AS43370 
37.221.207.160,37.221.207.175,business,KZ,AS43370 
37.221.207.176,37.221.207.203,isp,KZ,AS43370 
37.221.207.204,37.221.207.207,business,KZ,AS43370 
37.221.207.208,37.221.207.239,isp,KZ,AS43370 
37.221.207.240,37.221.207.255,business,KZ,AS43370 
37.221.208.0,37.221.215.255,hosting,HU,AS41075 
37.221.216.0,37.221.221.255,business,GB,AS51514 
37.221.222.0,37.221.223.255,hosting,GB,AS51514 
37.221.224.0,37.221.224.255,business,SE,AS198965 
37.221.225.0,37.221.226.71,hosting,SE,AS198965 
37.221.226.72,37.221.226.79,business,SE,AS198965 
37.221.226.80,37.221.226.95,hosting,SE,AS198965 
37.221.226.96,37.221.226.103,business,SE,AS198965 
37.221.226.104,37.221.226.127,hosting,SE,AS198965 
37.221.226.128,37.221.226.143,business,SE,AS198965 
37.221.226.144,37.221.226.151,hosting,SE,AS198965 
37.221.226.152,37.221.226.167,business,SE,AS198965 
37.221.226.168,37.221.226.207,hosting,SE,AS198965 
37.221.226.208,37.221.226.215,business,SE,AS198965 
37.221.226.216,37.221.226.223,hosting,SE,AS198965 
37.221.226.224,37.221.226.239,business,SE,AS198965 
37.221.226.240,37.221.226.255,hosting,SE,AS198965 
37.221.227.0,37.221.227.255,business,SE,AS198965 
37.221.228.0,37.221.228.7,hosting,SE,AS198965 
37.221.228.8,37.221.228.79,business,SE,AS198965 
37.221.228.80,37.221.228.87,hosting,SE,AS198965 
37.221.228.88,37.221.228.255,business,SE,AS198965 
37.221.229.0,37.221.229.31,hosting,SE,AS198965 
37.221.229.32,37.221.229.63,business,SE,AS198965 
37.221.229.64,37.221.229.175,hosting,SE,AS198965 
37.221.229.176,37.221.229.247,business,SE,AS198965 
37.221.229.248,37.221.230.15,hosting,SE,AS198965 
37.221.230.16,37.221.230.31,business,SE,AS198965 
37.221.230.32,37.221.230.63,hosting,SE,AS198965 
37.221.230.64,37.221.230.95,business,SE,AS198965 
37.221.230.96,37.221.230.175,hosting,SE,AS198965 
37.221.230.176,37.221.231.255,business,SE,AS198965 
37.221.232.0,37.221.239.255,isp,ES,AS198760 
37.221.240.0,37.221.255.255,isp,CZ,AS198668 
