37.130.0.0,37.130.63.255,isp,PL,AS15874 
37.130.250.232,37.130.250.239,hosting,GB,AS47474 
37.130.250.240,37.130.250.240,business,GB,AS47474 
37.130.250.241,37.130.251.47,hosting,GB,AS47474 
37.130.251.48,37.130.251.63,business,GB,AS47474 
37.130.251.64,37.130.251.71,hosting,GB,AS47474 
37.130.251.72,37.130.251.79,business,GB,AS47474 
37.130.251.80,37.130.251.87,hosting,GB,AS47474 
37.130.251.88,37.130.251.91,business,GB,AS47474 
37.130.251.92,37.130.251.99,hosting,GB,AS47474 
37.130.251.100,37.130.251.107,business,GB,AS47474 
37.130.251.108,37.130.251.111,hosting,GB,AS47474 
37.130.251.112,37.130.251.123,business,GB,AS47474 
37.130.251.124,37.130.251.191,hosting,GB,AS47474 
37.130.251.192,37.130.251.227,business,GB,AS47474 
37.130.251.228,37.130.251.231,hosting,GB,AS47474 
37.130.251.232,37.130.251.239,business,GB,AS47474 
37.130.251.240,37.130.252.31,hosting,GB,AS47474 
37.130.252.32,37.130.252.59,business,GB,AS47474 
37.130.252.60,37.130.252.84,hosting,GB,AS47474 
37.130.252.85,37.130.252.87,business,GB,AS47474 
37.130.252.88,37.130.252.103,hosting,GB,AS47474 
37.130.252.104,37.130.252.111,business,GB,AS47474 
37.130.252.112,37.130.252.139,hosting,GB,AS47474 
37.130.252.140,37.130.252.143,business,GB,AS47474 
37.130.252.144,37.130.252.191,hosting,GB,AS47474 
37.130.252.192,37.130.252.199,business,GB,AS47474 
37.130.252.200,37.130.252.207,hosting,GB,AS47474 
37.130.252.208,37.130.252.215,business,GB,AS47474 
37.130.252.216,37.130.252.223,hosting,GB,AS47474 
37.130.252.224,37.130.252.225,business,GB,AS47474 
37.130.252.226,37.130.253.23,hosting,GB,AS47474 
37.130.253.24,37.130.253.27,business,GB,AS47474 
37.130.253.28,37.130.253.47,hosting,GB,AS47474 
37.130.253.48,37.130.253.55,business,GB,AS47474 
37.130.253.56,37.130.253.67,hosting,GB,AS47474 
37.130.253.68,37.130.253.71,business,GB,AS47474 
37.130.253.72,37.130.253.99,hosting,GB,AS47474 
37.130.253.100,37.130.253.100,business,GB,AS47474 
37.130.253.101,37.130.253.127,hosting,GB,AS47474 
37.130.253.128,37.130.253.151,business,GB,AS47474 
37.130.253.152,37.130.253.191,hosting,GB,AS47474 
37.130.253.192,37.130.253.199,business,GB,AS47474 
37.130.253.200,37.130.253.207,hosting,GB,AS47474 
37.130.253.208,37.130.253.211,business,GB,AS47474 
37.130.253.212,37.130.253.223,hosting,GB,AS47474 
37.130.253.224,37.130.253.231,business,GB,AS47474 
37.130.253.232,37.130.253.235,hosting,GB,AS47474 
37.130.253.236,37.130.253.239,business,GB,AS47474 
37.130.253.240,37.130.253.251,hosting,GB,AS47474 
37.130.253.252,37.130.254.255,business,GB,AS47474 
37.130.255.0,37.130.255.255,hosting,GB,AS47474 
