37.123.0.0,37.123.63.255,isp,TR, 
37.123.138.60,37.123.138.63,business,SE,AS8473 
37.123.138.64,37.123.141.63,isp,SE,AS8473 
37.123.141.64,37.123.141.95,business,SE,AS8473 
37.123.141.96,37.123.144.31,isp,SE,AS8473 
37.123.144.32,37.123.144.63,business,SE,AS8473 
37.123.144.64,37.123.144.127,isp,SE,AS8473 
37.123.144.128,37.123.144.143,business,SE,AS8473 
37.123.144.144,37.123.144.159,isp,SE,AS8473 
37.123.144.160,37.123.144.191,business,SE,AS8473 
37.123.144.192,37.123.144.207,isp,SE,AS8473 
37.123.144.208,37.123.144.255,business,SE,AS8473 
37.123.145.0,37.123.145.3,isp,SE,AS8473 
37.123.145.4,37.123.145.31,business,SE,AS8473 
37.123.145.32,37.123.145.63,isp,SE,AS8473 
37.123.145.64,37.123.145.103,business,SE,AS8473 
37.123.145.104,37.123.145.111,isp,SE,AS8473 
37.123.145.112,37.123.145.123,business,SE,AS8473 
37.123.145.124,37.123.145.131,isp,SE,AS8473 
37.123.145.132,37.123.145.255,business,SE,AS8473 
37.123.146.0,37.123.160.175,isp,SE,AS8473 
37.123.160.176,37.123.160.191,business,SE,AS8473 
37.123.160.192,37.123.161.175,isp,SE,AS8473 
37.123.161.176,37.123.161.207,business,SE,AS8473 
37.123.161.208,37.123.161.211,isp,SE,AS8473 
37.123.161.212,37.123.163.255,business,SE,AS8473 
37.123.164.0,37.123.164.95,isp,SE,AS8473 
37.123.164.96,37.123.164.159,business,SE,AS8473 
37.123.164.160,37.123.164.223,isp,SE,AS8473 
37.123.164.224,37.123.164.255,business,SE,AS8473 
37.123.165.0,37.123.167.255,isp,SE,AS8473 
37.123.168.0,37.123.168.31,business,SE,AS8473 
37.123.168.32,37.123.168.79,isp,SE,AS8473 
37.123.168.80,37.123.168.127,business,SE,AS8473 
37.123.168.128,37.123.168.199,isp,SE,AS8473 
37.123.168.200,37.123.168.223,business,SE,AS8473 
37.123.168.224,37.123.168.231,isp,SE,AS8473 
37.123.168.232,37.123.168.247,business,SE,AS8473 
37.123.168.248,37.123.169.127,isp,SE,AS8473 
37.123.169.128,37.123.169.191,business,SE,AS8473 
37.123.169.192,37.123.169.223,isp,SE,AS8473 
37.123.169.224,37.123.169.255,business,SE,AS8473 
37.123.170.0,37.123.171.127,isp,SE,AS8473 
37.123.171.128,37.123.171.151,business,SE,AS8473 
37.123.171.152,37.123.171.159,isp,SE,AS8473 
37.123.171.160,37.123.171.167,business,SE,AS8473 
37.123.171.168,37.123.171.175,isp,SE,AS8473 
37.123.171.176,37.123.171.191,business,SE,AS8473 
37.123.171.192,37.123.171.223,isp,SE,AS8473 
37.123.171.224,37.123.171.239,business,SE,AS8473 
37.123.171.240,37.123.172.95,isp,SE,AS8473 
37.123.172.96,37.123.172.127,business,SE,AS8473 
37.123.172.128,37.123.172.255,isp,SE,AS8473 
37.123.173.0,37.123.173.127,business,SE,AS8473 
37.123.173.128,37.123.173.143,isp,SE,AS8473 
37.123.173.144,37.123.173.159,business,SE,AS8473 
37.123.173.160,37.123.173.191,isp,SE,AS8473 
37.123.173.192,37.123.173.223,business,SE,AS8473 
37.123.173.224,37.123.175.63,isp,SE,AS8473 
37.123.175.64,37.123.175.95,business,SE,AS8473 
37.123.175.96,37.123.175.103,isp,SE,AS8473 
37.123.175.104,37.123.175.111,business,SE,AS8473 
37.123.175.112,37.123.175.127,isp,SE,AS8473 
37.123.175.128,37.123.175.255,business,SE,AS8473 
37.123.176.0,37.123.176.167,isp,SE,AS8473 
37.123.176.168,37.123.176.175,business,SE,AS8473 
37.123.176.176,37.123.185.63,isp,SE,AS8473 
37.123.185.64,37.123.185.95,business,SE,AS8473 
37.123.185.96,37.123.185.111,isp,SE,AS8473 
37.123.185.112,37.123.185.143,business,SE,AS8473 
37.123.185.144,37.123.185.151,isp,SE,AS8473 
37.123.185.152,37.123.185.159,business,SE,AS8473 
37.123.185.160,37.123.185.167,isp,SE,AS8473 
37.123.185.168,37.123.185.255,business,SE,AS8473 
37.123.186.0,37.123.187.127,isp,SE,AS8473 
37.123.187.128,37.123.187.159,business,SE,AS8473 
37.123.187.160,37.123.187.215,isp,SE,AS8473 
37.123.187.216,37.123.187.217,business,SE,AS8473 
37.123.187.218,37.123.187.223,isp,SE,AS8473 
37.123.187.224,37.123.187.255,business,SE,AS8473 
37.123.188.0,37.123.190.127,isp,SE,AS8473 
37.123.190.128,37.123.190.151,business,SE,AS8473 
37.123.190.152,37.123.190.159,isp,SE,AS8473 
37.123.190.160,37.123.190.207,business,SE,AS8473 
37.123.190.208,37.123.190.215,isp,SE,AS8473 
37.123.190.216,37.123.190.239,business,SE,AS8473 
37.123.190.240,37.123.191.255,isp,SE,AS8473 
37.123.192.0,37.123.199.255,hosting,US,AS41378 
37.123.200.0,37.123.207.255,isp,PL,AS35378 
37.123.208.0,37.123.208.255,isp,NL,AS57172 
37.123.209.0,37.123.209.255,business,NL, 
37.123.210.0,37.123.210.255,hosting,NL,AS49453 
37.123.211.0,37.123.212.255,hosting,ZA,AS215300 
37.123.213.0,37.123.215.255,hosting,NL,AS215300 
37.123.216.0,37.123.223.255,isp,RU,AS50289 
37.123.224.0,37.123.224.127,business,SE,AS49232 
37.123.224.128,37.123.224.223,hosting,SE,AS49232 
37.123.224.224,37.123.224.231,isp,SE,AS49232 
37.123.224.232,37.123.224.255,business,SE,AS49232 
37.123.225.0,37.123.231.255,hosting,SE,AS49232 
37.123.232.0,37.123.239.255,business,BE, 
37.123.240.0,37.123.247.255,isp,IT,AS61000 
37.123.248.0,37.123.252.255,hosting,GB,AS198623 
37.123.253.0,37.123.253.255,hosting,DE,AS198623 
37.123.254.0,37.123.255.255,hosting,GB,AS198623 
