109.166.0.0,109.166.31.255,isp,SA,AS25019 
109.166.153.144,109.166.153.167,isp,RO,AS8953 
109.166.153.168,109.166.153.175,business,RO,AS8953 
109.166.153.176,109.166.153.255,isp,RO,AS8953 
109.166.154.0,109.166.154.7,business,RO,AS8953 
109.166.154.8,109.166.154.15,isp,RO,AS8953 
109.166.154.16,109.166.154.31,business,RO,AS8953 
109.166.154.32,109.166.154.47,isp,RO,AS8953 
109.166.154.48,109.166.154.55,business,RO,AS8953 
109.166.154.56,109.166.154.63,isp,RO,AS8953 
109.166.154.64,109.166.154.71,business,RO,AS8953 
109.166.154.72,109.166.154.95,isp,RO,AS8953 
109.166.154.96,109.166.154.127,business,RO,AS8953 
109.166.154.128,109.166.154.159,isp,RO,AS8953 
109.166.154.160,109.166.154.191,business,RO,AS8953 
109.166.154.192,109.166.154.199,isp,RO,AS8953 
109.166.154.200,109.166.154.231,business,RO,AS8953 
109.166.154.232,109.166.154.247,isp,RO,AS8953 
109.166.154.248,109.166.154.255,business,RO,AS8953 
109.166.155.0,109.166.155.47,isp,RO,AS8953 
109.166.155.48,109.166.155.111,business,RO,AS8953 
109.166.155.112,109.166.155.127,isp,RO,AS8953 
109.166.155.128,109.166.155.183,business,RO,AS8953 
109.166.155.184,109.166.155.191,isp,RO,AS8953 
109.166.155.192,109.166.155.223,business,RO,AS8953 
109.166.155.224,109.166.158.71,isp,RO,AS8953 
109.166.158.72,109.166.158.79,business,RO,AS8953 
109.166.158.80,109.166.159.255,isp,RO,AS8953 
109.166.160.0,109.166.163.255,business,RO,AS8953 
109.166.164.0,109.166.175.255,isp,RO,AS8953 
109.166.176.0,109.166.179.255,business,RO,AS8953 
109.166.180.0,109.166.183.7,isp,RO,AS8953 
109.166.183.8,109.166.183.15,business,RO,AS8953 
109.166.183.16,109.166.188.63,isp,RO,AS8953 
109.166.188.64,109.166.188.71,business,RO,AS8953 
109.166.188.72,109.166.188.95,isp,RO,AS8953 
109.166.188.96,109.166.188.111,business,RO,AS8953 
109.166.188.112,109.166.188.119,isp,RO,AS8953 
109.166.188.120,109.166.188.143,business,RO,AS8953 
109.166.188.144,109.166.188.151,isp,RO,AS8953 
109.166.188.152,109.166.188.159,business,RO,AS8953 
109.166.188.160,109.166.188.175,isp,RO,AS8953 
109.166.188.176,109.166.188.183,business,RO,AS8953 
109.166.188.184,109.166.188.207,isp,RO,AS8953 
109.166.188.208,109.166.188.223,business,RO,AS8953 
109.166.188.224,109.166.188.239,isp,RO,AS8953 
109.166.188.240,109.166.188.247,business,RO,AS8953 
109.166.188.248,109.166.188.255,isp,RO,AS8953 
109.166.189.0,109.166.189.7,business,RO,AS8953 
109.166.189.8,109.166.189.15,isp,RO,AS8953 
109.166.189.16,109.166.189.39,business,RO,AS8953 
109.166.189.40,109.166.189.95,isp,RO,AS8953 
109.166.189.96,109.166.189.111,business,RO,AS8953 
109.166.189.112,109.166.189.135,isp,RO,AS8953 
109.166.189.136,109.166.189.141,business,RO,AS8953 
109.166.189.142,109.166.189.143,isp,RO,AS8953 
109.166.189.144,109.166.189.167,business,RO,AS8953 
109.166.189.168,109.166.189.175,isp,RO,AS8953 
109.166.189.176,109.166.189.183,business,RO,AS8953 
109.166.189.184,109.166.189.247,isp,RO,AS8953 
109.166.189.248,109.166.190.63,business,RO,AS8953 
109.166.190.64,109.166.190.79,isp,RO,AS8953 
109.166.190.80,109.166.190.95,business,RO,AS8953 
109.166.190.96,109.166.190.127,isp,RO,AS8953 
109.166.190.128,109.166.190.167,business,RO,AS8953 
109.166.190.168,109.166.190.175,isp,RO,AS8953 
109.166.190.176,109.166.190.183,business,RO,AS8953 
109.166.190.184,109.166.190.191,isp,RO,AS8953 
109.166.190.192,109.166.190.207,business,RO,AS8953 
109.166.190.208,109.166.190.223,isp,RO,AS8953 
109.166.190.224,109.166.191.47,business,RO,AS8953 
109.166.191.48,109.166.191.63,isp,RO,AS8953 
109.166.191.64,109.166.191.79,business,RO,AS8953 
109.166.191.80,109.166.191.95,isp,RO,AS8953 
109.166.191.96,109.166.191.127,business,RO,AS8953 
109.166.191.128,109.166.191.215,isp,RO,AS8953 
109.166.191.216,109.166.191.223,business,RO,AS8953 
109.166.191.224,109.166.193.255,isp,RO,AS8953 
109.166.194.0,109.166.194.71,business,RO,AS8953 
109.166.194.72,109.166.194.95,isp,RO,AS8953 
109.166.194.96,109.166.194.127,business,RO,AS8953 
109.166.194.128,109.166.194.143,isp,RO,AS8953 
109.166.194.144,109.166.194.175,business,RO,AS8953 
109.166.194.176,109.166.194.183,isp,RO,AS8953 
109.166.194.184,109.166.194.191,business,RO,AS8953 
109.166.194.192,109.166.194.207,isp,RO,AS8953 
109.166.194.208,109.166.194.215,business,RO,AS8953 
109.166.194.216,109.166.194.223,isp,RO,AS8953 
109.166.194.224,109.166.194.247,business,RO,AS8953 
109.166.194.248,109.166.196.47,isp,RO,AS8953 
109.166.196.48,109.166.196.55,business,RO,AS8953 
109.166.196.56,109.166.196.63,isp,RO,AS8953 
109.166.196.64,109.166.196.71,business,RO,AS8953 
109.166.196.72,109.166.196.103,isp,RO,AS8953 
109.166.196.104,109.166.196.111,business,RO,AS8953 
109.166.196.112,109.166.196.223,isp,RO,AS8953 
109.166.196.224,109.166.196.255,business,RO,AS8953 
109.166.197.0,109.166.197.15,isp,RO,AS8953 
109.166.197.16,109.166.197.23,business,RO,AS8953 
109.166.197.24,109.166.197.39,isp,RO,AS8953 
109.166.197.40,109.166.197.47,business,RO,AS8953 
109.166.197.48,109.166.197.55,isp,RO,AS8953 
109.166.197.56,109.166.197.239,business,RO,AS8953 
109.166.197.240,109.166.198.39,isp,RO,AS8953 
109.166.198.40,109.166.198.47,business,RO,AS8953 
109.166.198.48,109.166.198.71,isp,RO,AS8953 
109.166.198.72,109.166.198.79,business,RO,AS8953 
109.166.198.80,109.166.198.167,isp,RO,AS8953 
109.166.198.168,109.166.198.175,business,RO,AS8953 
109.166.198.176,109.166.198.223,isp,RO,AS8953 
109.166.198.224,109.166.198.239,business,RO,AS8953 
109.166.198.240,109.166.199.15,isp,RO,AS8953 
109.166.199.16,109.166.199.23,business,RO,AS8953 
109.166.199.24,109.166.199.31,isp,RO,AS8953 
109.166.199.32,109.166.199.47,business,RO,AS8953 
109.166.199.48,109.166.199.87,isp,RO,AS8953 
109.166.199.88,109.166.199.95,business,RO,AS8953 
109.166.199.96,109.166.199.111,isp,RO,AS8953 
109.166.199.112,109.166.199.127,business,RO,AS8953 
109.166.199.128,109.166.206.199,isp,RO,AS8953 
109.166.206.200,109.166.206.207,business,RO,AS8953 
109.166.206.208,109.166.207.255,isp,RO,AS8953 
109.166.208.0,109.166.208.15,business,RO,AS8953 
109.166.208.16,109.166.208.31,isp,RO,AS8953 
109.166.208.32,109.166.208.55,business,RO,AS8953 
109.166.208.56,109.166.208.71,isp,RO,AS8953 
109.166.208.72,109.166.208.95,business,RO,AS8953 
109.166.208.96,109.166.208.135,isp,RO,AS8953 
109.166.208.136,109.166.208.144,business,RO,AS8953 
109.166.208.145,109.166.208.191,isp,RO,AS8953 
109.166.208.192,109.166.208.199,business,RO,AS8953 
109.166.208.200,109.166.208.207,isp,RO,AS8953 
109.166.208.208,109.166.208.215,business,RO,AS8953 
109.166.208.216,109.166.208.255,isp,RO,AS8953 
109.166.209.0,109.166.209.31,business,RO,AS8953 
109.166.209.32,109.166.209.39,isp,RO,AS8953 
109.166.209.40,109.166.209.63,business,RO,AS8953 
109.166.209.64,109.166.209.79,isp,RO,AS8953 
109.166.209.80,109.166.209.135,business,RO,AS8953 
109.166.209.136,109.166.209.151,isp,RO,AS8953 
109.166.209.152,109.166.209.255,business,RO,AS8953 
109.166.210.0,109.166.210.23,isp,RO,AS8953 
109.166.210.24,109.166.210.31,business,RO,AS8953 
109.166.210.32,109.166.210.103,isp,RO,AS8953 
109.166.210.104,109.166.210.111,business,RO,AS8953 
109.166.210.112,109.166.216.39,isp,RO,AS8953 
109.166.216.40,109.166.216.47,business,RO,AS8953 
109.166.216.48,109.166.231.255,isp,RO,AS8953 
109.166.232.0,109.166.232.47,business,RO,AS8953 
109.166.232.48,109.166.232.79,isp,RO,AS8953 
109.166.232.80,109.166.232.95,business,RO,AS8953 
109.166.232.96,109.166.232.207,isp,RO,AS8953 
109.166.232.208,109.166.232.215,business,RO,AS8953 
109.166.232.216,109.166.233.255,isp,RO,AS8953 
109.166.234.0,109.166.234.7,business,RO,AS8953 
109.166.234.8,109.166.234.15,isp,RO,AS8953 
109.166.234.16,109.166.234.31,business,RO,AS8953 
109.166.234.32,109.166.234.79,isp,RO,AS8953 
109.166.234.80,109.166.234.87,business,RO,AS8953 
109.166.234.88,109.166.234.111,isp,RO,AS8953 
109.166.234.112,109.166.234.119,business,RO,AS8953 
109.166.234.120,109.166.234.128,isp,RO,AS8953 
109.166.234.129,109.166.234.136,business,RO,AS8953 
109.166.234.137,109.166.234.143,isp,RO,AS8953 
109.166.234.144,109.166.234.175,business,RO,AS8953 
109.166.234.176,109.166.234.191,isp,RO,AS8953 
109.166.234.192,109.166.234.207,business,RO,AS8953 
109.166.234.208,109.166.234.215,isp,RO,AS8953 
109.166.234.216,109.166.235.39,business,RO,AS8953 
109.166.235.40,109.166.235.79,isp,RO,AS8953 
109.166.235.80,109.166.235.111,business,RO,AS8953 
109.166.235.112,109.166.235.119,isp,RO,AS8953 
109.166.235.120,109.166.235.127,business,RO,AS8953 
109.166.235.128,109.166.235.135,isp,RO,AS8953 
109.166.235.136,109.166.235.239,business,RO,AS8953 
109.166.235.240,109.166.235.247,isp,RO,AS8953 
109.166.235.248,109.166.235.255,business,RO,AS8953 
109.166.236.0,109.166.239.255,isp,RO,AS8953 
109.166.240.0,109.166.240.191,business,RO,AS8953 
109.166.240.192,109.166.240.223,isp,RO,AS8953 
109.166.240.224,109.166.240.239,business,RO,AS8953 
109.166.240.240,109.166.241.15,isp,RO,AS8953 
109.166.241.16,109.166.241.31,business,RO,AS8953 
109.166.241.32,109.166.241.47,isp,RO,AS8953 
109.166.241.48,109.166.241.159,business,RO,AS8953 
109.166.241.160,109.166.241.199,isp,RO,AS8953 
109.166.241.200,109.166.241.223,business,RO,AS8953 
109.166.241.224,109.166.241.239,education,RO,AS8953 
109.166.241.240,109.166.241.255,isp,RO,AS8953 
109.166.242.0,109.166.242.23,business,RO,AS8953 
109.166.242.24,109.166.242.31,isp,RO,AS8953 
109.166.242.32,109.166.242.55,business,RO,AS8953 
109.166.242.56,109.166.242.63,isp,RO,AS8953 
109.166.242.64,109.166.242.103,business,RO,AS8953 
109.166.242.104,109.166.242.151,isp,RO,AS8953 
109.166.242.152,109.166.242.159,business,RO,AS8953 
109.166.242.160,109.166.242.167,isp,RO,AS8953 
109.166.242.168,109.166.242.183,business,RO,AS8953 
109.166.242.184,109.166.242.191,isp,RO,AS8953 
109.166.242.192,109.166.242.199,business,RO,AS8953 
109.166.242.200,109.166.242.207,isp,RO,AS8953 
109.166.242.208,109.166.242.223,business,RO,AS8953 
109.166.242.224,109.166.242.231,isp,RO,AS8953 
109.166.242.232,109.166.243.15,business,RO,AS8953 
109.166.243.16,109.166.243.31,isp,RO,AS8953 
109.166.243.32,109.166.243.39,business,RO,AS8953 
109.166.243.40,109.166.243.47,isp,RO,AS8953 
109.166.243.48,109.166.243.95,business,RO,AS8953 
109.166.243.96,109.166.243.127,isp,RO,AS8953 
109.166.243.128,109.166.243.175,business,RO,AS8953 
109.166.243.176,109.166.243.183,isp,RO,AS8953 
109.166.243.184,109.166.243.223,business,RO,AS8953 
109.166.243.224,109.166.243.231,isp,RO,AS8953 
109.166.243.232,109.166.243.255,business,RO,AS8953 
109.166.244.0,109.166.244.255,business,RO,AS201387 
109.166.245.0,109.166.245.47,isp,RO,AS8953 
109.166.245.48,109.166.245.63,business,RO,AS8953 
109.166.245.64,109.166.245.95,isp,RO,AS8953 
109.166.245.96,109.166.245.111,business,RO,AS8953 
109.166.245.112,109.166.245.223,isp,RO,AS8953 
109.166.245.224,109.166.245.255,business,RO,AS8953 
109.166.246.0,109.166.246.127,isp,RO,AS8953 
109.166.246.128,109.166.246.143,business,RO,AS8953 
109.166.246.144,109.166.246.159,isp,RO,AS8953 
109.166.246.160,109.166.246.191,business,RO,AS8953 
109.166.246.192,109.166.246.199,isp,RO,AS8953 
109.166.246.200,109.166.246.231,business,RO,AS8953 
109.166.246.232,109.166.246.255,isp,RO,AS8953 
109.166.247.0,109.166.247.7,business,RO,AS8953 
109.166.247.8,109.166.247.15,isp,RO,AS8953 
109.166.247.16,109.166.247.23,business,RO,AS8953 
109.166.247.24,109.166.247.47,isp,RO,AS8953 
109.166.247.48,109.166.247.71,business,RO,AS8953 
109.166.247.72,109.166.247.79,isp,RO,AS8953 
109.166.247.80,109.166.247.95,business,RO,AS8953 
109.166.247.96,109.166.247.111,isp,RO,AS8953 
109.166.247.112,109.166.247.127,business,RO,AS8953 
109.166.247.128,109.166.247.231,isp,RO,AS8953 
109.166.247.232,109.166.247.239,business,RO,AS8953 
109.166.247.240,109.166.255.255,isp,RO,AS8953 
