109.228.0.0,109.228.40.255,hosting,GB 
109.228.146.96,109.228.146.159,isp,SE 
109.228.146.160,109.228.146.223,business,SE 
109.228.146.224,109.228.148.79,isp,SE 
109.228.148.80,109.228.148.127,business,SE 
109.228.148.128,109.228.148.191,isp,SE 
109.228.148.192,109.228.148.193,business,SE 
109.228.148.194,109.228.148.195,isp,SE 
109.228.148.196,109.228.148.223,business,SE 
109.228.148.224,109.228.149.223,isp,SE 
109.228.149.224,109.228.149.255,business,SE 
109.228.150.0,109.228.150.127,isp,SE 
109.228.150.128,109.228.150.159,business,SE 
109.228.150.160,109.228.156.63,isp,SE 
109.228.156.64,109.228.156.127,business,SE 
109.228.156.128,109.228.156.255,isp,SE 
109.228.157.0,109.228.157.63,business,SE 
109.228.157.64,109.228.157.111,isp,SE 
109.228.157.112,109.228.157.159,business,SE 
109.228.157.160,109.228.157.167,isp,SE 
109.228.157.168,109.228.157.239,business,SE 
109.228.157.240,109.228.163.255,isp,SE 
109.228.164.0,109.228.164.127,business,SE 
109.228.164.128,109.228.166.31,isp,SE 
109.228.166.32,109.228.166.39,business,SE 
109.228.166.40,109.228.166.71,isp,SE 
109.228.166.72,109.228.166.95,business,SE 
109.228.166.96,109.228.166.235,isp,SE 
109.228.166.236,109.228.166.239,business,SE 
109.228.166.240,109.228.166.247,isp,SE 
109.228.166.248,109.228.166.255,business,SE 
109.228.167.0,109.228.167.7,isp,SE 
109.228.167.8,109.228.167.17,business,SE 
109.228.167.18,109.228.167.19,isp,SE 
109.228.167.20,109.228.167.51,business,SE 
109.228.167.52,109.228.167.63,isp,SE 
109.228.167.64,109.228.167.159,business,SE 
109.228.167.160,109.228.167.191,isp,SE 
109.228.167.192,109.228.167.255,business,SE 
109.228.168.0,109.228.169.3,isp,SE 
109.228.169.4,109.228.169.27,business,SE 
109.228.169.28,109.228.169.79,isp,SE 
109.228.169.80,109.228.169.83,business,SE 
109.228.169.84,109.228.169.91,isp,SE 
109.228.169.92,109.228.169.95,business,SE 
109.228.169.96,109.228.169.127,isp,SE 
109.228.169.128,109.228.169.135,business,SE 
109.228.169.136,109.228.169.143,isp,SE 
109.228.169.144,109.228.169.159,business,SE 
109.228.169.160,109.228.169.191,isp,SE 
109.228.169.192,109.228.169.199,business,SE 
109.228.169.200,109.228.169.201,isp,SE 
109.228.169.202,109.228.169.203,business,SE 
109.228.169.204,109.228.170.3,isp,SE 
109.228.170.4,109.228.170.23,business,SE 
109.228.170.24,109.228.170.63,isp,SE 
109.228.170.64,109.228.170.95,business,SE 
109.228.170.96,109.228.170.103,isp,SE 
109.228.170.104,109.228.170.127,business,SE 
109.228.170.128,109.228.171.31,isp,SE 
109.228.171.32,109.228.171.55,business,SE 
109.228.171.56,109.228.177.255,isp,SE 
109.228.178.0,109.228.178.255,business,SE 
109.228.179.0,109.228.179.207,isp,SE 
109.228.179.208,109.228.179.223,business,SE 
109.228.179.224,109.228.181.127,isp,SE 
109.228.181.128,109.228.181.191,business,SE 
109.228.181.192,109.228.181.223,isp,SE 
109.228.181.224,109.228.182.23,business,SE 
109.228.182.24,109.228.182.31,isp,SE 
109.228.182.32,109.228.182.39,business,SE 
109.228.182.40,109.228.183.47,isp,SE 
109.228.183.48,109.228.183.63,business,SE 
109.228.183.64,109.228.183.79,isp,SE 
109.228.183.80,109.228.183.127,business,SE 
109.228.183.128,109.228.183.135,isp,SE 
109.228.183.136,109.228.183.191,business,SE 
109.228.183.192,109.228.183.207,isp,SE 
109.228.183.208,109.228.183.223,business,SE 
109.228.183.224,109.228.184.111,isp,SE 
109.228.184.112,109.228.184.127,business,SE 
109.228.184.128,109.228.185.79,isp,SE 
109.228.185.80,109.228.185.135,business,SE 
109.228.185.136,109.228.185.143,isp,SE 
109.228.185.144,109.228.185.159,business,SE 
109.228.185.160,109.228.185.161,isp,SE 
109.228.185.162,109.228.185.167,business,SE 
109.228.185.168,109.228.186.135,isp,SE 
109.228.186.136,109.228.186.143,business,SE 
109.228.186.144,109.228.186.151,isp,SE 
109.228.186.152,109.228.186.159,business,SE 
109.228.186.160,109.228.186.183,isp,SE 
109.228.186.184,109.228.186.223,business,SE 
109.228.186.224,109.228.188.1,isp,SE 
109.228.188.2,109.228.188.17,business,SE 
109.228.188.18,109.228.188.19,isp,SE 
109.228.188.20,109.228.188.31,business,SE 
109.228.188.32,109.228.188.47,isp,SE 
109.228.188.48,109.228.188.63,business,SE 
109.228.188.64,109.228.188.127,isp,SE 
109.228.188.128,109.228.188.255,business,SE 
109.228.189.0,109.228.191.223,isp,SE 
109.228.191.224,109.228.191.239,business,SE 
109.228.191.240,109.228.191.255,isp,SE 
109.228.192.0,109.228.255.255,isp,TR 
