24.137.32.0,24.137.47.255,isp,CA,AS33541 
24.137.204.248,24.137.204.255,business,CA,AS812 
24.137.205.0,24.137.206.39,isp,CA,AS812 
24.137.206.40,24.137.206.47,business,CA,AS812 
24.137.206.48,24.137.206.63,isp,CA,AS812 
24.137.206.64,24.137.206.95,business,CA,AS812 
24.137.206.96,24.137.206.119,isp,CA,AS812 
24.137.206.120,24.137.206.135,business,CA,AS812 
24.137.206.136,24.137.206.167,isp,CA,AS812 
24.137.206.168,24.137.206.175,business,CA,AS812 
24.137.206.176,24.137.206.191,isp,CA,AS812 
24.137.206.192,24.137.206.199,education,CA,AS812 
24.137.206.200,24.137.206.207,business,CA,AS812 
24.137.206.208,24.137.206.215,isp,CA,AS812 
24.137.206.216,24.137.206.223,business,CA,AS812 
24.137.206.224,24.137.206.239,isp,CA,AS812 
24.137.206.240,24.137.206.247,business,CA,AS812 
24.137.206.248,24.137.207.239,isp,CA,AS812 
24.137.207.240,24.137.207.247,business,CA,AS812 
24.137.207.248,24.137.209.15,isp,CA,AS812 
24.137.209.16,24.137.209.31,business,CA,AS812 
24.137.209.32,24.137.209.87,isp,CA,AS812 
24.137.209.88,24.137.209.95,business,CA,AS812 
24.137.209.96,24.137.211.255,isp,CA,AS812 
24.137.212.0,24.137.212.63,education,CA,AS812 
24.137.212.64,24.137.212.79,isp,CA,AS812 
24.137.212.80,24.137.212.87,business,CA,AS812 
24.137.212.88,24.137.212.127,isp,CA,AS812 
24.137.212.128,24.137.212.191,education,CA,AS812 
24.137.212.192,24.137.212.255,isp,CA,AS812 
24.137.213.0,24.137.215.127,business,CA,AS812 
24.137.215.128,24.137.215.255,isp,CA,AS812 
24.137.216.0,24.137.216.255,business,CA,AS812 
24.137.217.0,24.137.217.15,isp,CA,AS812 
24.137.217.16,24.137.217.23,business,CA,AS812 
24.137.217.24,24.137.217.47,isp,CA,AS812 
24.137.217.48,24.137.217.63,business,CA,AS812 
24.137.217.64,24.137.217.71,isp,CA,AS812 
24.137.217.72,24.137.217.87,business,CA,AS812 
24.137.217.88,24.137.217.135,isp,CA,AS812 
24.137.217.136,24.137.217.143,business,CA,AS812 
24.137.217.144,24.137.217.167,isp,CA,AS812 
24.137.217.168,24.137.217.183,business,CA,AS812 
24.137.217.184,24.137.217.207,isp,CA,AS812 
24.137.217.208,24.137.217.223,business,CA,AS812 
24.137.217.224,24.137.217.239,isp,CA,AS812 
24.137.217.240,24.137.217.247,business,CA,AS812 
24.137.217.248,24.137.218.127,isp,CA,AS812 
24.137.218.128,24.137.218.135,education,CA,AS812 
24.137.218.136,24.137.218.223,isp,CA,AS812 
24.137.218.224,24.137.218.231,business,CA,AS812 
24.137.218.232,24.137.218.255,isp,CA,AS812 
24.137.219.0,24.137.219.31,business,CA,AS812 
24.137.219.32,24.137.219.71,isp,CA,AS812 
24.137.219.72,24.137.219.79,business,CA,AS812 
24.137.219.80,24.137.219.159,isp,CA,AS812 
24.137.219.160,24.137.219.175,business,CA,AS812 
24.137.219.176,24.137.219.247,isp,CA,AS812 
24.137.219.248,24.137.220.7,business,CA,AS812 
24.137.220.8,24.137.220.63,isp,CA,AS812 
24.137.220.64,24.137.220.79,business,CA,AS812 
24.137.220.80,24.137.220.127,isp,CA,AS812 
24.137.220.128,24.137.220.143,business,CA,AS812 
24.137.220.144,24.137.220.167,isp,CA,AS812 
24.137.220.168,24.137.220.191,business,CA,AS812 
24.137.220.192,24.137.223.71,isp,CA,AS812 
24.137.223.72,24.137.223.87,business,CA,AS812 
24.137.223.88,24.137.223.255,isp,CA,AS812 
24.137.224.0,24.137.255.255,isp,US,AS14638 
