5.255.0.0,5.255.31.255,isp,YE,AS30873 
5.255.200.12,5.255.200.15,hosting,RU,AS13238 
5.255.200.16,5.255.200.23,business,RU,AS13238 
5.255.200.24,5.255.200.27,hosting,RU,AS13238 
5.255.200.28,5.255.200.31,business,RU,AS13238 
5.255.200.32,5.255.200.255,hosting,RU,AS13238 
5.255.201.0,5.255.201.31,business,RU,AS13238 
5.255.201.32,5.255.201.47,hosting,RU,AS13238 
5.255.201.48,5.255.201.63,business,RU,AS13238 
5.255.201.64,5.255.201.71,hosting,RU,AS13238 
5.255.201.72,5.255.201.103,business,RU,AS13238 
5.255.201.104,5.255.201.105,hosting,RU,AS13238 
5.255.201.106,5.255.201.107,business,RU,AS13238 
5.255.201.108,5.255.201.159,hosting,RU,AS13238 
5.255.201.160,5.255.201.167,business,RU,AS13238 
5.255.201.168,5.255.201.175,hosting,RU,AS13238 
5.255.201.176,5.255.201.191,business,RU,AS13238 
5.255.201.192,5.255.201.207,hosting,RU,AS13238 
5.255.201.208,5.255.201.221,business,RU,AS13238 
5.255.201.222,5.255.201.223,hosting,RU,AS13238 
5.255.201.224,5.255.203.255,business,RU,AS13238 
5.255.204.0,5.255.204.199,business,KZ,AS13238 
5.255.204.200,5.255.204.255,hosting,RU,AS13238 
5.255.205.0,5.255.205.39,business,RU,AS13238 
5.255.205.40,5.255.205.63,hosting,RU,AS13238 
5.255.205.64,5.255.205.95,business,RU,AS13238 
5.255.205.96,5.255.205.127,hosting,RU,AS13238 
5.255.205.128,5.255.205.191,business,RU,AS13238 
5.255.205.192,5.255.205.255,hosting,RU,AS13238 
5.255.206.0,5.255.206.129,business,RU,AS13238 
5.255.206.130,5.255.206.131,hosting,RU,AS13238 
5.255.206.132,5.255.206.135,business,RU,AS13238 
5.255.206.136,5.255.206.151,hosting,RU,AS13238 
5.255.206.152,5.255.206.239,business,RU,AS13238 
5.255.206.240,5.255.206.255,hosting,RU,AS13238 
5.255.207.0,5.255.207.223,business,RU,AS13238 
5.255.207.224,5.255.207.227,business,DE,AS13238 
5.255.207.228,5.255.211.7,business,RU,AS13238 
5.255.211.8,5.255.211.15,hosting,RU,AS13238 
5.255.211.16,5.255.211.53,business,RU,AS13238 
5.255.211.54,5.255.211.63,hosting,RU,AS13238 
5.255.211.64,5.255.211.223,business,RU,AS13238 
5.255.211.224,5.255.211.231,hosting,RU,AS13238 
5.255.211.232,5.255.213.31,business,RU,AS13238 
5.255.213.32,5.255.213.39,hosting,RU,AS13238 
5.255.213.40,5.255.214.63,business,RU,AS13238 
5.255.214.64,5.255.214.111,hosting,RU,AS13238 
5.255.214.112,5.255.214.191,business,RU,AS13238 
5.255.214.192,5.255.214.255,hosting,RU,AS13238 
5.255.215.0,5.255.215.255,business,RU,AS13238 
5.255.216.0,5.255.216.95,hosting,RU,AS13238 
5.255.216.96,5.255.216.99,business,DE,AS13238 
5.255.216.100,5.255.216.255,hosting,RU,AS13238 
5.255.217.0,5.255.217.127,business,RU,AS13238 
5.255.217.128,5.255.217.255,hosting,RU,AS13238 
5.255.218.0,5.255.219.111,business,RU,AS13238 
5.255.219.112,5.255.219.127,hosting,RU,AS13238 
5.255.219.128,5.255.219.143,business,RU,AS13238 
5.255.219.144,5.255.219.151,hosting,RU,AS13238 
5.255.219.152,5.255.219.155,business,RU,AS13238 
5.255.219.156,5.255.219.159,hosting,RU,AS13238 
5.255.219.160,5.255.220.75,business,RU,AS13238 
5.255.220.76,5.255.220.79,hosting,RU,AS13238 
5.255.220.80,5.255.221.255,business,RU,AS13238 
5.255.222.0,5.255.224.47,hosting,RU,AS13238 
5.255.224.48,5.255.224.51,business,RU,AS13238 
5.255.224.52,5.255.224.55,hosting,RU,AS13238 
5.255.224.56,5.255.224.79,business,RU,AS13238 
5.255.224.80,5.255.224.139,hosting,RU,AS13238 
5.255.224.140,5.255.224.141,business,RU,AS13238 
5.255.224.142,5.255.224.191,hosting,RU,AS13238 
5.255.224.192,5.255.224.255,business,RU,AS13238 
5.255.225.0,5.255.227.255,hosting,RU,AS13238 
5.255.228.0,5.255.228.31,business,RU,AS13238 
5.255.228.32,5.255.228.63,hosting,RU,AS13238 
5.255.228.64,5.255.229.27,business,RU,AS13238 
5.255.229.28,5.255.230.255,hosting,RU,AS13238 
5.255.231.0,5.255.231.255,business,RU,AS13238 
5.255.232.0,5.255.232.255,hosting,RU,AS44534 
5.255.233.0,5.255.233.79,business,RU,AS13238 
5.255.233.80,5.255.233.95,hosting,RU,AS13238 
5.255.233.96,5.255.233.255,business,RU,AS13238 
5.255.234.0,5.255.235.191,hosting,RU,AS44534 
5.255.235.192,5.255.235.255,hosting,RU,AS13238 
5.255.236.0,5.255.237.51,business,RU,AS13238 
5.255.237.52,5.255.237.255,hosting,RU,AS13238 
5.255.238.0,5.255.238.31,business,RU,AS13238 
5.255.238.32,5.255.238.63,hosting,RU,AS13238 
5.255.238.64,5.255.238.127,business,RU,AS13238 
5.255.238.128,5.255.238.191,hosting,RU,AS13238 
5.255.238.192,5.255.238.255,business,RU,AS13238 
5.255.239.0,5.255.239.255,hosting,RU,AS13238 
5.255.240.0,5.255.240.255,business,RU,AS13238 
5.255.241.0,5.255.241.255,hosting,RU,AS13238 
5.255.242.0,5.255.242.255,business,FI,AS13238 
5.255.243.0,5.255.243.23,business,RU,AS13238 
5.255.243.24,5.255.245.63,hosting,RU,AS13238 
5.255.245.64,5.255.245.87,business,FI,AS13238 
5.255.245.88,5.255.245.127,hosting,RU,AS13238 
5.255.245.128,5.255.246.17,business,RU,AS13238 
5.255.246.18,5.255.246.19,hosting,RU,AS13238 
5.255.246.20,5.255.246.23,business,RU,AS13238 
5.255.246.24,5.255.246.35,hosting,RU,AS13238 
5.255.246.36,5.255.246.37,business,RU,AS13238 
5.255.246.38,5.255.247.255,hosting,RU,AS13238 
5.255.248.0,5.255.248.3,business,RU,AS13238 
5.255.248.4,5.255.248.5,hosting,RU,AS13238 
5.255.248.6,5.255.248.17,business,RU,AS13238 
5.255.248.18,5.255.248.19,hosting,RU,AS13238 
5.255.248.20,5.255.248.23,business,RU,AS13238 
5.255.248.24,5.255.248.25,hosting,RU,AS13238 
5.255.248.26,5.255.248.29,business,RU,AS13238 
5.255.248.30,5.255.248.31,hosting,RU,AS13238 
5.255.248.32,5.255.248.55,business,RU,AS13238 
5.255.248.56,5.255.249.1,hosting,RU,AS13238 
5.255.249.2,5.255.249.5,business,RU,AS13238 
5.255.249.6,5.255.249.7,hosting,RU,AS13238 
5.255.249.8,5.255.249.47,business,RU,AS13238 
5.255.249.48,5.255.249.255,hosting,RU,AS13238 
5.255.250.0,5.255.250.255,business,US,AS13238 
5.255.251.0,5.255.251.127,business,DE,AS13238 
5.255.251.128,5.255.251.255,business,TR,AS13238 
5.255.252.0,5.255.254.255,business,RU,AS13238 
5.255.255.0,5.255.255.255,hosting,RU,AS13238 
