193.193.0.0,193.193.31.255,business,IT,AS12874 
193.193.228.176,193.193.228.191,isp,KZ,AS8393 
193.193.228.192,193.193.228.195,business,KZ,AS8393 
193.193.228.196,193.193.228.199,isp,KZ,AS8393 
193.193.228.200,193.193.228.207,business,KZ,AS8393 
193.193.228.208,193.193.228.227,isp,KZ,AS8393 
193.193.228.228,193.193.228.255,business,KZ,AS8393 
193.193.229.0,193.193.229.55,isp,KZ,AS8393 
193.193.229.56,193.193.229.63,business,KZ,AS8393 
193.193.229.64,193.193.229.79,isp,KZ,AS8393 
193.193.229.80,193.193.229.87,business,KZ,AS8393 
193.193.229.88,193.193.229.95,isp,KZ,AS8393 
193.193.229.96,193.193.229.159,business,KZ,AS8393 
193.193.229.160,193.193.230.21,isp,KZ,AS8393 
193.193.230.22,193.193.230.23,business,KZ,AS8393 
193.193.230.24,193.193.230.36,isp,KZ,AS8393 
193.193.230.37,193.193.230.37,business,KZ,AS8393 
193.193.230.38,193.193.230.59,isp,KZ,AS8393 
193.193.230.60,193.193.230.63,business,KZ,AS8393 
193.193.230.64,193.193.230.107,isp,KZ,AS8393 
193.193.230.108,193.193.230.111,business,KZ,AS8393 
193.193.230.112,193.193.230.135,isp,KZ,AS8393 
193.193.230.136,193.193.230.151,business,KZ,AS8393 
193.193.230.152,193.193.230.223,isp,KZ,AS8393 
193.193.230.224,193.193.230.227,business,KZ,AS8393 
193.193.230.228,193.193.231.31,isp,KZ,AS8393 
193.193.231.32,193.193.231.35,business,KZ,AS8393 
193.193.231.36,193.193.231.39,isp,KZ,AS8393 
193.193.231.40,193.193.231.55,business,KZ,AS8393 
193.193.231.56,193.193.231.227,isp,KZ,AS8393 
193.193.231.228,193.193.232.127,business,KZ,AS8393 
193.193.232.128,193.193.232.140,isp,KZ,AS8393 
193.193.232.141,193.193.232.143,business,KZ,AS8393 
193.193.232.144,193.193.232.155,isp,KZ,AS8393 
193.193.232.156,193.193.232.159,business,KZ,AS8393 
193.193.232.160,193.193.232.163,isp,KZ,AS8393 
193.193.232.164,193.193.232.167,business,KZ,AS8393 
193.193.232.168,193.193.232.187,isp,KZ,AS8393 
193.193.232.188,193.193.232.207,business,KZ,AS8393 
193.193.232.208,193.193.232.211,isp,KZ,AS8393 
193.193.232.212,193.193.232.223,business,KZ,AS8393 
193.193.232.224,193.193.232.231,isp,KZ,AS8393 
193.193.232.232,193.193.232.239,business,KZ,AS8393 
193.193.232.240,193.193.232.244,isp,KZ,AS8393 
193.193.232.245,193.193.232.247,business,KZ,AS8393 
193.193.232.248,193.193.232.255,isp,KZ,AS8393 
193.193.233.0,193.193.233.15,business,KZ,AS8393 
193.193.233.16,193.193.233.39,isp,KZ,AS8393 
193.193.233.40,193.193.233.43,business,KZ,AS8393 
193.193.233.44,193.193.233.51,isp,KZ,AS8393 
193.193.233.52,193.193.233.52,business,KZ,AS8393 
193.193.233.53,193.193.233.53,isp,KZ,AS8393 
193.193.233.54,193.193.233.55,business,KZ,AS8393 
193.193.233.56,193.193.233.73,isp,KZ,AS8393 
193.193.233.74,193.193.233.75,business,KZ,AS8393 
193.193.233.76,193.193.233.79,isp,KZ,AS8393 
193.193.233.80,193.193.233.223,business,KZ,AS8393 
193.193.233.224,193.193.233.231,isp,KZ,AS8393 
193.193.233.232,193.193.233.255,business,KZ,AS8393 
193.193.234.0,193.193.234.255,isp,KZ,AS8393 
193.193.235.0,193.193.235.103,business,KZ,AS8393 
193.193.235.104,193.193.235.123,isp,KZ,AS8393 
193.193.235.124,193.193.235.135,business,KZ,AS8393 
193.193.235.136,193.193.235.143,isp,KZ,AS8393 
193.193.235.144,193.193.235.155,business,KZ,AS8393 
193.193.235.156,193.193.235.159,isp,KZ,AS8393 
193.193.235.160,193.193.235.175,business,KZ,AS8393 
193.193.235.176,193.193.235.187,isp,KZ,AS8393 
193.193.235.188,193.193.235.215,business,KZ,AS8393 
193.193.235.216,193.193.235.219,isp,KZ,AS8393 
193.193.235.220,193.193.235.227,business,KZ,AS8393 
193.193.235.228,193.193.235.239,isp,KZ,AS8393 
193.193.235.240,193.193.235.255,business,KZ,AS8393 
193.193.236.0,193.193.236.19,isp,KZ,AS8393 
193.193.236.20,193.193.236.23,business,KZ,AS8393 
193.193.236.24,193.193.236.39,isp,KZ,AS8393 
193.193.236.40,193.193.236.47,business,KZ,AS8393 
193.193.236.48,193.193.236.63,isp,KZ,AS8393 
193.193.236.64,193.193.236.67,business,KZ,AS8393 
193.193.236.68,193.193.236.75,isp,KZ,AS8393 
193.193.236.76,193.193.236.79,business,KZ,AS8393 
193.193.236.80,193.193.236.91,isp,KZ,AS8393 
193.193.236.92,193.193.236.99,business,KZ,AS8393 
193.193.236.100,193.193.236.111,isp,KZ,AS8393 
193.193.236.112,193.193.236.115,business,KZ,AS8393 
193.193.236.116,193.193.236.116,isp,KZ,AS8393 
193.193.236.117,193.193.236.119,business,KZ,AS8393 
193.193.236.120,193.193.236.123,isp,KZ,AS8393 
193.193.236.124,193.193.236.127,business,KZ,AS8393 
193.193.236.128,193.193.236.136,isp,KZ,AS8393 
193.193.236.137,193.193.236.137,business,KZ,AS8393 
193.193.236.138,193.193.236.202,isp,KZ,AS8393 
193.193.236.203,193.193.236.203,business,KZ,AS8393 
193.193.236.204,193.193.236.216,isp,KZ,AS8393 
193.193.236.217,193.193.236.219,business,KZ,AS8393 
193.193.236.220,193.193.236.227,isp,KZ,AS8393 
193.193.236.228,193.193.237.71,business,KZ,AS8393 
193.193.237.72,193.193.237.79,isp,KZ,AS8393 
193.193.237.80,193.193.237.87,business,KZ,AS8393 
193.193.237.88,193.193.237.91,isp,KZ,AS8393 
193.193.237.92,193.193.237.95,business,KZ,AS8393 
193.193.237.96,193.193.237.99,isp,KZ,AS8393 
193.193.237.100,193.193.237.103,business,KZ,AS8393 
193.193.237.104,193.193.237.111,isp,KZ,AS8393 
193.193.237.112,193.193.237.139,business,KZ,AS8393 
193.193.237.140,193.193.237.143,isp,KZ,AS8393 
193.193.237.144,193.193.237.167,business,KZ,AS8393 
193.193.237.168,193.193.237.175,isp,KZ,AS8393 
193.193.237.176,193.193.237.191,business,KZ,AS8393 
193.193.237.192,193.193.237.199,isp,KZ,AS8393 
193.193.237.200,193.193.237.203,business,KZ,AS8393 
193.193.237.204,193.193.237.223,isp,KZ,AS8393 
193.193.237.224,193.193.238.31,business,KZ,AS8393 
193.193.238.32,193.193.238.39,isp,KZ,AS8393 
193.193.238.40,193.193.238.79,business,KZ,AS8393 
193.193.238.80,193.193.238.143,isp,KZ,AS8393 
193.193.238.144,193.193.238.175,business,KZ,AS8393 
193.193.238.176,193.193.238.215,isp,KZ,AS8393 
193.193.238.216,193.193.238.247,business,KZ,AS8393 
193.193.238.248,193.193.238.251,isp,KZ,AS8393 
193.193.238.252,193.193.238.255,business,KZ,AS8393 
193.193.239.0,193.193.239.19,isp,KZ,AS8393 
193.193.239.20,193.193.239.23,business,KZ,AS8393 
193.193.239.24,193.193.239.75,isp,KZ,AS8393 
193.193.239.76,193.193.239.83,business,KZ,AS8393 
193.193.239.84,193.193.239.127,isp,KZ,AS8393 
193.193.239.128,193.193.239.139,business,KZ,AS8393 
193.193.239.140,193.193.239.191,isp,KZ,AS8393 
193.193.239.192,193.193.239.199,business,KZ,AS8393 
193.193.239.200,193.193.239.203,isp,KZ,AS8393 
193.193.239.204,193.193.239.207,business,KZ,AS8393 
193.193.239.208,193.193.239.231,isp,KZ,AS8393 
193.193.239.232,193.193.239.235,business,KZ,AS8393 
193.193.239.236,193.193.241.255,isp,KZ,AS8393 
193.193.242.0,193.193.242.15,business,KZ,AS8393 
193.193.242.16,193.193.242.23,isp,KZ,AS8393 
193.193.242.24,193.193.242.63,business,KZ,AS8393 
193.193.242.64,193.193.242.127,isp,KZ,AS8393 
193.193.242.128,193.193.242.255,business,KZ,AS8393 
193.193.243.0,193.193.243.15,isp,KZ,AS8393 
193.193.243.16,193.193.243.23,business,KZ,AS8393 
193.193.243.24,193.193.243.31,isp,KZ,AS8393 
193.193.243.32,193.193.243.47,business,KZ,AS8393 
193.193.243.48,193.193.243.63,isp,KZ,AS8393 
193.193.243.64,193.193.243.79,business,KZ,AS8393 
193.193.243.80,193.193.243.95,isp,KZ,AS8393 
193.193.243.96,193.193.243.111,business,KZ,AS8393 
193.193.243.112,193.193.243.119,isp,KZ,AS8393 
193.193.243.120,193.193.243.127,business,KZ,AS8393 
193.193.243.128,193.193.243.135,isp,KZ,AS8393 
193.193.243.136,193.193.243.143,business,KZ,AS8393 
193.193.243.144,193.193.243.151,isp,KZ,AS8393 
193.193.243.152,193.193.243.239,business,KZ,AS8393 
193.193.243.240,193.193.245.18,isp,KZ,AS8393 
193.193.245.19,193.193.245.23,business,KZ,AS8393 
193.193.245.24,193.193.245.27,isp,KZ,AS8393 
193.193.245.28,193.193.245.28,business,KZ,AS8393 
193.193.245.29,193.193.245.95,isp,KZ,AS8393 
193.193.245.96,193.193.245.103,business,KZ,AS8393 
193.193.245.104,193.193.245.107,isp,KZ,AS8393 
193.193.245.108,193.193.245.111,business,KZ,AS8393 
193.193.245.112,193.193.245.127,isp,KZ,AS8393 
193.193.245.128,193.193.245.136,business,KZ,AS8393 
193.193.245.137,193.193.245.137,isp,KZ,AS8393 
193.193.245.138,193.193.245.139,business,KZ,AS8393 
193.193.245.140,193.193.245.140,isp,KZ,AS8393 
193.193.245.141,193.193.245.141,business,KZ,AS8393 
193.193.245.142,193.193.245.163,isp,KZ,AS8393 
193.193.245.164,193.193.245.164,business,KZ,AS8393 
193.193.245.165,193.193.245.165,isp,KZ,AS8393 
193.193.245.166,193.193.245.171,business,KZ,AS8393 
193.193.245.172,193.193.245.173,isp,KZ,AS8393 
193.193.245.174,193.193.245.175,business,KZ,AS8393 
193.193.245.176,193.193.245.203,isp,KZ,AS8393 
193.193.245.204,193.193.245.215,business,KZ,AS8393 
193.193.245.216,193.193.245.223,isp,KZ,AS8393 
193.193.245.224,193.193.245.231,business,KZ,AS8393 
193.193.245.232,193.193.251.127,isp,KZ,AS8393 
193.193.251.128,193.193.251.167,business,KZ,AS8393 
193.193.251.168,193.193.251.175,isp,KZ,AS8393 
193.193.251.176,193.193.251.247,business,KZ,AS8393 
193.193.251.248,193.193.253.47,isp,KZ,AS8393 
193.193.253.48,193.193.253.95,business,KZ,AS8393 
193.193.253.96,193.193.254.91,isp,KZ,AS8393 
193.193.254.92,193.193.254.92,business,KZ,AS8393 
193.193.254.93,193.193.254.94,isp,KZ,AS8393 
193.193.254.95,193.193.254.119,business,KZ,AS8393 
193.193.254.120,193.193.254.131,isp,KZ,AS8393 
193.193.254.132,193.193.254.163,business,KZ,AS8393 
193.193.254.164,193.193.254.167,isp,KZ,AS8393 
193.193.254.168,193.193.254.255,business,KZ,AS8393 
193.193.255.0,193.193.255.255,isp,KZ,AS8393 
