181.189.0.0,181.189.15.255,isp,BR 
181.189.148.200,181.189.148.215,business,GT 
181.189.148.216,181.189.149.19,isp,GT 
181.189.149.20,181.189.149.23,business,GT 
181.189.149.24,181.189.149.107,isp,GT 
181.189.149.108,181.189.149.111,business,GT 
181.189.149.112,181.189.149.119,isp,GT 
181.189.149.120,181.189.149.131,business,GT 
181.189.149.132,181.189.149.135,isp,GT 
181.189.149.136,181.189.149.143,business,GT 
181.189.149.144,181.189.149.167,isp,GT 
181.189.149.168,181.189.149.171,business,GT 
181.189.149.172,181.189.149.243,isp,GT 
181.189.149.244,181.189.149.247,business,GT 
181.189.149.248,181.189.159.255,isp,GT 
181.189.160.0,181.189.163.255,isp,AR 
181.189.164.0,181.189.169.191,business,AR 
181.189.169.192,181.189.170.255,isp,AR 
181.189.171.0,181.189.171.255,business,AR 
181.189.172.0,181.189.173.255,isp,AR 
181.189.174.0,181.189.175.255,business,AR 
181.189.176.0,181.189.191.255,isp,SV 
181.189.192.0,181.189.223.255,isp,AR 
181.189.224.0,181.189.225.255,isp,HN 
181.189.226.0,181.189.226.255,isp,DO 
181.189.227.0,181.189.230.159,isp,HN 
181.189.230.160,181.189.230.191,business,HN 
181.189.230.192,181.189.236.255,isp,HN 
181.189.237.0,181.189.239.255,isp,GT 
181.189.240.0,181.189.240.255,isp,HN 
181.189.241.0,181.189.241.27,isp,CO 
181.189.241.28,181.189.241.29,business,CO 
181.189.241.30,181.189.241.63,isp,CO 
181.189.241.64,181.189.241.71,business,CO 
181.189.241.72,181.189.241.75,isp,CO 
181.189.241.76,181.189.241.79,business,CO 
181.189.241.80,181.189.241.163,isp,CO 
181.189.241.164,181.189.241.167,business,CO 
181.189.241.168,181.189.241.183,isp,CO 
181.189.241.184,181.189.241.191,business,CO 
181.189.241.192,181.189.241.255,isp,CO 
181.189.242.0,181.189.242.7,isp,HN 
181.189.242.8,181.189.242.15,business,HN 
181.189.242.16,181.189.242.111,isp,HN 
181.189.242.112,181.189.242.119,business,HN 
181.189.242.120,181.189.255.255,isp,HN 
