199.188.0.0,199.188.4.255,government,US,AS2048 
199.188.203.50,199.188.203.50,hosting,UA,AS22612 
199.188.203.51,199.188.203.51,hosting,NG,AS22612 
199.188.203.52,199.188.203.52,hosting,DE,AS22612 
199.188.203.53,199.188.203.53,hosting,GB,AS22612 
199.188.203.54,199.188.203.54,hosting,,AS22612 
199.188.203.55,199.188.203.55,hosting,UA,AS22612 
199.188.203.56,199.188.203.56,hosting,ID,AS22612 
199.188.203.57,199.188.203.57,hosting,EG,AS22612 
199.188.203.58,199.188.203.58,hosting,MY,AS22612 
199.188.203.59,199.188.203.59,hosting,TR,AS22612 
199.188.203.60,199.188.203.60,hosting,GB,AS22612 
199.188.203.61,199.188.203.63,hosting,US,AS22612 
199.188.203.64,199.188.203.64,hosting,IT,AS22612 
199.188.203.65,199.188.203.65,hosting,US,AS22612 
199.188.203.66,199.188.203.66,hosting,GB,AS22612 
199.188.203.67,199.188.203.69,hosting,US,AS22612 
199.188.203.70,199.188.203.70,hosting,GB,AS22612 
199.188.203.71,199.188.203.71,hosting,AF,AS22612 
199.188.203.72,199.188.203.72,hosting,KZ,AS22612 
199.188.203.73,199.188.203.73,hosting,EE,AS22612 
199.188.203.74,199.188.203.74,hosting,NG,AS22612 
199.188.203.75,199.188.203.75,hosting,UA,AS22612 
199.188.203.76,199.188.203.76,hosting,KE,AS22612 
199.188.203.77,199.188.203.77,hosting,NG,AS22612 
199.188.203.78,199.188.203.78,hosting,AU,AS22612 
199.188.203.79,199.188.203.79,hosting,SG,AS22612 
199.188.203.80,199.188.203.80,hosting,EE,AS22612 
199.188.203.81,199.188.203.81,hosting,BD,AS22612 
199.188.203.82,199.188.203.82,hosting,US,AS22612 
199.188.203.83,199.188.203.83,hosting,IN,AS22612 
199.188.203.84,199.188.203.84,hosting,US,AS22612 
199.188.203.85,199.188.203.85,hosting,NG,AS22612 
199.188.203.86,199.188.203.86,hosting,GH,AS22612 
199.188.203.87,199.188.203.88,hosting,CA,AS22612 
199.188.203.89,199.188.203.89,hosting,US,AS22612 
199.188.203.90,199.188.203.90,hosting,SA,AS22612 
199.188.203.91,199.188.203.91,hosting,PH,AS22612 
199.188.203.92,199.188.203.92,hosting,NG,AS22612 
199.188.203.93,199.188.203.93,hosting,BR,AS22612 
199.188.203.94,199.188.203.94,hosting,US,AS22612 
199.188.203.95,199.188.203.95,hosting,SG,AS22612 
199.188.203.96,199.188.203.96,hosting,KH,AS22612 
199.188.203.97,199.188.203.97,hosting,US,AS22612 
199.188.203.98,199.188.203.98,hosting,ID,AS22612 
199.188.203.99,199.188.203.99,hosting,HR,AS22612 
199.188.203.100,199.188.203.100,hosting,KZ,AS22612 
199.188.203.101,199.188.203.104,hosting,US,AS22612 
199.188.203.105,199.188.203.105,hosting,MX,AS22612 
199.188.203.106,199.188.203.106,hosting,CY,AS22612 
199.188.203.107,199.188.203.107,hosting,ID,AS22612 
199.188.203.108,199.188.203.108,hosting,US,AS22612 
199.188.203.109,199.188.203.109,hosting,CA,AS22612 
199.188.203.110,199.188.203.110,hosting,UA,AS22612 
199.188.203.111,199.188.203.111,hosting,CA,AS22612 
199.188.203.112,199.188.203.115,hosting,US,AS22612 
199.188.203.116,199.188.203.116,hosting,MX,AS22612 
199.188.203.117,199.188.203.117,hosting,KE,AS22612 
199.188.203.118,199.188.203.118,hosting,UA,AS22612 
199.188.203.119,199.188.203.119,hosting,KR,AS22612 
199.188.203.120,199.188.203.120,hosting,ID,AS22612 
199.188.203.121,199.188.203.121,hosting,DO,AS22612 
199.188.203.122,199.188.203.122,hosting,GB,AS22612 
199.188.203.123,199.188.203.124,hosting,US,AS22612 
199.188.203.125,199.188.203.125,hosting,UA,AS22612 
199.188.203.126,199.188.203.131,hosting,US,AS22612 
199.188.203.132,199.188.203.132,hosting,SA,AS22612 
199.188.203.133,199.188.203.133,hosting,BR,AS22612 
199.188.203.134,199.188.203.136,hosting,US,AS22612 
199.188.203.137,199.188.203.137,hosting,CA,AS22612 
199.188.203.138,199.188.203.138,hosting,CR,AS22612 
199.188.203.139,199.188.203.139,hosting,GB,AS22612 
199.188.203.140,199.188.203.140,hosting,GE,AS22612 
199.188.203.141,199.188.203.141,hosting,BD,AS22612 
199.188.203.142,199.188.203.142,hosting,RW,AS22612 
199.188.203.143,199.188.203.143,hosting,US,AS22612 
199.188.203.144,199.188.203.144,hosting,NG,AS22612 
199.188.203.145,199.188.203.145,hosting,VN,AS22612 
199.188.203.146,199.188.203.146,hosting,AE,AS22612 
199.188.203.147,199.188.203.147,hosting,RO,AS22612 
199.188.203.148,199.188.203.148,hosting,ZA,AS22612 
199.188.203.149,199.188.203.149,hosting,ID,AS22612 
199.188.203.150,199.188.203.150,hosting,EG,AS22612 
199.188.203.151,199.188.203.151,hosting,,AS22612 
199.188.203.152,199.188.203.152,hosting,US,AS22612 
199.188.203.153,199.188.203.153,hosting,SA,AS22612 
199.188.203.154,199.188.203.154,hosting,US,AS22612 
199.188.203.155,199.188.203.155,hosting,RO,AS22612 
199.188.203.156,199.188.203.156,hosting,NG,AS22612 
199.188.203.157,199.188.203.157,hosting,TR,AS22612 
199.188.203.158,199.188.203.158,hosting,BD,AS22612 
199.188.203.159,199.188.203.159,hosting,US,AS22612 
199.188.203.160,199.188.203.160,hosting,NL,AS22612 
199.188.203.161,199.188.203.161,hosting,PE,AS22612 
199.188.203.162,199.188.203.162,hosting,GB,AS22612 
199.188.203.163,199.188.203.163,hosting,KR,AS22612 
199.188.203.164,199.188.203.164,hosting,US,AS22612 
199.188.203.165,199.188.203.165,hosting,ID,AS22612 
199.188.203.166,199.188.203.166,hosting,US,AS22612 
199.188.203.167,199.188.203.167,hosting,CN,AS22612 
199.188.203.168,199.188.203.168,hosting,US,AS22612 
199.188.203.169,199.188.203.169,hosting,KY,AS22612 
199.188.203.170,199.188.203.170,hosting,US,AS22612 
199.188.203.171,199.188.203.171,hosting,IN,AS22612 
199.188.203.172,199.188.203.172,hosting,US,AS22612 
199.188.203.173,199.188.203.173,hosting,ID,AS22612 
199.188.203.174,199.188.203.174,hosting,PK,AS22612 
199.188.203.175,199.188.203.175,hosting,NG,AS22612 
199.188.203.176,199.188.203.176,hosting,GB,AS22612 
199.188.203.177,199.188.203.177,hosting,CL,AS22612 
199.188.203.178,199.188.203.178,hosting,VN,AS22612 
199.188.203.179,199.188.203.179,hosting,CO,AS22612 
199.188.203.180,199.188.203.180,hosting,,AS22612 
199.188.203.181,199.188.203.182,hosting,KH,AS22612 
199.188.203.183,199.188.203.183,hosting,NG,AS22612 
199.188.203.184,199.188.203.185,hosting,US,AS22612 
199.188.203.186,199.188.203.186,hosting,KH,AS22612 
199.188.203.187,199.188.203.187,hosting,US,AS22612 
199.188.203.188,199.188.203.188,hosting,GB,AS22612 
199.188.203.189,199.188.203.189,hosting,SA,AS22612 
199.188.203.190,199.188.203.190,hosting,ID,AS22612 
199.188.203.191,199.188.203.195,hosting,US,AS22612 
199.188.203.196,199.188.203.196,hosting,EG,AS22612 
199.188.203.197,199.188.203.197,hosting,CY,AS22612 
199.188.203.198,199.188.203.198,hosting,US,AS22612 
199.188.203.199,199.188.203.199,hosting,MA,AS22612 
199.188.203.200,199.188.203.200,hosting,AR,AS22612 
199.188.203.201,199.188.203.201,hosting,VN,AS22612 
199.188.203.202,199.188.203.202,hosting,US,AS22612 
199.188.203.203,199.188.203.203,hosting,BD,AS22612 
199.188.203.204,199.188.203.204,hosting,MX,AS22612 
199.188.203.205,199.188.203.206,hosting,US,AS22612 
199.188.203.207,199.188.203.207,hosting,NG,AS22612 
199.188.203.208,199.188.203.208,hosting,IL,AS22612 
199.188.203.209,199.188.203.209,hosting,MA,AS22612 
199.188.203.210,199.188.203.210,hosting,GB,AS22612 
199.188.203.211,199.188.203.211,hosting,NG,AS22612 
199.188.203.212,199.188.203.212,hosting,RO,AS22612 
199.188.203.213,199.188.203.213,hosting,SG,AS22612 
199.188.203.214,199.188.203.214,hosting,IN,AS22612 
199.188.203.215,199.188.203.215,hosting,BD,AS22612 
199.188.203.216,199.188.203.216,hosting,US,AS22612 
199.188.203.217,199.188.203.217,hosting,GB,AS22612 
199.188.203.218,199.188.203.218,hosting,VI,AS22612 
199.188.203.219,199.188.203.219,hosting,PK,AS22612 
199.188.203.220,199.188.203.220,hosting,US,AS22612 
199.188.203.221,199.188.203.221,hosting,IN,AS22612 
199.188.203.222,199.188.203.222,hosting,CL,AS22612 
199.188.203.223,199.188.203.223,hosting,PH,AS22612 
199.188.203.224,199.188.203.224,hosting,HN,AS22612 
199.188.203.225,199.188.203.225,hosting,AU,AS22612 
199.188.203.226,199.188.203.226,hosting,PY,AS22612 
199.188.203.227,199.188.203.228,hosting,US,AS22612 
199.188.203.229,199.188.203.229,hosting,UA,AS22612 
199.188.203.230,199.188.203.230,hosting,IT,AS22612 
199.188.203.231,199.188.203.231,hosting,GB,AS22612 
199.188.203.232,199.188.203.232,hosting,LB,AS22612 
199.188.203.233,199.188.203.233,hosting,US,AS22612 
199.188.203.234,199.188.203.234,hosting,ID,AS22612 
199.188.203.235,199.188.203.235,hosting,MX,AS22612 
199.188.203.236,199.188.203.236,hosting,US,AS22612 
199.188.203.237,199.188.203.237,hosting,MX,AS22612 
199.188.203.238,199.188.203.238,hosting,US,AS22612 
199.188.203.239,199.188.203.239,hosting,CA,AS22612 
199.188.203.240,199.188.203.240,hosting,US,AS22612 
199.188.203.241,199.188.203.241,hosting,GH,AS22612 
199.188.203.242,199.188.203.242,hosting,RO,AS22612 
199.188.203.243,199.188.203.243,hosting,US,AS22612 
199.188.203.244,199.188.203.244,hosting,PK,AS22612 
199.188.203.245,199.188.203.245,hosting,GT,AS22612 
199.188.203.246,199.188.203.246,hosting,NG,AS22612 
199.188.203.247,199.188.203.248,hosting,US,AS22612 
199.188.203.249,199.188.203.249,hosting,IN,AS22612 
199.188.203.250,199.188.203.250,hosting,BD,AS22612 
199.188.203.251,199.188.203.251,hosting,VN,AS22612 
199.188.203.252,199.188.203.252,hosting,AE,AS22612 
199.188.203.253,199.188.204.199,hosting,US,AS22612 
199.188.204.200,199.188.204.200,hosting,KH,AS22612 
199.188.204.201,199.188.206.129,hosting,US,AS22612 
199.188.206.130,199.188.206.130,hosting,PK,AS22612 
199.188.206.131,199.188.206.131,hosting,ES,AS22612 
199.188.206.132,199.188.206.137,hosting,US,AS22612 
199.188.206.138,199.188.206.138,hosting,HK,AS22612 
199.188.206.139,199.188.206.139,hosting,NG,AS22612 
199.188.206.140,199.188.206.140,hosting,US,AS22612 
199.188.206.141,199.188.206.141,hosting,PK,AS22612 
199.188.206.142,199.188.206.142,hosting,PY,AS22612 
199.188.206.143,199.188.206.143,hosting,RO,AS22612 
199.188.206.144,199.188.206.149,hosting,US,AS22612 
199.188.206.150,199.188.206.150,hosting,CA,AS22612 
199.188.206.151,199.188.206.158,hosting,US,AS22612 
199.188.206.159,199.188.206.159,hosting,NG,AS22612 
199.188.206.160,199.188.206.160,hosting,US,AS22612 
199.188.206.161,199.188.206.161,hosting,IN,AS22612 
199.188.206.162,199.188.206.164,hosting,US,AS22612 
199.188.206.165,199.188.206.165,hosting,PT,AS22612 
199.188.206.166,199.188.206.166,hosting,US,AS22612 
199.188.206.167,199.188.206.167,hosting,NL,AS22612 
199.188.206.168,199.188.206.168,hosting,UA,AS22612 
199.188.206.169,199.188.206.170,hosting,KE,AS22612 
199.188.206.171,199.188.206.175,hosting,US,AS22612 
199.188.206.176,199.188.206.176,hosting,NG,AS22612 
199.188.206.177,199.188.206.182,hosting,US,AS22612 
199.188.206.183,199.188.206.183,hosting,IN,AS22612 
199.188.206.184,199.188.206.185,hosting,US,AS22612 
199.188.206.186,199.188.206.186,hosting,,AS22612 
199.188.206.187,199.188.206.191,hosting,US,AS22612 
199.188.206.192,199.188.206.192,hosting,KR,AS22612 
199.188.206.193,199.188.206.194,hosting,US,AS22612 
199.188.206.195,199.188.206.195,hosting,NG,AS22612 
199.188.206.196,199.188.206.197,hosting,US,AS22612 
199.188.206.198,199.188.206.198,hosting,UA,AS22612 
199.188.206.199,199.188.206.199,hosting,US,AS22612 
199.188.206.200,199.188.206.200,hosting,ID,AS22612 
199.188.206.201,199.188.206.201,hosting,GB,AS22612 
199.188.206.202,199.188.206.202,hosting,US,AS22612 
199.188.206.203,199.188.206.203,hosting,EG,AS22612 
199.188.206.204,199.188.206.206,hosting,US,AS22612 
199.188.206.207,199.188.206.207,hosting,UA,AS22612 
199.188.206.208,199.188.206.209,hosting,US,AS22612 
199.188.206.210,199.188.206.210,hosting,NL,AS22612 
199.188.206.211,199.188.206.213,hosting,US,AS22612 
199.188.206.214,199.188.206.215,hosting,ID,AS22612 
199.188.206.216,199.188.206.220,hosting,US,AS22612 
199.188.206.221,199.188.206.221,hosting,NG,AS22612 
199.188.206.222,199.188.206.227,hosting,US,AS22612 
199.188.206.228,199.188.206.228,hosting,NZ,AS22612 
199.188.206.229,199.188.206.229,hosting,CN,AS22612 
199.188.206.230,199.188.206.239,hosting,US,AS22612 
199.188.206.240,199.188.206.240,hosting,BY,AS22612 
199.188.206.241,199.188.206.242,hosting,US,AS22612 
199.188.206.243,199.188.206.243,hosting,KH,AS22612 
199.188.206.244,199.188.206.244,hosting,DE,AS22612 
199.188.206.245,199.188.206.245,hosting,US,AS22612 
199.188.206.246,199.188.206.246,hosting,MA,AS22612 
199.188.206.247,199.188.206.248,hosting,US,AS22612 
199.188.206.249,199.188.206.249,hosting,FR,AS22612 
199.188.206.250,199.188.206.250,hosting,GB,AS22612 
199.188.206.251,199.188.206.251,hosting,BY,AS22612 
199.188.206.252,199.188.206.252,hosting,US,AS22612 
199.188.206.253,199.188.206.253,hosting,BD,AS22612 
199.188.206.254,199.188.207.13,hosting,US,AS22612 
199.188.207.14,199.188.207.14,hosting,AE,AS22612 
199.188.207.15,199.188.207.42,hosting,US,AS22612 
199.188.207.43,199.188.207.43,hosting,AE,AS22612 
199.188.207.44,199.188.207.255,hosting,US,AS22612 
199.188.208.0,199.188.211.255,hosting,US,AS17378 
199.188.212.0,199.188.219.255,business,US, 
199.188.220.0,199.188.220.255,hosting,CA,AS53589 
199.188.221.0,199.188.221.255,hosting,FR,AS53589 
199.188.222.0,199.188.222.255,hosting,CA,AS53589 
199.188.223.0,199.188.223.255,isp,CA,AS53589 
199.188.224.0,199.188.227.255,business,US,AS35895 
199.188.228.0,199.188.228.191,hosting,US,AS29838 
199.188.228.192,199.188.228.223,hosting,EE,AS29838 
199.188.228.224,199.188.231.255,hosting,US,AS29838 
199.188.232.0,199.188.232.255,business,US, 
199.188.233.0,199.188.233.103,hosting,US,AS46887 
199.188.233.104,199.188.233.111,business,US,AS46887 
199.188.233.112,199.188.233.115,hosting,US,AS46887 
199.188.233.116,199.188.233.119,business,US,AS46887 
199.188.233.120,199.188.233.143,hosting,US,AS46887 
199.188.233.144,199.188.233.151,business,US,AS46887 
199.188.233.152,199.188.233.223,hosting,US,AS46887 
199.188.233.224,199.188.233.255,business,US,AS46887 
199.188.234.0,199.188.234.255,hosting,US,AS46887 
199.188.235.0,199.188.235.255,business,US, 
199.188.236.0,199.188.236.255,hosting,US,AS53356 
199.188.237.0,199.188.238.255,hosting,US,AS396356 
199.188.239.0,199.188.239.255,hosting,US,AS61317 
199.188.240.0,199.188.243.255,isp,US,AS46719 
199.188.244.0,199.188.245.127,hosting,US,AS46785 
199.188.245.128,199.188.245.143,education,US,AS46785 
199.188.245.144,199.188.247.95,hosting,US,AS46785 
199.188.247.96,199.188.247.103,business,US,AS46785 
199.188.247.104,199.188.247.127,hosting,US,AS46785 
199.188.247.128,199.188.247.191,business,US,AS46785 
199.188.247.192,199.188.247.223,hosting,US,AS46785 
199.188.247.224,199.188.247.255,business,US,AS46785 
199.188.248.0,199.188.255.255,isp,US,AS17306 
