70.132.174.64,70.132.174.79,business,US,AS7018 
70.132.174.80,70.132.174.103,isp,US,AS7018 
70.132.174.104,70.132.174.111,business,US,AS7018 
70.132.174.112,70.132.174.143,isp,US,AS7018 
70.132.174.144,70.132.174.159,business,US,AS7018 
70.132.174.160,70.132.174.231,isp,US,AS7018 
70.132.174.232,70.132.174.239,business,US,AS7018 
70.132.174.240,70.132.175.15,isp,US,AS7018 
70.132.175.16,70.132.175.23,business,US,AS7018 
70.132.175.24,70.132.175.111,isp,US,AS7018 
70.132.175.112,70.132.175.119,education,US,AS7018 
70.132.175.120,70.132.175.151,isp,US,AS7018 
70.132.175.152,70.132.175.159,business,US,AS7018 
70.132.175.160,70.132.175.231,isp,US,AS7018 
70.132.175.232,70.132.175.239,business,US,AS7018 
70.132.175.240,70.132.196.63,isp,US,AS7018 
70.132.196.64,70.132.196.79,business,US,AS7018 
70.132.196.80,70.132.196.87,isp,US,AS7018 
70.132.196.88,70.132.196.111,business,US,AS7018 
70.132.196.112,70.132.196.215,isp,US,AS7018 
70.132.196.216,70.132.196.223,business,US,AS7018 
70.132.196.224,70.132.197.95,isp,US,AS7018 
70.132.197.96,70.132.197.111,business,US,AS7018 
70.132.197.112,70.132.197.151,isp,US,AS7018 
70.132.197.152,70.132.197.167,business,US,AS7018 
70.132.197.168,70.132.197.239,isp,US,AS7018 
70.132.197.240,70.132.197.255,business,US,AS7018 
70.132.198.0,70.133.24.39,isp,US,AS7018 
