212.8.107.244,212.8.107.245,business,ES,AS12338 
212.8.107.246,212.8.107.250,isp,ES,AS12338 
212.8.107.251,212.8.107.252,business,ES,AS12338 
212.8.107.253,212.8.110.96,isp,ES,AS12338 
212.8.110.97,212.8.110.98,business,ES,AS12338 
212.8.110.99,212.8.110.111,isp,ES,AS12338 
212.8.110.112,212.8.110.112,business,ES,AS12338 
212.8.110.113,212.8.110.116,isp,ES,AS12338 
212.8.110.117,212.8.110.117,business,ES,AS12338 
212.8.110.118,212.8.110.125,isp,ES,AS12338 
212.8.110.126,212.8.110.126,business,ES,AS12338 
212.8.110.127,212.8.110.143,isp,ES,AS12338 
212.8.110.144,212.8.110.147,business,ES,AS12338 
212.8.110.148,212.8.110.161,isp,ES,AS12338 
212.8.110.162,212.8.110.162,business,ES,AS12338 
212.8.110.163,212.8.110.163,education,ES,AS12338 
212.8.110.164,212.8.110.165,isp,ES,AS12338 
212.8.110.166,212.8.110.166,business,ES,AS12338 
212.8.110.167,212.8.110.168,isp,ES,AS12338 
212.8.110.169,212.8.110.170,business,ES,AS12338 
212.8.110.171,212.8.110.172,isp,ES,AS12338 
212.8.110.173,212.8.110.173,business,ES,AS12338 
212.8.110.174,212.8.110.184,isp,ES,AS12338 
212.8.110.185,212.8.110.185,business,ES,AS12338 
212.8.110.186,212.8.110.187,isp,ES,AS12338 
212.8.110.188,212.8.110.188,business,ES,AS12338 
212.8.110.189,212.8.110.203,isp,ES,AS12338 
212.8.110.204,212.8.110.204,business,ES,AS12338 
212.8.110.205,212.8.110.210,isp,ES,AS12338 
212.8.110.211,212.8.110.212,business,ES,AS12338 
212.8.110.213,212.8.110.232,isp,ES,AS12338 
212.8.110.233,212.8.110.233,business,ES,AS12338 
212.8.110.234,212.8.110.236,isp,ES,AS12338 
212.8.110.237,212.8.110.239,business,ES,AS12338 
212.8.110.240,212.8.110.248,isp,ES,AS12338 
212.8.110.249,212.8.110.249,business,ES,AS12338 
212.8.110.250,212.8.110.250,isp,ES,AS12338 
212.8.110.251,212.8.110.251,business,ES,AS12338 
212.8.110.252,212.8.110.252,isp,ES,AS12338 
212.8.110.253,212.8.110.253,business,ES,AS12338 
212.8.110.254,212.8.111.20,isp,ES,AS12338 
212.8.111.21,212.8.111.21,business,ES,AS12338 
212.8.111.22,212.8.111.24,isp,ES,AS12338 
212.8.111.25,212.8.111.27,business,ES,AS12338 
212.8.111.28,212.8.111.79,isp,ES,AS12338 
212.8.111.80,212.8.111.83,business,ES,AS12338 
212.8.111.84,212.8.111.87,isp,ES,AS12338 
212.8.111.88,212.8.111.91,business,ES,AS12338 
212.8.111.92,212.8.111.127,isp,ES,AS12338 
212.8.111.128,212.8.111.128,business,ES,AS12338 
212.8.111.129,212.8.111.129,isp,ES,AS12338 
212.8.111.130,212.8.111.136,business,ES,AS12338 
212.8.111.137,212.8.111.142,isp,ES,AS12338 
212.8.111.143,212.8.111.144,business,ES,AS12338 
212.8.111.145,212.8.111.146,isp,ES,AS12338 
212.8.111.147,212.8.111.147,business,ES,AS12338 
212.8.111.148,212.8.111.149,isp,ES,AS12338 
212.8.111.150,212.8.111.150,business,ES,AS12338 
212.8.111.151,212.8.111.153,isp,ES,AS12338 
212.8.111.154,212.8.111.154,business,ES,AS12338 
212.8.111.155,212.8.111.159,isp,ES,AS12338 
