212.120.0.0,212.120.31.255,business,MK 
212.120.190.112,212.120.190.119,isp,RU 
212.120.190.120,212.120.191.39,business,RU 
212.120.191.40,212.120.191.47,education,RU 
212.120.191.48,212.120.191.103,business,RU 
212.120.191.104,212.120.191.111,isp,RU 
212.120.191.112,212.120.191.135,business,RU 
212.120.191.136,212.120.191.143,isp,RU 
212.120.191.144,212.120.191.167,business,RU 
212.120.191.168,212.120.191.171,isp,RU 
212.120.191.172,212.120.191.255,business,RU 
212.120.192.0,212.120.223.15,isp,IR 
212.120.223.16,212.120.223.31,business,IR 
212.120.223.32,212.120.223.255,isp,IR 
212.120.224.0,212.120.255.255,isp,GI 
