212.142.0.0,212.142.16.255,isp,NL,AS6830 
212.142.159.234,212.142.159.249,isp,ES,AS12338 
212.142.159.250,212.142.159.250,business,ES,AS12338 
212.142.159.251,212.142.160.255,isp,ES,AS12338 
212.142.161.0,212.142.161.255,business,ES,AS35700 
212.142.162.0,212.142.175.21,isp,ES,AS12338 
212.142.175.22,212.142.175.22,business,ES,AS12338 
212.142.175.23,212.142.175.33,isp,ES,AS12338 
212.142.175.34,212.142.175.34,business,ES,AS12338 
212.142.175.35,212.142.175.42,isp,ES,AS12338 
212.142.175.43,212.142.175.44,business,ES,AS12338 
212.142.175.45,212.142.175.56,isp,ES,AS12338 
212.142.175.57,212.142.175.57,business,ES,AS12338 
212.142.175.58,212.142.175.59,isp,ES,AS12338 
212.142.175.60,212.142.175.60,business,ES,AS12338 
212.142.175.61,212.142.175.65,isp,ES,AS12338 
212.142.175.66,212.142.175.66,business,ES,AS12338 
212.142.175.67,212.142.175.67,isp,ES,AS12338 
212.142.175.68,212.142.175.68,business,ES,AS12338 
212.142.175.69,212.142.175.70,isp,ES,AS12338 
212.142.175.71,212.142.175.72,business,ES,AS12338 
212.142.175.73,212.142.175.73,isp,ES,AS12338 
212.142.175.74,212.142.175.74,business,ES,AS12338 
212.142.175.75,212.142.175.83,isp,ES,AS12338 
212.142.175.84,212.142.175.84,business,ES,AS12338 
212.142.175.85,212.142.175.93,isp,ES,AS12338 
212.142.175.94,212.142.175.94,business,ES,AS12338 
212.142.175.95,212.142.175.96,isp,ES,AS12338 
212.142.175.97,212.142.175.97,business,ES,AS12338 
212.142.175.98,212.142.175.105,isp,ES,AS12338 
212.142.175.106,212.142.175.106,business,ES,AS12338 
212.142.175.107,212.142.175.110,isp,ES,AS12338 
212.142.175.111,212.142.175.112,business,ES,AS12338 
212.142.175.113,212.142.175.116,isp,ES,AS12338 
212.142.175.117,212.142.175.117,business,ES,AS12338 
212.142.175.118,212.142.175.120,isp,ES,AS12338 
212.142.175.121,212.142.175.121,business,ES,AS12338 
212.142.175.122,212.142.175.124,isp,ES,AS12338 
212.142.175.125,212.142.175.125,business,ES,AS12338 
212.142.175.126,212.142.175.139,isp,ES,AS12338 
212.142.175.140,212.142.175.143,business,ES,AS12338 
212.142.175.144,212.142.175.171,isp,ES,AS12338 
212.142.175.172,212.142.175.187,business,ES,AS12338 
212.142.175.188,212.142.175.199,isp,ES,AS12338 
212.142.175.200,212.142.175.207,business,ES,AS12338 
212.142.175.208,212.142.175.215,isp,ES,AS12338 
212.142.175.216,212.142.175.223,business,ES,AS12338 
212.142.175.224,212.142.176.47,isp,ES,AS12338 
212.142.176.48,212.142.176.71,business,ES,AS12338 
212.142.176.72,212.142.176.74,isp,ES,AS12338 
212.142.176.75,212.142.176.75,business,ES,AS12338 
212.142.176.76,212.142.176.91,isp,ES,AS12338 
212.142.176.92,212.142.176.95,business,ES,AS12338 
212.142.176.96,212.142.176.99,isp,ES,AS12338 
212.142.176.100,212.142.176.103,business,ES,AS12338 
212.142.176.104,212.142.176.115,isp,ES,AS12338 
212.142.176.116,212.142.176.119,business,ES,AS12338 
212.142.176.120,212.142.176.135,isp,ES,AS12338 
212.142.176.136,212.142.176.143,business,ES,AS12338 
212.142.176.144,212.142.176.191,isp,ES,AS12338 
212.142.176.192,212.142.176.203,business,ES,AS12338 
212.142.176.204,212.142.176.207,isp,ES,AS12338 
212.142.176.208,212.142.176.223,business,ES,AS12338 
212.142.176.224,212.142.176.239,isp,ES,AS12338 
212.142.176.240,212.142.176.255,business,ES,AS12338 
212.142.177.0,212.142.177.191,isp,ES,AS12338 
212.142.177.192,212.142.177.255,business,ES,AS12338 
212.142.178.0,212.142.193.127,isp,ES,AS12338 
212.142.193.128,212.142.193.159,education,ES,AS12338 
212.142.193.160,212.142.193.167,isp,ES,AS12338 
212.142.193.168,212.142.193.223,education,ES,AS12338 
212.142.193.224,212.142.193.231,isp,ES,AS12338 
212.142.193.232,212.142.193.239,education,ES,AS12338 
212.142.193.240,212.142.194.31,business,ES,AS12338 
212.142.194.32,212.142.194.47,isp,ES,AS12338 
212.142.194.48,212.142.194.51,education,ES,AS12338 
212.142.194.52,212.142.194.55,business,ES,AS12338 
212.142.194.56,212.142.194.95,isp,ES,AS12338 
212.142.194.96,212.142.194.127,business,ES,AS12338 
212.142.194.128,212.142.194.151,isp,ES,AS12338 
212.142.194.152,212.142.194.159,education,ES,AS12338 
212.142.194.160,212.142.194.167,business,ES,AS12338 
212.142.194.168,212.142.194.175,isp,ES,AS12338 
212.142.194.176,212.142.194.183,business,ES,AS12338 
212.142.194.184,212.142.194.191,isp,ES,AS12338 
212.142.194.192,212.142.194.195,business,ES,AS12338 
212.142.194.196,212.142.194.199,isp,ES,AS12338 
212.142.194.200,212.142.194.211,business,ES,AS12338 
212.142.194.212,212.142.194.215,isp,ES,AS12338 
212.142.194.216,212.142.194.223,business,ES,AS12338 
212.142.194.224,212.142.194.231,isp,ES,AS12338 
212.142.194.232,212.142.194.239,business,ES,AS12338 
212.142.194.240,212.142.194.255,isp,ES,AS12338 
212.142.195.0,212.142.195.255,business,ES,AS12338 
212.142.196.0,212.142.223.255,isp,ES,AS12338 
212.142.224.0,212.142.224.15,business,ES,AS12338 
212.142.224.16,212.142.224.35,isp,ES,AS12338 
212.142.224.36,212.142.224.47,business,ES,AS12338 
212.142.224.48,212.142.224.55,isp,ES,AS12338 
212.142.224.56,212.142.224.123,business,ES,AS12338 
212.142.224.124,212.142.224.143,isp,ES,AS12338 
212.142.224.144,212.142.224.167,business,ES,AS12338 
212.142.224.168,212.142.224.171,isp,ES,AS12338 
212.142.224.172,212.142.224.175,business,ES,AS12338 
212.142.224.176,212.142.224.191,isp,ES,AS12338 
212.142.224.192,212.142.224.211,business,ES,AS12338 
212.142.224.212,212.142.224.215,isp,ES,AS12338 
212.142.224.216,212.142.224.255,business,ES,AS12338 
212.142.225.0,212.142.226.3,isp,ES,AS12338 
212.142.226.4,212.142.226.7,business,ES,AS12338 
212.142.226.8,212.142.226.11,isp,ES,AS12338 
212.142.226.12,212.142.226.35,business,ES,AS12338 
212.142.226.36,212.142.226.39,isp,ES,AS12338 
212.142.226.40,212.142.226.59,business,ES,AS12338 
212.142.226.60,212.142.226.67,isp,ES,AS12338 
212.142.226.68,212.142.226.71,business,ES,AS12338 
212.142.226.72,212.142.226.78,isp,ES,AS12338 
212.142.226.79,212.142.226.79,business,ES,AS12338 
212.142.226.80,212.142.226.80,isp,ES,AS12338 
212.142.226.81,212.142.226.81,business,ES,AS12338 
212.142.226.82,212.142.226.84,isp,ES,AS12338 
212.142.226.85,212.142.226.85,business,ES,AS12338 
212.142.226.86,212.142.226.91,isp,ES,AS12338 
212.142.226.92,212.142.226.92,business,ES,AS12338 
212.142.226.93,212.142.226.96,isp,ES,AS12338 
212.142.226.97,212.142.226.97,business,ES,AS12338 
212.142.226.98,212.142.226.98,isp,ES,AS12338 
212.142.226.99,212.142.226.99,business,ES,AS12338 
212.142.226.100,212.142.226.102,isp,ES,AS12338 
212.142.226.103,212.142.226.105,business,ES,AS12338 
212.142.226.106,212.142.226.126,isp,ES,AS12338 
212.142.226.127,212.142.226.127,business,ES,AS12338 
212.142.226.128,212.142.226.134,isp,ES,AS12338 
212.142.226.135,212.142.226.135,business,ES,AS12338 
212.142.226.136,212.142.226.148,isp,ES,AS12338 
212.142.226.149,212.142.226.149,business,ES,AS12338 
212.142.226.150,212.142.226.161,isp,ES,AS12338 
212.142.226.162,212.142.226.162,business,ES,AS12338 
212.142.226.163,212.142.226.166,isp,ES,AS12338 
212.142.226.167,212.142.226.167,business,ES,AS12338 
212.142.226.168,212.142.226.169,isp,ES,AS12338 
212.142.226.170,212.142.226.170,business,ES,AS12338 
212.142.226.171,212.142.226.172,isp,ES,AS12338 
212.142.226.173,212.142.226.173,business,ES,AS12338 
212.142.226.174,212.142.226.179,isp,ES,AS12338 
212.142.226.180,212.142.226.180,business,ES,AS12338 
212.142.226.181,212.142.226.186,isp,ES,AS12338 
212.142.226.187,212.142.226.187,business,ES,AS12338 
212.142.226.188,212.142.226.192,isp,ES,AS12338 
212.142.226.193,212.142.226.193,business,ES,AS12338 
212.142.226.194,212.142.226.195,isp,ES,AS12338 
212.142.226.196,212.142.226.196,business,ES,AS12338 
212.142.226.197,212.142.226.202,isp,ES,AS12338 
212.142.226.203,212.142.226.203,business,ES,AS12338 
212.142.226.204,212.142.226.204,isp,ES,AS12338 
212.142.226.205,212.142.226.205,business,ES,AS12338 
212.142.226.206,212.142.226.209,isp,ES,AS12338 
212.142.226.210,212.142.226.210,business,ES,AS12338 
212.142.226.211,212.142.226.212,isp,ES,AS12338 
212.142.226.213,212.142.226.213,business,ES,AS12338 
212.142.226.214,212.142.226.220,isp,ES,AS12338 
212.142.226.221,212.142.226.221,business,ES,AS12338 
212.142.226.222,212.142.226.223,isp,ES,AS12338 
212.142.226.224,212.142.226.225,business,ES,AS12338 
212.142.226.226,212.142.226.230,isp,ES,AS12338 
212.142.226.231,212.142.226.231,business,ES,AS12338 
212.142.226.232,212.142.226.232,isp,ES,AS12338 
212.142.226.233,212.142.226.233,business,ES,AS12338 
212.142.226.234,212.142.226.239,isp,ES,AS12338 
212.142.226.240,212.142.226.240,business,ES,AS12338 
212.142.226.241,212.142.226.251,isp,ES,AS12338 
212.142.226.252,212.142.226.252,business,ES,AS12338 
212.142.226.253,212.142.227.47,isp,ES,AS12338 
212.142.227.48,212.142.227.48,business,ES,AS12338 
212.142.227.49,212.142.228.4,isp,ES,AS12338 
212.142.228.5,212.142.228.6,business,ES,AS12338 
212.142.228.7,212.142.228.17,isp,ES,AS12338 
212.142.228.18,212.142.228.19,business,ES,AS12338 
212.142.228.20,212.142.228.20,education,ES,AS12338 
212.142.228.21,212.142.228.28,isp,ES,AS12338 
212.142.228.29,212.142.228.29,business,ES,AS12338 
212.142.228.30,212.142.228.32,isp,ES,AS12338 
212.142.228.33,212.142.228.34,business,ES,AS12338 
212.142.228.35,212.142.228.42,isp,ES,AS12338 
212.142.228.43,212.142.228.43,business,ES,AS12338 
212.142.228.44,212.142.228.48,isp,ES,AS12338 
212.142.228.49,212.142.228.49,business,ES,AS12338 
212.142.228.50,212.142.228.50,isp,ES,AS12338 
212.142.228.51,212.142.228.52,business,ES,AS12338 
212.142.228.53,212.142.228.55,isp,ES,AS12338 
212.142.228.56,212.142.228.56,business,ES,AS12338 
212.142.228.57,212.142.228.57,isp,ES,AS12338 
212.142.228.58,212.142.228.58,business,ES,AS12338 
212.142.228.59,212.142.228.67,isp,ES,AS12338 
212.142.228.68,212.142.228.68,business,ES,AS12338 
212.142.228.69,212.142.228.79,isp,ES,AS12338 
212.142.228.80,212.142.228.80,business,ES,AS12338 
212.142.228.81,212.142.228.88,isp,ES,AS12338 
212.142.228.89,212.142.228.89,business,ES,AS12338 
212.142.228.90,212.142.228.92,isp,ES,AS12338 
212.142.228.93,212.142.228.95,business,ES,AS12338 
