212.100.0.0,212.100.24.255,business,GB,AS9011 
212.100.188.160,212.100.188.167,isp,BE,AS3257 
212.100.188.168,212.100.188.239,business,BE,AS3257 
212.100.188.240,212.100.190.63,isp,BE,AS3257 
212.100.190.64,212.100.190.95,business,BE,AS3257 
212.100.190.96,212.100.190.111,isp,BE,AS3257 
212.100.190.112,212.100.190.143,business,BE,AS3257 
212.100.190.144,212.100.190.159,isp,BE,AS3257 
212.100.190.160,212.100.190.191,business,BE,AS3257 
212.100.190.192,212.100.190.199,isp,BE,AS3257 
212.100.190.200,212.100.190.203,business,BE,AS3257 
212.100.190.204,212.100.190.207,isp,BE,AS3257 
212.100.190.208,212.100.190.215,business,BE,AS3257 
212.100.190.216,212.100.190.247,isp,BE,AS3257 
212.100.190.248,212.100.191.31,business,BE,AS3257 
212.100.191.32,212.100.191.63,isp,BE,AS3257 
212.100.191.64,212.100.191.67,business,BE,AS3257 
212.100.191.68,212.100.191.75,isp,BE,AS3257 
212.100.191.76,212.100.191.87,business,BE,AS3257 
212.100.191.88,212.100.191.91,isp,BE,AS3257 
212.100.191.92,212.100.191.95,business,BE,AS3257 
212.100.191.96,212.100.191.111,isp,BE,AS3257 
212.100.191.112,212.100.191.127,business,BE,AS3257 
212.100.191.128,212.100.191.143,isp,BE,AS3257 
212.100.191.144,212.100.191.159,business,BE,AS3257 
212.100.191.160,212.100.191.175,isp,BE,AS3257 
212.100.191.176,212.100.191.191,business,BE,AS3257 
212.100.191.192,212.100.191.255,isp,BE,AS3257 
212.100.192.0,212.100.206.255,isp,SA,AS25233 
212.100.207.0,212.100.212.255,business,SA,AS25233 
212.100.213.0,212.100.222.255,isp,SA,AS25233 
212.100.223.0,212.100.223.255,business,SA,AS25233 
212.100.224.0,212.100.225.63,hosting,GB,AS15395 
212.100.225.64,212.100.225.127,business,GB,AS15395 
212.100.225.128,212.100.225.191,hosting,GB,AS15395 
212.100.225.192,212.100.225.255,business,GB,AS15395 
212.100.226.0,212.100.228.191,hosting,GB,AS15395 
212.100.228.192,212.100.228.195,isp,GB,AS15395 
212.100.228.196,212.100.228.225,hosting,GB,AS15395 
212.100.228.226,212.100.228.227,isp,GB,AS15395 
212.100.228.228,212.100.230.207,hosting,GB,AS15395 
212.100.230.208,212.100.230.215,education,GB,AS15395 
212.100.230.216,212.100.231.55,hosting,GB,AS15395 
212.100.231.56,212.100.231.59,hosting,AT,AS15395 
212.100.231.60,212.100.231.61,hosting,DE,AS15395 
212.100.231.62,212.100.235.143,hosting,GB,AS15395 
212.100.235.144,212.100.235.159,isp,GB,AS15395 
212.100.235.160,212.100.239.23,hosting,GB,AS15395 
212.100.239.24,212.100.239.31,education,GB,AS15395 
212.100.239.32,212.100.239.255,hosting,GB,AS15395 
212.100.240.0,212.100.240.255,business,GB,AS15395 
212.100.241.0,212.100.242.251,hosting,GB,AS15395 
212.100.242.252,212.100.242.255,isp,GB,AS15395 
212.100.243.0,212.100.243.63,hosting,GB,AS15395 
212.100.243.64,212.100.243.71,education,GB,AS15395 
212.100.243.72,212.100.245.207,hosting,GB,AS15395 
212.100.245.208,212.100.245.211,isp,GB,AS15395 
212.100.245.212,212.100.247.215,hosting,GB,AS15395 
212.100.247.216,212.100.247.219,isp,GB,AS15395 
212.100.247.220,212.100.251.223,hosting,GB,AS15395 
212.100.251.224,212.100.251.227,isp,GB,AS15395 
212.100.251.228,212.100.255.239,hosting,GB,AS15395 
212.100.255.240,212.100.255.247,isp,GB,AS15395 
212.100.255.248,212.100.255.255,hosting,GB,AS15395 
