212.152.32.0,212.152.54.255,business,RU 
212.152.157.176,212.152.157.183,isp,AT 
212.152.157.184,212.152.157.191,business,AT 
212.152.157.192,212.152.157.215,isp,AT 
212.152.157.216,212.152.157.223,business,AT 
212.152.157.224,212.152.157.231,isp,AT 
212.152.157.232,212.152.157.239,business,AT 
212.152.157.240,212.152.158.31,isp,AT 
212.152.158.32,212.152.158.39,business,AT 
212.152.158.40,212.152.158.63,isp,AT 
212.152.158.64,212.152.158.79,business,AT 
212.152.158.80,212.152.158.87,isp,AT 
212.152.158.88,212.152.158.95,business,AT 
212.152.158.96,212.152.158.111,isp,AT 
212.152.158.112,212.152.158.119,business,AT 
212.152.158.120,212.152.158.135,isp,AT 
212.152.158.136,212.152.158.143,business,AT 
212.152.158.144,212.152.158.191,isp,AT 
212.152.158.192,212.152.158.199,business,AT 
212.152.158.200,212.152.158.215,isp,AT 
212.152.158.216,212.152.158.223,business,AT 
212.152.158.224,212.152.161.79,isp,AT 
212.152.161.80,212.152.161.95,business,AT 
212.152.161.96,212.152.161.151,isp,AT 
212.152.161.152,212.152.161.159,business,AT 
212.152.161.160,212.152.162.127,isp,AT 
212.152.162.128,212.152.162.159,business,AT 
212.152.162.160,212.152.164.31,isp,AT 
212.152.164.32,212.152.164.47,business,AT 
212.152.164.48,212.152.164.127,isp,AT 
212.152.164.128,212.152.164.143,business,AT 
212.152.164.144,212.152.164.183,isp,AT 
212.152.164.184,212.152.164.191,business,AT 
212.152.164.192,212.152.165.63,isp,AT 
212.152.165.64,212.152.165.103,business,AT 
212.152.165.104,212.152.165.111,isp,AT 
212.152.165.112,212.152.165.135,business,AT 
212.152.165.136,212.152.165.247,isp,AT 
212.152.165.248,212.152.165.255,business,AT 
212.152.166.0,212.152.169.7,isp,AT 
212.152.169.8,212.152.169.31,business,AT 
212.152.169.32,212.152.169.39,isp,AT 
212.152.169.40,212.152.169.47,business,AT 
212.152.169.48,212.152.169.95,isp,AT 
212.152.169.96,212.152.169.103,business,AT 
212.152.169.104,212.152.169.127,isp,AT 
212.152.169.128,212.152.169.175,business,AT 
212.152.169.176,212.152.169.239,isp,AT 
212.152.169.240,212.152.169.255,business,AT 
212.152.170.0,212.152.170.7,isp,AT 
212.152.170.8,212.152.170.39,business,AT 
212.152.170.40,212.152.170.47,isp,AT 
212.152.170.48,212.152.170.63,business,AT 
212.152.170.64,212.152.170.87,isp,AT 
212.152.170.88,212.152.170.95,business,AT 
212.152.170.96,212.152.170.127,isp,AT 
212.152.170.128,212.152.170.143,business,AT 
212.152.170.144,212.152.170.231,isp,AT 
212.152.170.232,212.152.170.247,business,AT 
212.152.170.248,212.152.171.55,isp,AT 
212.152.171.56,212.152.171.63,business,AT 
212.152.171.64,212.152.171.127,isp,AT 
212.152.171.128,212.152.171.167,business,AT 
212.152.171.168,212.152.171.231,isp,AT 
212.152.171.232,212.152.171.239,business,AT 
212.152.171.240,212.152.171.247,isp,AT 
212.152.171.248,212.152.172.255,business,AT 
212.152.173.0,212.152.173.31,isp,AT 
212.152.173.32,212.152.173.39,business,AT 
212.152.173.40,212.152.173.47,isp,AT 
212.152.173.48,212.152.173.63,business,AT 
212.152.173.64,212.152.173.79,isp,AT 
212.152.173.80,212.152.173.87,business,AT 
212.152.173.88,212.152.173.95,isp,AT 
212.152.173.96,212.152.173.127,business,AT 
212.152.173.128,212.152.173.159,isp,AT 
212.152.173.160,212.152.173.175,business,AT 
212.152.173.176,212.152.173.207,isp,AT 
212.152.173.208,212.152.173.223,business,AT 
212.152.173.224,212.152.173.255,isp,AT 
212.152.174.0,212.152.174.31,business,AT 
212.152.174.32,212.152.174.47,isp,AT 
212.152.174.48,212.152.174.55,business,AT 
212.152.174.56,212.152.174.183,isp,AT 
212.152.174.184,212.152.174.223,business,AT 
212.152.174.224,212.152.174.239,isp,AT 
212.152.174.240,212.152.174.247,business,AT 
212.152.174.248,212.152.175.15,isp,AT 
212.152.175.16,212.152.175.31,business,AT 
212.152.175.32,212.152.175.71,isp,AT 
212.152.175.72,212.152.175.79,business,AT 
212.152.175.80,212.152.175.95,isp,AT 
212.152.175.96,212.152.175.127,business,AT 
212.152.175.128,212.152.175.167,isp,AT 
212.152.175.168,212.152.175.175,business,AT 
212.152.175.176,212.152.175.191,isp,AT 
212.152.175.192,212.152.175.199,business,AT 
212.152.175.200,212.152.175.255,isp,AT 
212.152.176.0,212.152.176.255,business,AT 
212.152.177.0,212.152.177.159,isp,AT 
212.152.177.160,212.152.177.191,business,AT 
212.152.177.192,212.152.177.223,isp,AT 
212.152.177.224,212.152.177.231,business,AT 
212.152.177.232,212.152.177.239,isp,AT 
212.152.177.240,212.152.177.247,business,AT 
212.152.177.248,212.152.177.255,isp,AT 
212.152.178.0,212.152.178.15,business,AT 
212.152.178.16,212.152.178.31,isp,AT 
212.152.178.32,212.152.178.47,business,AT 
212.152.178.48,212.152.178.87,isp,AT 
212.152.178.88,212.152.178.95,business,AT 
212.152.178.96,212.152.178.103,isp,AT 
212.152.178.104,212.152.178.111,business,AT 
212.152.178.112,212.152.178.119,isp,AT 
212.152.178.120,212.152.178.127,business,AT 
212.152.178.128,212.152.178.159,isp,AT 
212.152.178.160,212.152.178.167,business,AT 
212.152.178.168,212.152.178.223,isp,AT 
212.152.178.224,212.152.178.255,business,AT 
212.152.179.0,212.152.179.23,isp,AT 
212.152.179.24,212.152.179.79,business,AT 
212.152.179.80,212.152.180.239,isp,AT 
212.152.180.240,212.152.180.247,business,AT 
212.152.180.248,212.152.181.7,isp,AT 
212.152.181.8,212.152.181.15,business,AT 
212.152.181.16,212.152.181.47,isp,AT 
212.152.181.48,212.152.181.55,business,AT 
212.152.181.56,212.152.181.71,isp,AT 
212.152.181.72,212.152.181.79,business,AT 
212.152.181.80,212.152.181.95,isp,AT 
212.152.181.96,212.152.181.103,business,AT 
212.152.181.104,212.152.181.119,isp,AT 
212.152.181.120,212.152.181.127,business,AT 
212.152.181.128,212.152.181.191,isp,AT 
212.152.181.192,212.152.181.223,business,AT 
212.152.181.224,212.152.181.255,isp,AT 
212.152.182.0,212.152.190.63,business,AT 
212.152.190.64,212.152.190.255,isp,AT 
212.152.191.0,212.152.191.255,business,AT 
212.152.192.0,212.152.223.255,isp,AT 
212.152.224.0,212.152.233.255,business,AT 
212.152.234.0,212.152.245.255,isp,AT 
212.152.246.0,212.152.247.255,business,AT 
212.152.248.0,212.152.253.255,isp,AT 
212.152.254.0,212.152.254.15,business,AT 
212.152.254.16,212.152.254.111,isp,AT 
212.152.254.112,212.152.254.119,business,AT 
212.152.254.120,212.152.254.223,isp,AT 
212.152.254.224,212.152.254.255,business,AT 
212.152.255.0,212.152.255.255,isp,AT 
