212.123.0.0,212.123.31.255,isp,BE,AS6848 
212.123.199.88,212.123.199.103,business,NL,AS8220 
212.123.199.104,212.123.199.119,isp,NL,AS8220 
212.123.199.120,212.123.199.127,business,NL,AS8220 
212.123.199.128,212.123.199.207,isp,NL,AS8220 
212.123.199.208,212.123.199.215,business,NL,AS8220 
212.123.199.216,212.123.199.223,isp,NL,AS8220 
212.123.199.224,212.123.199.247,business,NL,AS8220 
212.123.199.248,212.123.200.79,isp,NL,AS8220 
212.123.200.80,212.123.200.119,business,NL,AS8220 
212.123.200.120,212.123.200.127,isp,NL,AS8220 
212.123.200.128,212.123.200.143,business,NL,AS8220 
212.123.200.144,212.123.200.183,isp,NL,AS8220 
212.123.200.184,212.123.200.207,business,NL,AS8220 
212.123.200.208,212.123.201.127,isp,NL,AS8220 
212.123.201.128,212.123.201.159,business,NL,AS8220 
212.123.201.160,212.123.201.223,isp,NL,AS8220 
212.123.201.224,212.123.201.239,education,NL,AS8220 
212.123.201.240,212.123.201.255,isp,NL,AS8220 
212.123.202.0,212.123.202.7,business,NL,AS8220 
212.123.202.8,212.123.202.23,isp,NL,AS8220 
212.123.202.24,212.123.202.31,business,NL,AS8220 
212.123.202.32,212.123.202.39,isp,NL,AS8220 
212.123.202.40,212.123.202.55,business,NL,AS8220 
212.123.202.56,212.123.202.63,isp,NL,AS8220 
212.123.202.64,212.123.202.71,business,NL,AS8220 
212.123.202.72,212.123.202.79,isp,NL,AS8220 
212.123.202.80,212.123.202.95,business,NL,AS8220 
212.123.202.96,212.123.202.111,isp,NL,AS8220 
212.123.202.112,212.123.202.119,business,NL,AS8220 
212.123.202.120,212.123.202.127,business,DE,AS8220 
212.123.202.128,212.123.202.159,isp,NL,AS8220 
212.123.202.160,212.123.202.199,business,NL,AS8220 
212.123.202.200,212.123.202.223,isp,NL,AS8220 
212.123.202.224,212.123.202.231,business,NL,AS8220 
212.123.202.232,212.123.202.239,isp,NL,AS8220 
212.123.202.240,212.123.203.63,business,NL,AS8220 
212.123.203.64,212.123.203.127,isp,NL,AS8220 
212.123.203.128,212.123.203.143,business,NL,AS8220 
212.123.203.144,212.123.203.151,isp,NL,AS8220 
212.123.203.152,212.123.203.167,business,NL,AS8220 
212.123.203.168,212.123.203.183,isp,NL,AS8220 
212.123.203.184,212.123.203.223,business,NL,AS8220 
212.123.203.224,212.123.203.231,isp,NL,AS8220 
212.123.203.232,212.123.203.239,business,NL,AS8220 
212.123.203.240,212.123.203.247,isp,NL,AS8220 
212.123.203.248,212.123.203.255,business,NL,AS8220 
212.123.204.0,212.123.204.7,isp,NL,AS8220 
212.123.204.8,212.123.204.15,business,NL,AS8220 
212.123.204.16,212.123.204.31,isp,NL,AS8220 
212.123.204.32,212.123.204.39,business,NL,AS8220 
212.123.204.40,212.123.204.47,isp,NL,AS8220 
212.123.204.48,212.123.204.55,business,NL,AS8220 
212.123.204.56,212.123.204.63,isp,NL,AS8220 
212.123.204.64,212.123.204.103,business,NL,AS8220 
212.123.204.104,212.123.204.111,isp,NL,AS8220 
212.123.204.112,212.123.204.119,business,NL,AS8220 
212.123.204.120,212.123.204.127,isp,NL,AS8220 
212.123.204.128,212.123.204.143,business,NL,AS8220 
212.123.204.144,212.123.204.159,isp,NL,AS8220 
212.123.204.160,212.123.204.175,business,NL,AS8220 
212.123.204.176,212.123.204.199,isp,NL,AS8220 
212.123.204.200,212.123.204.207,business,NL,AS8220 
212.123.204.208,212.123.204.231,isp,NL,AS8220 
212.123.204.232,212.123.204.239,business,NL,AS8220 
212.123.204.240,212.123.204.247,isp,NL,AS8220 
212.123.204.248,212.123.204.255,business,NL,AS8220 
212.123.205.0,212.123.205.255,education,NL,AS8220 
212.123.206.0,212.123.206.15,isp,IT,AS8220 
212.123.206.16,212.123.206.47,business,IT,AS8220 
212.123.206.48,212.123.206.55,isp,IT,AS8220 
212.123.206.56,212.123.206.63,business,IT,AS8220 
212.123.206.64,212.123.206.127,isp,IT,AS8220 
212.123.206.128,212.123.206.159,business,IT,AS8220 
212.123.206.160,212.123.206.167,isp,IT,AS8220 
212.123.206.168,212.123.206.215,business,IT,AS8220 
212.123.206.216,212.123.206.247,isp,IT,AS8220 
212.123.206.248,212.123.206.255,business,IT,AS8220 
212.123.207.0,212.123.208.255,isp,NL,AS8220 
212.123.209.0,212.123.209.31,business,NL,AS8220 
212.123.209.32,212.123.209.39,isp,NL,AS8220 
212.123.209.40,212.123.209.63,business,NL,AS8220 
212.123.209.64,212.123.209.71,isp,NL,AS8220 
212.123.209.72,212.123.209.79,business,DE,AS8220 
212.123.209.80,212.123.209.95,isp,NL,AS8220 
212.123.209.96,212.123.209.127,business,BE,AS8220 
212.123.209.128,212.123.209.191,business,NL,AS8220 
212.123.209.192,212.123.209.199,isp,NL,AS8220 
212.123.209.200,212.123.209.231,business,NL,AS8220 
212.123.209.232,212.123.209.239,isp,NL,AS8220 
212.123.209.240,212.123.209.247,business,NL,AS8220 
212.123.209.248,212.123.209.255,isp,NL,AS8220 
212.123.210.0,212.123.210.7,business,DE,AS8220 
212.123.210.8,212.123.210.23,isp,DE,AS8220 
212.123.210.24,212.123.210.31,business,NL,AS8220 
212.123.210.32,212.123.210.47,business,DE,AS8220 
212.123.210.48,212.123.210.55,isp,DE,AS8220 
212.123.210.56,212.123.210.63,business,DE,AS8220 
212.123.210.64,212.123.210.71,isp,NL,AS8220 
212.123.210.72,212.123.210.79,business,DE,AS8220 
212.123.210.80,212.123.210.87,isp,NL,AS8220 
212.123.210.88,212.123.210.95,business,DE,AS8220 
212.123.210.96,212.123.210.119,isp,NL,AS8220 
212.123.210.120,212.123.210.135,isp,DE,AS8220 
212.123.210.136,212.123.210.155,isp,NL,AS8220 
212.123.210.156,212.123.210.175,isp,DE,AS8220 
212.123.210.176,212.123.210.183,business,DE,AS8220 
212.123.210.184,212.123.210.191,isp,DE,AS8220 
212.123.210.192,212.123.210.199,business,DE,AS8220 
212.123.210.200,212.123.210.207,isp,NL,AS8220 
212.123.210.208,212.123.210.215,business,DE,AS8220 
212.123.210.216,212.123.210.223,isp,DE,AS8220 
212.123.210.224,212.123.210.255,business,DE,AS8220 
212.123.211.0,212.123.211.15,isp,NL,AS8220 
212.123.211.16,212.123.211.23,business,DE,AS8220 
212.123.211.24,212.123.211.39,isp,DE,AS8220 
212.123.211.40,212.123.211.47,business,DE,AS8220 
212.123.211.48,212.123.211.63,isp,DE,AS8220 
212.123.211.64,212.123.211.127,business,DE,AS8220 
212.123.211.128,212.123.211.159,isp,DE,AS8220 
212.123.211.160,212.123.211.175,business,DE,AS8220 
212.123.211.176,212.123.211.183,isp,NL,AS8220 
212.123.211.184,212.123.211.199,isp,DE,AS8220 
212.123.211.200,212.123.211.207,business,DE,AS8220 
212.123.211.208,212.123.211.215,isp,DE,AS8220 
212.123.211.216,212.123.211.223,business,DE,AS8220 
212.123.211.224,212.123.211.239,isp,DE,AS8220 
212.123.211.240,212.123.211.255,isp,NL,AS8220 
212.123.212.0,212.123.212.15,business,NL,AS8220 
212.123.212.16,212.123.212.39,isp,NL,AS8220 
212.123.212.40,212.123.212.47,business,NL,AS8220 
212.123.212.48,212.123.212.71,business,GB,AS8220 
212.123.212.72,212.123.213.103,isp,NL,AS8220 
212.123.213.104,212.123.213.111,isp,GB,AS8220 
212.123.213.112,212.123.213.255,isp,NL,AS8220 
212.123.214.0,212.123.214.15,business,NL,AS8220 
212.123.214.16,212.123.214.39,isp,NL,AS8220 
212.123.214.40,212.123.214.47,isp,BE,AS8220 
212.123.214.48,212.123.214.71,isp,NL,AS8220 
212.123.214.72,212.123.214.111,business,NL,AS8220 
212.123.214.112,212.123.214.127,isp,NL,AS8220 
212.123.214.128,212.123.214.175,business,NL,AS8220 
212.123.214.176,212.123.214.183,isp,NL,AS8220 
212.123.214.184,212.123.214.199,business,NL,AS8220 
212.123.214.200,212.123.214.207,isp,NL,AS8220 
212.123.214.208,212.123.214.215,business,NL,AS8220 
212.123.214.216,212.123.214.223,isp,NL,AS8220 
212.123.214.224,212.123.214.239,business,NL,AS8220 
212.123.214.240,212.123.215.79,isp,NL,AS8220 
212.123.215.80,212.123.215.95,business,NL,AS8220 
212.123.215.96,212.123.215.159,isp,NL,AS8220 
212.123.215.160,212.123.215.175,business,NL,AS8220 
212.123.215.176,212.123.215.239,isp,NL,AS8220 
212.123.215.240,212.123.215.255,business,NL,AS8220 
212.123.216.0,212.123.216.255,isp,NL,AS8220 
212.123.217.0,212.123.217.7,business,NL,AS8220 
212.123.217.8,212.123.217.15,isp,NL,AS8220 
212.123.217.16,212.123.217.23,business,NL,AS8220 
212.123.217.24,212.123.217.47,isp,NL,AS8220 
212.123.217.48,212.123.217.55,business,NL,AS8220 
212.123.217.56,212.123.217.63,isp,NL,AS8220 
212.123.217.64,212.123.217.103,business,NL,AS8220 
212.123.217.104,212.123.217.111,isp,NL,AS8220 
212.123.217.112,212.123.217.143,business,NL,AS8220 
212.123.217.144,212.123.217.151,isp,NL,AS8220 
212.123.217.152,212.123.217.207,business,NL,AS8220 
212.123.217.208,212.123.217.223,isp,NL,AS8220 
212.123.217.224,212.123.217.255,business,NL,AS8220 
212.123.218.0,212.123.218.111,isp,NL,AS8220 
212.123.218.112,212.123.218.119,business,NL,AS8220 
212.123.218.120,212.123.218.127,isp,NL,AS8220 
212.123.218.128,212.123.218.151,business,NL,AS8220 
212.123.218.152,212.123.218.159,isp,NL,AS8220 
212.123.218.160,212.123.218.167,business,NL,AS8220 
212.123.218.168,212.123.218.191,isp,NL,AS8220 
212.123.218.192,212.123.218.199,business,NL,AS8220 
212.123.218.200,212.123.218.215,isp,NL,AS8220 
212.123.218.216,212.123.218.223,business,NL,AS8220 
212.123.218.224,212.123.218.231,isp,NL,AS8220 
212.123.218.232,212.123.218.239,business,NL,AS8220 
212.123.218.240,212.123.218.255,isp,NL,AS8220 
212.123.219.0,212.123.219.127,business,ES,AS8220 
212.123.219.128,212.123.219.143,isp,ES,AS8220 
212.123.219.144,212.123.219.183,business,ES,AS8220 
212.123.219.184,212.123.219.207,isp,ES,AS8220 
212.123.219.208,212.123.219.215,business,ES,AS8220 
212.123.219.216,212.123.219.231,isp,ES,AS8220 
212.123.219.232,212.123.219.255,business,ES,AS8220 
212.123.220.0,212.123.224.7,isp,NL,AS8220 
212.123.224.8,212.123.224.15,isp,GB,AS8220 
212.123.224.16,212.123.224.47,business,NL,AS8220 
212.123.224.48,212.123.224.63,isp,NL,AS8220 
212.123.224.64,212.123.224.71,business,NL,AS8220 
212.123.224.72,212.123.224.79,isp,NL,AS8220 
212.123.224.80,212.123.224.127,business,NL,AS8220 
212.123.224.128,212.123.224.159,isp,NL,AS8220 
212.123.224.160,212.123.224.199,business,NL,AS8220 
212.123.224.200,212.123.224.239,isp,NL,AS8220 
212.123.224.240,212.123.225.7,business,NL,AS8220 
212.123.225.8,212.123.225.15,isp,NL,AS8220 
212.123.225.16,212.123.225.31,business,BE,AS8220 
212.123.225.32,212.123.225.39,isp,NL,AS8220 
212.123.225.40,212.123.225.47,business,NL,AS8220 
212.123.225.48,212.123.225.55,isp,NL,AS8220 
212.123.225.56,212.123.225.63,business,FR,AS8220 
212.123.225.64,212.123.225.95,business,NL,AS8220 
212.123.225.96,212.123.225.127,isp,NL,AS8220 
212.123.225.128,212.123.225.143,business,NL,AS8220 
212.123.225.144,212.123.225.159,business,DE,AS8220 
212.123.225.160,212.123.225.207,business,NL,AS8220 
212.123.225.208,212.123.225.239,isp,NL,AS8220 
212.123.225.240,212.123.225.247,business,NL,AS8220 
212.123.225.248,212.123.225.255,isp,FR,AS8220 
212.123.226.0,212.123.226.15,business,NL,AS8220 
212.123.226.16,212.123.226.31,isp,NL,AS8220 
212.123.226.32,212.123.226.39,business,NL,AS8220 
212.123.226.40,212.123.226.79,isp,NL,AS8220 
212.123.226.80,212.123.226.87,isp,BE,AS8220 
212.123.226.88,212.123.226.95,business,NL,AS8220 
212.123.226.96,212.123.226.159,isp,BE,AS8220 
212.123.226.160,212.123.226.223,business,NL,AS8220 
212.123.226.224,212.123.226.239,isp,NL,AS8220 
212.123.226.240,212.123.226.247,business,NL,AS8220 
212.123.226.248,212.123.227.31,isp,NL,AS8220 
212.123.227.32,212.123.227.127,business,NL,AS8220 
212.123.227.128,212.123.227.135,isp,NL,AS8220 
212.123.227.136,212.123.227.143,business,NL,AS8220 
212.123.227.144,212.123.227.159,isp,NL,AS8220 
212.123.227.160,212.123.227.175,business,NL,AS8220 
212.123.227.176,212.123.227.191,isp,NL,AS8220 
212.123.227.192,212.123.227.255,business,NL,AS8220 
212.123.228.0,212.123.228.47,isp,NL,AS8220 
212.123.228.48,212.123.228.79,business,NL,AS8220 
212.123.228.80,212.123.228.95,isp,NL,AS8220 
212.123.228.96,212.123.228.127,business,GB,AS8220 
212.123.228.128,212.123.228.135,isp,NL,AS8220 
212.123.228.136,212.123.228.159,business,NL,AS8220 
212.123.228.160,212.123.228.175,isp,NL,AS8220 
212.123.228.176,212.123.228.183,business,NL,AS8220 
212.123.228.184,212.123.228.239,isp,NL,AS8220 
212.123.228.240,212.123.228.247,business,NL,AS8220 
212.123.228.248,212.123.228.255,isp,NL,AS8220 
212.123.229.0,212.123.229.7,business,NL,AS8220 
212.123.229.8,212.123.229.39,isp,NL,AS8220 
212.123.229.40,212.123.229.55,business,NL,AS8220 
212.123.229.56,212.123.229.63,isp,NL,AS8220 
212.123.229.64,212.123.229.167,business,NL,AS8220 
212.123.229.168,212.123.229.191,isp,NL,AS8220 
212.123.229.192,212.123.230.47,business,NL,AS8220 
212.123.230.48,212.123.230.95,isp,NL,AS8220 
212.123.230.96,212.123.230.127,business,DE,AS8220 
212.123.230.128,212.123.230.135,business,NL,AS8220 
212.123.230.136,212.123.230.175,isp,NL,AS8220 
212.123.230.176,212.123.230.191,business,NL,AS8220 
212.123.230.192,212.123.230.207,isp,NL,AS8220 
212.123.230.208,212.123.230.223,business,BE,AS8220 
212.123.230.224,212.123.230.231,isp,NL,AS8220 
212.123.230.232,212.123.230.239,business,NL,AS8220 
212.123.230.240,212.123.230.247,isp,NL,AS8220 
212.123.230.248,212.123.231.64,business,NL,AS8220 
212.123.231.65,212.123.231.71,isp,NL,AS8220 
212.123.231.72,212.123.231.95,business,NL,AS8220 
212.123.231.96,212.123.231.143,isp,NL,AS8220 
212.123.231.144,212.123.231.151,business,NL,AS8220 
212.123.231.152,212.123.231.159,isp,NL,AS8220 
212.123.231.160,212.123.231.175,business,NL,AS8220 
212.123.231.176,212.123.231.183,isp,NL,AS8220 
212.123.231.184,212.123.231.191,business,NL,AS8220 
212.123.231.192,212.123.231.223,isp,NL,AS8220 
212.123.231.224,212.123.231.231,isp,BE,AS8220 
212.123.231.232,212.123.232.15,business,NL,AS8220 
212.123.232.16,212.123.232.23,isp,NL,AS8220 
212.123.232.24,212.123.232.31,business,NL,AS8220 
212.123.232.32,212.123.232.47,isp,NL,AS8220 
212.123.232.48,212.123.232.71,business,NL,AS8220 
212.123.232.72,212.123.232.79,business,GB,AS8220 
212.123.232.80,212.123.232.95,business,NL,AS8220 
212.123.232.96,212.123.232.103,isp,NL,AS8220 
212.123.232.104,212.123.232.159,business,NL,AS8220 
212.123.232.160,212.123.232.191,isp,NL,AS8220 
212.123.232.192,212.123.232.255,business,NL,AS8220 
212.123.233.0,212.123.233.31,business,FR,AS8220 
212.123.233.32,212.123.233.127,business,NL,AS8220 
212.123.233.128,212.123.233.143,isp,NL,AS8220 
212.123.233.144,212.123.233.159,business,NL,AS8220 
212.123.233.160,212.123.233.167,isp,BE,AS8220 
212.123.233.168,212.123.233.175,business,NL,AS8220 
212.123.233.176,212.123.233.223,isp,NL,AS8220 
212.123.233.224,212.123.233.255,business,NL,AS8220 
212.123.234.0,212.123.234.31,isp,NL,AS8220 
212.123.234.32,212.123.234.39,business,IE,AS8220 
212.123.234.40,212.123.234.47,isp,NL,AS8220 
212.123.234.48,212.123.234.55,business,NL,AS8220 
212.123.234.56,212.123.234.63,isp,NL,AS8220 
212.123.234.64,212.123.234.79,business,NL,AS8220 
212.123.234.80,212.123.234.111,isp,NL,AS8220 
212.123.234.112,212.123.234.127,business,NL,AS8220 
212.123.234.128,212.123.234.175,isp,NL,AS8220 
212.123.234.176,212.123.234.191,business,NL,AS8220 
212.123.234.192,212.123.234.207,isp,NL,AS8220 
212.123.234.208,212.123.234.223,business,BE,AS8220 
212.123.234.224,212.123.235.63,isp,NL,AS8220 
212.123.235.64,212.123.235.111,isp,BE,AS8220 
212.123.235.112,212.123.235.127,business,NL,AS8220 
212.123.235.128,212.123.235.159,isp,NL,AS8220 
212.123.235.160,212.123.235.167,business,BE,AS8220 
212.123.235.168,212.123.235.207,isp,NL,AS8220 
212.123.235.208,212.123.235.215,business,NL,AS8220 
212.123.235.216,212.123.235.223,isp,NL,AS8220 
212.123.235.224,212.123.235.239,business,NL,AS8220 
212.123.235.240,212.123.236.87,isp,NL,AS8220 
212.123.236.88,212.123.236.95,business,NL,AS8220 
212.123.236.96,212.123.236.167,isp,NL,AS8220 
212.123.236.168,212.123.236.191,business,NL,AS8220 
212.123.236.192,212.123.236.223,isp,NL,AS8220 
212.123.236.224,212.123.236.239,business,NL,AS8220 
212.123.236.240,212.123.236.255,isp,NL,AS8220 
212.123.237.0,212.123.237.15,business,DE,AS8220 
212.123.237.16,212.123.237.23,isp,DE,AS8220 
212.123.237.24,212.123.237.63,business,DE,AS8220 
212.123.237.64,212.123.237.71,isp,DE,AS8220 
212.123.237.72,212.123.237.79,business,DE,AS8220 
212.123.237.80,212.123.237.87,isp,DE,AS8220 
212.123.237.88,212.123.237.103,business,DE,AS8220 
212.123.237.104,212.123.237.111,isp,DE,AS8220 
212.123.237.112,212.123.237.127,business,DE,AS8220 
212.123.237.128,212.123.237.143,isp,DE,AS8220 
212.123.237.144,212.123.237.167,business,DE,AS8220 
212.123.237.168,212.123.237.183,isp,DE,AS8220 
212.123.237.184,212.123.237.191,business,DE,AS8220 
212.123.237.192,212.123.237.207,isp,DE,AS8220 
212.123.237.208,212.123.237.223,business,DE,AS8220 
212.123.237.224,212.123.237.231,isp,DE,AS8220 
212.123.237.232,212.123.237.239,business,DE,AS8220 
212.123.237.240,212.123.237.247,isp,DE,AS8220 
212.123.237.248,212.123.237.255,business,DE,AS8220 
212.123.238.0,212.123.238.127,isp,IT,AS8220 
212.123.238.128,212.123.238.135,business,IT,AS8220 
212.123.238.136,212.123.238.139,isp,IT,AS8220 
212.123.238.140,212.123.238.143,business,IT,AS8220 
212.123.238.144,212.123.238.159,isp,IT,AS8220 
212.123.238.160,212.123.238.199,business,IT,AS8220 
212.123.238.200,212.123.238.207,isp,IT,AS8220 
212.123.238.208,212.123.238.223,business,IT,AS8220 
212.123.238.224,212.123.238.247,isp,IT,AS8220 
212.123.238.248,212.123.238.255,business,IT,AS8220 
212.123.239.0,212.123.239.31,isp,IT,AS8220 
212.123.239.32,212.123.239.39,business,IT,AS8220 
212.123.239.40,212.123.239.47,isp,IT,AS8220 
212.123.239.48,212.123.239.63,business,IT,AS8220 
212.123.239.64,212.123.239.71,isp,IT,AS8220 
212.123.239.72,212.123.239.87,business,IT,AS8220 
212.123.239.88,212.123.239.95,isp,IT,AS8220 
212.123.239.96,212.123.239.103,business,IT,AS8220 
212.123.239.104,212.123.239.111,isp,IT,AS8220 
212.123.239.112,212.123.239.127,business,IT,AS8220 
212.123.239.128,212.123.239.143,isp,IT,AS8220 
212.123.239.144,212.123.239.175,business,IT,AS8220 
212.123.239.176,212.123.239.223,isp,IT,AS8220 
212.123.239.224,212.123.239.255,business,IT,AS8220 
212.123.240.0,212.123.240.23,isp,NL,AS8220 
212.123.240.24,212.123.240.39,business,NL,AS8220 
212.123.240.40,212.123.240.63,isp,NL,AS8220 
212.123.240.64,212.123.240.95,business,NL,AS8220 
212.123.240.96,212.123.240.175,isp,NL,AS8220 
212.123.240.176,212.123.240.191,business,NL,AS8220 
212.123.240.192,212.123.240.247,isp,NL,AS8220 
212.123.240.248,212.123.240.255,business,NL,AS8220 
212.123.241.0,212.123.241.39,isp,NL,AS8220 
212.123.241.40,212.123.241.55,business,NL,AS8220 
212.123.241.56,212.123.241.63,isp,NL,AS8220 
212.123.241.64,212.123.241.95,business,NL,AS8220 
212.123.241.96,212.123.241.127,isp,NL,AS8220 
212.123.241.128,212.123.241.159,business,GB,AS8220 
212.123.241.160,212.123.241.191,isp,NL,AS8220 
212.123.241.192,212.123.241.207,business,NL,AS8220 
212.123.241.208,212.123.241.215,isp,NL,AS8220 
212.123.241.216,212.123.241.247,business,NL,AS8220 
212.123.241.248,212.123.241.255,isp,NL,AS8220 
212.123.242.0,212.123.242.15,business,NL,AS8220 
212.123.242.16,212.123.244.255,isp,NL,AS8220 
212.123.245.0,212.123.245.63,business,NL,AS8220 
212.123.245.64,212.123.245.71,isp,NL,AS8220 
212.123.245.72,212.123.245.79,isp,GB,AS8220 
212.123.245.80,212.123.245.119,business,NL,AS8220 
212.123.245.120,212.123.245.223,isp,NL,AS8220 
212.123.245.224,212.123.245.231,business,NL,AS8220 
212.123.245.232,212.123.245.239,isp,NL,AS8220 
212.123.245.240,212.123.245.255,business,NL,AS8220 
212.123.246.0,212.123.247.63,isp,NL,AS8220 
212.123.247.64,212.123.247.79,business,NL,AS8220 
212.123.247.80,212.123.247.191,isp,NL,AS8220 
212.123.247.192,212.123.247.215,business,NL,AS8220 
212.123.247.216,212.123.247.255,isp,NL,AS8220 
212.123.248.0,212.123.248.63,business,NL,AS8220 
212.123.248.64,212.123.249.47,isp,NL,AS8220 
212.123.249.48,212.123.249.55,business,NL,AS8220 
212.123.249.56,212.123.249.63,isp,NL,AS8220 
212.123.249.64,212.123.249.111,business,NL,AS8220 
212.123.249.112,212.123.249.119,isp,NL,AS8220 
212.123.249.120,212.123.249.127,business,NL,AS8220 
212.123.249.128,212.123.249.255,isp,NL,AS8220 
212.123.250.0,212.123.250.7,isp,DE,AS8220 
212.123.250.8,212.123.250.15,isp,NL,AS8220 
212.123.250.16,212.123.250.31,business,NL,AS8220 
212.123.250.32,212.123.250.47,isp,NL,AS8220 
212.123.250.48,212.123.250.63,business,NL,AS8220 
212.123.250.64,212.123.250.71,isp,NL,AS8220 
212.123.250.72,212.123.250.79,business,NL,AS8220 
212.123.250.80,212.123.250.87,isp,NL,AS8220 
212.123.250.88,212.123.250.95,business,NL,AS8220 
212.123.250.96,212.123.250.111,isp,NL,AS8220 
212.123.250.112,212.123.250.127,business,NL,AS8220 
212.123.250.128,212.123.250.135,isp,NL,AS8220 
212.123.250.136,212.123.250.143,business,NL,AS8220 
212.123.250.144,212.123.250.231,isp,NL,AS8220 
212.123.250.232,212.123.250.239,business,NL,AS8220 
212.123.250.240,212.123.250.247,isp,NL,AS8220 
212.123.250.248,212.123.250.255,business,NL,AS8220 
