212.114.0.0,212.114.15.255,education,FR,AS50583 
212.114.108.0,212.114.108.255,business,NL,AS12859 
212.114.109.0,212.114.111.255,hosting,NL,AS12859 
212.114.112.0,212.114.112.255,isp,NL,AS200020 
212.114.113.0,212.114.113.255,hosting,NL,AS12859 
212.114.114.0,212.114.115.191,business,NL,AS12859 
212.114.115.192,212.114.115.223,hosting,NL,AS12859 
212.114.115.224,212.114.116.255,business,NL,AS12859 
212.114.117.0,212.114.117.127,hosting,NL,AS12859 
212.114.117.128,212.114.118.7,business,NL,AS12859 
212.114.118.8,212.114.118.63,hosting,NL,AS12859 
212.114.118.64,212.114.118.127,business,NL,AS12859 
212.114.118.128,212.114.118.191,hosting,NL,AS12859 
212.114.118.192,212.114.118.255,business,NL,AS12859 
212.114.119.0,212.114.127.255,hosting,NL,AS12859 
212.114.128.0,212.114.128.23,isp,DE,AS8767 
212.114.128.24,212.114.128.47,business,DE,AS8767 
212.114.128.48,212.114.128.127,isp,DE,AS8767 
212.114.128.128,212.114.128.143,business,DE,AS8767 
212.114.128.144,212.114.128.159,isp,DE,AS8767 
212.114.128.160,212.114.128.207,business,DE,AS8767 
212.114.128.208,212.114.128.215,isp,DE,AS8767 
212.114.128.216,212.114.128.223,business,DE,AS8767 
212.114.128.224,212.114.128.231,isp,DE,AS8767 
212.114.128.232,212.114.128.235,business,DE,AS8767 
212.114.128.236,212.114.128.239,isp,DE,AS8767 
212.114.128.240,212.114.128.255,business,DE,AS8767 
212.114.129.0,212.114.129.191,isp,DE,AS8767 
212.114.129.192,212.114.129.207,business,DE,AS8767 
212.114.129.208,212.114.129.215,isp,DE,AS8767 
212.114.129.216,212.114.129.239,business,DE,AS8767 
212.114.129.240,212.114.129.255,isp,DE,AS8767 
212.114.130.0,212.114.130.15,business,DE,AS8767 
212.114.130.16,212.114.130.39,isp,DE,AS8767 
212.114.130.40,212.114.130.47,business,DE,AS8767 
212.114.130.48,212.114.130.51,isp,DE,AS8767 
212.114.130.52,212.114.130.55,business,DE,AS8767 
212.114.130.56,212.114.130.63,isp,DE,AS8767 
212.114.130.64,212.114.130.75,business,DE,AS8767 
212.114.130.76,212.114.130.95,isp,DE,AS8767 
212.114.130.96,212.114.130.103,business,DE,AS8767 
212.114.130.104,212.114.130.111,isp,DE,AS8767 
212.114.130.112,212.114.130.115,business,DE,AS8767 
212.114.130.116,212.114.130.191,isp,DE,AS8767 
212.114.130.192,212.114.131.15,business,DE,AS8767 
212.114.131.16,212.114.131.63,isp,DE,AS8767 
212.114.131.64,212.114.131.95,business,DE,AS8767 
212.114.131.96,212.114.131.151,isp,DE,AS8767 
212.114.131.152,212.114.131.175,business,DE,AS8767 
212.114.131.176,212.114.131.247,isp,DE,AS8767 
212.114.131.248,212.114.132.15,business,DE,AS8767 
212.114.132.16,212.114.132.27,isp,DE,AS8767 
212.114.132.28,212.114.132.31,business,DE,AS8767 
212.114.132.32,212.114.132.55,isp,DE,AS8767 
212.114.132.56,212.114.132.71,business,DE,AS8767 
212.114.132.72,212.114.132.95,isp,DE,AS8767 
212.114.132.96,212.114.132.103,business,DE,AS8767 
212.114.132.104,212.114.132.111,isp,DE,AS8767 
212.114.132.112,212.114.132.127,business,DE,AS8767 
212.114.132.128,212.114.132.143,isp,DE,AS8767 
212.114.132.144,212.114.132.147,business,DE,AS8767 
212.114.132.148,212.114.132.151,isp,DE,AS8767 
212.114.132.152,212.114.132.159,business,DE,AS8767 
212.114.132.160,212.114.132.183,isp,DE,AS8767 
212.114.132.184,212.114.132.191,business,DE,AS8767 
212.114.132.192,212.114.132.215,isp,DE,AS8767 
212.114.132.216,212.114.132.219,business,DE,AS8767 
212.114.132.220,212.114.132.223,isp,DE,AS8767 
212.114.132.224,212.114.132.239,business,DE,AS8767 
212.114.132.240,212.114.132.243,isp,DE,AS8767 
212.114.132.244,212.114.132.247,business,DE,AS8767 
212.114.132.248,212.114.132.251,isp,DE,AS8767 
212.114.132.252,212.114.132.255,business,DE,AS8767 
212.114.133.0,212.114.133.255,isp,DE,AS8767 
212.114.134.0,212.114.134.127,business,DE,AS8767 
212.114.134.128,212.114.134.247,isp,DE,AS8767 
212.114.134.248,212.114.135.255,business,DE,AS8767 
212.114.136.0,212.114.136.7,isp,DE,AS8767 
212.114.136.8,212.114.136.31,business,DE,AS8767 
212.114.136.32,212.114.136.47,isp,DE,AS8767 
212.114.136.48,212.114.136.95,business,DE,AS8767 
212.114.136.96,212.114.136.111,isp,DE,AS8767 
212.114.136.112,212.114.136.119,business,DE,AS8767 
212.114.136.120,212.114.138.39,isp,DE,AS8767 
212.114.138.40,212.114.138.47,business,DE,AS8767 
212.114.138.48,212.114.138.55,isp,DE,AS8767 
212.114.138.56,212.114.138.63,business,DE,AS8767 
212.114.138.64,212.114.138.71,isp,DE,AS8767 
212.114.138.72,212.114.138.79,business,DE,AS8767 
212.114.138.80,212.114.138.103,isp,DE,AS8767 
212.114.138.104,212.114.138.127,business,DE,AS8767 
212.114.138.128,212.114.138.159,isp,DE,AS8767 
212.114.138.160,212.114.138.191,business,DE,AS8767 
212.114.138.192,212.114.138.207,isp,DE,AS8767 
212.114.138.208,212.114.138.223,business,DE,AS8767 
212.114.138.224,212.114.138.239,isp,DE,AS8767 
212.114.138.240,212.114.138.255,business,DE,AS8767 
212.114.139.0,212.114.139.7,isp,DE,AS8767 
212.114.139.8,212.114.139.55,business,DE,AS8767 
212.114.139.56,212.114.139.63,isp,DE,AS8767 
212.114.139.64,212.114.139.111,business,DE,AS8767 
212.114.139.112,212.114.139.115,isp,DE,AS8767 
212.114.139.116,212.114.139.127,business,DE,AS8767 
212.114.139.128,212.114.139.159,isp,DE,AS8767 
212.114.139.160,212.114.139.167,business,DE,AS8767 
212.114.139.168,212.114.139.175,isp,DE,AS8767 
212.114.139.176,212.114.139.191,business,DE,AS8767 
212.114.139.192,212.114.139.207,isp,DE,AS8767 
212.114.139.208,212.114.139.223,business,DE,AS8767 
212.114.139.224,212.114.139.231,isp,DE,AS8767 
212.114.139.232,212.114.139.255,business,DE,AS8767 
212.114.140.0,212.114.140.255,isp,DE,AS8767 
212.114.141.0,212.114.141.15,business,DE,AS8767 
212.114.141.16,212.114.141.31,isp,DE,AS8767 
212.114.141.32,212.114.141.47,business,DE,AS8767 
212.114.141.48,212.114.141.79,isp,DE,AS8767 
212.114.141.80,212.114.141.95,business,DE,AS8767 
212.114.141.96,212.114.141.111,isp,DE,AS8767 
212.114.141.112,212.114.141.127,business,DE,AS8767 
212.114.141.128,212.114.141.255,isp,DE,AS8767 
212.114.142.0,212.114.142.7,business,DE,AS8767 
212.114.142.8,212.114.142.15,isp,DE,AS8767 
212.114.142.16,212.114.142.63,business,DE,AS8767 
212.114.142.64,212.114.142.127,isp,DE,AS8767 
212.114.142.128,212.114.142.159,business,DE,AS8767 
212.114.142.160,212.114.142.163,isp,DE,AS8767 
212.114.142.164,212.114.142.175,business,DE,AS8767 
212.114.142.176,212.114.142.191,isp,DE,AS8767 
212.114.142.192,212.114.142.223,business,DE,AS8767 
212.114.142.224,212.114.142.251,isp,DE,AS8767 
212.114.142.252,212.114.142.255,business,DE,AS8767 
212.114.143.0,212.114.160.63,isp,DE,AS8767 
212.114.160.64,212.114.160.71,business,DE,AS8767 
212.114.160.72,212.114.160.79,isp,DE,AS8767 
212.114.160.80,212.114.160.191,business,DE,AS8767 
212.114.160.192,212.114.160.207,isp,DE,AS8767 
212.114.160.208,212.114.160.211,business,DE,AS8767 
212.114.160.212,212.114.160.255,isp,DE,AS8767 
212.114.161.0,212.114.161.255,business,DE,AS8767 
212.114.162.0,212.114.162.11,isp,DE,AS8767 
212.114.162.12,212.114.162.15,business,DE,AS8767 
212.114.162.16,212.114.162.47,isp,DE,AS8767 
212.114.162.48,212.114.162.55,business,DE,AS8767 
212.114.162.56,212.114.162.63,isp,DE,AS8767 
212.114.162.64,212.114.162.87,business,DE,AS8767 
212.114.162.88,212.114.162.95,isp,DE,AS8767 
212.114.162.96,212.114.162.111,business,DE,AS8767 
212.114.162.112,212.114.162.119,isp,DE,AS8767 
212.114.162.120,212.114.162.127,business,DE,AS8767 
212.114.162.128,212.114.162.135,isp,DE,AS8767 
212.114.162.136,212.114.162.143,business,DE,AS8767 
212.114.162.144,212.114.162.155,isp,DE,AS8767 
212.114.162.156,212.114.162.159,business,DE,AS8767 
212.114.162.160,212.114.162.199,isp,DE,AS8767 
212.114.162.200,212.114.162.207,business,DE,AS8767 
212.114.162.208,212.114.162.215,isp,DE,AS8767 
212.114.162.216,212.114.162.219,business,DE,AS8767 
212.114.162.220,212.114.162.223,isp,DE,AS8767 
212.114.162.224,212.114.162.255,business,DE,AS8767 
212.114.163.0,212.114.163.255,isp,DE,AS8767 
212.114.164.0,212.114.168.31,business,DE,AS8767 
212.114.168.32,212.114.168.47,isp,DE,AS8767 
212.114.168.48,212.114.168.63,business,DE,AS8767 
212.114.168.64,212.114.168.71,isp,DE,AS8767 
212.114.168.72,212.114.168.75,business,DE,AS8767 
212.114.168.76,212.114.175.255,isp,DE,AS8767 
212.114.176.0,212.114.176.95,business,DE,AS8767 
212.114.176.96,212.114.176.111,isp,DE,AS8767 
212.114.176.112,212.114.176.175,business,DE,AS8767 
212.114.176.176,212.114.176.183,isp,DE,AS8767 
212.114.176.184,212.114.176.191,business,DE,AS8767 
212.114.176.192,212.114.176.207,isp,DE,AS8767 
212.114.176.208,212.114.176.223,business,DE,AS8767 
212.114.176.224,212.114.176.235,isp,DE,AS8767 
212.114.176.236,212.114.176.247,business,DE,AS8767 
212.114.176.248,212.114.176.255,isp,DE,AS8767 
212.114.177.0,212.114.177.7,business,DE,AS8767 
212.114.177.8,212.114.177.31,isp,DE,AS8767 
212.114.177.32,212.114.177.63,business,DE,AS8767 
212.114.177.64,212.114.177.167,isp,DE,AS8767 
212.114.177.168,212.114.177.183,business,DE,AS8767 
212.114.177.184,212.114.177.191,isp,DE,AS8767 
212.114.177.192,212.114.177.207,business,DE,AS8767 
212.114.177.208,212.114.177.215,isp,DE,AS8767 
212.114.177.216,212.114.177.223,education,DE,AS8767 
212.114.177.224,212.114.177.255,business,DE,AS8767 
212.114.178.0,212.114.178.215,isp,DE,AS8767 
212.114.178.216,212.114.178.219,business,DE,AS8767 
212.114.178.220,212.114.178.231,isp,DE,AS8767 
212.114.178.232,212.114.178.235,business,DE,AS8767 
212.114.178.236,212.114.185.127,isp,DE,AS8767 
212.114.185.128,212.114.185.143,business,DE,AS8767 
212.114.185.144,212.114.185.175,isp,DE,AS8767 
212.114.185.176,212.114.185.247,business,DE,AS8767 
212.114.185.248,212.114.185.255,isp,DE,AS8767 
212.114.186.0,212.114.186.255,business,DE,AS8767 
212.114.187.0,212.114.189.255,isp,DE,AS8767 
212.114.190.0,212.114.190.255,business,DE,AS8767 
212.114.191.0,212.114.194.15,isp,DE,AS8767 
212.114.194.16,212.114.194.31,business,DE,AS8767 
212.114.194.32,212.114.194.47,isp,DE,AS8767 
212.114.194.48,212.114.194.71,business,DE,AS8767 
212.114.194.72,212.114.194.79,isp,DE,AS8767 
212.114.194.80,212.114.194.87,business,DE,AS8767 
212.114.194.88,212.114.194.95,isp,DE,AS8767 
212.114.194.96,212.114.194.111,business,DE,AS8767 
212.114.194.112,212.114.194.127,isp,DE,AS8767 
212.114.194.128,212.114.194.131,business,DE,AS8767 
212.114.194.132,212.114.194.135,isp,DE,AS8767 
212.114.194.136,212.114.194.143,business,DE,AS8767 
212.114.194.144,212.114.194.159,isp,DE,AS8767 
212.114.194.160,212.114.194.175,business,DE,AS8767 
212.114.194.176,212.114.194.191,isp,DE,AS8767 
212.114.194.192,212.114.194.239,business,DE,AS8767 
212.114.194.240,212.114.194.247,isp,DE,AS8767 
212.114.194.248,212.114.195.3,business,DE,AS8767 
212.114.195.4,212.114.195.15,isp,DE,AS8767 
212.114.195.16,212.114.195.31,business,DE,AS8767 
212.114.195.32,212.114.195.47,isp,DE,AS8767 
212.114.195.48,212.114.195.75,business,DE,AS8767 
212.114.195.76,212.114.195.95,isp,DE,AS8767 
212.114.195.96,212.114.195.111,business,DE,AS8767 
212.114.195.112,212.114.195.127,isp,DE,AS8767 
212.114.195.128,212.114.195.135,business,DE,AS8767 
212.114.195.136,212.114.195.159,isp,DE,AS8767 
212.114.195.160,212.114.195.191,business,DE,AS8767 
212.114.195.192,212.114.195.255,isp,DE,AS8767 
212.114.196.0,212.114.196.7,business,DE,AS8767 
212.114.196.8,212.114.196.15,isp,DE,AS8767 
212.114.196.16,212.114.196.47,business,DE,AS8767 
212.114.196.48,212.114.196.95,isp,DE,AS8767 
212.114.196.96,212.114.196.191,business,DE,AS8767 
212.114.196.192,212.114.196.207,isp,DE,AS8767 
212.114.196.208,212.114.196.223,business,DE,AS8767 
212.114.196.224,212.114.196.239,isp,DE,AS8767 
212.114.196.240,212.114.196.255,business,DE,AS8767 
212.114.197.0,212.114.197.63,isp,DE,AS8767 
212.114.197.64,212.114.197.79,business,DE,AS8767 
212.114.197.80,212.114.197.143,isp,DE,AS8767 
212.114.197.144,212.114.197.163,business,DE,AS8767 
212.114.197.164,212.114.197.167,isp,DE,AS8767 
212.114.197.168,212.114.197.183,business,DE,AS8767 
212.114.197.184,212.114.197.191,isp,DE,AS8767 
212.114.197.192,212.114.197.227,business,DE,AS8767 
212.114.197.228,212.114.197.255,isp,DE,AS8767 
212.114.198.0,212.114.200.31,business,DE,AS8767 
212.114.200.32,212.114.200.35,isp,DE,AS8767 
212.114.200.36,212.114.200.39,business,DE,AS8767 
212.114.200.40,212.114.200.47,isp,DE,AS8767 
212.114.200.48,212.114.200.55,business,DE,AS8767 
212.114.200.56,212.114.200.183,isp,DE,AS8767 
212.114.200.184,212.114.200.223,business,DE,AS8767 
212.114.200.224,212.114.201.31,isp,DE,AS8767 
212.114.201.32,212.114.201.159,business,DE,AS8767 
212.114.201.160,212.114.201.167,isp,DE,AS8767 
212.114.201.168,212.114.201.191,business,DE,AS8767 
212.114.201.192,212.114.201.207,isp,DE,AS8767 
212.114.201.208,212.114.201.251,business,DE,AS8767 
212.114.201.252,212.114.201.255,isp,DE,AS8767 
212.114.202.0,212.114.202.39,business,DE,AS8767 
212.114.202.40,212.114.202.47,isp,DE,AS8767 
212.114.202.48,212.114.202.63,business,DE,AS8767 
212.114.202.64,212.114.202.87,isp,DE,AS8767 
212.114.202.88,212.114.202.127,business,DE,AS8767 
212.114.202.128,212.114.202.135,isp,DE,AS8767 
212.114.202.136,212.114.202.143,business,DE,AS8767 
212.114.202.144,212.114.202.179,isp,DE,AS8767 
212.114.202.180,212.114.202.183,business,DE,AS8767 
212.114.202.184,212.114.202.191,isp,DE,AS8767 
212.114.202.192,212.114.202.207,business,DE,AS8767 
212.114.202.208,212.114.202.239,isp,DE,AS8767 
212.114.202.240,212.114.202.255,business,DE,AS8767 
212.114.203.0,212.114.203.159,isp,DE,AS8767 
212.114.203.160,212.114.203.175,business,DE,AS8767 
212.114.203.176,212.114.203.183,isp,DE,AS8767 
212.114.203.184,212.114.203.191,business,DE,AS8767 
212.114.203.192,212.114.203.207,isp,DE,AS8767 
212.114.203.208,212.114.203.215,business,DE,AS8767 
212.114.203.216,212.114.203.239,isp,DE,AS8767 
212.114.203.240,212.114.203.255,business,DE,AS8767 
212.114.204.0,212.114.204.47,isp,DE,AS8767 
212.114.204.48,212.114.204.79,business,DE,AS8767 
212.114.204.80,212.114.204.111,isp,DE,AS8767 
212.114.204.112,212.114.204.143,business,DE,AS8767 
212.114.204.144,212.114.204.159,isp,DE,AS8767 
212.114.204.160,212.114.204.167,business,DE,AS8767 
212.114.204.168,212.114.204.191,isp,DE,AS8767 
212.114.204.192,212.114.204.207,business,DE,AS8767 
212.114.204.208,212.114.204.223,isp,DE,AS8767 
212.114.204.224,212.114.204.255,business,DE,AS8767 
212.114.205.0,212.114.207.19,isp,DE,AS8767 
212.114.207.20,212.114.207.23,business,DE,AS8767 
212.114.207.24,212.114.207.63,isp,DE,AS8767 
212.114.207.64,212.114.207.87,business,DE,AS8767 
212.114.207.88,212.114.207.95,isp,DE,AS8767 
212.114.207.96,212.114.207.175,business,DE,AS8767 
212.114.207.176,212.114.207.199,isp,DE,AS8767 
212.114.207.200,212.114.207.207,business,DE,AS8767 
212.114.207.208,212.114.207.223,isp,DE,AS8767 
212.114.207.224,212.114.207.231,business,DE,AS8767 
212.114.207.232,212.114.207.239,isp,DE,AS8767 
212.114.207.240,212.114.207.255,business,DE,AS8767 
212.114.208.0,212.114.208.31,isp,DE,AS8767 
212.114.208.32,212.114.208.79,business,DE,AS8767 
212.114.208.80,212.114.208.95,education,DE,AS8767 
212.114.208.96,212.114.208.103,isp,DE,AS8767 
212.114.208.104,212.114.208.111,business,DE,AS8767 
212.114.208.112,212.114.208.255,isp,DE,AS8767 
212.114.209.0,212.114.209.3,business,DE,AS8767 
212.114.209.4,212.114.209.63,isp,DE,AS8767 
212.114.209.64,212.114.209.71,business,DE,AS8767 
212.114.209.72,212.114.209.79,isp,DE,AS8767 
212.114.209.80,212.114.209.83,business,DE,AS8767 
212.114.209.84,212.114.209.127,isp,DE,AS8767 
212.114.209.128,212.114.209.143,business,DE,AS8767 
212.114.209.144,212.114.209.199,isp,DE,AS8767 
212.114.209.200,212.114.209.203,business,DE,AS8767 
212.114.209.204,212.114.209.215,isp,DE,AS8767 
212.114.209.216,212.114.209.223,business,DE,AS8767 
212.114.209.224,212.114.211.63,isp,DE,AS8767 
212.114.211.64,212.114.211.255,business,DE,AS8767 
212.114.212.0,212.114.212.63,isp,DE,AS8767 
212.114.212.64,212.114.212.71,business,DE,AS8767 
212.114.212.72,212.114.212.79,isp,DE,AS8767 
212.114.212.80,212.114.212.87,business,DE,AS8767 
212.114.212.88,212.114.212.91,isp,DE,AS8767 
212.114.212.92,212.114.212.127,business,DE,AS8767 
212.114.212.128,212.114.212.155,isp,DE,AS8767 
212.114.212.156,212.114.212.199,business,DE,AS8767 
212.114.212.200,212.114.212.203,isp,DE,AS8767 
212.114.212.204,212.114.212.207,business,DE,AS8767 
212.114.212.208,212.114.214.255,isp,DE,AS8767 
212.114.215.0,212.114.215.255,business,DE,AS8767 
212.114.216.0,212.114.216.79,isp,DE,AS8767 
212.114.216.80,212.114.216.95,business,DE,AS8767 
212.114.216.96,212.114.216.235,isp,DE,AS8767 
212.114.216.236,212.114.216.243,business,DE,AS8767 
212.114.216.244,212.114.221.211,isp,DE,AS8767 
212.114.221.212,212.114.221.215,business,DE,AS8767 
212.114.221.216,212.114.240.255,isp,DE,AS8767 
212.114.241.0,212.114.241.31,business,DE,AS8767 
212.114.241.32,212.114.241.95,isp,DE,AS8767 
212.114.241.96,212.114.241.127,business,DE,AS8767 
212.114.241.128,212.114.241.159,isp,DE,AS8767 
212.114.241.160,212.114.241.175,business,DE,AS8767 
212.114.241.176,212.114.241.183,isp,DE,AS8767 
212.114.241.184,212.114.241.191,business,DE,AS8767 
212.114.241.192,212.114.241.223,isp,DE,AS8767 
212.114.241.224,212.114.241.231,business,DE,AS8767 
212.114.241.232,212.114.241.239,isp,DE,AS8767 
212.114.241.240,212.114.241.255,business,DE,AS8767 
212.114.242.0,212.114.247.255,isp,DE,AS8767 
212.114.248.0,212.114.248.255,business,DE,AS8767 
212.114.249.0,212.114.249.7,isp,DE,AS8767 
212.114.249.8,212.114.249.15,business,DE,AS8767 
212.114.249.16,212.114.249.55,isp,DE,AS8767 
212.114.249.56,212.114.249.71,business,DE,AS8767 
212.114.249.72,212.114.249.127,isp,DE,AS8767 
212.114.249.128,212.114.249.143,business,DE,AS8767 
212.114.249.144,212.114.249.151,isp,DE,AS8767 
212.114.249.152,212.114.249.155,business,DE,AS8767 
212.114.249.156,212.114.249.159,isp,DE,AS8767 
212.114.249.160,212.114.249.167,business,DE,AS8767 
212.114.249.168,212.114.249.175,isp,DE,AS8767 
212.114.249.176,212.114.249.191,business,DE,AS8767 
212.114.249.192,212.114.255.255,isp,DE,AS8767 
