83.148.0.0,83.148.8.39,isp,CZ,AS29208 
83.148.179.0,83.148.179.255,isp,GB,AS3257 
83.148.180.0,83.148.183.255,business,GB,AS3257 
83.148.184.0,83.148.186.255,isp,GB,AS3257 
83.148.187.0,83.148.187.255,business,GB,AS3257 
83.148.188.0,83.148.188.255,isp,GB,AS3257 
83.148.189.0,83.148.191.255,business,GB,AS3257 
83.148.192.0,83.148.193.47,isp,FI,AS39699 
83.148.193.48,83.148.193.55,business,FI,AS39699 
83.148.193.56,83.148.194.111,isp,FI,AS39699 
83.148.194.112,83.148.194.127,business,FI,AS39699 
83.148.194.128,83.148.195.63,isp,FI,AS39699 
83.148.195.64,83.148.195.95,business,FI,AS39699 
83.148.195.96,83.148.196.15,isp,FI,AS39699 
83.148.196.16,83.148.196.23,business,FI,AS39699 
83.148.196.24,83.148.196.95,isp,FI,AS39699 
83.148.196.96,83.148.196.103,business,FI,AS39699 
83.148.196.104,83.148.196.111,isp,FI,AS39699 
83.148.196.112,83.148.196.119,business,FI,AS39699 
83.148.196.120,83.148.196.191,isp,FI,AS39699 
83.148.196.192,83.148.196.199,business,FI,AS39699 
83.148.196.200,83.148.197.95,isp,FI,AS39699 
83.148.197.96,83.148.197.111,business,FI,AS39699 
83.148.197.112,83.148.197.175,isp,FI,AS39699 
83.148.197.176,83.148.197.191,business,FI,AS39699 
83.148.197.192,83.148.198.239,isp,FI,AS39699 
83.148.198.240,83.148.198.255,business,FI,AS39699 
83.148.199.0,83.148.199.215,isp,FI,AS39699 
83.148.199.216,83.148.199.223,business,FI,AS39699 
83.148.199.224,83.148.247.255,isp,FI,AS39699 
83.148.248.0,83.148.248.255,business,FI,AS39699 
83.148.249.0,83.148.252.255,isp,FI,AS39699 
83.148.253.0,83.148.253.255,business,FI,AS39699 
83.148.254.0,83.148.255.255,isp,FI,AS39699 
