123.231.162.120,123.231.162.135,isp,ID 
123.231.162.136,123.231.162.139,business,ID 
123.231.162.140,123.231.162.171,isp,ID 
123.231.162.172,123.231.162.175,business,ID 
123.231.162.176,123.231.162.231,isp,ID 
123.231.162.232,123.231.162.239,business,ID 
123.231.162.240,123.231.163.71,isp,ID 
123.231.163.72,123.231.163.79,business,ID 
123.231.163.80,123.231.163.103,isp,ID 
123.231.163.104,123.231.163.111,business,ID 
123.231.163.112,123.231.163.127,isp,ID 
123.231.163.128,123.231.163.167,business,ID 
123.231.163.168,123.231.163.191,isp,ID 
123.231.163.192,123.231.163.207,business,ID 
123.231.163.208,123.231.163.215,isp,ID 
123.231.163.216,123.231.163.255,business,ID 
123.231.164.0,123.231.164.51,isp,ID 
123.231.164.52,123.231.164.55,business,ID 
123.231.164.56,123.231.164.127,isp,ID 
123.231.164.128,123.231.164.187,business,ID 
123.231.164.188,123.231.164.191,isp,ID 
123.231.164.192,123.231.164.207,business,ID 
123.231.164.208,123.231.164.211,isp,ID 
123.231.164.212,123.231.164.223,business,ID 
123.231.164.224,123.231.164.227,isp,ID 
123.231.164.228,123.231.164.231,business,ID 
123.231.164.232,123.231.164.235,isp,ID 
123.231.164.236,123.231.164.255,business,ID 
123.231.165.0,123.231.165.47,isp,ID 
123.231.165.48,123.231.165.55,business,ID 
123.231.165.56,123.231.165.59,isp,ID 
123.231.165.60,123.231.165.63,business,ID 
123.231.165.64,123.231.165.99,isp,ID 
123.231.165.100,123.231.165.103,business,ID 
123.231.165.104,123.231.165.111,isp,ID 
123.231.165.112,123.231.165.127,business,ID 
123.231.165.128,123.231.165.159,isp,ID 
123.231.165.160,123.231.165.167,business,ID 
123.231.165.168,123.231.166.7,isp,ID 
123.231.166.8,123.231.166.23,business,ID 
123.231.166.24,123.231.166.55,isp,ID 
123.231.166.56,123.231.166.95,business,ID 
123.231.166.96,123.231.166.127,isp,ID 
123.231.166.128,123.231.166.143,business,ID 
123.231.166.144,123.231.166.159,isp,ID 
123.231.166.160,123.231.166.175,business,ID 
