66.175.0.0,66.175.63.255,hosting,CA,AS30447 
66.175.106.16,66.175.106.47,isp,US,AS701 
66.175.106.48,66.175.106.95,business,US,AS701 
66.175.106.96,66.175.106.111,isp,US,AS701 
66.175.106.112,66.175.106.127,business,US,AS701 
66.175.106.128,66.175.106.223,isp,US,AS701 
66.175.106.224,66.175.107.31,business,US,AS701 
66.175.107.32,66.175.107.63,isp,US,AS701 
66.175.107.64,66.175.107.223,business,US,AS701 
66.175.107.224,66.175.107.231,isp,US,AS701 
66.175.107.232,66.175.107.239,business,US,AS701 
66.175.107.240,66.175.108.31,isp,US,AS701 
66.175.108.32,66.175.108.111,business,US,AS701 
66.175.108.112,66.175.108.127,isp,US,AS701 
66.175.108.128,66.175.108.191,business,US,AS701 
66.175.108.192,66.175.108.255,isp,MX,AS701 
66.175.109.0,66.175.109.15,business,US,AS701 
66.175.109.16,66.175.109.31,isp,US,AS701 
66.175.109.32,66.175.109.47,business,US,AS701 
66.175.109.48,66.175.109.111,isp,US,AS701 
66.175.109.112,66.175.109.175,business,US,AS701 
66.175.109.176,66.175.109.191,isp,US,AS701 
66.175.109.192,66.175.110.191,business,US,AS701 
66.175.110.192,66.175.110.207,isp,US,AS701 
66.175.110.208,66.175.110.223,business,US,AS701 
66.175.110.224,66.175.110.239,isp,US,AS701 
66.175.110.240,66.175.110.255,business,US,AS701 
66.175.111.0,66.175.111.255,isp,US,AS701 
66.175.112.0,66.175.112.79,business,US,AS701 
66.175.112.80,66.175.112.159,isp,US,AS701 
66.175.112.160,66.175.112.191,business,US,AS701 
66.175.112.192,66.175.112.223,isp,US,AS701 
66.175.112.224,66.175.112.239,isp,DO,AS701 
66.175.112.240,66.175.112.255,business,HT,AS701 
66.175.113.0,66.175.113.15,business,US,AS701 
66.175.113.16,66.175.113.31,isp,NL,AS701 
66.175.113.32,66.175.113.47,isp,US,AS701 
66.175.113.48,66.175.113.63,business,US,AS701 
66.175.113.64,66.175.113.79,isp,NL,AS701 
66.175.113.80,66.175.113.143,isp,US,AS701 
66.175.113.144,66.175.113.159,business,NO,AS701 
66.175.113.160,66.175.113.191,isp,US,AS701 
66.175.113.192,66.175.113.207,business,US,AS701 
66.175.113.208,66.175.113.223,isp,NL,AS701 
66.175.113.224,66.175.114.15,isp,US,AS701 
66.175.114.16,66.175.114.31,business,US,AS701 
66.175.114.32,66.175.114.47,isp,BS,AS701 
66.175.114.48,66.175.114.63,business,BR,AS701 
66.175.114.64,66.175.114.79,isp,US,AS701 
66.175.114.80,66.175.114.95,business,LU,AS701 
66.175.114.96,66.175.114.159,isp,US,AS701 
66.175.114.160,66.175.114.175,business,US,AS701 
66.175.114.176,66.175.114.191,isp,US,AS701 
66.175.114.192,66.175.114.239,business,US,AS701 
66.175.114.240,66.175.114.255,isp,US,AS701 
66.175.115.0,66.175.115.255,business,US,AS701 
66.175.116.0,66.175.116.31,isp,US,AS701 
66.175.116.32,66.175.116.47,business,US,AS701 
66.175.116.48,66.175.116.63,isp,PR,AS701 
66.175.116.64,66.175.116.95,isp,US,AS701 
66.175.116.96,66.175.116.111,business,US,AS701 
66.175.116.112,66.175.116.127,isp,US,AS701 
66.175.116.128,66.175.116.207,business,US,AS701 
66.175.116.208,66.175.116.239,isp,US,AS701 
66.175.116.240,66.175.118.31,business,US,AS701 
66.175.118.32,66.175.118.47,isp,US,AS701 
66.175.118.48,66.175.118.127,business,US,AS701 
66.175.118.128,66.175.118.191,isp,US,AS701 
66.175.118.192,66.175.118.255,education,US,AS701 
66.175.119.0,66.175.120.15,business,US,AS701 
66.175.120.16,66.175.120.31,isp,AG,AS701 
66.175.120.32,66.175.120.47,isp,AU,AS701 
66.175.120.48,66.175.120.63,business,US,AS701 
66.175.120.64,66.175.120.111,isp,US,AS701 
66.175.120.112,66.175.120.119,business,US,AS701 
66.175.120.120,66.175.120.191,isp,US,AS701 
66.175.120.192,66.175.121.31,business,US,AS701 
66.175.121.32,66.175.121.47,isp,US,AS701 
66.175.121.48,66.175.121.63,business,US,AS701 
66.175.121.64,66.175.121.191,isp,US,AS701 
66.175.121.192,66.175.121.255,business,US,AS701 
66.175.122.0,66.175.122.47,isp,US,AS701 
66.175.122.48,66.175.122.79,business,US,AS701 
66.175.122.80,66.175.122.111,isp,US,AS701 
66.175.122.112,66.175.122.191,business,US,AS701 
66.175.122.192,66.175.122.207,isp,US,AS701 
66.175.122.208,66.175.122.223,business,US,AS701 
66.175.122.224,66.175.122.255,isp,US,AS701 
66.175.123.0,66.175.123.255,business,GB,AS701 
66.175.124.0,66.175.125.7,isp,US,AS701 
66.175.125.8,66.175.125.63,business,US,AS701 
66.175.125.64,66.175.125.159,isp,US,AS701 
66.175.125.160,66.175.125.191,business,US,AS701 
66.175.125.192,66.175.126.39,isp,US,AS701 
66.175.126.40,66.175.126.43,business,US,AS701 
66.175.126.44,66.175.127.255,isp,US,AS701 
66.175.128.0,66.175.132.255,isp,US,AS11272 
66.175.133.0,66.175.133.255,isp,US,AS396010 
66.175.134.0,66.175.141.255,isp,US,AS11272 
66.175.142.0,66.175.142.7,business,US,AS11272 
66.175.142.8,66.175.142.15,isp,US,AS11272 
66.175.142.16,66.175.142.23,business,US,AS11272 
66.175.142.24,66.175.142.143,isp,US,AS11272 
66.175.142.144,66.175.142.151,business,US,AS11272 
66.175.142.152,66.175.142.159,isp,US,AS11272 
66.175.142.160,66.175.142.167,business,US,AS11272 
66.175.142.168,66.175.143.23,isp,US,AS11272 
66.175.143.24,66.175.143.39,business,US,AS11272 
66.175.143.40,66.175.143.47,isp,US,AS11272 
66.175.143.48,66.175.143.63,business,US,AS11272 
66.175.143.64,66.175.144.31,isp,US,AS11272 
66.175.144.32,66.175.144.47,business,US,AS11272 
66.175.144.48,66.175.144.79,isp,US,AS11272 
66.175.144.80,66.175.144.111,business,US,AS11272 
66.175.144.112,66.175.145.255,isp,US,AS11272 
66.175.146.0,66.175.146.31,business,US,AS11272 
66.175.146.32,66.175.146.159,isp,US,AS11272 
66.175.146.160,66.175.146.191,business,US,AS11272 
66.175.146.192,66.175.146.255,isp,US,AS11272 
66.175.147.0,66.175.147.63,business,US,AS11272 
66.175.147.64,66.175.148.63,isp,US,AS11272 
66.175.148.64,66.175.148.95,business,US,AS11272 
66.175.148.96,66.175.189.255,isp,US,AS11272 
66.175.190.0,66.175.190.255,business,US,AS11272 
66.175.191.0,66.175.191.127,isp,US,AS11272 
66.175.191.128,66.175.191.191,education,US,AS11272 
66.175.191.192,66.175.191.239,isp,US,AS11272 
66.175.191.240,66.175.191.255,education,US,AS11272 
66.175.192.0,66.175.202.255,isp,US,AS26785 
66.175.203.0,66.175.203.255,business,US,AS26785 
66.175.204.0,66.175.206.255,isp,US,AS26785 
66.175.207.0,66.175.207.255,business,US,AS26785 
66.175.208.0,66.175.223.255,hosting,US,AS63949 
66.175.224.0,66.175.231.255,hosting,US,AS11900 
66.175.232.0,66.175.239.255,hosting,US,AS8560 
66.175.240.0,66.175.255.255,business,US,AS19353 
