188.172.0.0,188.172.95.255,isp,MT 
188.172.239.48,188.172.239.79,business,AT 
188.172.239.80,188.172.239.87,hosting,AT 
188.172.239.88,188.172.239.159,business,AT 
188.172.239.160,188.172.239.238,hosting,AT 
188.172.239.239,188.172.239.239,business,AT 
188.172.239.240,188.172.244.15,hosting,AT 
188.172.244.16,188.172.244.31,hosting,BR 
188.172.244.32,188.172.244.39,hosting,AT 
188.172.244.40,188.172.244.47,hosting,BR 
188.172.244.48,188.172.244.71,hosting,AT 
188.172.244.72,188.172.244.75,hosting,BR 
188.172.244.76,188.172.244.79,hosting,AT 
188.172.244.80,188.172.244.111,hosting,BR 
188.172.244.112,188.172.244.127,hosting,AT 
188.172.244.128,188.172.244.195,hosting,BR 
188.172.244.196,188.172.244.199,hosting,AT 
188.172.244.200,188.172.244.207,hosting,BR 
188.172.244.208,188.172.244.219,hosting,AT 
188.172.244.220,188.172.244.255,hosting,BR 
188.172.245.0,188.172.245.27,hosting,FR 
188.172.245.28,188.172.245.31,hosting,AT 
188.172.245.32,188.172.245.63,hosting,FR 
188.172.245.64,188.172.245.127,hosting,AT 
188.172.245.128,188.172.245.159,hosting,FR 
188.172.245.160,188.172.245.191,hosting,AT 
188.172.245.192,188.172.245.207,hosting,FR 
188.172.245.208,188.172.245.231,hosting,AT 
188.172.245.232,188.172.245.233,hosting,FR 
188.172.245.234,188.172.245.239,hosting,AT 
188.172.245.240,188.172.245.255,hosting,FR 
188.172.246.0,188.172.246.255,hosting,AT 
188.172.247.0,188.172.247.159,hosting,US 
188.172.247.160,188.172.248.255,hosting,AT 
188.172.249.0,188.172.249.145,hosting,CA 
188.172.249.146,188.172.249.151,hosting,AT 
188.172.249.152,188.172.249.159,hosting,CA 
188.172.249.160,188.172.249.255,hosting,AT 
188.172.250.0,188.172.250.255,business,DE 
188.172.251.0,188.172.251.1,hosting,US 
188.172.251.2,188.172.251.3,hosting,AT 
188.172.251.4,188.172.251.17,hosting,US 
188.172.251.18,188.172.251.19,hosting,AT 
188.172.251.20,188.172.251.103,hosting,US 
188.172.251.104,188.172.251.191,hosting,AT 
188.172.251.192,188.172.251.255,hosting,US 
188.172.252.0,188.172.252.7,hosting,AT 
188.172.252.8,188.172.252.23,hosting,PE 
188.172.252.24,188.172.252.29,hosting,AT 
188.172.252.30,188.172.252.39,hosting,PE 
188.172.252.40,188.172.252.55,hosting,AT 
188.172.252.56,188.172.252.95,hosting,PE 
188.172.252.96,188.172.252.127,hosting,AT 
188.172.252.128,188.172.252.129,hosting,PE 
188.172.252.130,188.172.252.131,hosting,AT 
188.172.252.132,188.172.252.135,hosting,PE 
188.172.252.136,188.172.252.239,hosting,AT 
188.172.252.240,188.172.252.255,hosting,PE 
188.172.253.0,188.172.253.0,hosting,AT 
188.172.253.1,188.172.253.14,business,BG 
188.172.253.15,188.172.254.15,hosting,AT 
188.172.254.16,188.172.254.23,hosting,RO 
188.172.254.24,188.172.254.25,hosting,AT 
188.172.254.26,188.172.254.27,hosting,RO 
188.172.254.28,188.172.254.127,hosting,AT 
188.172.254.128,188.172.254.175,hosting,RO 
188.172.254.176,188.172.254.247,hosting,AT 
188.172.254.248,188.172.254.255,hosting,RO 
188.172.255.0,188.172.255.127,hosting,AE 
188.172.255.128,188.172.255.255,hosting,AT 
