188.93.132.0,188.93.132.159,isp,RU,AS49301 
188.93.132.160,188.93.132.167,business,RU,AS49301 
188.93.132.168,188.93.132.255,isp,RU,AS49301 
188.93.133.0,188.93.133.39,isp,RU,AS20485 
188.93.133.40,188.93.133.47,business,RU,AS20485 
188.93.133.48,188.93.133.55,education,RU,AS20485 
188.93.133.56,188.93.133.143,isp,RU,AS20485 
188.93.133.144,188.93.133.151,business,RU,AS20485 
188.93.133.152,188.93.134.127,isp,RU,AS20485 
188.93.134.128,188.93.134.135,business,RU,AS20485 
188.93.134.136,188.93.134.143,isp,RU,AS20485 
188.93.134.144,188.93.134.159,business,RU,AS20485 
188.93.134.160,188.93.134.207,isp,RU,AS20485 
188.93.134.208,188.93.134.215,education,RU,AS20485 
188.93.134.216,188.93.135.63,isp,RU,AS20485 
188.93.135.64,188.93.135.79,business,RU,AS20485 
188.93.135.80,188.93.135.103,isp,RU,AS20485 
188.93.135.104,188.93.135.119,business,RU,AS20485 
188.93.135.120,188.93.135.127,isp,RU,AS20485 
188.93.135.128,188.93.135.143,business,RU,AS20485 
188.93.135.144,188.93.135.255,isp,RU,AS20485 
188.93.136.0,188.93.136.255,isp,RU,AS212667 
188.93.137.0,188.93.137.255,hosting,GB,AS400039 
188.93.138.0,188.93.138.255,hosting,DE,AS400039 
188.93.139.0,188.93.139.255,hosting,US,AS50131 
188.93.140.0,188.93.140.255,hosting,SE,AS63473 
188.93.141.0,188.93.141.255,hosting,TR,AS48678 
188.93.142.0,188.93.142.255,business,ES,AS29119 
188.93.143.0,188.93.143.255,business,DE,AS201341 
188.93.144.0,188.93.151.255,hosting,US,AS40509 
188.93.152.0,188.93.154.255,business,BE,AS34762 
188.93.155.0,188.93.157.255,hosting,BE,AS34762 
188.93.158.0,188.93.159.255,business,BE,AS34762 
188.93.160.0,188.93.167.255,business,PL,AS6830 
188.93.168.0,188.93.169.255,business,LU,AS210834 
188.93.170.0,188.93.171.255,business,LU, 
188.93.172.0,188.93.175.255,business,LU,AS210834 
188.93.176.0,188.93.183.255,hosting,GB,AS49318 
188.93.184.0,188.93.191.15,isp,NO,AS61275 
188.93.191.16,188.93.191.23,business,NO,AS61275 
188.93.191.24,188.93.191.55,isp,NO,AS61275 
188.93.191.56,188.93.191.63,business,NO,AS61275 
188.93.191.64,188.93.191.255,isp,NO,AS61275 
188.93.192.0,188.93.195.255,isp,PT,AS215446 
188.93.196.0,188.93.196.255,hosting,PT,AS6424 
188.93.197.0,188.93.197.255,business,ES,AS50028 
188.93.198.0,188.93.199.255,isp,PT,AS6424 
188.93.200.0,188.93.207.255,business,HU,AS12301 
188.93.208.0,188.93.213.255,hosting,RU,AS49352 
188.93.214.0,188.93.214.127,isp,RU,AS49352 
188.93.214.128,188.93.215.255,hosting,RU,AS49352 
188.93.216.0,188.93.223.255,isp,DE,AS41998 
188.93.224.0,188.93.231.255,hosting,PT,AS8426 
188.93.232.0,188.93.232.255,isp,PT,AS47674 
188.93.233.0,188.93.233.255,hosting,PT,AS47674 
