213.143.0.0,213.143.2.255,isp,GB,AS41230 
213.143.142.136,213.143.142.143,business,GB,AS15654 
213.143.142.144,213.143.159.255,isp,GB,AS15654 
213.143.160.0,213.143.191.255,isp,FI,AS13170 
213.143.192.0,213.143.223.255,business,DE,AS13233 
213.143.224.0,213.143.224.255,business,TR,AS20864 
213.143.225.0,213.143.226.255,business,TR,AS9021 
213.143.227.0,213.143.227.95,hosting,TR,AS9021 
213.143.227.96,213.143.227.111,isp,TR,AS9021 
213.143.227.112,213.143.227.255,hosting,TR,AS9021 
213.143.228.0,213.143.228.3,business,TR,AS9021 
213.143.228.4,213.143.228.7,hosting,TR,AS9021 
213.143.228.8,213.143.228.95,business,TR,AS9021 
213.143.228.96,213.143.228.127,hosting,TR,AS9021 
213.143.228.128,213.143.228.139,business,TR,AS9021 
213.143.228.140,213.143.228.143,hosting,TR,AS9021 
213.143.228.144,213.143.228.175,business,TR,AS9021 
213.143.228.176,213.143.228.191,hosting,TR,AS9021 
213.143.228.192,213.143.228.207,business,TR,AS9021 
213.143.228.208,213.143.228.255,hosting,TR,AS9021 
213.143.229.0,213.143.229.11,business,TR,AS9021 
213.143.229.12,213.143.229.15,hosting,TR,AS9021 
213.143.229.16,213.143.229.31,business,TR,AS9021 
213.143.229.32,213.143.229.127,hosting,TR,AS9021 
213.143.229.128,213.143.229.255,business,TR,AS9021 
213.143.230.0,213.143.230.255,hosting,TR,AS9021 
213.143.231.0,213.143.231.39,business,TR,AS9021 
213.143.231.40,213.143.231.63,hosting,TR,AS9021 
213.143.231.64,213.143.231.255,business,TR,AS9021 
213.143.232.0,213.143.232.15,hosting,TR,AS9021 
213.143.232.16,213.143.232.31,business,TR,AS9021 
213.143.232.32,213.143.232.63,hosting,TR,AS9021 
213.143.232.64,213.143.232.255,business,TR,AS9021 
213.143.233.0,213.143.233.15,hosting,TR,AS9021 
213.143.233.16,213.143.233.83,business,TR,AS9021 
213.143.233.84,213.143.233.87,hosting,TR,AS9021 
213.143.233.88,213.143.233.127,business,TR,AS9021 
213.143.233.128,213.143.233.159,hosting,TR,AS9021 
213.143.233.160,213.143.233.175,isp,TR,AS9021 
213.143.233.176,213.143.233.191,hosting,TR,AS9021 
213.143.233.192,213.143.233.255,business,TR,AS9021 
213.143.234.0,213.143.237.255,hosting,TR,AS9021 
213.143.238.0,213.143.238.255,isp,TR,AS9021 
213.143.239.0,213.143.239.255,hosting,TR,AS9021 
213.143.240.0,213.143.241.19,business,TR,AS9021 
213.143.241.20,213.143.241.31,hosting,TR,AS9021 
213.143.241.32,213.143.241.71,business,TR,AS9021 
213.143.241.72,213.143.241.79,hosting,TR,AS9021 
213.143.241.80,213.143.241.163,business,TR,AS9021 
213.143.241.164,213.143.241.191,hosting,TR,AS9021 
213.143.241.192,213.143.241.195,business,TR,AS9021 
213.143.241.196,213.143.241.251,hosting,TR,AS9021 
213.143.241.252,213.143.241.255,business,TR,AS9021 
213.143.242.0,213.143.242.127,hosting,TR,AS9021 
213.143.242.128,213.143.243.31,business,TR,AS9021 
213.143.243.32,213.143.243.63,hosting,TR,AS9021 
213.143.243.64,213.143.244.31,business,TR,AS9021 
213.143.244.32,213.143.244.63,hosting,TR,AS9021 
213.143.244.64,213.143.244.111,business,TR,AS9021 
213.143.244.112,213.143.244.127,hosting,TR,AS9021 
213.143.244.128,213.143.244.191,business,TR,AS9021 
213.143.244.192,213.143.244.255,hosting,TR,AS9021 
213.143.245.0,213.143.245.63,business,TR,AS9021 
213.143.245.64,213.143.245.127,hosting,TR,AS9021 
213.143.245.128,213.143.245.191,business,TR,AS9021 
213.143.245.192,213.143.245.255,hosting,TR,AS9021 
213.143.246.0,213.143.246.159,business,TR,AS9021 
213.143.246.160,213.143.246.191,hosting,TR,AS9021 
213.143.246.192,213.143.247.31,business,TR,AS9021 
213.143.247.32,213.143.247.63,hosting,TR,AS9021 
213.143.247.64,213.143.247.95,business,TR,AS9021 
213.143.247.96,213.143.247.127,hosting,TR,AS9021 
213.143.247.128,213.143.248.63,business,TR,AS9021 
213.143.248.64,213.143.248.127,hosting,TR,AS9021 
213.143.248.128,213.143.248.255,business,TR,AS9021 
213.143.249.0,213.143.249.7,hosting,TR,AS9021 
213.143.249.8,213.143.249.11,isp,TR,AS9021 
213.143.249.12,213.143.249.31,hosting,TR,AS9021 
213.143.249.32,213.143.250.255,business,TR,AS9021 
213.143.251.0,213.143.251.255,hosting,TR,AS39298 
213.143.252.0,213.143.253.255,business,TR,AS9021 
213.143.254.0,213.143.255.255,hosting,TR,AS9021 
