213.209.0.0,213.209.63.255,business,IT,AS8660 
213.209.196.96,213.209.196.111,business,IT,AS21309 
213.209.196.112,213.209.196.255,hosting,IT,AS21309 
213.209.197.0,213.209.199.255,business,IT,AS21309 
213.209.200.0,213.209.200.0,hosting,IT,AS21309 
213.209.200.1,213.209.200.7,business,IT,AS21309 
213.209.200.8,213.209.200.79,hosting,IT,AS21309 
213.209.200.80,213.209.200.87,business,IT,AS21309 
213.209.200.88,213.209.200.255,hosting,IT,AS21309 
213.209.201.0,213.209.202.15,business,IT,AS21309 
213.209.202.16,213.209.202.23,hosting,IT,AS21309 
213.209.202.24,213.209.202.35,business,IT,AS21309 
213.209.202.36,213.209.202.39,hosting,IT,AS21309 
213.209.202.40,213.209.202.47,business,IT,AS21309 
213.209.202.48,213.209.202.63,hosting,IT,AS21309 
213.209.202.64,213.209.202.87,business,IT,AS21309 
213.209.202.88,213.209.202.95,hosting,IT,AS21309 
213.209.202.96,213.209.202.103,business,IT,AS21309 
213.209.202.104,213.209.204.255,hosting,IT,AS21309 
213.209.205.0,213.209.205.255,business,IT,AS21309 
213.209.206.0,213.209.206.255,hosting,IT,AS21309 
213.209.207.0,213.209.208.255,business,IT,AS21309 
213.209.209.0,213.209.209.31,hosting,IT,AS21309 
213.209.209.32,213.209.209.41,business,IT,AS21309 
213.209.209.42,213.209.209.47,hosting,IT,AS21309 
213.209.209.48,213.209.209.55,business,IT,AS21309 
213.209.209.56,213.209.209.71,hosting,IT,AS21309 
213.209.209.72,213.209.209.79,business,IT,AS21309 
213.209.209.80,213.209.209.243,hosting,IT,AS21309 
213.209.209.244,213.209.209.247,business,IT,AS21309 
213.209.209.248,213.209.210.31,hosting,IT,AS21309 
213.209.210.32,213.209.210.47,business,IT,AS21309 
213.209.210.48,213.209.210.103,hosting,IT,AS21309 
213.209.210.104,213.209.210.107,business,IT,AS21309 
213.209.210.108,213.209.210.135,hosting,IT,AS21309 
213.209.210.136,213.209.210.143,business,IT,AS21309 
213.209.210.144,213.209.210.167,hosting,IT,AS21309 
213.209.210.168,213.209.210.175,business,IT,AS21309 
213.209.210.176,213.209.210.191,hosting,IT,AS21309 
213.209.210.192,213.209.210.231,business,IT,AS21309 
213.209.210.232,213.209.210.235,hosting,IT,AS21309 
213.209.210.236,213.209.210.255,business,IT,AS21309 
213.209.211.0,213.209.211.223,hosting,IT,AS21309 
213.209.211.224,213.209.214.15,business,IT,AS21309 
213.209.214.16,213.209.214.23,hosting,IT,AS21309 
213.209.214.24,213.209.214.31,business,IT,AS21309 
213.209.214.32,213.209.214.63,hosting,IT,AS21309 
213.209.214.64,213.209.214.79,business,IT,AS21309 
213.209.214.80,213.209.214.95,hosting,IT,AS21309 
213.209.214.96,213.209.214.117,business,IT,AS21309 
213.209.214.118,213.209.214.119,hosting,IT,AS21309 
213.209.214.120,213.209.214.159,business,IT,AS21309 
213.209.214.160,213.209.214.191,hosting,IT,AS21309 
213.209.214.192,213.209.214.223,business,IT,AS21309 
213.209.214.224,213.209.214.239,hosting,IT,AS21309 
213.209.214.240,213.209.214.243,business,IT,AS21309 
213.209.214.244,213.209.215.255,hosting,IT,AS21309 
213.209.216.0,213.209.216.27,business,IT,AS21309 
213.209.216.28,213.209.216.31,hosting,IT,AS21309 
213.209.216.32,213.209.216.39,business,IT,AS21309 
213.209.216.40,213.209.216.47,hosting,IT,AS21309 
213.209.216.48,213.209.216.63,business,IT,AS21309 
213.209.216.64,213.209.216.87,hosting,IT,AS21309 
213.209.216.88,213.209.216.107,business,IT,AS21309 
213.209.216.108,213.209.216.111,hosting,IT,AS21309 
213.209.216.112,213.209.216.127,business,IT,AS21309 
213.209.216.128,213.209.216.143,hosting,IT,AS21309 
213.209.216.144,213.209.216.159,business,IT,AS21309 
213.209.216.160,213.209.216.183,hosting,IT,AS21309 
213.209.216.184,213.209.216.191,business,IT,AS21309 
213.209.216.192,213.209.216.207,hosting,IT,AS21309 
213.209.216.208,213.209.216.223,business,IT,AS21309 
213.209.216.224,213.209.216.239,hosting,IT,AS21309 
213.209.216.240,213.209.216.255,business,IT,AS21309 
213.209.217.0,213.209.217.15,hosting,IT,AS21309 
213.209.217.16,213.209.217.31,business,IT,AS21309 
213.209.217.32,213.209.217.51,hosting,IT,AS21309 
213.209.217.52,213.209.217.59,business,IT,AS21309 
213.209.217.60,213.209.217.79,hosting,IT,AS21309 
213.209.217.80,213.209.217.87,business,IT,AS21309 
213.209.217.88,213.209.217.127,hosting,IT,AS21309 
213.209.217.128,213.209.217.131,business,IT,AS21309 
213.209.217.132,213.209.217.135,hosting,IT,AS21309 
213.209.217.136,213.209.217.151,business,IT,AS21309 
213.209.217.152,213.209.217.159,hosting,IT,AS21309 
213.209.217.160,213.209.217.175,business,IT,AS21309 
213.209.217.176,213.209.217.223,hosting,IT,AS21309 
213.209.217.224,213.209.217.231,education,IT,AS21309 
213.209.217.232,213.209.217.255,business,IT,AS21309 
213.209.218.0,213.209.218.27,hosting,IT,AS21309 
213.209.218.28,213.209.218.55,business,IT,AS21309 
213.209.218.56,213.209.218.71,hosting,IT,AS21309 
213.209.218.72,213.209.218.87,business,IT,AS21309 
213.209.218.88,213.209.218.95,hosting,IT,AS21309 
213.209.218.96,213.209.218.119,business,IT,AS21309 
213.209.218.120,213.209.218.123,hosting,IT,AS21309 
213.209.218.124,213.209.218.135,business,IT,AS21309 
213.209.218.136,213.209.218.159,hosting,IT,AS21309 
213.209.218.160,213.209.218.175,business,IT,AS21309 
213.209.218.176,213.209.218.199,hosting,IT,AS21309 
213.209.218.200,213.209.218.239,business,IT,AS21309 
213.209.218.240,213.209.219.15,hosting,IT,AS21309 
213.209.219.16,213.209.219.31,business,IT,AS21309 
213.209.219.32,213.209.219.39,hosting,IT,AS21309 
213.209.219.40,213.209.219.71,business,IT,AS21309 
213.209.219.72,213.209.219.79,hosting,IT,AS21309 
213.209.219.80,213.209.219.87,business,IT,AS21309 
213.209.219.88,213.209.219.95,hosting,IT,AS21309 
213.209.219.96,213.209.219.143,business,IT,AS21309 
213.209.219.144,213.209.219.159,hosting,IT,AS21309 
213.209.219.160,213.209.219.175,business,IT,AS21309 
213.209.219.176,213.209.219.255,hosting,IT,AS21309 
213.209.220.0,213.209.220.7,business,IT,AS21309 
213.209.220.8,213.209.220.23,hosting,IT,AS21309 
213.209.220.24,213.209.220.61,business,IT,AS21309 
213.209.220.62,213.209.220.63,hosting,IT,AS21309 
213.209.220.64,213.209.220.155,business,IT,AS21309 
213.209.220.156,213.209.220.159,hosting,IT,AS21309 
213.209.220.160,213.209.220.191,business,IT,AS21309 
213.209.220.192,213.209.220.223,hosting,IT,AS21309 
213.209.220.224,213.209.220.239,business,IT,AS21309 
213.209.220.240,213.209.220.255,hosting,IT,AS21309 
213.209.221.0,213.209.221.7,business,IT,AS21309 
213.209.221.8,213.209.221.31,hosting,IT,AS21309 
213.209.221.32,213.209.221.63,business,IT,AS21309 
213.209.221.64,213.209.221.95,hosting,IT,AS21309 
213.209.221.96,213.209.221.127,business,IT,AS21309 
213.209.221.128,213.209.221.151,hosting,IT,AS21309 
213.209.221.152,213.209.221.159,business,IT,AS21309 
213.209.221.160,213.209.221.191,hosting,IT,AS21309 
213.209.221.192,213.209.221.199,business,IT,AS21309 
213.209.221.200,213.209.221.207,hosting,IT,AS21309 
213.209.221.208,213.209.221.211,business,IT,AS21309 
213.209.221.212,213.209.221.223,hosting,IT,AS21309 
213.209.221.224,213.209.222.3,business,IT,AS21309 
213.209.222.4,213.209.222.31,hosting,IT,AS21309 
213.209.222.32,213.209.222.39,business,IT,AS21309 
213.209.222.40,213.209.222.47,hosting,IT,AS21309 
213.209.222.48,213.209.222.63,business,IT,AS21309 
213.209.222.64,213.209.222.75,hosting,IT,AS21309 
213.209.222.76,213.209.222.79,business,IT,AS21309 
213.209.222.80,213.209.222.95,hosting,IT,AS21309 
213.209.222.96,213.209.222.111,business,IT,AS21309 
213.209.222.112,213.209.222.115,hosting,IT,AS21309 
213.209.222.116,213.209.222.159,business,IT,AS21309 
213.209.222.160,213.209.222.255,hosting,IT,AS21309 
213.209.223.0,213.209.223.255,business,IT,AS21309 
213.209.224.0,213.209.224.7,hosting,IT,AS21309 
213.209.224.8,213.209.224.15,business,IT,AS21309 
213.209.224.16,213.209.225.47,hosting,IT,AS21309 
213.209.225.48,213.209.225.79,business,IT,AS21309 
213.209.225.80,213.209.225.95,hosting,IT,AS21309 
213.209.225.96,213.209.225.143,business,IT,AS21309 
213.209.225.144,213.209.225.147,hosting,IT,AS21309 
213.209.225.148,213.209.225.151,business,IT,AS21309 
213.209.225.152,213.209.225.159,hosting,IT,AS21309 
213.209.225.160,213.209.225.175,business,IT,AS21309 
213.209.225.176,213.209.225.247,hosting,IT,AS21309 
213.209.225.248,213.209.226.47,business,IT,AS21309 
213.209.226.48,213.209.226.63,hosting,IT,AS21309 
213.209.226.64,213.209.226.71,business,IT,AS21309 
213.209.226.72,213.209.226.111,hosting,IT,AS21309 
213.209.226.112,213.209.226.143,business,IT,AS21309 
213.209.226.144,213.209.226.255,hosting,IT,AS21309 
213.209.227.0,213.209.227.255,business,IT,AS21309 
213.209.228.0,213.209.228.7,hosting,IT,AS21309 
213.209.228.8,213.209.228.15,business,IT,AS21309 
213.209.228.16,213.209.228.47,hosting,IT,AS21309 
213.209.228.48,213.209.228.55,business,IT,AS21309 
213.209.228.56,213.209.228.127,hosting,IT,AS21309 
213.209.228.128,213.209.228.135,business,IT,AS21309 
213.209.228.136,213.209.228.255,hosting,IT,AS21309 
213.209.229.0,213.209.237.15,business,IT,AS21309 
213.209.237.16,213.209.237.39,hosting,IT,AS21309 
213.209.237.40,213.209.237.55,business,IT,AS21309 
213.209.237.56,213.209.238.15,hosting,IT,AS21309 
213.209.238.16,213.209.238.31,business,IT,AS21309 
213.209.238.32,213.209.238.75,hosting,IT,AS21309 
213.209.238.76,213.209.238.127,business,IT,AS21309 
213.209.238.128,213.209.238.143,hosting,IT,AS21309 
213.209.238.144,213.209.238.151,business,IT,AS21309 
213.209.238.152,213.209.240.255,hosting,IT,AS21309 
213.209.241.0,213.209.255.255,business,IT,AS21309 
