213.239.0.0,213.239.3.255,business,NL,AS8918 
213.239.230.128,213.239.231.111,hosting,DE,AS24940 
213.239.231.112,213.239.231.119,business,DE,AS24940 
213.239.231.120,213.239.232.191,hosting,DE,AS24940 
213.239.232.192,213.239.232.207,business,DE,AS24940 
213.239.232.208,213.239.233.135,hosting,DE,AS24940 
213.239.233.136,213.239.233.143,business,DE,AS24940 
213.239.233.144,213.239.233.255,hosting,DE,AS24940 
213.239.234.0,213.239.234.15,business,DE,AS24940 
213.239.234.16,213.239.234.65,hosting,DE,AS24940 
213.239.234.66,213.239.234.66,business,DE,AS24940 
213.239.234.67,213.239.234.75,hosting,DE,AS24940 
213.239.234.76,213.239.234.78,business,DE,AS24940 
213.239.234.79,213.239.234.81,hosting,DE,AS24940 
213.239.234.82,213.239.234.82,business,DE,AS24940 
213.239.234.83,213.239.234.83,hosting,DE,AS24940 
213.239.234.84,213.239.234.84,business,DE,AS24940 
213.239.234.85,213.239.234.85,hosting,DE,AS24940 
213.239.234.86,213.239.234.89,business,DE,AS24940 
213.239.234.90,213.239.235.191,hosting,DE,AS24940 
213.239.235.192,213.239.235.223,business,DE,AS24940 
213.239.235.224,213.239.236.255,hosting,DE,AS24940 
213.239.237.0,213.239.237.127,business,DE,AS24940 
213.239.237.128,213.239.237.191,hosting,DE,AS24940 
213.239.237.192,213.239.237.255,business,DE,AS24940 
213.239.238.0,213.239.239.91,hosting,DE,AS24940 
213.239.239.92,213.239.239.99,business,DE,AS24940 
213.239.239.100,213.239.242.211,hosting,DE,AS24940 
213.239.242.212,213.239.242.215,business,DE,AS24940 
213.239.242.216,213.239.242.239,hosting,DE,AS24940 
213.239.242.240,213.239.242.243,business,DE,AS24940 
213.239.242.244,213.239.243.31,hosting,DE,AS24940 
213.239.243.32,213.239.243.47,business,DE,AS24940 
213.239.243.48,213.239.243.95,hosting,DE,AS24940 
213.239.243.96,213.239.243.115,business,DE,AS24940 
213.239.243.116,213.239.246.167,hosting,DE,AS24940 
213.239.246.168,213.239.246.191,business,DE,AS24940 
213.239.246.192,213.239.247.127,hosting,DE,AS24940 
213.239.247.128,213.239.247.159,business,DE,AS24940 
213.239.247.160,213.239.248.255,hosting,DE,AS24940 
213.239.249.0,213.239.249.0,business,DE,AS24940 
213.239.249.1,213.239.249.1,hosting,DE,AS24940 
213.239.249.2,213.239.249.2,business,DE,AS24940 
213.239.249.3,213.239.249.3,hosting,DE,AS24940 
213.239.249.4,213.239.249.4,business,DE,AS24940 
213.239.249.5,213.239.249.6,hosting,DE,AS24940 
213.239.249.7,213.239.249.9,business,DE,AS24940 
213.239.249.10,213.239.249.10,hosting,DE,AS24940 
213.239.249.11,213.239.249.16,business,DE,AS24940 
213.239.249.17,213.239.249.17,hosting,DE,AS24940 
213.239.249.18,213.239.249.23,business,DE,AS24940 
213.239.249.24,213.239.249.24,hosting,DE,AS24940 
213.239.249.25,213.239.249.25,business,DE,AS24940 
213.239.249.26,213.239.249.26,hosting,DE,AS24940 
213.239.249.27,213.239.249.28,business,DE,AS24940 
213.239.249.29,213.239.249.30,hosting,DE,AS24940 
213.239.249.31,213.239.249.255,business,DE,AS24940 
213.239.250.0,213.239.255.95,hosting,DE,AS24940 
213.239.255.96,213.239.255.111,business,DE,AS24940 
213.239.255.112,213.239.255.255,hosting,DE,AS24940 
