213.122.64.0,213.122.67.255,business,GB,AS2856 
213.122.174.40,213.122.174.47,business,GB,AS2856 
213.122.174.48,213.122.174.63,isp,GB,AS2856 
213.122.174.64,213.122.174.127,business,GB,AS2856 
213.122.174.128,213.122.174.143,isp,GB,AS2856 
213.122.174.144,213.122.174.159,business,GB,AS2856 
213.122.174.160,213.122.174.207,isp,GB,AS2856 
213.122.174.208,213.122.174.223,business,GB,AS2856 
213.122.174.224,213.122.174.247,isp,GB,AS2856 
213.122.174.248,213.122.174.255,education,GB,AS2856 
213.122.175.0,213.122.175.79,isp,GB,AS2856 
213.122.175.80,213.122.175.95,business,GB,AS2856 
213.122.175.96,213.122.175.151,isp,GB,AS2856 
213.122.175.152,213.122.175.159,business,GB,AS2856 
213.122.175.160,213.122.175.175,isp,GB,AS2856 
213.122.175.176,213.122.175.183,business,GB,AS2856 
213.122.175.184,213.122.176.47,isp,GB,AS2856 
213.122.176.48,213.122.176.63,business,GB,AS2856 
213.122.176.64,213.122.176.223,isp,GB,AS2856 
213.122.176.224,213.122.176.255,business,GB,AS2856 
213.122.177.0,213.122.177.7,isp,GB,AS2856 
213.122.177.8,213.122.177.15,business,GB,AS2856 
213.122.177.16,213.122.177.47,isp,GB,AS2856 
213.122.177.48,213.122.177.55,business,GB,AS2856 
213.122.177.56,213.122.177.127,isp,GB,AS2856 
213.122.177.128,213.122.177.143,business,GB,AS2856 
213.122.177.144,213.122.177.207,isp,GB,AS2856 
213.122.177.208,213.122.177.215,business,GB,AS2856 
213.122.177.216,213.122.177.255,isp,GB,AS2856 
213.122.178.0,213.122.178.31,business,GB,AS2856 
213.122.178.32,213.122.178.39,isp,GB,AS2856 
213.122.178.40,213.122.178.47,business,GB,AS2856 
213.122.178.48,213.122.178.159,isp,GB,AS2856 
213.122.178.160,213.122.178.191,business,GB,AS2856 
213.122.178.192,213.122.179.63,isp,GB,AS2856 
213.122.179.64,213.122.179.127,business,GB,AS2856 
213.122.179.128,213.122.179.151,isp,GB,AS2856 
213.122.179.152,213.122.179.159,business,GB,AS2856 
213.122.179.160,213.122.179.191,isp,GB,AS2856 
213.122.179.192,213.122.179.207,business,GB,AS2856 
213.122.179.208,213.122.179.215,isp,GB,AS2856 
213.122.179.216,213.122.179.223,business,GB,AS2856 
213.122.179.224,213.122.179.255,isp,GB,AS2856 
213.122.180.0,213.122.180.7,business,GB,AS2856 
213.122.180.8,213.122.180.15,isp,GB,AS2856 
213.122.180.16,213.122.180.47,business,GB,AS2856 
213.122.180.48,213.122.180.63,isp,GB,AS2856 
213.122.180.64,213.122.180.71,business,GB,AS2856 
213.122.180.72,213.122.180.135,isp,GB,AS2856 
213.122.180.136,213.122.180.143,business,GB,AS2856 
213.122.180.144,213.122.180.231,isp,GB,AS2856 
213.122.180.232,213.122.180.239,business,GB,AS2856 
213.122.180.240,213.122.180.247,isp,GB,AS2856 
213.122.180.248,213.122.180.255,business,GB,AS2856 
213.122.181.0,213.122.181.151,isp,GB,AS2856 
213.122.181.152,213.122.181.159,business,GB,AS2856 
213.122.181.160,213.122.181.175,isp,GB,AS2856 
213.122.181.176,213.122.181.183,business,GB,AS2856 
213.122.181.184,213.122.181.191,isp,GB,AS2856 
213.122.181.192,213.122.181.207,business,GB,AS2856 
213.122.181.208,213.122.181.223,isp,GB,AS2856 
213.122.181.224,213.122.181.239,business,GB,AS2856 
213.122.181.240,213.122.182.63,isp,GB,AS2856 
213.122.182.64,213.122.182.79,business,GB,AS2856 
213.122.182.80,213.122.182.135,isp,GB,AS2856 
213.122.182.136,213.122.182.167,business,GB,AS2856 
213.122.182.168,213.122.182.207,isp,GB,AS2856 
213.122.182.208,213.122.182.223,business,GB,AS2856 
213.122.182.224,213.122.183.15,isp,GB,AS2856 
213.122.183.16,213.122.183.23,business,GB,AS2856 
213.122.183.24,213.122.183.31,isp,GB,AS2856 
213.122.183.32,213.122.183.47,business,GB,AS2856 
213.122.183.48,213.122.183.63,isp,GB,AS2856 
213.122.183.64,213.122.183.95,business,GB,AS2856 
213.122.183.96,213.122.183.111,isp,GB,AS2856 
213.122.183.112,213.122.183.127,business,GB,AS2856 
213.122.183.128,213.122.183.143,isp,GB,AS2856 
213.122.183.144,213.122.183.159,business,GB,AS2856 
213.122.183.160,213.122.183.255,isp,GB,AS2856 
213.122.184.0,213.122.188.159,business,GB,AS2856 
213.122.188.160,213.122.188.183,isp,GB,AS2856 
213.122.188.184,213.122.188.223,business,GB,AS2856 
213.122.188.224,213.122.188.239,isp,GB,AS2856 
213.122.188.240,213.122.188.247,business,GB,AS2856 
213.122.188.248,213.122.189.143,isp,GB,AS2856 
213.122.189.144,213.122.189.151,business,GB,AS2856 
213.122.189.152,213.122.189.159,isp,GB,AS2856 
213.122.189.160,213.122.189.175,business,GB,AS2856 
213.122.189.176,213.122.189.223,isp,GB,AS2856 
213.122.189.224,213.122.189.231,business,GB,AS2856 
213.122.189.232,213.122.189.239,isp,GB,AS2856 
213.122.189.240,213.122.189.247,business,GB,AS2856 
213.122.189.248,213.122.190.15,isp,GB,AS2856 
213.122.190.16,213.122.190.23,business,GB,AS2856 
213.122.190.24,213.122.190.31,isp,GB,AS2856 
213.122.190.32,213.122.190.63,business,GB,AS2856 
213.122.190.64,213.122.190.71,isp,GB,AS2856 
213.122.190.72,213.122.190.79,business,GB,AS2856 
213.122.190.80,213.122.190.87,isp,GB,AS2856 
213.122.190.88,213.122.190.95,business,GB,AS2856 
213.122.190.96,213.122.190.127,isp,GB,AS2856 
213.122.190.128,213.122.190.191,business,GB,AS2856 
213.122.190.192,213.122.191.255,isp,GB,AS2856 
213.122.192.0,213.122.203.255,business,GB,AS2856 
213.122.204.0,213.122.223.255,isp,GB,AS2856 
213.122.224.0,213.123.15.255,business,GB,AS2856 
