213.169.0.0,213.169.31.255,isp,FI,AS719 
213.169.148.0,213.169.148.255,hosting,CY,AS197648 
213.169.149.0,213.169.149.255,isp,CY,AS35432 
213.169.150.0,213.169.150.255,isp,CY,AS203206 
213.169.151.0,213.169.151.255,isp,MT,AS20521 
213.169.152.0,213.169.153.255,isp,CY,AS203206 
213.169.154.0,213.169.154.255,isp,CY,AS16229 
213.169.155.0,213.169.155.255,isp,CY,AS203206 
213.169.156.0,213.169.156.255,isp,CY, 
213.169.157.0,213.169.157.255,hosting,CY,AS5504 
213.169.158.0,213.169.158.255,isp,CY,AS5504 
213.169.159.0,213.169.159.255,business,CY,AS5504 
213.169.160.0,213.169.191.255,isp,FR,AS15557 
213.169.192.0,213.169.192.255,isp,NL,AS3257 
213.169.193.0,213.169.194.255,business,NL,AS3257 
213.169.195.0,213.169.197.15,isp,NL,AS3257 
213.169.197.16,213.169.197.159,business,NL,AS3257 
213.169.197.160,213.169.197.175,isp,NL,AS3257 
213.169.197.176,213.169.197.183,business,NL,AS3257 
213.169.197.184,213.169.197.191,isp,NL,AS3257 
213.169.197.192,213.169.197.207,business,NL,AS3257 
213.169.197.208,213.169.197.239,isp,NL,AS3257 
213.169.197.240,213.169.198.79,business,NL,AS3257 
213.169.198.80,213.169.198.115,isp,NL,AS3257 
213.169.198.116,213.169.198.143,business,NL,AS3257 
213.169.198.144,213.169.198.167,isp,NL,AS3257 
213.169.198.168,213.169.198.175,business,NL,AS3257 
213.169.198.176,213.169.198.191,isp,NL,AS3257 
213.169.198.192,213.169.198.247,business,NL,AS3257 
213.169.198.248,213.169.198.255,isp,NL,AS3257 
213.169.199.0,213.169.199.87,business,NL,AS3257 
213.169.199.88,213.169.199.103,isp,NL,AS3257 
213.169.199.104,213.169.199.159,business,NL,AS3257 
213.169.199.160,213.169.199.167,isp,NL,AS3257 
213.169.199.168,213.169.199.175,business,NL,AS3257 
213.169.199.176,213.169.199.183,isp,NL,AS3257 
213.169.199.184,213.169.199.199,business,NL,AS3257 
213.169.199.200,213.169.199.207,isp,NL,AS3257 
213.169.199.208,213.169.204.31,business,NL,AS3257 
213.169.204.32,213.169.204.63,isp,NL,AS3257 
213.169.204.64,213.169.204.255,business,NL,AS3257 
213.169.205.0,213.169.205.255,isp,NL,AS3257 
213.169.206.0,213.169.208.255,business,NL,AS3257 
213.169.209.0,213.169.209.255,isp,NL,AS3257 
213.169.210.0,213.169.210.15,business,NL,AS3257 
213.169.210.16,213.169.210.23,isp,NL,AS3257 
213.169.210.24,213.169.210.255,business,NL,AS3257 
213.169.211.0,213.169.211.255,isp,NL,AS3257 
213.169.212.0,213.169.212.255,business,NL,AS3257 
213.169.213.0,213.169.213.255,isp,NL,AS3257 
213.169.214.0,213.169.215.255,business,NL,AS3257 
213.169.216.0,213.169.216.255,isp,NL,AS3257 
213.169.217.0,213.169.217.255,business,NL,AS3257 
213.169.218.0,213.169.220.171,isp,NL,AS3257 
213.169.220.172,213.169.220.175,business,NL,AS3257 
213.169.220.176,213.169.220.207,isp,NL,AS3257 
213.169.220.208,213.169.220.223,business,NL,AS3257 
213.169.220.224,213.169.220.239,isp,NL,AS3257 
213.169.220.240,213.169.221.255,business,NL,AS3257 
213.169.222.0,213.169.223.255,isp,NL,AS3257 
213.169.224.0,213.169.231.255,business,NL,AS3257 
213.169.232.0,213.169.232.191,isp,NL,AS3257 
213.169.232.192,213.169.232.199,business,NL,AS3257 
213.169.232.200,213.169.232.255,isp,NL,AS3257 
213.169.233.0,213.169.233.3,business,NL,AS3257 
213.169.233.4,213.169.233.7,isp,NL,AS3257 
213.169.233.8,213.169.233.15,business,NL,AS3257 
213.169.233.16,213.169.233.23,isp,NL,AS3257 
213.169.233.24,213.169.233.55,business,NL,AS3257 
213.169.233.56,213.169.233.63,isp,NL,AS3257 
213.169.233.64,213.169.233.87,business,NL,AS3257 
213.169.233.88,213.169.233.127,isp,NL,AS3257 
213.169.233.128,213.169.233.151,business,NL,AS3257 
213.169.233.152,213.169.233.159,isp,NL,AS3257 
213.169.233.160,213.169.233.183,business,NL,AS3257 
213.169.233.184,213.169.235.255,isp,NL,AS3257 
213.169.236.0,213.169.236.55,business,NL,AS3257 
213.169.236.56,213.169.236.63,isp,NL,AS3257 
213.169.236.64,213.169.236.79,business,NL,AS3257 
213.169.236.80,213.169.236.87,isp,NL,AS3257 
213.169.236.88,213.169.236.95,business,NL,AS3257 
213.169.236.96,213.169.236.127,isp,NL,AS3257 
213.169.236.128,213.169.236.255,business,NL,AS3257 
213.169.237.0,213.169.237.63,isp,NL,AS3257 
213.169.237.64,213.169.237.95,business,NL,AS3257 
213.169.237.96,213.169.237.143,isp,NL,AS3257 
213.169.237.144,213.169.237.159,business,NL,AS3257 
213.169.237.160,213.169.237.191,isp,NL,AS3257 
213.169.237.192,213.169.237.239,business,NL,AS3257 
213.169.237.240,213.169.237.255,isp,NL,AS3257 
213.169.238.0,213.169.241.47,business,NL,AS3257 
213.169.241.48,213.169.247.255,isp,NL,AS3257 
213.169.248.0,213.169.248.127,business,NL,AS3257 
213.169.248.128,213.169.249.255,isp,NL,AS3257 
213.169.250.0,213.169.252.127,business,NL,AS3257 
213.169.252.128,213.169.253.255,isp,NL,AS3257 
213.169.254.0,213.169.255.255,business,NL,AS3257 
