192.203.0.0,192.203.0.255,isp,PR,AS63393 
192.203.100.32,192.203.100.39,business,US,AS25843 
192.203.100.40,192.203.100.41,hosting,US,AS25843 
192.203.100.42,192.203.100.55,business,US,AS25843 
192.203.100.56,192.203.100.63,hosting,US,AS25843 
192.203.100.64,192.203.100.79,business,US,AS25843 
192.203.100.80,192.203.100.95,hosting,US,AS25843 
192.203.100.96,192.203.100.111,business,US,AS25843 
192.203.100.112,192.203.100.123,hosting,US,AS25843 
192.203.100.124,192.203.100.127,business,US,AS25843 
192.203.100.128,192.203.100.135,hosting,US,AS25843 
192.203.100.136,192.203.100.139,business,US,AS25843 
192.203.100.140,192.203.100.151,hosting,US,AS25843 
192.203.100.152,192.203.100.161,business,US,AS25843 
192.203.100.162,192.203.100.163,hosting,US,AS25843 
192.203.100.164,192.203.100.165,business,US,AS25843 
192.203.100.166,192.203.100.171,hosting,US,AS25843 
192.203.100.172,192.203.100.195,business,US,AS25843 
192.203.100.196,192.203.100.197,hosting,US,AS25843 
192.203.100.198,192.203.100.203,business,US,AS25843 
192.203.100.204,192.203.100.211,hosting,US,AS25843 
192.203.100.212,192.203.100.215,business,US,AS25843 
192.203.100.216,192.203.100.231,hosting,US,AS25843 
192.203.100.232,192.203.100.239,business,US,AS25843 
192.203.100.240,192.203.100.245,hosting,US,AS25843 
192.203.100.246,192.203.100.247,business,US,AS25843 
192.203.100.248,192.203.100.251,hosting,US,AS25843 
192.203.100.252,192.203.100.253,business,US,AS25843 
192.203.100.254,192.203.101.3,hosting,US,AS25843 
192.203.101.4,192.203.101.31,business,US,AS25843 
192.203.101.32,192.203.101.39,education,US,AS25843 
192.203.101.40,192.203.101.66,business,US,AS25843 
192.203.101.67,192.203.101.103,hosting,US,AS25843 
192.203.101.104,192.203.101.127,business,US,AS25843 
192.203.101.128,192.203.101.131,hosting,US,AS25843 
192.203.101.132,192.203.101.145,business,US,AS25843 
192.203.101.146,192.203.101.147,hosting,US,AS25843 
192.203.101.148,192.203.101.151,business,US,AS25843 
192.203.101.152,192.203.101.152,hosting,US,AS25843 
192.203.101.153,192.203.101.155,business,US,AS25843 
192.203.101.156,192.203.101.167,hosting,US,AS25843 
192.203.101.168,192.203.101.169,business,US,AS25843 
192.203.101.170,192.203.101.179,hosting,US,AS25843 
192.203.101.180,192.203.101.191,business,US,AS25843 
192.203.101.192,192.203.101.199,hosting,US,AS25843 
192.203.101.200,192.203.101.201,business,US,AS25843 
192.203.101.202,192.203.101.221,hosting,US,AS25843 
192.203.101.222,192.203.101.225,business,US,AS25843 
192.203.101.226,192.203.101.227,hosting,US,AS25843 
192.203.101.228,192.203.101.251,business,US,AS25843 
192.203.101.252,192.203.102.3,hosting,US,AS25843 
192.203.102.4,192.203.102.5,business,US,AS25843 
192.203.102.6,192.203.102.7,hosting,US,AS25843 
192.203.102.8,192.203.102.15,business,US,AS25843 
192.203.102.16,192.203.102.33,hosting,US,AS25843 
192.203.102.34,192.203.102.41,business,US,AS25843 
192.203.102.42,192.203.102.43,hosting,US,AS25843 
192.203.102.44,192.203.102.45,business,US,AS25843 
192.203.102.46,192.203.102.53,hosting,US,AS25843 
192.203.102.54,192.203.102.77,business,US,AS25843 
192.203.102.78,192.203.102.81,hosting,US,AS25843 
192.203.102.82,192.203.102.83,business,US,AS25843 
192.203.102.84,192.203.102.89,hosting,US,AS25843 
192.203.102.90,192.203.102.91,business,US,AS25843 
192.203.102.92,192.203.102.105,hosting,US,AS25843 
192.203.102.106,192.203.102.111,business,US,AS25843 
192.203.102.112,192.203.102.127,hosting,US,AS25843 
192.203.102.128,192.203.102.135,business,US,AS25843 
192.203.102.136,192.203.102.137,hosting,US,AS25843 
192.203.102.138,192.203.102.139,business,US,AS25843 
192.203.102.140,192.203.102.141,hosting,US,AS25843 
192.203.102.142,192.203.102.143,business,US,AS25843 
192.203.102.144,192.203.102.151,hosting,US,AS25843 
192.203.102.152,192.203.102.159,business,US,AS25843 
192.203.102.160,192.203.102.167,hosting,US,AS25843 
192.203.102.168,192.203.102.175,business,US,AS25843 
192.203.102.176,192.203.102.179,hosting,US,AS25843 
192.203.102.180,192.203.102.181,business,US,AS25843 
192.203.102.182,192.203.102.203,hosting,US,AS25843 
192.203.102.204,192.203.102.207,business,US,AS25843 
192.203.102.208,192.203.102.223,hosting,US,AS25843 
192.203.102.224,192.203.102.229,business,US,AS25843 
192.203.102.230,192.203.103.3,hosting,US,AS25843 
192.203.103.4,192.203.103.7,business,US,AS25843 
192.203.103.8,192.203.103.11,hosting,US,AS25843 
192.203.103.12,192.203.103.29,business,US,AS25843 
192.203.103.30,192.203.103.33,hosting,US,AS25843 
192.203.103.34,192.203.103.35,business,US,AS25843 
192.203.103.36,192.203.103.51,hosting,US,AS25843 
192.203.103.52,192.203.103.55,business,US,AS25843 
192.203.103.56,192.203.103.63,hosting,US,AS25843 
192.203.103.64,192.203.103.65,business,US,AS25843 
192.203.103.66,192.203.103.67,hosting,US,AS25843 
192.203.103.68,192.203.103.71,business,US,AS25843 
192.203.103.72,192.203.103.79,hosting,US,AS25843 
192.203.103.80,192.203.103.87,business,US,AS25843 
192.203.103.88,192.203.103.103,hosting,US,AS25843 
192.203.103.104,192.203.103.115,business,US,AS25843 
192.203.103.116,192.203.103.119,hosting,US,AS25843 
192.203.103.120,192.203.103.121,business,US,AS25843 
192.203.103.122,192.203.103.175,hosting,US,AS25843 
192.203.103.176,192.203.103.179,business,US,AS25843 
192.203.103.180,192.203.103.183,hosting,US,AS25843 
192.203.103.184,192.203.103.187,business,US,AS25843 
192.203.103.188,192.203.103.229,hosting,US,AS25843 
192.203.103.230,192.203.103.231,business,US,AS25843 
192.203.103.232,192.203.103.235,hosting,US,AS25843 
192.203.103.236,192.203.103.239,business,US,AS25843 
192.203.103.240,192.203.103.243,hosting,US,AS25843 
192.203.103.244,192.203.103.245,business,US,AS25843 
192.203.103.246,192.203.103.255,hosting,US,AS25843 
192.203.104.0,192.203.105.255,government,US,AS749 
192.203.106.0,192.203.107.255,business,CA, 
192.203.108.0,192.203.109.255,business,FI, 
192.203.110.0,192.203.114.255,business,US, 
192.203.115.0,192.203.116.255,education,US,AS22388 
192.203.117.0,192.203.126.255,business,US,AS11470 
192.203.127.0,192.203.127.255,education,US,AS7018 
192.203.128.0,192.203.129.255,business,US, 
192.203.130.0,192.203.132.255,education,US,AS398756 
192.203.133.0,192.203.133.255,business,US, 
192.203.134.0,192.203.134.255,education,US,AS2386 
192.203.135.0,192.203.135.255,business,US, 
192.203.136.0,192.203.137.255,education,US,AS17196 
192.203.138.0,192.203.138.255,education,KR,AS18026 
192.203.139.0,192.203.139.255,education,KR,AS7560 
192.203.140.0,192.203.140.255,hosting,KR,AS9640 
192.203.141.0,192.203.143.255,business,KR,AS9640 
192.203.144.0,192.203.144.255,education,KR,AS17862 
192.203.145.0,192.203.145.255,education,KR,AS9459 
192.203.146.0,192.203.146.255,business,KR,AS3786 
192.203.147.0,192.203.149.255,business,US, 
192.203.150.0,192.203.150.255,government,US,AS27064 
192.203.151.0,192.203.153.255,business,US, 
192.203.154.0,192.203.154.255,business,NZ,AS9500 
192.203.155.0,192.203.155.255,business,US,AS26729 
192.203.158.0,192.203.158.255,hosting,CL,AS2924 
192.203.159.0,192.203.159.255,business,US, 
192.203.160.0,192.203.160.255,hosting,US,AS33465 
192.203.161.0,192.203.163.255,business,US, 
192.203.164.0,192.203.164.255,education,US,AS40628 
192.203.165.0,192.203.165.255,education,US, 
192.203.166.0,192.203.174.255,business,US, 
192.203.175.0,192.203.175.255,hosting,US,AS64249 
192.203.176.0,192.203.176.255,isp,AU, 
192.203.177.0,192.203.177.255,education,MX,AS28382 
192.203.178.0,192.203.178.255,business,US,AS15065 
192.203.179.0,192.203.179.255,business,US, 
192.203.180.0,192.203.180.255,education,US,AS2711 
192.203.181.0,192.203.181.255,hosting,US,AS13499 
192.203.182.0,192.203.182.255,business,US, 
192.203.183.0,192.203.185.255,business,HK, 
192.203.186.0,192.203.186.255,business,US,AS3549 
192.203.187.0,192.203.187.255,business,US,AS33657 
192.203.188.0,192.203.189.255,business,US, 
192.203.190.0,192.203.190.255,isp,US, 
192.203.191.0,192.203.191.255,business,US,AS62646 
192.203.192.0,192.203.192.255,business,US, 
192.203.194.0,192.203.194.255,business,US,AS2830 
192.203.195.0,192.203.195.255,education,US,AS237 
192.203.196.0,192.203.196.255,education,US,AS46115 
192.203.197.0,192.203.197.255,business,CA, 
192.203.198.0,192.203.198.255,business,US, 
192.203.199.0,192.203.200.255,education,US,AS26002 
192.203.201.0,192.203.201.255,business,US,AS11073 
192.203.202.0,192.203.202.255,education,US, 
192.203.203.0,192.203.203.255,business,CA, 
192.203.204.0,192.203.204.255,business,US,AS22328 
192.203.205.0,192.203.205.255,education,US, 
192.203.206.0,192.203.206.255,business,US, 
192.203.207.0,192.203.207.255,education,US, 
192.203.210.0,192.203.210.255,business,US, 
192.203.211.0,192.203.211.255,education,US,AS17333 
192.203.212.0,192.203.212.255,education,US, 
192.203.213.0,192.203.213.255,business,AU, 
192.203.214.0,192.203.215.255,business,US, 
192.203.216.0,192.203.216.255,business,NZ,AS10022 
192.203.217.0,192.203.217.255,business,US, 
192.203.218.0,192.203.218.255,government,US,AS43 
192.203.219.0,192.203.219.255,business,US,AS393961 
192.203.220.0,192.203.221.255,business,US, 
192.203.222.0,192.203.223.255,education,US,AS396470 
192.203.224.0,192.203.224.255,education,US, 
192.203.225.0,192.203.225.255,business,US, 
192.203.226.0,192.203.226.255,education,US, 
192.203.227.0,192.203.227.255,business,SA, 
192.203.228.0,192.203.228.255,hosting,US,AS6140 
192.203.229.0,192.203.229.255,business,US, 
192.203.230.0,192.203.230.255,government,US,AS21556 
192.203.231.0,192.203.231.255,business,US,AS26667 
192.203.233.0,192.203.233.255,education,US,AS23102 
192.203.234.0,192.203.234.255,business,US, 
192.203.235.0,192.203.235.255,education,AU, 
192.203.236.0,192.203.236.255,education,US, 
192.203.237.0,192.203.237.255,business,US,AS55232 
192.203.238.0,192.203.240.255,business,US, 
192.203.241.0,192.203.241.255,isp,US, 
192.203.242.0,192.203.246.255,business,US, 
192.203.247.0,192.203.247.255,education,TH,AS17479 
192.203.248.0,192.203.250.255,business,US, 
192.203.251.0,192.203.251.255,education,US, 
192.203.252.0,192.203.252.255,business,US, 
192.203.253.0,192.203.253.255,hosting,US,AS397627 
192.203.254.0,192.203.255.255,business,US,AS29996 
