192.117.0.224,192.117.0.255,business,IL,AS12400 
192.117.164.0,192.117.164.255,business,IL,AS12400 
192.117.165.0,192.117.165.15,isp,IL,AS12400 
192.117.165.16,192.117.165.31,business,IL,AS12400 
192.117.165.32,192.117.165.119,isp,IL,AS12400 
192.117.165.120,192.117.165.127,business,IL,AS12400 
192.117.165.128,192.117.166.63,isp,IL,AS12400 
192.117.166.64,192.117.166.95,business,IL,AS12400 
192.117.166.96,192.117.166.159,isp,IL,AS12400 
192.117.166.160,192.117.166.223,business,IL,AS12400 
192.117.166.224,192.117.167.255,isp,IL,AS12400 
192.117.168.0,192.117.168.135,business,IL,AS12400 
192.117.168.136,192.117.168.151,isp,IL,AS12400 
192.117.168.152,192.117.168.159,business,IL,AS12400 
192.117.168.160,192.117.168.191,isp,IL,AS12400 
192.117.168.192,192.117.168.195,business,IL,AS12400 
192.117.168.196,192.117.168.207,isp,IL,AS12400 
192.117.168.208,192.117.168.223,business,IL,AS12400 
192.117.168.224,192.117.168.247,isp,IL,AS12400 
192.117.168.248,192.117.168.255,business,IL,AS12400 
192.117.169.0,192.117.169.7,isp,IL,AS12400 
192.117.169.8,192.117.169.31,business,IL,AS12400 
192.117.169.32,192.117.169.63,isp,IL,AS12400 
192.117.169.64,192.117.169.127,business,IL,AS12400 
192.117.169.128,192.117.169.191,isp,IL,AS12400 
192.117.169.192,192.117.169.199,business,IL,AS12400 
192.117.169.200,192.117.169.255,isp,IL,AS12400 
192.117.170.0,192.117.170.31,business,IL,AS12400 
192.117.170.32,192.117.170.191,isp,IL,AS12400 
192.117.170.192,192.117.170.207,business,IL,AS12400 
192.117.170.208,192.117.171.39,isp,IL,AS12400 
192.117.171.40,192.117.171.43,business,IL,AS12400 
192.117.171.44,192.117.171.63,isp,IL,AS12400 
192.117.171.64,192.117.171.95,business,IL,AS12400 
192.117.171.96,192.117.171.167,isp,IL,AS12400 
192.117.171.168,192.117.171.171,education,IL,AS12400 
192.117.171.172,192.117.172.255,isp,IL,AS12400 
192.117.173.0,192.117.173.255,business,IL,AS12400 
192.117.174.0,192.117.175.211,isp,IL,AS12400 
192.117.175.212,192.117.175.215,business,IL,AS12400 
192.117.175.216,192.117.176.7,isp,IL,AS12400 
192.117.176.8,192.117.176.31,business,IL,AS12400 
192.117.176.32,192.117.176.159,isp,IL,AS12400 
192.117.176.160,192.117.176.163,business,IL,AS12400 
192.117.176.164,192.117.176.183,isp,IL,AS12400 
192.117.176.184,192.117.176.187,business,IL,AS12400 
192.117.176.188,192.117.176.207,isp,IL,AS12400 
192.117.176.208,192.117.176.223,business,IL,AS12400 
192.117.176.224,192.117.176.227,isp,IL,AS12400 
192.117.176.228,192.117.176.231,business,IL,AS12400 
192.117.176.232,192.117.177.7,isp,IL,AS12400 
192.117.177.8,192.117.177.15,business,IL,AS12400 
192.117.177.16,192.117.177.23,isp,IL,AS12400 
192.117.177.24,192.117.177.31,business,IL,AS12400 
192.117.177.32,192.117.177.71,isp,IL,AS12400 
192.117.177.72,192.117.177.79,business,IL,AS12400 
192.117.177.80,192.117.177.111,isp,IL,AS12400 
192.117.177.112,192.117.177.147,business,IL,AS12400 
192.117.177.148,192.117.178.103,isp,IL,AS12400 
192.117.178.104,192.117.178.111,business,IL,AS12400 
192.117.178.112,192.117.179.11,isp,IL,AS12400 
192.117.179.12,192.117.179.15,business,IL,AS12400 
192.117.179.16,192.117.179.23,isp,IL,AS12400 
192.117.179.24,192.117.179.27,business,IL,AS12400 
192.117.179.28,192.117.179.255,isp,IL,AS12400 
192.117.180.0,192.117.181.255,business,IL,AS12400 
192.117.182.0,192.117.182.39,isp,IL,AS12400 
192.117.182.40,192.117.182.47,business,IL,AS12400 
192.117.182.48,192.117.183.255,isp,IL,AS12400 
192.117.184.0,192.117.185.255,education,IL,AS12400 
192.117.186.0,192.117.188.15,isp,IL,AS12400 
192.117.188.16,192.117.188.23,business,IL,AS12400 
192.117.188.24,192.117.188.183,isp,IL,AS12400 
192.117.188.184,192.117.188.187,business,IL,AS12400 
192.117.188.188,192.117.188.215,isp,IL,AS12400 
192.117.188.216,192.117.188.219,business,IL,AS12400 
192.117.188.220,192.117.188.227,isp,IL,AS12400 
192.117.188.228,192.117.188.231,business,IL,AS12400 
192.117.188.232,192.117.188.243,isp,IL,AS12400 
192.117.188.244,192.117.188.247,business,IL,AS12400 
192.117.188.248,192.117.189.79,isp,IL,AS12400 
192.117.189.80,192.117.189.87,business,IL,AS12400 
192.117.189.88,192.117.189.103,isp,IL,AS12400 
192.117.189.104,192.117.189.111,business,IL,AS12400 
192.117.189.112,192.117.190.15,isp,IL,AS12400 
192.117.190.16,192.117.190.31,business,IL,AS12400 
192.117.190.32,192.117.190.127,isp,IL,AS12400 
192.117.190.128,192.117.190.175,business,IL,AS12400 
192.117.190.176,192.117.190.183,isp,IL,AS12400 
192.117.190.184,192.117.190.223,business,IL,AS12400 
192.117.190.224,192.117.190.231,isp,IL,AS12400 
192.117.190.232,192.117.190.239,business,IL,AS12400 
192.117.190.240,192.117.190.247,isp,IL,AS12400 
192.117.190.248,192.117.191.255,business,IL,AS12400 
192.117.192.0,192.117.231.255,business,IL, 
192.117.232.0,192.117.235.159,isp,IL,AS8551 
192.117.235.160,192.117.235.191,business,IL,AS8551 
192.117.235.192,192.117.235.195,isp,IL,AS8551 
192.117.235.196,192.117.235.207,education,IL,AS8551 
192.117.235.208,192.117.235.223,isp,IL,AS8551 
192.117.235.224,192.117.235.231,business,IL,AS8551 
192.117.235.232,192.117.236.23,isp,IL,AS8551 
192.117.236.24,192.117.236.27,business,IL,AS8551 
192.117.236.28,192.117.237.47,isp,IL,AS8551 
192.117.237.48,192.117.237.51,education,IL,AS8551 
192.117.237.52,192.117.237.63,isp,IL,AS8551 
192.117.237.64,192.117.237.95,business,IL,AS8551 
192.117.237.96,192.117.237.127,isp,IL,AS8551 
192.117.237.128,192.117.237.143,business,IL,AS8551 
192.117.237.144,192.117.237.175,isp,IL,AS8551 
192.117.237.176,192.117.237.183,business,IL,AS8551 
192.117.237.184,192.117.237.191,isp,IL,AS8551 
192.117.237.192,192.117.237.223,business,IL,AS8551 
192.117.237.224,192.117.238.127,isp,IL,AS8551 
192.117.238.128,192.117.238.159,business,IL,AS8551 
192.117.238.160,192.117.238.191,isp,IL,AS8551 
192.117.238.192,192.117.238.215,business,IL,AS8551 
192.117.238.216,192.117.239.63,isp,IL,AS8551 
192.117.239.64,192.117.239.67,business,IL,AS8551 
192.117.239.68,192.117.239.115,isp,IL,AS8551 
192.117.239.116,192.117.239.119,business,IL,AS8551 
192.117.239.120,192.117.239.255,isp,IL,AS8551 
192.117.240.0,192.117.255.255,isp,IL,AS12400 
